"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","185.55","188.35","182.85","184.50","187.25","187.35","185.02","199.30","137.00","1,30,95,853","2,42,29,63,284.50","40,559"
"22-Feb-2024","EQ","183.50","184.95","180.65","182.60","184.60","184.50","183.35","199.30","137.00","28,95,471","53,08,81,276.60","25,358"
"21-Feb-2024","EQ","183.90","186.95","181.90","183.95","183.00","182.60","184.57","199.30","137.00","36,07,656","66,58,67,608.20","26,276"
"20-Feb-2024","EQ","184.55","184.65","182.45","184.55","183.90","183.95","183.57","199.30","137.00","25,99,251","47,71,43,807.95","16,261"
"19-Feb-2024","EQ","187.40","187.40","183.90","186.05","184.90","184.55","185.59","199.30","137.00","24,00,128","44,54,46,969.80","30,584"
"16-Feb-2024","EQ","181.75","189.65","181.75","181.30","185.70","186.05","186.83","199.30","137.00","71,20,783","1,33,03,75,543.65","48,247"
"15-Feb-2024","EQ","184.00","184.00","180.80","182.50","181.50","181.30","181.92","199.30","137.00","30,45,234","55,39,92,194.35","20,181"
"14-Feb-2024","EQ","178.00","183.35","176.40","180.05","182.90","182.50","180.15","199.30","137.00","21,83,373","39,33,38,388.95","16,767"
"13-Feb-2024","EQ","180.20","181.85","176.15","180.40","180.20","180.05","179.82","199.30","137.00","54,99,824","98,89,53,070.30","23,406"
"12-Feb-2024","EQ","189.35","189.35","179.70","187.90","179.80","180.40","183.13","199.30","137.00","47,09,125","86,23,67,606.60","29,880"
"09-Feb-2024","EQ","188.00","189.10","181.95","186.95","187.90","187.90","185.77","199.30","137.00","52,82,306","98,12,69,727.20","28,124"
"08-Feb-2024","EQ","189.50","191.80","185.35","187.60","187.85","186.95","189.22","199.30","137.00","92,30,315","1,74,65,78,275.95","53,576"
"07-Feb-2024","EQ","181.70","188.75","180.35","180.15","188.00","187.60","186.51","199.30","137.00","1,35,46,582","2,52,65,33,188.90","70,831"
