"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","3,263.05","3,319.95","3,225.10","3,263.05","3,273.05","3,273.30","3,281.89","3,319.95","1,103.75","19,75,035","6,48,18,55,202.20","84,335"
"22-Feb-2024","EQ","3,239.00","3,274.00","3,210.50","3,223.20","3,261.30","3,263.05","3,236.68","3,308.60","1,103.75","11,38,722","3,68,56,76,235.05","88,963"
"21-Feb-2024","EQ","3,238.00","3,300.00","3,205.00","3,228.60","3,226.95","3,223.20","3,258.00","3,308.60","1,103.75","16,57,021","5,39,85,71,886.00","1,05,900"
"20-Feb-2024","EQ","3,267.00","3,269.80","3,210.15","3,258.80","3,235.00","3,228.60","3,238.23","3,308.60","1,103.75","14,67,630","4,75,25,17,820.15","61,717"
"19-Feb-2024","EQ","3,240.00","3,308.60","3,235.80","3,223.60","3,265.00","3,258.80","3,275.82","3,308.60","1,103.75","17,79,444","5,82,91,41,012.10","87,952"
"16-Feb-2024","EQ","3,214.00","3,252.30","3,192.65","3,193.80","3,223.20","3,223.60","3,221.58","3,277.95","1,103.75","21,93,673","7,06,71,00,536.90","84,990"
"15-Feb-2024","EQ","3,219.85","3,252.75","3,184.05","3,207.20","3,190.40","3,193.80","3,214.66","3,277.95","1,103.75","20,35,204","6,54,24,84,814.65","90,530"
"14-Feb-2024","EQ","3,184.00","3,255.25","3,169.85","3,178.45","3,202.00","3,207.20","3,212.71","3,277.95","1,103.75","17,41,264","5,59,41,82,379.70","1,01,676"
"13-Feb-2024","EQ","3,180.00","3,194.00","3,092.05","3,169.75","3,180.00","3,178.45","3,142.91","3,277.95","1,103.75","12,25,207","3,85,07,09,760.90","73,578"
"12-Feb-2024","EQ","3,229.00","3,241.95","3,160.00","3,215.20","3,166.00","3,169.75","3,193.32","3,277.95","1,103.75","10,83,138","3,45,88,03,688.00","64,420"
"09-Feb-2024","EQ","3,184.45","3,224.95","3,121.20","3,168.60","3,215.00","3,215.20","3,182.28","3,277.95","1,103.75","15,72,789","5,00,50,53,690.50","92,034"
"08-Feb-2024","EQ","3,245.60","3,245.60","3,146.10","3,229.85","3,179.00","3,168.60","3,186.56","3,277.95","1,103.75","16,79,004","5,35,02,39,514.35","1,26,898"
"07-Feb-2024","EQ","3,220.05","3,277.95","3,210.00","3,203.75","3,233.00","3,229.85","3,242.51","3,277.95","1,103.75","20,95,911","6,79,60,02,063.65","1,22,378"
"06-Feb-2024","EQ","3,183.90","3,228.20","3,160.00","3,173.45","3,200.65","3,203.75","3,197.81","3,236.95","1,103.75","20,78,891","6,64,79,05,451.95","1,48,672"
"05-Feb-2024","EQ","3,170.00","3,229.40","3,151.45","3,157.45","3,175.25","3,173.45","3,192.80","3,236.95","1,103.75","21,91,195","6,99,60,49,793.70","1,32,489"
"02-Feb-2024","EQ","3,184.95","3,208.50","3,140.00","3,153.50","3,157.00","3,157.45","3,173.20","3,236.95","1,017.45","27,08,695","8,59,52,21,638.95","1,23,968"
