"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","1,312.05","1,332.00","1,298.00","1,310.95","1,320.70","1,320.70","1,318.21","1,332.00","533.65","29,24,829","3,85,55,26,065.60","87,260"
"22-Feb-2024","EQ","1,296.00","1,317.00","1,281.00","1,291.00","1,310.10","1,310.95","1,296.45","1,327.00","533.65","25,56,009","3,31,37,44,829.45","1,10,801"
"21-Feb-2024","EQ","1,304.80","1,315.00","1,281.45","1,300.50","1,290.00","1,291.00","1,301.16","1,327.00","533.65","27,70,510","3,60,48,63,684.45","83,664"
"20-Feb-2024","EQ","1,311.00","1,312.90","1,293.70","1,307.00","1,302.80","1,300.50","1,303.28","1,327.00","533.65","18,56,718","2,41,98,25,350.60","60,202"
"19-Feb-2024","EQ","1,313.40","1,327.00","1,302.15","1,306.85","1,311.00","1,307.00","1,314.36","1,327.00","533.65","27,00,240","3,54,90,92,442.65","74,031"
"16-Feb-2024","EQ","1,269.80","1,311.00","1,265.55","1,267.05","1,310.10","1,306.85","1,293.70","1,311.00","533.65","54,76,230","7,08,45,91,726.70","1,45,190"
"15-Feb-2024","EQ","1,275.00","1,277.55","1,262.10","1,267.85","1,266.20","1,267.05","1,268.77","1,291.25","533.65","33,82,824","4,29,20,37,693.90","1,05,127"
"14-Feb-2024","EQ","1,261.95","1,281.55","1,248.65","1,264.80","1,268.00","1,267.85","1,268.31","1,291.25","533.65","33,82,943","4,29,06,28,559.15","97,164"
"13-Feb-2024","EQ","1,249.95","1,271.00","1,226.65","1,249.35","1,270.95","1,264.80","1,250.88","1,291.25","533.65","22,45,009","2,80,82,31,574.05","73,236"
"12-Feb-2024","EQ","1,278.00","1,279.75","1,243.90","1,271.50","1,249.85","1,249.35","1,260.39","1,291.25","533.65","22,04,823","2,77,89,29,991.85","85,899"
"09-Feb-2024","EQ","1,252.60","1,275.50","1,232.10","1,245.20","1,272.40","1,271.50","1,257.33","1,291.25","476.70","35,38,164","4,44,86,22,470.75","1,00,476"
