"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","8,497.50","8,531.00","8,401.05","8,498.45","8,436.00","8,436.95","8,454.21","8,650.00","3,625.60","3,40,749","2,88,07,65,224.50","61,340"
"22-Feb-2024","EQ","8,260.00","8,550.00","8,220.00","8,232.25","8,515.00","8,498.45","8,376.16","8,650.00","3,625.60","5,48,486","4,59,42,06,049.95","99,222"
"21-Feb-2024","EQ","8,300.00","8,376.85","8,205.00","8,295.20","8,242.00","8,232.25","8,277.05","8,650.00","3,625.60","4,39,817","3,64,03,85,811.15","70,735"
"20-Feb-2024","EQ","8,505.00","8,505.00","8,238.70","8,509.70","8,290.00","8,295.20","8,333.53","8,650.00","3,625.60","5,47,082","4,55,91,24,523.30","86,522"
"19-Feb-2024","EQ","8,400.00","8,650.00","8,361.10","8,325.05","8,514.00","8,509.70","8,526.44","8,650.00","3,625.60","10,44,959","8,90,97,75,073.35","1,34,642"
"16-Feb-2024","EQ","8,185.85","8,455.45","8,137.10","8,123.05","8,344.00","8,325.05","8,351.05","8,455.45","3,625.60","9,38,756","7,83,96,02,654.35","1,25,517"
"15-Feb-2024","EQ","8,120.60","8,156.85","8,045.30","8,083.30","8,097.00","8,123.05","8,112.89","8,156.85","3,625.60","3,94,525","3,20,07,37,004.55","61,985"
"14-Feb-2024","EQ","7,899.00","8,136.85","7,880.00","7,917.40","8,120.20","8,083.30","8,006.46","8,136.85","3,625.60","5,13,900","4,11,45,18,368.00","69,582"
"13-Feb-2024","EQ","7,830.00","7,935.15","7,811.95","7,829.95","7,913.00","7,917.40","7,887.24","7,935.15","3,625.60","2,58,767","2,04,09,58,332.40","44,520"
"12-Feb-2024","EQ","7,775.00","7,874.20","7,766.05","7,784.85","7,824.95","7,829.95","7,826.21","7,874.20","3,625.60","2,19,911","1,72,10,70,209.55","44,553"
"09-Feb-2024","EQ","7,778.80","7,790.50","7,669.00","7,757.25","7,780.00","7,784.85","7,746.85","7,838.00","3,625.60","1,73,555","1,34,45,03,945.70","36,821"
"08-Feb-2024","EQ","7,729.00","7,783.45","7,668.15","7,701.90","7,759.00","7,757.25","7,739.21","7,838.00","3,625.60","2,82,537","2,18,66,14,189.70","60,810"
"07-Feb-2024","EQ","7,745.00","7,777.80","7,665.60","7,720.40","7,710.00","7,701.90","7,705.71","7,838.00","3,625.60","1,59,783","1,23,12,42,027.40","37,432"
"06-Feb-2024","EQ","7,675.00","7,747.70","7,670.60","7,658.25","7,729.00","7,720.40","7,718.86","7,838.00","3,625.60","1,31,992","1,01,88,27,817.40","30,889"
"05-Feb-2024","EQ","7,800.00","7,838.00","7,633.50","7,738.20","7,664.55","7,658.25","7,734.25","7,838.00","3,625.60","2,52,401","1,95,21,31,501.00","44,838"
"02-Feb-2024","EQ","7,675.00","7,797.50","7,665.60","7,655.75","7,750.00","7,738.20","7,744.07","7,797.50","3,625.60","1,97,720","1,53,11,57,204.90","41,091"
"01-Feb-2024","EQ","7,680.00","7,765.00","7,636.35","7,667.55","7,655.00","7,655.75","7,705.24","7,765.00","3,625.60","3,94,564","3,04,02,09,128.90","70,092"
"31-Jan-2024","EQ","7,566.40","7,686.00","7,515.10","7,566.40","7,667.80","7,667.55","7,622.37","7,686.00","3,625.60","3,36,874","2,56,77,78,947.70","50,688"
"30-Jan-2024","EQ","7,574.90","7,660.00","7,543.65","7,548.80","7,555.00","7,566.40","7,596.46","7,660.00","3,625.60","2,66,287","2,02,28,38,923.15","37,823"
"29-Jan-2024","EQ","7,594.00","7,640.00","7,480.00","7,597.50","7,565.00","7,548.80","7,555.31","7,640.00","3,625.60","4,57,853","3,45,92,23,397.70","64,499"
"25-Jan-2024","EQ","7,360.00","7,625.15","7,210.00","7,212.85","7,590.00","7,597.50","7,471.03","7,625.15","3,571.00","20,65,788","15,43,35,62,667.75","2,30,871"
"24-Jan-2024","EQ","7,075.10","7,237.00","7,028.20","7,095.90","7,205.75","7,212.85","7,155.28","7,419.00","3,571.00","4,67,134","3,34,24,76,330.25","59,165"
"23-Jan-2024","EQ","7,075.00","7,210.00","6,936.55","7,095.15","7,105.15","7,095.90","7,096.28","7,419.00","3,571.00","9,53,921","6,76,92,87,081.90","92,688"
"20-Jan-2024","EQ","7,170.00","7,189.00","7,050.00","7,136.55","7,084.00","7,095.15","7,131.89","7,419.00","3,551.25","91,479","65,24,18,393.05","24,015"
"19-Jan-2024","EQ","7,138.80","7,180.00","7,105.00","7,083.60","7,140.00","7,136.55","7,143.59","7,419.00","3,551.25","3,27,976","2,34,29,27,369.05","58,700"
"18-Jan-2024","EQ","7,148.00","7,189.25","7,071.15","7,165.95","7,080.15","7,083.60","7,108.34","7,419.00","3,551.25","5,57,084","3,95,99,44,151.85","97,375"
"17-Jan-2024","EQ","7,112.00","7,210.00","7,081.00","7,293.95","7,170.00","7,165.95","7,156.19","7,419.00","3,551.25","6,19,338","4,43,20,97,408.20","96,212"
"16-Jan-2024","EQ","7,339.00","7,356.15","7,244.00","7,332.10","7,298.00","7,293.95","7,301.21","7,419.00","3,551.25","2,72,181","1,98,72,51,264.85","65,403"
"15-Jan-2024","EQ","7,364.00","7,419.00","7,304.05","7,301.95","7,335.00","7,332.10","7,342.90","7,419.00","3,551.25","4,40,410","3,23,38,85,369.20","90,088"
"12-Jan-2024","EQ","7,360.00","7,360.95","7,252.00","7,298.85","7,325.00","7,301.95","7,299.15","7,399.00","3,520.05","4,34,753","3,17,33,25,969.20","85,266"
"11-Jan-2024","EQ","7,090.00","7,324.90","7,075.00","7,053.75","7,295.00","7,298.85","7,238.27","7,399.00","3,520.05","10,31,594","7,46,69,59,252.55","1,90,984"
"10-Jan-2024","EQ","7,125.00","7,139.95","7,020.00","7,093.90","7,049.95","7,053.75","7,073.25","7,399.00","3,520.05","7,21,432","5,10,28,69,236.60","1,62,588"
"09-Jan-2024","EQ","7,341.00","7,399.00","7,075.90","6,983.85","7,107.00","7,093.90","7,165.81","7,399.00","3,520.05","21,25,908","15,23,38,44,589.85","2,91,287"
"08-Jan-2024","EQ","7,018.95","7,049.85","6,961.50","6,978.50","6,985.10","6,983.85","7,007.46","7,084.00","3,520.05","3,12,733","2,19,14,64,577.90","45,286"
"05-Jan-2024","EQ","6,950.00","7,084.00","6,920.50","6,922.15","6,995.90","6,978.50","6,986.79","7,084.00","3,520.05","6,59,306","4,60,64,31,869.15","63,692"
"04-Jan-2024","EQ","7,025.00","7,028.95","6,887.00","6,986.50","6,929.95","6,922.15","6,933.59","7,059.85","3,520.05","6,19,987","4,29,87,35,388.45","73,821"
"03-Jan-2024","EQ","6,644.05","7,059.85","6,604.00","6,665.05","6,968.00","6,986.50","6,901.14","7,059.85","3,520.05","12,56,275","8,66,97,32,704.05","97,744"
"02-Jan-2024","EQ","6,711.00","6,736.80","6,560.95","6,701.10","6,665.00","6,665.05","6,638.95","6,833.95","3,520.05","3,61,379","2,39,91,76,717.10","47,177"
"01-Jan-2024","EQ","6,770.00","6,795.50","6,682.05","6,797.25","6,698.00","6,701.10","6,730.96","6,833.95","3,520.05","2,53,274","1,70,47,77,926.10","31,844"
