"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","276.00","280.15","265.30","275.60","269.00","268.85","271.21","280.75","153.15","2,32,64,484","6,30,95,89,398.55","1,33,029"
"22-Feb-2024","EQ","275.25","276.95","270.15","275.10","275.55","275.60","273.35","280.75","153.15","1,18,71,556","3,24,50,61,469.15","73,548"
"21-Feb-2024","EQ","273.50","279.50","273.00","273.25","275.30","275.10","276.22","280.75","153.15","1,96,24,058","5,42,05,09,316.80","1,36,308"
"20-Feb-2024","EQ","270.10","274.80","269.75","270.70","273.50","273.25","272.50","280.75","153.15","1,40,06,722","3,81,68,76,693.95","83,668"
"19-Feb-2024","EQ","275.65","277.00","269.75","275.65","271.35","270.70","273.18","280.75","153.15","1,40,06,706","3,82,63,43,739.55","83,592"
"16-Feb-2024","EQ","276.10","280.75","274.55","275.70","275.40","275.65","277.99","280.75","153.15","2,06,66,587","5,74,51,46,812.65","1,29,288"
"15-Feb-2024","EQ","269.90","277.00","269.05","267.80","275.10","275.70","274.07","277.00","153.15","3,22,54,489","8,83,99,07,379.05","1,58,913"
"14-Feb-2024","EQ","255.10","271.00","252.35","259.60","269.85","267.80","261.63","271.00","153.15","3,00,63,655","7,86,55,15,154.40","1,76,381"
"13-Feb-2024","EQ","254.70","260.50","249.20","254.70","258.70","259.60","255.66","267.40","153.15","1,89,22,366","4,83,76,91,093.75","1,34,941"
"12-Feb-2024","EQ","266.10","267.40","253.05","263.50","254.40","254.70","260.41","267.40","153.15","2,66,20,786","6,93,22,03,945.75","1,41,605"
"09-Feb-2024","EQ","253.35","266.50","247.50","253.10","265.85","263.50","258.10","266.50","153.15","4,62,01,039","11,92,43,65,925.00","2,13,471"
"08-Feb-2024","EQ","248.00","256.30","247.05","244.65","253.50","253.10","252.31","262.50","153.15","3,36,45,402","8,48,89,72,469.80","1,89,246"
"07-Feb-2024","EQ","252.90","252.90","242.65","250.30","246.50","244.65","246.95","262.50","153.15","5,56,56,306","13,74,41,36,893.85","3,54,213"
"06-Feb-2024","EQ","258.00","258.30","246.20","257.45","251.40","250.30","250.27","262.50","153.15","1,75,06,394","4,38,13,70,542.20","1,10,796"
"05-Feb-2024","EQ","257.65","262.50","255.75","255.25","257.30","257.45","259.52","262.50","153.15","2,12,83,536","5,52,35,84,094.50","1,58,127"
"02-Feb-2024","EQ","259.30","261.00","254.50","255.95","255.00","255.25","257.92","261.00","146.50","2,99,46,219","7,72,37,63,025.00","1,55,168"
"01-Feb-2024","EQ","250.00","257.45","243.00","247.60","256.50","255.95","250.98","257.45","146.50","4,37,49,140","10,97,99,68,357.15","2,12,145"
"31-Jan-2024","EQ","238.90","250.00","232.05","237.45","248.20","247.60","243.21","250.00","146.50","6,37,50,711","15,50,46,25,368.05","2,65,308"
"30-Jan-2024","EQ","235.00","242.40","233.80","234.25","237.35","237.45","238.44","242.40","146.50","2,26,12,702","5,39,17,40,084.00","1,16,301"
"29-Jan-2024","EQ","227.65","235.75","227.65","227.05","234.40","234.25","233.15","240.10","146.50","2,06,41,625","4,81,25,08,254.55","1,12,034"
"25-Jan-2024","EQ","228.00","231.35","223.30","228.65","227.20","227.05","226.72","240.10","146.50","2,04,73,287","4,64,17,51,311.20","1,28,734"
"24-Jan-2024","EQ","223.00","229.00","219.65","222.40","228.25","228.65","225.99","240.10","146.50","3,62,36,660","8,18,90,46,193.80","1,14,276"
"23-Jan-2024","EQ","234.00","235.75","221.45","232.50","223.30","222.40","225.34","240.10","146.50","3,69,26,359","8,32,10,84,182.30","1,61,383"
"20-Jan-2024","EQ","230.70","233.50","228.00","230.65","233.30","232.50","231.19","240.10","146.50","1,04,82,470","2,42,34,82,992.55","65,494"
"19-Jan-2024","EQ","229.55","231.50","228.50","227.70","230.70","230.65","229.97","240.10","146.50","94,45,978","2,17,23,24,317.40","66,105"
"18-Jan-2024","EQ","224.95","230.20","222.00","225.50","228.50","227.70","226.87","240.10","146.50","1,62,24,153","3,68,08,21,242.25","1,10,866"
"17-Jan-2024","EQ","229.00","233.20","224.55","231.25","225.85","225.50","228.68","240.10","146.50","3,40,99,113","7,79,78,09,436.10","1,75,832"
"16-Jan-2024","EQ","231.10","234.25","229.40","231.10","231.50","231.25","232.14","240.10","146.50","1,39,77,706","3,24,47,52,070.15","72,571"
"15-Jan-2024","EQ","230.70","233.25","228.65","229.90","231.20","231.10","230.68","240.10","146.50","1,26,78,381","2,92,46,29,742.00","90,306"
"12-Jan-2024","EQ","226.90","232.25","225.25","226.05","229.90","229.90","229.72","240.10","146.50","1,76,00,195","4,04,31,25,840.05","86,293"
"11-Jan-2024","EQ","225.00","227.40","224.00","223.85","226.00","226.05","225.63","240.10","146.50","1,12,47,115","2,53,76,85,337.15","64,251"
"10-Jan-2024","EQ","223.30","225.00","219.45","223.20","223.95","223.85","222.63","240.10","146.50","1,35,03,894","3,00,63,15,847.85","80,113"
"09-Jan-2024","EQ","227.00","227.35","222.70","223.45","223.30","223.20","224.64","240.10","146.50","1,34,20,799","3,01,48,64,126.55","88,128"
"08-Jan-2024","EQ","231.50","231.50","222.70","234.65","225.10","223.45","226.03","240.10","146.50","2,76,73,291","6,25,48,87,780.30","1,94,134"
"05-Jan-2024","EQ","239.00","239.40","230.90","237.75","234.25","234.65","235.51","240.10","146.50","1,45,45,656","3,42,56,75,987.80","73,044"
"04-Jan-2024","EQ","233.05","240.10","232.90","232.85","238.05","237.75","237.16","240.10","146.50","1,46,98,523","3,48,59,13,241.40","1,00,211"
"03-Jan-2024","EQ","230.40","235.45","227.25","230.70","233.20","232.85","232.06","236.75","146.50","2,14,10,875","4,96,87,08,178.80","1,54,501"
"02-Jan-2024","EQ","233.70","235.80","228.85","233.75","230.85","230.70","232.24","236.75","146.50","1,28,03,886","2,97,35,76,044.90","66,034"
"01-Jan-2024","EQ","232.45","236.75","231.10","231.10","233.00","233.75","234.84","236.75","146.50","1,31,99,707","3,09,97,81,223.10","80,240"
"29-Dec-2023","EQ","233.10","233.65","229.35","232.95","230.85","231.10","230.94","235.95","146.50","1,10,51,281","2,55,22,19,388.75","65,916"
"28-Dec-2023","EQ","234.00","235.95","231.55","232.00","232.50","232.95","233.61","235.95","146.50","3,50,86,844","8,19,64,86,721.00","1,88,601"
"27-Dec-2023","EQ","226.00","233.75","225.15","225.35","232.20","232.00","231.27","233.75","146.50","2,78,61,855","6,44,34,87,689.60","1,61,054"
"26-Dec-2023","EQ","222.90","226.65","222.90","223.60","225.00","225.35","225.03","229.50","146.50","92,15,256","2,07,36,69,220.45","55,267"
"22-Dec-2023","EQ","225.00","226.75","221.40","224.85","223.60","223.60","224.57","229.50","146.50","1,14,69,899","2,57,58,29,971.95","71,985"
"21-Dec-2023","EQ","217.00","225.90","215.10","219.30","224.80","224.85","221.07","229.50","146.50","1,69,08,481","3,73,79,04,955.25","85,669"
"20-Dec-2023","EQ","227.45","229.50","217.15","226.10","218.80","219.30","223.47","229.50","146.50","2,46,08,319","5,49,93,12,715.65","1,26,407"
