"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","622.05","629.50","615.25","625.90","617.00","617.95","621.04","687.95","314.05","62,82,345","3,90,16,01,408.10","1,32,102"
"22-Feb-2024","EQ","629.00","630.85","610.85","633.20","626.00","625.90","619.61","687.95","314.05","1,38,26,790","8,56,72,26,082.20","3,38,743"
"21-Feb-2024","EQ","663.60","667.85","630.00","657.60","633.10","633.20","645.34","687.95","314.05","88,61,132","5,71,84,05,344.00","1,57,117"
"20-Feb-2024","EQ","652.55","664.00","637.25","652.55","663.60","657.60","648.17","687.95","314.05","1,04,56,755","6,77,77,61,992.90","2,22,345"
"19-Feb-2024","EQ","659.90","666.70","650.85","654.60","653.05","652.55","657.12","687.95","314.05","1,24,98,635","8,21,31,39,700.80","2,80,824"
"16-Feb-2024","EQ","666.00","687.95","651.90","652.75","652.90","654.60","669.47","687.95","314.05","2,78,72,405","18,65,97,40,265.90","4,27,214"
"15-Feb-2024","EQ","630.00","656.95","623.10","623.65","650.95","652.75","645.02","656.95","314.05","2,56,22,509","16,52,71,31,065.05","3,49,133"
"14-Feb-2024","EQ","582.00","629.35","582.00","584.30","626.95","623.65","609.65","635.35","314.05","2,39,93,681","14,62,77,69,552.95","2,84,691"
"13-Feb-2024","EQ","591.95","596.55","580.35","590.45","584.60","584.30","587.30","635.35","314.05","63,29,971","3,71,75,68,715.15","99,226"
"12-Feb-2024","EQ","614.80","618.60","583.75","614.30","590.40","590.45","594.62","635.35","314.05","85,21,118","5,06,67,94,837.95","1,37,059"
"09-Feb-2024","EQ","623.00","623.70","592.30","620.50","614.50","614.30","608.50","635.35","314.05","1,47,62,133","8,98,27,78,815.05","2,29,081"
"08-Feb-2024","EQ","608.00","635.35","606.40","602.05","622.20","620.50","623.00","635.35","314.05","1,87,61,294","11,68,82,26,253.00","3,03,198"
"07-Feb-2024","EQ","616.80","620.00","599.30","609.30","605.25","602.05","608.27","620.00","314.05","1,43,95,859","8,75,65,52,293.80","2,39,013"
"06-Feb-2024","EQ","579.95","614.70","570.70","574.75","610.50","609.30","596.53","614.70","314.05","2,26,30,328","13,49,95,58,039.40","3,09,309"
"05-Feb-2024","EQ","566.00","588.80","557.05","558.35","575.90","574.75","577.87","588.80","314.05","2,25,12,945","13,00,96,45,400.85","3,14,905"
"02-Feb-2024","EQ","517.35","572.40","516.00","508.45","557.00","558.35","548.29","572.40","314.05","3,87,78,041","21,26,15,81,681.45","4,20,582"
"01-Feb-2024","EQ","504.55","515.30","499.10","502.35","509.00","508.45","508.23","517.85","314.05","70,04,099","3,55,96,59,687.05","1,17,471"
"31-Jan-2024","EQ","505.95","512.55","498.55","504.20","502.25","502.35","503.93","517.85","314.05","1,03,53,868","5,21,76,69,985.45","1,26,125"
"30-Jan-2024","EQ","496.85","517.85","493.15","492.65","502.70","504.20","509.47","517.85","314.05","2,21,35,938","11,27,75,25,997.70","2,50,134"
"29-Jan-2024","EQ","474.00","501.40","469.40","474.40","493.00","492.65","489.69","501.40","314.05","1,39,34,742","6,82,37,56,346.45","1,69,999"
"25-Jan-2024","EQ","477.20","488.35","471.00","477.15","474.40","474.40","479.12","488.50","314.05","1,06,73,337","5,11,38,18,989.25","1,32,280"
"24-Jan-2024","EQ","465.00","478.50","463.30","463.05","477.85","477.15","469.34","488.50","314.05","75,80,656","3,55,79,00,144.40","1,29,007"
"23-Jan-2024","EQ","488.50","488.50","460.10","483.10","464.15","463.05","470.66","488.50","314.05","92,09,775","4,33,47,18,640.70","1,27,143"
"20-Jan-2024","EQ","484.00","486.00","480.00","480.95","481.20","483.10","483.64","486.00","314.05","38,11,138","1,84,32,30,469.80","38,207"
"19-Jan-2024","EQ","476.00","485.00","474.05","473.20","480.40","480.95","479.66","485.00","314.05","64,86,928","3,11,15,02,227.80","93,715"
"18-Jan-2024","EQ","467.00","480.90","461.00","471.65","472.60","473.20","473.90","482.50","314.05","99,01,151","4,69,21,12,216.00","1,42,259"
"17-Jan-2024","EQ","472.00","477.15","466.15","472.85","472.80","471.65","472.92","482.50","314.05","1,12,14,642","5,30,36,55,338.20","1,40,843"
"16-Jan-2024","EQ","461.00","479.80","460.50","459.95","472.50","472.85","472.79","482.50","314.05","2,11,84,750","10,01,59,31,302.70","1,97,858"
"15-Jan-2024","EQ","460.00","463.50","455.65","458.25","460.50","459.95","459.97","482.50","314.05","52,04,191","2,39,37,59,036.85","78,053"
"12-Jan-2024","EQ","459.00","461.10","455.10","458.70","458.00","458.25","458.07","482.50","314.05","59,95,406","2,74,63,10,220.05","68,907"
"11-Jan-2024","EQ","453.90","461.20","453.20","451.25","458.60","458.70","457.44","482.50","314.05","78,75,626","3,60,26,58,135.65","1,04,655"
"10-Jan-2024","EQ","455.20","456.15","445.10","459.95","451.10","451.25","448.89","482.50","314.05","76,30,996","3,42,54,39,860.65","1,11,865"
