"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","4,956.95","4,970.40","4,912.10","4,956.95","4,932.95","4,936.35","4,943.94","5,386.05","4,153.00","1,15,910","57,30,51,861.25","20,572"
"22-Feb-2024","EQ","4,924.95","4,968.00","4,860.00","4,923.00","4,957.00","4,956.95","4,913.93","5,386.05","4,153.00","2,55,308","1,25,45,66,728.05","58,131"
"21-Feb-2024","EQ","4,934.75","4,988.30","4,888.00","4,921.15","4,914.95","4,923.00","4,936.93","5,386.05","4,153.00","2,35,932","1,16,47,80,443.35","29,772"
"20-Feb-2024","EQ","4,910.15","4,934.00","4,879.10","4,925.25","4,930.00","4,921.15","4,905.85","5,386.05","4,153.00","1,29,279","63,42,22,935.80","25,308"
"19-Feb-2024","EQ","4,919.95","4,948.55","4,886.65","4,913.70","4,930.25","4,925.25","4,913.50","5,386.05","4,153.00","1,82,521","89,68,16,638.60","20,528"
"16-Feb-2024","EQ","4,954.00","4,970.55","4,894.75","4,950.55","4,922.00","4,913.70","4,918.93","5,386.05","4,153.00","3,52,139","1,73,21,46,088.75","31,741"
"15-Feb-2024","EQ","5,010.95","5,043.35","4,932.85","5,010.65","4,945.00","4,950.55","4,961.34","5,386.05","4,153.00","1,89,625","94,07,93,792.30","34,659"
"14-Feb-2024","EQ","4,967.55","5,025.00","4,950.00","4,981.60","5,010.00","5,010.65","4,977.61","5,386.05","4,153.00","2,77,479","1,38,11,82,139.05","28,357"
"13-Feb-2024","EQ","4,970.20","5,053.40","4,940.20","4,970.20","4,975.00","4,981.60","5,011.81","5,386.05","4,153.00","2,62,011","1,31,31,48,361.20","33,139"
"12-Feb-2024","EQ","4,971.50","4,997.95","4,940.75","4,971.50","4,978.50","4,970.20","4,964.20","5,386.05","4,153.00","1,58,487","78,67,61,928.85","18,873"
"09-Feb-2024","EQ","4,875.55","4,978.05","4,860.05","4,875.55","4,967.00","4,971.50","4,926.51","5,386.05","4,153.00","4,11,953","2,02,94,89,904.35","49,968"
"08-Feb-2024","EQ","5,101.00","5,122.40","4,833.15","5,078.25","4,917.90","4,875.55","4,923.22","5,386.05","4,153.00","6,23,680","3,07,05,15,177.30","1,08,686"
"07-Feb-2024","EQ","5,140.00","5,183.90","4,925.00","5,007.05","5,085.00","5,078.25","5,068.80","5,386.05","4,153.00","12,58,830","6,38,07,51,899.30","1,21,397"
"06-Feb-2024","EQ","5,124.50","5,125.00","4,992.55","5,124.50","5,015.00","5,007.05","5,053.39","5,386.05","4,153.00","3,36,609","1,70,10,15,578.05","47,710"
"05-Feb-2024","EQ","5,169.90","5,239.75","5,078.50","5,148.85","5,110.00","5,124.50","5,144.86","5,386.05","4,153.00","2,31,620","1,19,16,53,381.00","31,189"
"02-Feb-2024","EQ","5,166.75","5,209.00","5,131.45","5,148.60","5,135.80","5,148.85","5,158.76","5,386.05","4,153.00","1,76,167","90,88,03,803.70","25,425"
"01-Feb-2024","EQ","5,196.05","5,201.95","5,127.10","5,198.40","5,144.00","5,148.60","5,158.38","5,386.05","4,153.00","3,44,394","1,77,65,16,602.25","45,461"
"31-Jan-2024","EQ","5,091.75","5,220.00","5,031.75","5,091.75","5,173.10","5,198.40","5,137.21","5,386.05","4,153.00","5,49,238","2,82,15,52,940.60","70,365"
"30-Jan-2024","EQ","5,163.30","5,192.90","5,081.00","5,136.90","5,097.15","5,091.75","5,123.44","5,386.05","4,153.00","1,46,422","75,01,84,643.70","23,905"
"29-Jan-2024","EQ","5,142.00","5,219.50","5,111.20","5,141.90","5,153.00","5,136.90","5,151.92","5,386.05","4,153.00","2,75,710","1,42,04,34,717.25","29,271"
"25-Jan-2024","EQ","5,150.00","5,236.55","5,106.10","5,142.25","5,130.15","5,141.90","5,156.12","5,386.05","4,153.00","3,42,129","1,76,40,57,569.40","38,207"
"24-Jan-2024","EQ","5,048.10","5,173.65","5,030.00","5,048.10","5,135.00","5,142.25","5,118.03","5,386.05","4,153.00","6,11,741","3,13,09,07,944.45","39,916"
"23-Jan-2024","EQ","5,166.40","5,189.85","4,925.90","5,166.40","5,030.70","5,048.10","5,035.25","5,386.05","4,153.00","4,91,135","2,47,29,85,851.55","55,801"
"20-Jan-2024","EQ","5,164.00","5,245.35","5,145.35","5,138.65","5,149.00","5,166.40","5,198.91","5,386.05","4,153.00","2,21,679","1,15,24,88,842.90","31,129"
"19-Jan-2024","EQ","5,029.00","5,169.65","5,012.30","5,015.15","5,142.35","5,138.65","5,110.84","5,386.05","4,153.00","3,29,252","1,68,27,54,584.30","41,510"
"18-Jan-2024","EQ","5,061.00","5,077.95","4,974.20","5,061.70","5,010.50","5,015.15","5,034.26","5,386.05","4,153.00","5,14,119","2,58,82,10,923.40","54,631"
"17-Jan-2024","EQ","5,115.05","5,135.25","5,055.00","5,130.60","5,059.60","5,061.70","5,083.81","5,386.05","4,153.00","2,70,672","1,37,60,45,620.70","30,493"
