"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","448.00","449.60","441.65","445.15","444.20","443.90","444.89","487.60","207.60","96,25,544","4,28,23,36,042.85","1,20,051"
"22-Feb-2024","EQ","438.00","448.00","427.95","432.95","448.00","445.15","438.29","487.60","207.60","2,20,83,710","9,67,91,52,126.35","2,25,146"
"21-Feb-2024","EQ","450.95","450.95","431.00","446.50","434.00","432.95","439.02","487.60","207.60","1,90,32,050","8,35,53,91,452.40","1,74,909"
"20-Feb-2024","EQ","457.95","457.95","441.00","461.00","447.80","446.50","447.02","487.60","207.60","2,78,99,165","12,47,15,13,433.15","2,97,302"
"19-Feb-2024","EQ","482.80","487.45","455.45","480.00","459.65","461.00","471.47","487.60","207.60","1,97,98,448","9,33,43,03,016.60","1,94,490"
"16-Feb-2024","EQ","482.40","487.60","477.50","476.85","479.55","480.00","481.76","487.60","207.60","1,45,13,583","6,99,21,34,358.05","1,75,331"
"15-Feb-2024","EQ","469.00","481.25","467.55","466.35","477.00","476.85","475.82","481.25","207.60","1,85,01,875","8,80,35,68,830.45","2,23,845"
"14-Feb-2024","EQ","451.65","468.00","443.00","452.35","467.40","466.35","458.89","468.60","207.60","1,85,92,696","8,53,19,62,165.90","2,59,795"
"13-Feb-2024","EQ","443.80","457.85","434.00","432.80","453.00","452.35","447.80","468.60","207.60","3,56,65,854","15,97,13,21,186.85","3,39,669"
"12-Feb-2024","EQ","457.00","457.45","430.05","456.20","434.30","432.80","438.52","468.60","207.60","1,94,72,346","8,53,90,35,376.15","2,40,171"
"09-Feb-2024","EQ","462.20","463.80","435.65","459.20","454.75","456.20","448.86","468.60","207.60","1,74,72,069","7,84,25,97,871.65","1,83,472"
"08-Feb-2024","EQ","454.80","468.60","450.00","452.65","461.00","459.20","459.95","468.60","207.60","1,87,90,158","8,64,26,25,354.75","2,35,740"
"07-Feb-2024","EQ","454.00","460.55","447.80","448.65","454.35","452.65","454.69","460.55","207.60","1,44,30,152","6,56,12,07,443.70","1,51,277"
"06-Feb-2024","EQ","444.80","451.00","437.25","440.25","447.20","448.65","442.93","451.00","207.60","1,33,86,526","5,92,93,17,276.60","1,34,044"
"05-Feb-2024","EQ","423.25","450.00","417.10","419.80","441.30","440.25","436.95","450.00","207.60","3,14,18,925","13,72,84,52,688.20","2,71,278"
"02-Feb-2024","EQ","410.80","422.90","409.65","406.70","417.30","419.80","417.30","422.90","207.60","2,51,77,075","10,50,63,60,725.95","1,92,430"
"01-Feb-2024","EQ","408.80","411.90","402.50","406.15","406.80","406.70","406.38","415.80","207.60","88,62,155","3,60,14,22,183.30","1,38,826"
"31-Jan-2024","EQ","405.05","409.15","400.40","402.55","406.00","406.15","405.67","415.80","207.60","2,37,50,822","9,63,49,01,873.25","1,24,780"
"30-Jan-2024","EQ","415.75","415.80","401.60","412.80","403.00","402.55","407.53","415.80","207.60","1,41,59,072","5,77,02,69,577.10","1,50,546"
"29-Jan-2024","EQ","392.90","414.70","391.50","389.40","413.55","412.80","405.13","414.70","207.60","2,71,49,058","10,99,89,53,910.10","2,28,719"
"25-Jan-2024","EQ","386.80","391.70","385.35","382.60","389.80","389.40","388.82","404.80","207.60","1,34,40,949","5,22,61,23,885.00","1,50,387"
"24-Jan-2024","EQ","379.80","387.80","374.25","375.30","385.00","382.60","380.97","404.80","207.60","2,29,38,994","8,73,89,73,775.55","1,61,892"
"23-Jan-2024","EQ","403.50","404.80","373.65","398.80","376.55","375.30","385.89","404.80","207.60","1,64,06,737","6,33,11,67,272.90","2,29,682"
"20-Jan-2024","EQ","386.50","401.50","384.45","383.25","399.00","398.80","397.26","401.50","207.60","2,61,21,433","10,37,71,05,642.95","1,63,943"
"19-Jan-2024","EQ","380.65","384.90","379.10","375.65","384.55","383.25","381.93","395.85","207.60","1,58,93,456","6,07,01,54,427.35","96,853"
"18-Jan-2024","EQ","380.80","382.55","368.00","379.65","376.80","375.65","375.80","395.85","207.60","1,24,93,835","4,69,52,30,658.70","1,25,801"
"17-Jan-2024","EQ","381.80","385.35","377.20","381.90","380.55","379.65","381.88","395.85","207.60","1,09,96,538","4,19,93,96,405.30","1,08,392"
"16-Jan-2024","EQ","385.40","386.95","377.05","384.65","382.50","381.90","382.40","395.85","207.60","1,01,65,133","3,88,71,12,344.25","93,849"
"15-Jan-2024","EQ","382.50","387.90","381.40","381.10","384.80","384.65","384.37","395.85","207.60","74,90,747","2,87,92,34,841.25","86,665"
"12-Jan-2024","EQ","385.80","385.80","379.55","384.35","381.80","381.10","381.46","395.85","207.60","74,71,050","2,84,99,05,081.15","79,662"
"11-Jan-2024","EQ","385.50","388.90","383.30","382.05","384.35","384.35","385.49","395.85","207.60","91,63,771","3,53,25,56,169.85","1,19,917"
"10-Jan-2024","EQ","385.85","385.85","375.85","385.35","383.00","382.05","379.70","395.85","207.60","96,70,366","3,67,18,19,509.55","1,23,299"
"09-Jan-2024","EQ","383.65","387.95","382.10","380.40","385.50","385.35","385.25","395.85","207.60","94,73,743","3,64,97,22,684.55","1,23,121"
"08-Jan-2024","EQ","386.45","388.65","379.25","384.25","381.80","380.40","382.32","395.85","207.60","94,24,716","3,60,32,45,685.00","1,04,985"
