"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","3,645.40","3,669.05","3,626.85","3,645.40","3,640.00","3,648.10","3,651.70","4,074.40","2,730.00","3,26,640","1,19,27,92,245.50","24,136"
"22-Feb-2024","EQ","3,659.70","3,659.70","3,597.05","3,649.10","3,644.20","3,645.40","3,625.39","4,074.40","2,730.00","4,85,941","1,76,17,28,065.20","84,754"
"21-Feb-2024","EQ","3,708.05","3,739.70","3,637.20","3,712.75","3,641.00","3,649.10","3,670.05","4,074.40","2,730.00","3,86,150","1,41,71,88,649.00","54,058"
"20-Feb-2024","EQ","3,723.00","3,739.00","3,675.20","3,723.45","3,712.50","3,712.75","3,702.13","4,074.40","2,730.00","3,28,713","1,21,69,38,353.80","44,631"
"19-Feb-2024","EQ","3,730.00","3,763.25","3,715.70","3,729.20","3,726.00","3,723.45","3,735.29","4,074.40","2,730.00","2,17,681","81,31,02,410.60","23,047"
"16-Feb-2024","EQ","3,708.70","3,778.90","3,708.00","3,708.85","3,732.00","3,729.20","3,744.36","4,074.40","2,730.00","6,25,808","2,34,32,51,049.65","40,037"
"15-Feb-2024","EQ","3,729.70","3,745.00","3,696.55","3,719.65","3,705.00","3,708.85","3,715.41","4,074.40","2,730.00","2,88,401","1,07,15,26,963.30","39,321"
"14-Feb-2024","EQ","3,690.00","3,728.65","3,632.05","3,700.45","3,724.25","3,719.65","3,677.92","4,074.40","2,730.00","4,52,222","1,66,32,36,455.40","38,003"
"13-Feb-2024","EQ","3,740.15","3,832.80","3,687.00","3,740.15","3,700.00","3,700.45","3,755.63","4,074.40","2,730.00","8,14,115","3,05,75,11,985.60","87,474"
"12-Feb-2024","EQ","3,650.00","3,818.60","3,645.70","3,652.30","3,735.50","3,740.15","3,763.44","4,074.40","2,730.00","13,03,179","4,90,44,42,262.25","1,25,052"
"09-Feb-2024","EQ","3,697.50","3,697.50","3,613.50","3,684.40","3,655.00","3,652.30","3,648.82","4,074.40","2,730.00","4,15,749","1,51,69,94,753.25","47,153"
"08-Feb-2024","EQ","3,745.95","3,765.00","3,660.40","3,731.80","3,687.70","3,684.40","3,694.76","4,074.40","2,730.00","3,99,402","1,47,56,96,265.40","71,578"
"07-Feb-2024","EQ","3,739.95","3,771.00","3,702.20","3,726.50","3,739.90","3,731.80","3,733.89","4,074.40","2,730.00","2,26,715","84,65,28,820.35","39,414"
"06-Feb-2024","EQ","3,698.00","3,744.40","3,689.90","3,699.50","3,729.00","3,726.50","3,727.63","4,074.40","2,730.00","2,76,514","1,03,07,41,761.45","38,297"
"05-Feb-2024","EQ","3,699.40","3,742.00","3,664.55","3,699.40","3,700.00","3,699.50","3,703.35","4,074.40","2,730.00","5,18,516","1,92,02,47,680.10","38,439"
"02-Feb-2024","EQ","3,665.00","3,744.70","3,665.00","3,655.40","3,700.00","3,699.40","3,706.62","4,074.40","2,730.00","4,23,758","1,57,07,10,640.90","53,073"
"01-Feb-2024","EQ","3,696.00","3,696.00","3,636.05","3,670.60","3,655.00","3,655.40","3,655.33","4,074.40","2,730.00","3,93,645","1,43,89,02,386.60","62,675"
"31-Jan-2024","EQ","3,585.00","3,680.90","3,560.05","3,551.70","3,658.00","3,670.60","3,630.82","4,074.40","2,730.00","8,40,784","3,05,27,32,141.45","86,561"
"30-Jan-2024","EQ","3,574.95","3,619.35","3,540.30","3,570.60","3,560.00","3,551.70","3,587.44","4,074.40","2,730.00","10,52,177","3,77,46,19,746.85","75,834"
"29-Jan-2024","EQ","3,578.00","3,586.00","3,550.10","3,578.90","3,572.00","3,570.60","3,572.42","4,074.40","2,730.00","7,65,970","2,73,63,69,315.75","57,414"
"25-Jan-2024","EQ","3,644.00","3,660.00","3,547.25","3,643.55","3,555.00","3,578.90","3,585.16","4,074.40","2,730.00","4,07,761","1,46,18,87,243.30","62,396"
"24-Jan-2024","EQ","3,650.00","3,671.95","3,609.00","3,615.35","3,639.20","3,643.55","3,645.02","4,074.40","2,730.00","3,77,660","1,37,65,77,142.65","35,939"
"23-Jan-2024","EQ","3,700.00","3,700.00","3,585.85","3,649.55","3,621.95","3,615.35","3,629.90","4,074.40","2,730.00","3,87,616","1,40,70,07,450.25","48,478"
"20-Jan-2024","EQ","3,720.00","3,727.65","3,637.05","3,693.80","3,656.00","3,649.55","3,677.18","4,074.40","2,730.00","1,13,402","41,69,99,244.80","16,382"
"19-Jan-2024","EQ","3,730.00","3,733.35","3,664.20","3,700.20","3,697.00","3,693.80","3,695.41","4,074.40","2,730.00","3,24,763","1,20,01,33,763.20","42,822"
"18-Jan-2024","EQ","3,728.80","3,756.55","3,585.00","3,728.80","3,705.00","3,700.20","3,666.59","4,074.40","2,730.00","6,51,966","2,39,04,91,061.90","77,560"
"17-Jan-2024","EQ","3,810.10","3,819.90","3,717.35","3,814.50","3,732.00","3,728.80","3,754.57","4,074.40","2,730.00","5,74,671","2,15,76,40,566.80","60,689"
"16-Jan-2024","EQ","3,909.60","3,926.35","3,800.40","3,909.60","3,827.00","3,814.50","3,840.78","4,074.40","2,730.00","4,83,779","1,85,80,88,480.50","63,848"
"15-Jan-2024","EQ","3,900.00","3,943.95","3,871.75","3,883.95","3,905.15","3,909.60","3,912.21","4,074.40","2,730.00","3,26,872","1,27,87,90,589.85","33,733"
"12-Jan-2024","EQ","3,911.95","3,925.20","3,860.50","3,905.20","3,891.40","3,883.95","3,886.41","4,074.40","2,730.00","2,91,344","1,13,22,82,176.25","28,443"
"11-Jan-2024","EQ","3,902.65","3,942.90","3,881.70","3,902.65","3,906.00","3,905.20","3,910.26","4,074.40","2,730.00","2,38,212","93,14,70,041.20","28,520"
"10-Jan-2024","EQ","3,984.65","4,016.90","3,877.55","3,984.65","3,904.95","3,902.65","3,924.94","4,074.40","2,730.00","3,51,976","1,38,14,85,368.10","39,318"
"09-Jan-2024","EQ","3,948.95","4,004.00","3,920.60","3,934.15","3,986.20","3,984.65","3,955.67","4,074.40","2,730.00","4,68,363","1,85,26,88,584.65","34,707"
"08-Jan-2024","EQ","3,999.00","4,025.35","3,910.45","4,014.75","3,934.00","3,934.15","3,945.23","4,074.40","2,730.00","4,03,753","1,59,28,97,693.10","37,659"
"05-Jan-2024","EQ","4,052.00","4,070.10","3,980.00","4,042.15","4,002.00","4,014.75","4,017.21","4,074.40","2,730.00","3,13,459","1,25,92,29,913.00","39,024"
"04-Jan-2024","EQ","4,050.00","4,074.40","3,973.20","4,030.60","4,048.55","4,042.15","4,036.08","4,074.40","2,730.00","4,85,788","1,96,06,81,532.05","65,237"
"03-Jan-2024","EQ","4,050.00","4,064.50","4,012.00","4,030.00","4,021.00","4,030.60","4,033.25","4,064.50","2,730.00","4,52,402","1,82,46,48,602.95","40,498"
"02-Jan-2024","EQ","3,925.00","4,052.10","3,905.20","3,915.90","4,037.00","4,030.00","4,017.13","4,052.10","2,730.00","13,86,959","5,57,16,00,858.05","1,13,596"
"01-Jan-2024","EQ","3,910.00","3,939.95","3,882.15","3,903.90","3,905.00","3,915.90","3,912.26","3,952.00","2,730.00","2,40,126","93,94,34,163.20","27,169"
"29-Dec-2023","EQ","3,949.00","3,949.00","3,896.35","3,939.95","3,908.20","3,903.90","3,916.45","3,952.00","2,730.00","2,62,845","1,02,94,18,013.65","28,205"
"28-Dec-2023","EQ","3,900.00","3,952.00","3,861.35","3,884.25","3,940.00","3,939.95","3,905.13","3,952.00","2,730.00","6,68,311","2,60,98,38,683.20","68,251"
"27-Dec-2023","EQ","3,894.00","3,917.00","3,845.50","3,863.50","3,887.50","3,884.25","3,883.10","3,934.70","2,730.00","5,98,775","2,32,51,06,076.50","62,418"
"26-Dec-2023","EQ","3,699.05","3,897.00","3,694.00","3,694.95","3,863.00","3,863.50","3,824.51","3,934.70","2,730.00","12,49,185","4,77,75,17,475.90","94,640"
"22-Dec-2023","EQ","3,650.00","3,762.90","3,643.95","3,632.70","3,699.05","3,694.95","3,713.67","3,934.70","2,730.00","8,98,967","3,33,84,64,639.40","80,697"
"21-Dec-2023","EQ","3,615.00","3,649.80","3,565.55","3,620.00","3,638.20","3,632.70","3,617.93","3,934.70","2,730.00","3,53,261","1,27,80,75,115.80","48,905"
"20-Dec-2023","EQ","3,752.00","3,752.00","3,604.80","3,723.90","3,614.10","3,620.00","3,685.35","3,934.70","2,730.00","3,46,170","1,27,57,58,276.65","44,168"
"19-Dec-2023","EQ","3,713.00","3,739.00","3,689.20","3,713.05","3,725.10","3,723.90","3,722.84","3,934.70","2,730.00","2,87,231","1,06,93,15,659.70","41,581"
"18-Dec-2023","EQ","3,690.00","3,773.95","3,687.25","3,697.05","3,710.45","3,713.05","3,733.50","3,934.70","2,730.00","4,57,133","1,70,67,07,144.60","58,074"
"15-Dec-2023","EQ","3,700.00","3,720.30","3,679.05","3,683.20","3,706.00","3,697.05","3,697.76","3,934.70","2,730.00","3,38,280","1,25,08,79,895.10","46,274"
