"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","2,234.00","2,236.70","2,182.60","2,201.20","2,190.00","2,194.40","2,200.25","2,244.00","1,527.05","16,46,510","3,62,27,25,783.50","1,29,910"
"22-Feb-2024","EQ","2,234.00","2,244.00","2,113.20","2,194.00","2,200.00","2,201.20","2,179.84","2,244.00","1,527.05","34,28,899","7,47,44,53,035.00","2,11,147"
"21-Feb-2024","EQ","2,200.00","2,222.00","2,180.05","2,192.25","2,197.00","2,194.00","2,203.31","2,222.00","1,527.05","7,65,529","1,68,66,98,429.70","59,806"
"20-Feb-2024","EQ","2,169.00","2,222.00","2,161.10","2,168.60","2,198.00","2,192.25","2,199.09","2,222.00","1,527.05","17,10,394","3,76,13,03,182.00","95,202"
"19-Feb-2024","EQ","2,107.45","2,190.00","2,102.20","2,105.65","2,170.65","2,168.60","2,163.15","2,199.00","1,527.05","11,67,037","2,52,44,79,575.85","69,082"
"16-Feb-2024","EQ","2,091.40","2,119.00","2,086.85","2,084.80","2,104.00","2,105.65","2,104.95","2,199.00","1,527.05","4,03,756","84,98,86,623.15","31,390"
"15-Feb-2024","EQ","2,085.70","2,103.65","2,072.80","2,079.80","2,085.00","2,084.80","2,086.34","2,199.00","1,527.05","5,06,068","1,05,58,31,955.25","42,681"
"14-Feb-2024","EQ","2,054.00","2,085.00","2,027.50","2,064.15","2,076.75","2,079.80","2,057.57","2,199.00","1,527.05","6,05,147","1,24,51,33,643.20","40,005"
"13-Feb-2024","EQ","2,173.90","2,173.90","2,053.95","2,147.35","2,068.55","2,064.15","2,088.00","2,199.00","1,527.05","9,85,312","2,05,73,35,417.95","52,336"
"12-Feb-2024","EQ","2,175.00","2,199.00","2,138.10","2,168.50","2,140.05","2,147.35","2,171.20","2,199.00","1,527.05","12,29,133","2,66,86,97,851.85","77,570"
"09-Feb-2024","EQ","2,057.25","2,182.00","2,046.90","2,057.30","2,179.05","2,168.50","2,131.53","2,182.05","1,527.05","20,10,089","4,28,45,61,832.15","1,07,624"
"08-Feb-2024","EQ","2,123.00","2,125.00","2,048.00","2,111.50","2,070.05","2,057.30","2,077.60","2,182.05","1,527.05","13,87,156","2,88,19,60,270.50","1,13,067"
"07-Feb-2024","EQ","2,079.00","2,120.00","2,063.00","2,066.00","2,115.20","2,111.50","2,100.52","2,182.05","1,527.05","11,33,609","2,38,11,73,537.60","62,758"
"06-Feb-2024","EQ","2,082.00","2,097.95","2,061.00","2,089.75","2,063.00","2,066.00","2,078.97","2,182.05","1,527.05","5,81,483","1,20,88,87,936.70","42,899"
"05-Feb-2024","EQ","2,130.10","2,147.30","2,081.00","2,139.45","2,084.00","2,089.75","2,116.22","2,182.05","1,527.05","9,49,717","2,00,98,14,233.65","35,494"
"02-Feb-2024","EQ","2,147.95","2,169.90","2,130.50","2,128.60","2,133.05","2,139.45","2,148.59","2,182.05","1,527.05","3,30,557","71,02,33,110.75","33,316"
