"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","577.20","583.35","575.75","574.65","580.80","580.70","580.67","710.60","457.80","25,61,028","1,48,71,04,557.90","66,487"
"22-Feb-2024","EQ","578.00","579.40","567.05","577.45","576.85","574.65","571.70","710.60","457.80","41,95,869","2,39,87,78,004.15","1,54,729"
"21-Feb-2024","EQ","587.95","591.25","574.50","587.95","577.80","577.45","584.15","710.60","457.80","33,21,288","1,94,01,14,298.65","64,454"
"20-Feb-2024","EQ","580.20","589.50","576.25","585.20","589.40","587.95","584.12","710.60","457.80","35,23,966","2,05,84,13,878.90","92,310"
"19-Feb-2024","EQ","594.30","594.30","584.40","592.45","585.60","585.20","587.25","710.60","457.80","27,85,107","1,63,55,54,368.70","61,606"
"16-Feb-2024","EQ","588.50","594.00","583.70","585.10","591.25","592.45","589.59","710.60","457.80","29,73,324","1,75,30,47,159.25","71,873"
"15-Feb-2024","EQ","586.85","589.35","582.00","585.35","586.10","585.10","586.06","710.60","457.80","17,37,411","1,01,82,31,054.75","77,582"
"14-Feb-2024","EQ","582.40","586.95","578.40","589.55","586.00","585.35","582.87","710.60","457.80","15,72,158","91,63,60,361.85","45,393"
"13-Feb-2024","EQ","577.25","594.00","574.70","577.20","589.10","589.55","588.00","710.60","457.80","50,11,128","2,94,65,33,553.00","1,34,391"
"12-Feb-2024","EQ","584.00","586.50","572.40","584.00","577.40","577.20","576.73","710.60","457.80","27,99,522","1,61,45,66,401.55","55,428"
"09-Feb-2024","EQ","591.70","594.15","582.25","591.70","585.00","584.00","585.82","710.60","457.80","24,53,771","1,43,74,63,692.40","64,214"
"08-Feb-2024","EQ","605.15","616.05","590.10","605.15","591.50","591.70","601.96","710.60","457.80","77,82,663","4,68,48,47,691.10","1,46,436"
"07-Feb-2024","EQ","597.00","614.00","596.00","592.75","606.00","605.15","606.89","710.60","457.80","75,60,296","4,58,82,79,783.20","2,11,360"
"06-Feb-2024","EQ","564.00","595.05","562.25","563.35","592.20","592.75","583.92","710.60","457.80","1,59,15,028","9,29,31,44,748.10","2,85,408"
"05-Feb-2024","EQ","578.80","581.95","561.55","578.80","563.30","563.35","570.71","710.60","457.80","37,50,294","2,14,03,19,128.50","1,05,988"
"02-Feb-2024","EQ","589.95","589.95","576.50","587.10","578.90","578.80","582.40","710.60","457.80","30,06,965","1,75,12,44,307.80","1,26,194"
"01-Feb-2024","EQ","577.20","591.40","567.20","576.60","586.00","587.10","582.39","710.60","457.80","89,11,872","5,19,01,48,404.55","1,56,426"
"31-Jan-2024","EQ","573.50","578.00","571.30","575.00","576.25","576.60","575.63","710.60","457.80","40,68,280","2,34,18,40,334.60","97,765"
"30-Jan-2024","EQ","583.00","583.60","571.55","578.55","574.50","575.00","576.45","710.60","457.80","58,95,638","3,39,85,29,108.00","1,89,655"
"29-Jan-2024","EQ","575.05","584.00","575.05","579.00","578.30","578.55","580.00","710.60","457.80","43,99,011","2,55,14,35,032.25","93,867"
"25-Jan-2024","EQ","584.15","586.55","577.30","581.65","578.30","579.00","580.65","710.60","457.80","37,25,167","2,16,30,11,568.30","1,02,148"
"24-Jan-2024","EQ","590.00","591.00","576.70","586.15","583.95","581.65","582.72","710.60","457.80","61,44,401","3,58,04,71,535.60","1,47,849"
"23-Jan-2024","EQ","600.25","613.75","582.80","608.00","585.60","586.15","597.50","710.60","457.80","59,94,679","3,58,17,97,732.90","2,54,445"
"20-Jan-2024","EQ","618.00","619.50","607.35","615.90","609.00","608.00","611.57","710.60","457.80","11,94,291","73,03,95,939.80","63,646"
"19-Jan-2024","EQ","614.50","618.40","609.80","607.80","616.00","615.90","615.44","710.60","457.80","25,63,065","1,57,74,12,755.65","1,17,616"
"18-Jan-2024","EQ","608.00","612.30","600.60","606.60","608.40","607.80","607.76","710.60","457.80","36,58,639","2,22,35,61,112.55","1,32,761"
"17-Jan-2024","EQ","611.00","618.50","605.10","611.25","607.75","606.60","613.84","710.60","457.80","1,01,83,042","6,25,07,63,041.75","1,32,592"
"16-Jan-2024","EQ","615.75","616.85","609.05","614.45","612.75","611.25","612.13","710.60","457.80","87,61,562","5,36,32,53,221.45","1,85,054"
