"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","4,535.00","4,604.95","4,485.10","4,495.15","4,503.00","4,519.25","4,538.83","4,949.05","2,246.00","8,19,122","3,71,78,58,797.80","70,767"
"22-Feb-2024","EQ","4,559.95","4,578.80","4,440.65","4,534.85","4,510.25","4,495.15","4,480.23","4,949.05","2,246.00","14,41,798","6,45,95,90,700.80","1,22,427"
"21-Feb-2024","EQ","4,594.65","4,619.95","4,508.00","4,663.35","4,540.00","4,534.85","4,567.18","4,949.05","2,246.00","11,12,050","5,07,89,28,967.55","1,01,736"
"20-Feb-2024","EQ","4,852.60","4,882.00","4,653.00","4,852.60","4,665.70","4,663.35","4,691.09","4,949.05","2,246.00","11,53,742","5,41,23,12,650.45","94,566"
"19-Feb-2024","EQ","4,928.95","4,944.00","4,843.85","4,894.30","4,854.00","4,852.60","4,891.63","4,949.05","2,246.00","5,24,294","2,56,46,53,733.60","45,377"
"16-Feb-2024","EQ","4,830.00","4,920.00","4,830.00","4,816.95","4,898.90","4,894.30","4,887.04","4,949.05","2,246.00","8,48,705","4,14,76,57,455.35","66,840"
"15-Feb-2024","EQ","4,830.20","4,854.80","4,787.05","4,814.05","4,802.50","4,816.95","4,815.53","4,949.05","2,246.00","5,30,347","2,55,39,04,462.05","57,990"
"14-Feb-2024","EQ","4,707.00","4,825.00","4,661.10","4,744.80","4,825.00","4,814.05","4,758.62","4,949.05","2,246.00","7,35,284","3,49,89,35,788.70","59,679"
"13-Feb-2024","EQ","4,728.00","4,829.85","4,706.30","4,687.50","4,748.00","4,744.80","4,767.60","4,949.05","2,246.00","9,38,269","4,47,32,87,388.35","95,106"
"12-Feb-2024","EQ","4,949.05","4,949.05","4,627.55","4,908.85","4,699.05","4,687.50","4,717.77","4,949.05","2,246.00","13,21,957","6,23,66,86,003.15","1,18,310"
"09-Feb-2024","EQ","4,840.00","4,924.00","4,792.10","4,807.90","4,905.00","4,908.85","4,859.75","4,924.00","2,246.00","7,18,094","3,48,97,54,763.00","63,301"
"08-Feb-2024","EQ","4,795.95","4,824.70","4,764.40","4,793.35","4,810.00","4,807.90","4,801.58","4,824.70","2,246.00","4,44,060","2,13,21,87,447.65","64,977"
"07-Feb-2024","EQ","4,790.00","4,817.25","4,730.15","4,783.45","4,795.00","4,793.35","4,780.41","4,817.25","2,246.00","2,65,821","1,27,07,34,391.80","39,731"
"06-Feb-2024","EQ","4,746.55","4,792.00","4,733.00","4,746.65","4,790.00","4,783.45","4,765.79","4,792.00","2,246.00","2,61,001","1,24,38,75,224.65","29,185"
"05-Feb-2024","EQ","4,720.00","4,774.35","4,700.00","4,717.30","4,734.75","4,746.65","4,746.91","4,774.35","2,246.00","4,25,966","2,02,20,24,242.35","40,945"
"02-Feb-2024","EQ","4,598.00","4,769.30","4,590.05","4,586.70","4,709.00","4,717.30","4,721.65","4,769.30","2,246.00","9,94,506","4,69,57,06,845.90","91,543"
"01-Feb-2024","EQ","4,621.70","4,717.85","4,575.00","4,621.55","4,585.00","4,586.70","4,630.29","4,717.85","2,246.00","6,60,378","3,05,77,39,566.25","75,618"
"31-Jan-2024","EQ","4,567.50","4,636.90","4,518.15","4,588.35","4,620.00","4,621.55","4,599.21","4,662.00","2,246.00","6,45,505","2,96,88,11,880.40","54,234"
"30-Jan-2024","EQ","4,627.00","4,662.00","4,580.05","4,593.50","4,585.00","4,588.35","4,626.08","4,662.00","2,246.00","7,09,726","3,28,32,47,052.00","46,863"
"29-Jan-2024","EQ","4,448.00","4,625.00","4,426.35","4,442.15","4,600.00","4,593.50","4,534.04","4,625.00","2,246.00","4,18,127","1,89,58,04,079.55","47,221"
"25-Jan-2024","EQ","4,448.85","4,480.05","4,378.50","4,433.65","4,424.50","4,442.15","4,432.31","4,560.00","2,246.00","6,64,356","2,94,46,31,430.85","92,995"
"24-Jan-2024","EQ","4,429.00","4,453.60","4,310.90","4,444.20","4,418.40","4,433.65","4,370.76","4,560.00","2,246.00","5,96,736","2,60,81,87,021.40","78,875"
"23-Jan-2024","EQ","4,401.65","4,560.00","4,401.65","4,401.65","4,432.85","4,444.20","4,496.38","4,560.00","2,246.00","13,99,043","6,29,06,24,983.75","1,22,553"
"20-Jan-2024","EQ","4,410.00","4,425.70","4,385.00","4,399.75","4,405.00","4,401.65","4,406.51","4,450.00","2,246.00","1,11,872","49,29,65,099.50","14,193"
"19-Jan-2024","EQ","4,395.00","4,440.85","4,374.00","4,394.00","4,395.00","4,399.75","4,400.36","4,450.00","2,246.00","3,83,901","1,68,93,01,624.65","42,202"
"18-Jan-2024","EQ","4,334.00","4,411.65","4,296.90","4,370.85","4,399.35","4,394.00","4,375.65","4,450.00","2,246.00","5,70,816","2,49,76,89,506.90","57,969"
