"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","524.70","524.80","517.00","521.15","518.05","518.35","519.85","620.50","381.00","64,45,580","3,35,07,42,898.10","1,19,577"
"22-Feb-2024","EQ","516.30","522.15","514.25","511.80","521.30","521.15","518.70","620.50","381.00","87,27,844","4,52,71,28,927.15","1,88,509"
"21-Feb-2024","EQ","535.00","538.00","510.00","511.60","511.30","511.80","520.22","620.50","381.00","1,81,06,978","9,41,96,21,351.50","2,26,967"
"20-Feb-2024","EQ","512.60","515.90","507.15","512.30","512.00","511.60","511.30","620.50","381.00","51,86,970","2,65,20,90,798.10","85,340"
"19-Feb-2024","EQ","518.75","518.90","511.80","515.70","512.90","512.30","514.47","620.50","381.00","55,80,597","2,87,10,33,613.90","74,441"
"16-Feb-2024","EQ","519.95","519.95","510.95","513.20","514.95","515.70","515.09","620.50","381.00","1,20,66,565","6,21,53,58,981.80","1,56,956"
"15-Feb-2024","EQ","512.70","518.50","507.60","507.80","513.00","513.20","513.28","620.50","381.00","1,33,03,658","6,82,85,50,995.50","2,21,700"
"14-Feb-2024","EQ","515.00","516.90","503.15","510.10","508.40","507.80","508.33","620.50","381.00","1,66,34,538","8,45,58,22,664.75","2,81,070"
"13-Feb-2024","EQ","539.00","540.00","496.35","582.45","509.45","510.10","508.08","620.50","381.00","4,61,00,123","23,42,23,70,482.60","5,65,677"
"12-Feb-2024","EQ","591.90","601.80","579.75","591.30","583.90","582.45","589.32","620.50","381.00","45,95,403","2,70,81,73,033.75","94,933"
"09-Feb-2024","EQ","601.00","602.00","576.30","601.30","592.40","591.30","587.44","620.50","381.00","51,05,348","2,99,90,92,455.45","1,18,623"
"08-Feb-2024","EQ","592.00","608.95","587.85","592.25","602.50","601.30","602.49","620.50","381.00","1,18,44,758","7,13,62,96,299.75","2,22,170"
"07-Feb-2024","EQ","590.40","602.15","584.65","584.90","587.40","592.25","592.73","620.50","381.00","94,15,146","5,58,06,31,103.25","1,34,429"
