"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","2,388.55","2,405.50","2,383.95","2,388.10","2,405.00","2,394.10","2,394.37","2,769.65","2,346.75","12,10,775","2,89,90,47,157.50","90,162"
"22-Feb-2024","EQ","2,420.30","2,420.30","2,365.75","2,407.10","2,389.00","2,388.10","2,381.29","2,769.65","2,346.75","22,58,516","5,37,81,72,061.65","1,52,958"
"21-Feb-2024","EQ","2,404.10","2,422.80","2,394.10","2,404.10","2,404.00","2,407.10","2,409.90","2,769.65","2,346.75","11,27,778","2,71,78,31,675.45","88,657"
"20-Feb-2024","EQ","2,370.10","2,408.45","2,368.20","2,387.15","2,406.90","2,404.10","2,388.27","2,769.65","2,346.75","10,32,995","2,46,70,74,452.30","92,611"
"19-Feb-2024","EQ","2,389.50","2,394.95","2,373.80","2,375.25","2,388.50","2,387.15","2,386.82","2,769.65","2,346.75","5,76,683","1,37,64,35,905.90","58,634"
"16-Feb-2024","EQ","2,369.95","2,382.00","2,357.60","2,350.85","2,381.00","2,375.25","2,365.69","2,769.65","2,346.75","23,63,302","5,59,08,30,509.60","85,689"
"15-Feb-2024","EQ","2,368.35","2,384.70","2,346.75","2,387.95","2,357.00","2,350.85","2,361.72","2,769.65","2,346.75","25,53,695","6,03,11,12,949.60","1,64,685"
"14-Feb-2024","EQ","2,385.00","2,394.00","2,370.00","2,394.00","2,389.30","2,387.95","2,379.00","2,769.65","2,365.45","13,97,975","3,32,57,82,724.00","1,03,781"
"13-Feb-2024","EQ","2,390.00","2,400.95","2,380.10","2,385.65","2,390.05","2,394.00","2,393.64","2,769.65","2,365.45","9,57,865","2,29,27,83,577.65","92,342"
"12-Feb-2024","EQ","2,424.10","2,429.85","2,382.00","2,424.15","2,386.60","2,385.65","2,395.71","2,769.65","2,365.45","12,92,460","3,09,63,58,605.90","88,696"
"09-Feb-2024","EQ","2,417.05","2,428.45","2,406.10","2,417.05","2,425.00","2,424.15","2,423.02","2,769.65","2,365.45","8,86,474","2,14,79,46,557.10","86,721"
"08-Feb-2024","EQ","2,441.80","2,441.80","2,399.00","2,425.45","2,414.00","2,417.05","2,409.70","2,769.65","2,365.45","17,58,661","4,23,78,47,404.95","1,31,018"
"07-Feb-2024","EQ","2,439.90","2,439.90","2,411.55","2,426.35","2,427.85","2,425.45","2,424.03","2,769.65","2,365.45","11,49,076","2,78,53,92,080.35","88,372"
"06-Feb-2024","EQ","2,424.95","2,441.35","2,418.05","2,419.50","2,429.00","2,426.35","2,426.07","2,769.65","2,365.45","15,57,511","3,77,86,37,422.15","1,03,256"
"05-Feb-2024","EQ","2,464.00","2,464.75","2,412.75","2,452.60","2,421.65","2,419.50","2,435.52","2,769.65","2,365.45","13,15,445","3,20,37,97,236.95","99,141"
"02-Feb-2024","EQ","2,477.00","2,486.90","2,442.00","2,473.60","2,452.00","2,452.60","2,463.32","2,769.65","2,365.45","19,56,115","4,81,85,33,737.50","1,18,738"
"01-Feb-2024","EQ","2,475.10","2,511.55","2,468.35","2,481.55","2,471.60","2,473.60","2,487.83","2,769.65","2,365.45","17,27,534","4,29,78,13,208.25","1,16,546"
"31-Jan-2024","EQ","2,450.00","2,485.90","2,441.75","2,458.65","2,475.00","2,481.55","2,467.19","2,769.65","2,365.45","14,45,004","3,56,51,03,866.60","1,09,960"
"30-Jan-2024","EQ","2,454.00","2,494.55","2,447.30","2,444.40","2,454.90","2,458.65","2,477.15","2,769.65","2,365.45","17,93,711","4,44,32,90,603.10","85,849"
"29-Jan-2024","EQ","2,410.00","2,449.00","2,410.00","2,428.30","2,440.00","2,444.40","2,438.06","2,769.65","2,365.45","15,87,091","3,86,94,30,264.85","1,43,815"
"25-Jan-2024","EQ","2,454.80","2,468.00","2,420.20","2,441.65","2,440.00","2,428.30","2,444.75","2,769.65","2,365.45","23,64,765","5,78,12,60,063.00","1,47,190"
"24-Jan-2024","EQ","2,388.00","2,445.90","2,367.15","2,375.55","2,445.00","2,441.65","2,419.24","2,769.65","2,365.45","15,51,469","3,75,33,79,756.35","1,38,529"
