"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","16.70","18.40","16.70","16.30","17.55","17.55","17.69","18.40","5.70","1,78,36,86,268","31,55,79,29,380.25","6,19,720"
"22-Feb-2024","EQ","15.50","16.40","15.05","15.35","16.35","16.30","15.83","18.40","5.70","43,96,02,456","6,96,08,83,863.35","2,10,597"
"21-Feb-2024","EQ","16.15","16.30","15.20","15.95","15.35","15.35","15.72","18.40","5.70","34,54,91,167","5,43,03,87,359.15","1,63,713"
"20-Feb-2024","EQ","16.05","16.45","15.85","16.00","15.95","15.95","16.15","18.40","5.70","27,66,25,199","4,46,74,95,520.35","1,74,294"
"19-Feb-2024","EQ","15.95","16.35","15.85","15.90","16.05","16.00","16.08","18.40","5.70","22,83,40,831","3,67,09,73,830.00","1,91,690"
"16-Feb-2024","EQ","16.00","16.60","15.80","15.95","15.85","15.90","16.17","18.40","5.70","35,76,36,454","5,78,26,44,936.25","2,20,606"
"15-Feb-2024","EQ","15.65","16.30","15.55","15.55","15.95","15.95","15.96","18.40","5.70","39,29,01,140","6,26,98,65,102.20","2,52,694"
"14-Feb-2024","EQ","14.50","15.75","14.40","14.70","15.50","15.55","15.38","18.40","5.70","51,13,65,442","7,86,22,80,152.40","1,80,849"
"13-Feb-2024","EQ","14.55","14.90","14.10","14.45","14.70","14.70","14.52","18.40","5.70","33,42,47,397","4,85,16,56,991.80","1,09,724"
"12-Feb-2024","EQ","15.65","15.70","14.30","15.50","14.45","14.45","14.97","18.40","5.70","40,71,65,198","6,09,42,25,717.55","1,45,795"
"09-Feb-2024","EQ","14.90","15.65","14.40","14.80","15.60","15.50","15.12","18.40","5.70","54,79,88,511","8,28,48,44,028.35","1,64,147"
"08-Feb-2024","EQ","15.15","15.15","14.65","15.00","14.85","14.80","14.88","18.40","5.70","30,54,62,395","4,54,64,54,601.50","1,29,270"
"07-Feb-2024","EQ","14.50","15.45","14.25","14.25","14.90","15.00","14.81","18.40","5.70","54,18,41,723","8,02,28,23,283.65","1,81,787"
"06-Feb-2024","EQ","13.75","14.45","13.60","13.75","14.35","14.25","14.13","18.40","5.70","31,75,94,254","4,48,89,55,177.25","1,28,321"
"05-Feb-2024","EQ","14.10","14.20","13.65","14.05","13.70","13.75","13.91","18.40","5.70","18,92,36,646","2,63,25,66,099.60","1,29,645"
"02-Feb-2024","EQ","14.30","14.70","14.00","14.15","14.10","14.05","14.33","18.40","5.70","24,45,12,271","3,50,32,89,108.20","1,27,354"
"01-Feb-2024","EQ","14.40","14.50","13.95","14.35","14.20","14.15","14.21","18.40","5.70","20,68,26,304","2,93,83,75,576.10","1,32,753"
"31-Jan-2024","EQ","14.50","14.55","14.20","14.50","14.30","14.35","14.36","18.40","5.70","17,62,08,047","2,53,00,40,863.30","1,04,976"
"30-Jan-2024","EQ","14.75","14.90","14.30","14.70","14.50","14.50","14.58","18.40","5.70","23,32,65,787","3,40,08,32,672.55","1,02,312"
