"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","179.70","180.70","175.05","179.70","175.60","175.85","176.59","196.80","75.75","3,13,42,100","5,53,47,37,158.45","1,59,146"
"22-Feb-2024","EQ","181.50","181.50","175.40","182.30","180.20","179.70","178.21","196.80","75.75","3,96,18,423","7,06,05,63,147.80","1,85,687"
"21-Feb-2024","EQ","189.60","190.70","181.10","188.75","182.60","182.30","185.62","196.80","75.75","2,21,31,487","4,10,80,27,447.45","1,05,537"
"20-Feb-2024","EQ","187.50","189.70","183.80","188.50","189.10","188.75","186.93","196.80","75.75","3,49,36,800","6,53,08,07,471.45","1,23,947"
"19-Feb-2024","EQ","188.60","190.90","186.40","187.00","188.70","188.50","188.97","196.80","75.75","3,06,64,067","5,79,47,14,647.10","1,39,442"
"16-Feb-2024","EQ","190.00","194.10","186.15","189.85","186.70","187.00","189.98","196.80","75.75","5,40,56,644","10,26,94,80,768.65","2,19,865"
"15-Feb-2024","EQ","185.00","191.35","183.50","183.55","189.45","189.85","188.87","196.80","75.75","7,06,78,699","13,34,87,38,749.05","2,43,621"
"14-Feb-2024","EQ","173.00","184.35","170.90","174.45","183.60","183.55","179.39","196.80","75.75","5,27,64,452","9,46,52,66,629.80","2,17,317"
"13-Feb-2024","EQ","174.95","177.45","172.35","175.40","174.55","174.45","174.72","196.80","75.75","3,71,21,416","6,48,58,79,270.70","1,42,432"
"12-Feb-2024","EQ","182.50","184.35","173.15","182.50","175.30","175.40","177.36","196.80","75.75","5,40,71,070","9,59,00,75,765.20","2,22,478"
"09-Feb-2024","EQ","193.40","193.85","177.75","192.40","182.20","182.50","183.03","196.80","75.75","8,41,37,345","15,39,94,44,979.20","3,67,320"
"08-Feb-2024","EQ","187.90","196.80","186.75","186.45","192.75","192.40","191.68","196.80","75.75","8,31,03,687","15,92,94,07,877.95","3,20,989"
"07-Feb-2024","EQ","188.20","192.65","185.05","184.50","186.60","186.45","187.90","192.65","75.75","8,28,90,137","15,57,54,58,061.45","3,70,387"
"06-Feb-2024","EQ","176.55","186.00","171.35","173.95","184.95","184.50","180.15","186.00","75.75","9,70,77,698","17,48,88,86,522.60","3,96,335"
"05-Feb-2024","EQ","167.95","177.20","164.70","162.90","175.00","173.95","173.16","177.20","75.75","10,10,43,319","17,49,63,35,175.30","4,25,952"
"02-Feb-2024","EQ","151.90","166.80","151.05","149.75","163.25","162.90","159.67","166.80","75.75","9,46,75,914","15,11,73,14,021.80","3,67,734"
"01-Feb-2024","EQ","148.50","150.70","147.05","146.95","149.90","149.75","148.95","152.20","75.75","2,78,83,335","4,15,33,61,366.20","1,41,281"
"31-Jan-2024","EQ","147.80","150.10","146.10","147.70","147.25","146.95","147.61","152.20","75.75","2,73,93,172","4,04,34,24,444.95","1,03,794"
"30-Jan-2024","EQ","148.40","152.20","146.50","146.70","148.10","147.70","149.56","152.20","75.75","4,13,78,967","6,18,85,06,196.40","1,54,907"
"29-Jan-2024","EQ","143.70","148.40","143.50","143.70","147.05","146.70","146.47","151.80","75.75","2,84,20,760","4,16,29,27,770.45","1,19,631"
"25-Jan-2024","EQ","145.90","145.90","142.00","143.45","143.10","143.70","143.57","151.80","75.75","3,82,52,600","5,49,20,91,149.90","1,31,137"
"24-Jan-2024","EQ","138.95","145.25","138.05","138.95","144.20","143.45","142.00","151.80","75.75","4,01,22,151","5,69,73,66,180.30","1,48,896"
"23-Jan-2024","EQ","151.50","151.80","137.85","148.05","139.60","138.95","142.64","151.80","75.75","3,81,67,576","5,44,43,04,475.65","1,54,148"
"20-Jan-2024","EQ","149.90","150.40","147.60","148.65","148.45","148.05","149.25","150.40","75.75","1,64,29,974","2,45,21,74,142.90","78,321"
"19-Jan-2024","EQ","145.10","149.30","143.80","144.50","148.65","148.65","146.52","149.30","75.75","2,39,70,656","3,51,22,26,677.65","98,878"
"18-Jan-2024","EQ","143.80","145.65","139.90","144.10","144.30","144.50","143.73","145.65","75.75","2,69,58,686","3,87,47,24,743.45","1,00,010"
"17-Jan-2024","EQ","143.00","145.40","141.55","143.60","144.40","144.10","144.17","145.40","75.75","4,30,31,636","6,20,40,43,720.60","1,42,139"
