"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","153.70","156.40","152.70","152.20","153.10","153.20","154.50","192.80","25.40","3,44,25,812","5,31,88,71,724.55","1,83,364"
"22-Feb-2024","EQ","154.10","155.85","149.20","154.20","152.70","152.20","152.18","192.80","25.40","3,93,15,419","5,98,29,21,738.35","2,07,677"
"21-Feb-2024","EQ","158.85","160.40","153.40","158.50","154.65","154.20","156.46","192.80","25.40","3,57,06,625","5,58,66,18,928.35","2,17,052"
"20-Feb-2024","EQ","159.65","160.75","157.15","158.65","157.95","158.50","158.70","192.80","25.40","3,59,87,220","5,71,10,35,028.35","1,97,796"
"19-Feb-2024","EQ","156.00","164.35","154.35","155.45","158.80","158.65","160.74","192.80","25.40","8,74,23,359","14,05,27,92,021.20","3,99,795"
"16-Feb-2024","EQ","159.75","161.40","155.00","158.90","155.65","155.45","156.77","192.80","25.40","4,19,02,227","6,56,89,68,497.55","2,39,909"
"15-Feb-2024","EQ","156.30","161.50","154.90","154.30","158.30","158.90","159.18","192.80","25.40","7,70,35,160","12,26,21,65,804.40","3,52,476"
"14-Feb-2024","EQ","153.40","157.40","145.50","153.45","154.10","154.30","152.71","192.80","25.40","15,28,49,830","23,34,11,25,012.35","6,02,539"
"13-Feb-2024","EQ","132.00","156.30","127.65","132.95","155.85","153.45","146.55","192.80","25.40","24,06,31,230","35,26,46,88,468.25","9,31,351"
"12-Feb-2024","EQ","150.65","151.05","130.20","153.70","133.40","132.95","139.81","192.80","25.40","12,87,16,009","17,99,59,12,885.25","8,41,931"
"09-Feb-2024","EQ","162.00","162.00","149.15","161.95","153.75","153.70","154.29","192.80","25.40","6,48,01,528","9,99,83,59,023.20","5,05,587"
"08-Feb-2024","EQ","164.40","164.40","160.70","162.50","162.05","161.95","162.21","192.80","25.40","3,42,18,693","5,55,06,09,420.25","2,11,671"
"07-Feb-2024","EQ","164.50","165.90","159.65","160.90","162.95","162.50","162.64","192.80","25.40","3,68,16,341","5,98,76,42,205.85","2,21,016"
"06-Feb-2024","EQ","161.40","164.20","152.10","160.55","161.40","160.90","159.86","192.80","25.40","8,14,34,112","13,01,83,26,877.55","4,49,663"
"05-Feb-2024","EQ","170.15","170.20","160.00","168.95","160.40","160.55","163.20","192.80","25.40","6,89,87,316","11,25,85,68,929.50","5,92,725"
"02-Feb-2024","EQ","172.70","175.00","167.10","169.90","168.90","168.95","170.13","192.80","25.40","6,17,39,734","10,50,35,52,611.60","3,65,908"
"01-Feb-2024","EQ","180.00","183.25","168.20","175.15","170.40","169.90","176.28","192.80","25.40","16,58,94,732","29,24,32,19,991.50","8,00,797"
"31-Jan-2024","EQ","167.85","176.80","166.00","166.65","176.50","175.15","172.64","192.80","25.40","8,41,94,726","14,53,55,28,659.45","3,93,469"
"30-Jan-2024","EQ","171.40","172.15","164.15","170.85","167.20","166.65","167.54","192.80","25.40","6,93,98,771","11,62,71,49,632.30","4,26,449"
"29-Jan-2024","EQ","177.30","178.30","169.30","173.85","170.90","170.85","171.78","192.80","25.40","7,43,41,987","12,77,01,19,824.05","4,48,141"
"25-Jan-2024","EQ","174.75","178.30","171.50","171.90","173.80","173.85","174.98","192.80","25.40","10,00,74,798","17,51,12,40,470.05","5,31,913"
"24-Jan-2024","EQ","165.00","173.30","151.00","161.30","172.45","171.90","166.51","192.80","25.40","19,81,13,352","32,98,85,57,724.10","8,09,647"
"23-Jan-2024","EQ","185.80","192.80","158.75","176.25","162.45","161.30","171.79","192.80","25.40","26,91,08,130","46,22,90,35,973.30","14,04,989"
"20-Jan-2024","EQ","167.00","176.25","166.05","160.25","176.25","176.25","173.91","176.25","25.40","9,78,72,275","17,02,09,74,814.85","4,99,024"
"19-Jan-2024","EQ","149.50","160.85","149.20","146.25","160.85","160.25","156.79","160.85","25.40","26,60,85,180","41,71,90,52,143.05","8,71,846"
"18-Jan-2024","EQ","153.00","155.00","136.30","149.10","145.75","146.25","145.61","155.00","25.40","27,21,34,347","39,62,58,08,578.15","9,07,640"
"17-Jan-2024","EQ","138.00","150.70","133.05","141.85","148.55","149.10","145.90","150.70","25.40","33,64,63,589","49,08,88,55,962.55","9,85,122"
"16-Jan-2024","EQ","138.60","146.80","136.15","130.10","142.30","141.85","141.14","146.80","25.40","49,27,05,331","69,53,86,44,726.00","13,41,727"
"15-Jan-2024","EQ","116.70","134.75","116.70","113.40","132.00","130.10","128.30","134.75","25.40","44,84,51,444","57,53,55,90,637.25","11,82,933"
"12-Jan-2024","EQ","109.00","114.00","108.85","106.85","113.55","113.40","112.37","114.00","25.40","19,93,80,642","22,40,37,55,994.95","4,92,498"
"11-Jan-2024","EQ","104.70","109.30","104.25","103.05","106.90","106.85","107.04","109.30","25.40","19,12,94,222","20,47,67,68,288.70","4,44,145"
"10-Jan-2024","EQ","100.45","103.50","99.55","100.10","103.25","103.05","101.92","104.10","25.40","11,03,16,122","11,24,30,13,232.70","2,16,035"
"09-Jan-2024","EQ","100.90","102.20","99.90","99.95","100.00","100.10","101.05","104.10","25.40","4,48,04,938","4,52,75,47,428.80","1,51,257"
"08-Jan-2024","EQ","101.35","101.70","99.60","100.75","100.10","99.95","100.34","104.10","25.40","3,88,95,310","3,90,28,76,161.40","1,63,756"
"05-Jan-2024","EQ","101.95","102.45","99.90","101.30","100.85","100.75","101.13","104.10","25.40","4,35,42,157","4,40,32,23,743.80","1,78,890"
"04-Jan-2024","EQ","101.70","103.60","100.90","100.90","101.25","101.30","102.13","104.10","25.40","6,68,10,041","6,82,33,16,261.05","1,95,173"
"03-Jan-2024","EQ","100.20","101.95","99.00","100.00","100.80","100.90","100.72","104.10","25.40","9,68,43,171","9,75,37,60,828.15","2,27,760"
"02-Jan-2024","EQ","101.00","101.65","97.80","100.40","100.20","100.00","99.66","104.10","25.40","7,00,51,082","6,98,10,29,879.00","2,27,235"
"01-Jan-2024","EQ","100.00","102.40","99.40","99.35","100.30","100.40","101.07","104.10","25.40","10,28,49,848","10,39,55,42,765.10","2,87,986"
