"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","3,363.75","3,399.90","3,340.75","3,363.75","3,375.00","3,387.95","3,376.68","3,737.90","2,082.10","21,07,176","7,11,52,52,255.55","1,50,790"
"22-Feb-2024","EQ","3,310.00","3,369.00","3,276.95","3,296.40","3,363.00","3,363.75","3,323.23","3,737.90","2,082.10","25,21,388","8,37,91,47,529.45","1,88,283"
"21-Feb-2024","EQ","3,356.90","3,356.90","3,290.05","3,356.75","3,299.00","3,296.40","3,323.77","3,737.90","2,082.10","24,30,672","8,07,90,05,922.80","1,47,651"
"20-Feb-2024","EQ","3,339.85","3,367.75","3,328.45","3,339.85","3,362.50","3,356.75","3,347.47","3,737.90","2,082.10","15,78,162","5,28,28,54,808.30","1,19,394"
"19-Feb-2024","EQ","3,400.55","3,408.00","3,335.50","3,386.75","3,341.15","3,339.85","3,352.09","3,737.90","2,082.10","12,16,447","4,07,76,37,549.30","97,105"
"16-Feb-2024","EQ","3,304.95","3,398.00","3,304.05","3,300.30","3,382.80","3,386.75","3,369.15","3,737.90","2,082.10","27,68,329","9,32,69,27,305.10","1,83,986"
"15-Feb-2024","EQ","3,309.00","3,321.95","3,290.20","3,309.00","3,303.95","3,300.30","3,302.95","3,737.90","2,082.10","19,99,189","6,60,32,20,230.75","1,66,096"
"14-Feb-2024","EQ","3,290.05","3,316.95","3,263.05","3,321.50","3,312.95","3,309.00","3,287.26","3,737.90","2,082.10","25,02,138","8,22,51,69,971.75","2,16,456"
"13-Feb-2024","EQ","3,312.00","3,338.55","3,284.10","3,299.55","3,316.25","3,321.50","3,319.88","3,737.90","2,082.10","21,51,493","7,14,27,03,813.40","1,69,600"
"12-Feb-2024","EQ","3,330.00","3,339.15","3,287.00","3,324.55","3,301.55","3,299.55","3,308.84","3,737.90","2,082.10","19,22,273","6,36,04,97,577.70","1,86,795"
"09-Feb-2024","EQ","3,336.25","3,390.00","3,308.95","3,335.50","3,324.00","3,324.55","3,327.86","3,737.90","2,082.10","31,21,873","10,38,91,52,101.40","1,81,824"
"08-Feb-2024","EQ","3,413.00","3,417.80","3,293.85","3,394.70","3,356.00","3,335.50","3,350.08","3,737.90","2,082.10","34,71,727","11,63,05,63,825.40","3,10,823"
"07-Feb-2024","EQ","3,445.00","3,447.00","3,389.00","3,424.25","3,396.00","3,394.70","3,413.73","3,737.90","2,082.10","20,99,940","7,16,86,31,397.95","1,88,731"
"06-Feb-2024","EQ","3,346.00","3,427.75","3,337.55","3,341.75","3,419.00","3,424.25","3,398.53","3,737.90","2,082.10","25,45,192","8,64,99,19,158.85","1,87,126"
"05-Feb-2024","EQ","3,375.50","3,407.95","3,318.45","3,376.05","3,340.95","3,341.75","3,362.80","3,737.90","2,082.10","29,54,238","9,93,45,01,679.35","4,15,549"
"02-Feb-2024","EQ","3,402.70","3,436.35","3,361.00","3,398.00","3,380.60","3,376.05","3,399.28","3,737.90","2,072.65","75,79,802","25,76,58,55,679.15","3,60,278"
"01-Feb-2024","EQ","3,480.00","3,493.75","3,371.00","3,479.75","3,398.00","3,398.00","3,414.16","3,737.90","2,072.65","61,49,780","20,99,63,47,650.90","3,50,563"
"31-Jan-2024","EQ","3,520.00","3,538.00","3,387.05","3,633.30","3,480.00","3,479.75","3,459.48","3,737.90","2,072.65","96,37,606","33,34,11,19,439.35","5,45,802"
"30-Jan-2024","EQ","3,715.95","3,737.90","3,624.90","3,708.00","3,639.85","3,633.30","3,675.49","3,737.90","2,072.65","14,54,989","5,34,77,91,328.15","1,33,031"
"29-Jan-2024","EQ","3,604.00","3,733.85","3,600.10","3,593.45","3,710.00","3,708.00","3,687.07","3,733.85","2,072.65","20,72,982","7,64,32,38,960.10","1,66,432"
"25-Jan-2024","EQ","3,599.90","3,618.25","3,564.80","3,589.20","3,584.00","3,593.45","3,594.44","3,670.00","2,072.65","22,06,540","7,93,12,67,641.20","1,64,879"
"24-Jan-2024","EQ","3,570.00","3,617.95","3,521.70","3,551.00","3,600.00","3,589.20","3,586.69","3,670.00","2,072.65","37,11,521","13,31,20,62,950.35","1,92,912"
"23-Jan-2024","EQ","3,637.60","3,661.35","3,536.20","3,634.50","3,547.00","3,551.00","3,602.16","3,670.00","2,072.65","17,42,142","6,27,54,72,696.80","1,66,563"
"20-Jan-2024","EQ","3,667.00","3,670.00","3,621.05","3,646.00","3,637.40","3,634.50","3,644.77","3,670.00","2,072.65","4,68,514","1,70,76,27,966.30","52,470"
"19-Jan-2024","EQ","3,603.00","3,655.85","3,603.00","3,596.00","3,646.00","3,646.00","3,636.43","3,655.85","2,072.65","19,13,923","6,95,98,43,129.05","1,96,916"
"18-Jan-2024","EQ","3,570.80","3,616.95","3,525.00","3,570.95","3,603.00","3,596.00","3,592.24","3,616.95","2,072.65","21,48,898","7,71,93,57,081.85","1,83,094"
"17-Jan-2024","EQ","3,555.00","3,614.45","3,547.70","3,573.50","3,575.05","3,570.95","3,576.80","3,614.45","2,072.65","26,99,076","9,65,40,42,587.35","1,64,051"
"16-Jan-2024","EQ","3,548.00","3,589.00","3,538.00","3,543.05","3,578.00","3,573.50","3,568.44","3,605.70","2,072.65","17,91,818","6,39,39,98,654.80","1,66,759"
"15-Jan-2024","EQ","3,576.10","3,605.70","3,538.05","3,568.80","3,546.90","3,543.05","3,565.61","3,605.70","2,072.65","17,83,518","6,35,93,26,466.35","1,38,184"
"12-Jan-2024","EQ","3,505.05","3,578.65","3,494.05","3,504.85","3,568.00","3,568.80","3,540.61","3,593.75","2,072.65","17,82,631","6,31,15,96,272.35","1,40,965"
"11-Jan-2024","EQ","3,545.50","3,559.55","3,500.55","3,545.50","3,507.00","3,504.85","3,523.56","3,593.75","2,072.65","11,05,348","3,89,47,55,496.85","1,13,992"
"10-Jan-2024","EQ","3,549.95","3,558.95","3,520.00","3,555.95","3,548.00","3,545.50","3,537.36","3,593.75","2,072.65","15,34,821","5,42,92,21,814.50","1,01,151"
"09-Jan-2024","EQ","3,527.45","3,593.75","3,520.10","3,501.10","3,560.00","3,555.95","3,564.35","3,593.75","2,072.65","18,07,271","6,44,17,43,425.35","1,36,843"
"08-Jan-2024","EQ","3,540.00","3,559.95","3,490.00","3,521.90","3,510.00","3,501.10","3,519.92","3,559.95","2,072.65","19,93,855","7,01,82,15,617.00","2,44,999"
"05-Jan-2024","EQ","3,464.95","3,555.00","3,460.00","3,458.70","3,548.60","3,521.90","3,497.02","3,559.95","2,058.00","20,69,018","7,23,53,90,724.65","2,11,563"
"04-Jan-2024","EQ","3,441.05","3,480.10","3,423.00","3,440.35","3,459.95","3,458.70","3,457.46","3,559.95","2,058.00","16,51,616","5,71,04,00,919.60","1,55,242"
"03-Jan-2024","EQ","3,433.00","3,465.85","3,411.60","3,438.10","3,440.00","3,440.35","3,438.35","3,559.95","2,058.00","12,83,859","4,41,43,62,339.55","1,47,403"
"02-Jan-2024","EQ","3,525.05","3,525.45","3,432.00","3,525.45","3,440.90","3,438.10","3,455.21","3,559.95","2,058.00","15,11,464","5,22,24,23,704.45","1,99,417"
"01-Jan-2024","EQ","3,538.00","3,538.00","3,496.05","3,526.00","3,509.10","3,525.45","3,518.05","3,559.95","2,058.00","7,77,080","2,73,38,04,517.85","99,652"
"29-Dec-2023","EQ","3,531.00","3,540.00","3,495.00","3,518.05","3,520.00","3,526.00","3,517.41","3,559.95","2,051.00","9,68,577","3,40,68,79,763.30","1,06,590"
"28-Dec-2023","EQ","3,545.00","3,559.95","3,500.50","3,544.00","3,523.00","3,518.05","3,528.63","3,559.95","2,051.00","33,71,121","11,89,54,33,081.75","1,81,724"
"27-Dec-2023","EQ","3,510.00","3,549.00","3,504.15","3,490.05","3,545.00","3,544.00","3,529.80","3,549.00","2,051.00","13,89,266","4,90,38,27,561.50","1,22,452"
"26-Dec-2023","EQ","3,477.95","3,508.35","3,477.95","3,477.95","3,491.00","3,490.05","3,491.26","3,525.00","2,051.00","10,72,263","3,74,35,53,171.65","89,263"
"22-Dec-2023","EQ","3,424.00","3,496.00","3,408.60","3,424.15","3,472.00","3,477.95","3,463.59","3,525.00","2,050.10","16,81,707","5,82,47,43,988.10","1,30,843"
"21-Dec-2023","EQ","3,390.05","3,439.95","3,333.00","3,418.50","3,438.50","3,424.15","3,382.29","3,525.00","2,050.10","22,92,802","7,75,49,21,287.85","1,59,960"
"20-Dec-2023","EQ","3,505.00","3,514.60","3,412.55","3,498.95","3,416.80","3,418.50","3,472.45","3,525.00","2,050.10","18,76,048","6,51,44,83,827.75","1,40,702"
"19-Dec-2023","EQ","3,488.95","3,525.00","3,476.05","3,491.60","3,498.10","3,498.95","3,504.81","3,525.00","2,050.10","13,11,700","4,59,72,62,401.70","1,23,795"
"18-Dec-2023","EQ","3,496.00","3,506.00","3,466.00","3,488.00","3,486.00","3,491.60","3,479.20","3,506.00","2,050.10","17,67,429","6,14,92,37,941.30","1,12,884"
"15-Dec-2023","EQ","3,435.15","3,498.90","3,432.85","3,433.10","3,491.35","3,488.00","3,469.47","3,498.90","2,050.10","26,32,935","9,13,48,80,376.50","1,45,130"
"14-Dec-2023","EQ","3,425.95","3,440.00","3,400.10","3,399.80","3,436.00","3,433.10","3,421.15","3,440.00","2,050.10","24,25,646","8,29,84,93,111.00","1,88,077"
"13-Dec-2023","EQ","3,352.95","3,410.00","3,346.20","3,342.40","3,395.00","3,399.80","3,378.34","3,430.00","2,050.10","15,09,107","5,09,82,78,098.20","1,11,338"
"12-Dec-2023","EQ","3,375.00","3,375.00","3,332.00","3,385.80","3,345.00","3,342.40","3,348.94","3,430.00","2,050.10","18,88,423","6,32,42,22,801.75","1,47,602"
"11-Dec-2023","EQ","3,377.95","3,405.00","3,360.00","3,378.45","3,381.95","3,385.80","3,381.94","3,430.00","2,050.10","15,34,238","5,18,87,07,144.10","94,181"
"08-Dec-2023","EQ","3,377.00","3,430.00","3,366.00","3,355.60","3,380.00","3,378.45","3,394.19","3,430.00","2,050.10","24,28,891","8,24,41,26,175.55","1,73,664"
"07-Dec-2023","EQ","3,392.30","3,409.90","3,337.05","3,392.30","3,372.00","3,355.60","3,363.60","3,409.90","2,050.10","21,28,823","7,16,05,11,364.30","1,50,669"
"06-Dec-2023","EQ","3,330.00","3,401.00","3,321.00","3,315.45","3,387.00","3,392.30","3,368.39","3,401.00","2,050.10","20,57,233","6,92,95,58,413.90","1,53,461"
"05-Dec-2023","EQ","3,319.05","3,325.00","3,279.05","3,313.55","3,319.00","3,315.45","3,302.14","3,347.55","2,050.10","16,59,309","5,47,92,77,569.90","1,36,656"
"04-Dec-2023","EQ","3,285.00","3,347.55","3,250.00","3,190.65","3,316.05","3,313.55","3,303.15","3,347.55","2,050.10","30,95,974","10,22,64,61,999.60","2,21,889"
"01-Dec-2023","EQ","3,129.95","3,197.95","3,121.05","3,109.20","3,184.15","3,190.65","3,180.47","3,197.95","2,038.60","21,12,908","6,72,00,44,602.10","1,44,549"
"30-Nov-2023","EQ","3,076.30","3,124.55","3,058.70","3,083.75","3,119.80","3,109.20","3,100.60","3,124.55","2,038.60","31,31,624","9,70,99,16,076.10","1,29,023"
"29-Nov-2023","EQ","3,050.00","3,089.90","3,049.00","3,050.00","3,080.95","3,083.75","3,069.07","3,115.45","2,038.60","18,01,107","5,52,77,19,695.65","1,64,191"
"28-Nov-2023","EQ","3,054.00","3,059.15","3,035.00","3,054.25","3,053.00","3,050.00","3,047.65","3,115.45","2,038.60","12,10,508","3,68,92,01,964.25","1,18,447"
"24-Nov-2023","EQ","3,050.00","3,067.00","3,039.60","3,045.65","3,051.80","3,054.25","3,054.65","3,115.45","2,007.00","9,15,121","2,79,53,74,360.60","92,885"
"23-Nov-2023","EQ","3,080.00","3,088.00","3,031.05","3,082.30","3,051.15","3,045.65","3,052.05","3,115.45","2,007.00","15,14,688","4,62,29,00,408.75","1,15,869"
"22-Nov-2023","EQ","3,074.85","3,088.65","3,062.50","3,074.85","3,080.50","3,082.30","3,078.17","3,115.45","2,007.00","11,04,208","3,39,89,34,900.40","92,685"
"21-Nov-2023","EQ","3,088.50","3,099.00","3,062.45","3,088.80","3,075.00","3,074.85","3,078.23","3,115.45","2,007.00","18,84,782","5,80,17,93,867.50","1,19,729"
