"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","1,50,164.50","1,51,445.00","1,50,050.00","1,50,164.50","1,50,578.90","1,50,725.00","1,50,802.62","1,51,445.00","81,380.05","7,594","1,14,51,95,060.85","5,476"
"22-Feb-2024","EQ","1,49,206.00","1,50,740.00","1,48,903.05","1,49,685.95","1,49,994.90","1,50,164.50","1,50,005.82","1,50,794.70","81,380.05","7,334","1,10,01,42,681.45","5,567"
"21-Feb-2024","EQ","1,48,700.00","1,50,794.70","1,48,700.00","1,48,626.10","1,49,050.00","1,49,685.95","1,49,767.41","1,50,794.70","81,380.05","12,528","1,87,62,86,106.80","9,418"
"20-Feb-2024","EQ","1,48,354.00","1,48,938.05","1,47,129.55","1,48,902.30","1,48,701.00","1,48,626.10","1,48,134.11","1,50,254.15","81,380.05","6,520","96,58,34,390.25","5,301"
"19-Feb-2024","EQ","1,48,998.40","1,49,549.95","1,48,101.00","1,48,054.50","1,49,049.65","1,48,902.30","1,48,873.16","1,50,254.15","81,380.05","11,657","1,73,54,14,463.30","10,029"
"16-Feb-2024","EQ","1,48,848.00","1,49,200.00","1,47,499.90","1,48,509.85","1,47,867.30","1,48,054.50","1,48,341.37","1,50,254.15","81,380.05","9,418","1,39,70,79,055.75","6,535"
"15-Feb-2024","EQ","1,48,000.00","1,50,199.40","1,47,050.00","1,47,284.50","1,48,300.00","1,48,509.85","1,48,589.74","1,50,254.15","81,380.05","16,290","2,42,05,26,925.65","13,379"
"14-Feb-2024","EQ","1,44,100.00","1,48,035.50","1,42,768.40","1,44,627.40","1,47,074.70","1,47,284.50","1,45,235.77","1,50,254.15","81,380.05","11,908","1,72,94,67,543.35","9,696"
"13-Feb-2024","EQ","1,44,802.00","1,45,406.50","1,42,500.60","1,43,802.75","1,44,421.90","1,44,627.40","1,44,094.84","1,50,254.15","81,380.05","15,951","2,29,84,56,713.75","13,123"
"12-Feb-2024","EQ","1,37,600.00","1,44,769.60","1,37,555.00","1,37,083.35","1,44,245.00","1,43,802.75","1,42,363.63","1,50,254.15","81,380.05","40,809","5,80,97,17,574.15","29,811"
"09-Feb-2024","EQ","1,43,750.00","1,43,750.00","1,36,300.00","1,42,483.10","1,37,120.00","1,37,083.35","1,38,950.33","1,50,254.15","81,380.05","26,614","3,69,80,23,973.50","21,156"
"08-Feb-2024","EQ","1,43,850.00","1,43,850.00","1,42,010.05","1,42,996.80","1,43,000.00","1,42,483.10","1,42,848.02","1,50,254.15","81,380.05","7,121","1,01,72,20,747.55","5,513"
"07-Feb-2024","EQ","1,44,385.00","1,44,827.55","1,42,532.00","1,43,387.70","1,43,181.35","1,42,996.80","1,43,719.97","1,50,254.15","81,380.05","7,534","1,08,27,86,272.90","5,856"
"06-Feb-2024","EQ","1,42,245.00","1,43,600.00","1,41,761.10","1,41,645.75","1,43,399.55","1,43,387.70","1,43,001.53","1,50,254.15","81,380.05","8,245","1,17,90,47,647.05","6,489"
"05-Feb-2024","EQ","1,42,885.00","1,43,974.35","1,40,411.30","1,40,941.85","1,41,753.45","1,41,645.75","1,42,049.80","1,50,254.15","81,380.05","19,822","2,81,57,11,077.05","16,208"
"02-Feb-2024","EQ","1,43,000.00","1,43,499.45","1,40,447.30","1,42,477.80","1,41,000.00","1,40,941.85","1,41,744.51","1,50,254.15","81,380.05","12,058","1,70,91,55,355.05","9,682"
"01-Feb-2024","EQ","1,43,500.00","1,44,350.00","1,41,701.00","1,42,577.40","1,42,450.00","1,42,477.80","1,43,133.48","1,50,254.15","81,380.05","12,544","1,79,54,66,430.55","9,979"
"31-Jan-2024","EQ","1,41,000.00","1,42,844.95","1,40,500.10","1,40,619.85","1,42,158.05","1,42,577.40","1,42,124.15","1,50,254.15","81,380.05","11,634","1,65,34,72,418.35","9,563"
"30-Jan-2024","EQ","1,44,650.00","1,44,750.00","1,40,004.00","1,43,873.60","1,41,076.80","1,40,619.85","1,41,523.92","1,50,254.15","81,380.05","13,414","1,89,84,01,837.30","11,022"
"29-Jan-2024","EQ","1,36,857.15","1,44,150.00","1,36,333.05","1,36,857.95","1,43,450.00","1,43,873.60","1,41,443.32","1,50,254.15","81,380.05","26,375","3,73,05,67,579.55","21,217"
"25-Jan-2024","EQ","1,40,457.00","1,40,599.95","1,36,133.05","1,39,771.05","1,36,800.10","1,36,857.95","1,37,323.66","1,50,254.15","81,380.05","13,504","1,85,44,18,742.75","10,628"
"24-Jan-2024","EQ","1,41,900.00","1,41,999.85","1,36,105.25","1,40,997.25","1,39,500.00","1,39,771.05","1,39,418.60","1,50,254.15","81,380.05","17,366","2,42,11,43,346.55","14,185"
"23-Jan-2024","EQ","1,45,786.00","1,47,849.80","1,39,821.25","1,45,363.35","1,41,251.00","1,40,997.25","1,43,619.52","1,50,254.15","81,380.05","22,069","3,16,95,39,170.95","16,933"
"20-Jan-2024","EQ","1,40,800.00","1,46,496.15","1,40,222.00","1,39,431.95","1,45,750.80","1,45,363.35","1,43,916.18","1,50,254.15","81,380.05","15,816","2,27,61,78,265.25","11,804"
"19-Jan-2024","EQ","1,38,995.30","1,39,995.95","1,38,033.35","1,37,587.20","1,39,344.30","1,39,431.95","1,39,277.68","1,50,254.15","81,380.05","10,260","1,42,89,89,022.95","7,366"
"18-Jan-2024","EQ","1,36,400.00","1,37,949.95","1,33,750.00","1,34,878.30","1,37,650.00","1,37,587.20","1,36,350.99","1,50,254.15","81,380.05","14,497","1,97,66,80,307.60","10,479"
"17-Jan-2024","EQ","1,36,229.00","1,50,254.15","1,34,000.05","1,36,594.70","1,34,600.05","1,34,878.30","1,39,664.71","1,50,254.15","81,380.05","37,455","5,23,11,41,562.05","19,327"
"16-Jan-2024","EQ","1,35,215.30","1,37,800.00","1,35,215.30","1,35,951.15","1,36,684.20","1,36,594.70","1,36,678.88","1,37,800.00","81,380.05","7,490","1,02,37,24,834.80","5,394"
"15-Jan-2024","EQ","1,34,699.00","1,36,799.95","1,33,650.05","1,34,351.10","1,36,000.00","1,35,951.15","1,35,256.48","1,36,799.95","81,380.05","8,379","1,13,33,14,037.60","6,243"
