"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","147.30","147.80","142.20","146.00","143.35","143.40","144.11","176.85","30.95","1,26,13,747","1,81,77,57,812.05","94,451"
"22-Feb-2024","EQ","144.95","146.15","142.50","139.20","146.15","146.00","145.08","176.85","30.95","2,94,51,261","4,27,26,91,534.00","1,41,190"
"21-Feb-2024","EQ","144.30","145.65","138.00","142.60","139.40","139.20","141.12","176.85","30.95","1,39,97,273","1,97,52,40,402.40","90,525"
"20-Feb-2024","EQ","143.00","147.40","142.00","141.30","142.40","142.60","144.26","176.85","30.95","2,78,98,133","4,02,44,64,225.25","1,44,215"
"19-Feb-2024","EQ","136.50","141.30","134.85","134.60","141.30","141.30","138.76","176.85","30.95","83,39,135","1,15,71,74,501.80","45,845"
"16-Feb-2024","EQ","137.50","143.95","133.60","137.10","134.40","134.60","138.93","176.85","30.95","3,82,93,465","5,32,02,22,299.80","1,76,232"
"15-Feb-2024","EQ","137.10","137.10","137.10","130.60","137.10","137.10","137.10","176.85","30.95","13,28,284","18,21,07,736.40","7,985"
"14-Feb-2024","EQ","126.90","130.60","126.00","124.40","130.60","130.60","129.89","176.85","30.95","77,30,529","1,00,41,31,515.05","26,142"
"13-Feb-2024","EQ","124.35","132.80","120.75","133.15","125.45","124.40","124.97","176.85","30.95","5,76,56,532","7,20,51,70,441.50","2,64,078"
"12-Feb-2024","EQ","146.75","146.75","133.15","147.95","133.15","133.15","136.44","176.85","30.95","2,72,63,338","3,71,96,91,313.95","1,52,384"
"09-Feb-2024","EQ","154.65","154.65","139.65","153.90","148.80","147.95","145.10","176.85","30.95","3,54,53,544","5,14,42,73,689.20","2,23,559"
"08-Feb-2024","EQ","159.00","159.40","153.30","158.05","154.00","153.90","155.16","176.85","30.95","2,14,84,102","3,33,34,95,406.20","1,37,105"
"07-Feb-2024","EQ","160.35","164.85","153.65","157.45","158.00","158.05","159.72","176.85","30.95","3,38,77,779","5,41,08,65,084.20","1,83,131"
"06-Feb-2024","EQ","167.70","167.70","151.15","166.10","157.45","157.45","157.26","176.85","30.95","4,91,06,787","7,72,24,34,971.85","3,32,399"
"05-Feb-2024","EQ","174.45","176.85","161.30","168.65","167.00","166.10","169.20","176.85","30.95","10,93,68,172","18,50,49,35,272.70","5,31,933"
"02-Feb-2024","EQ","150.00","169.95","150.00","141.65","169.95","168.65","162.76","169.95","30.95","23,87,81,006","38,86,39,21,074.60","7,95,917"
"01-Feb-2024","EQ","131.00","145.00","129.80","129.45","145.00","141.65","137.00","145.00","30.95","16,94,38,889","23,21,37,59,850.65","5,45,016"
"31-Jan-2024","EQ","127.60","130.60","124.55","127.05","129.90","129.45","127.61","136.30","30.95","6,04,25,165","7,71,05,80,890.75","2,45,055"
"30-Jan-2024","EQ","131.35","136.30","123.65","127.00","127.40","127.05","130.12","136.30","30.95","9,98,35,445","12,99,01,45,853.90","4,50,902"
"29-Jan-2024","EQ","117.00","128.45","116.70","114.70","127.90","127.00","124.40","128.45","30.95","12,76,80,948","15,88,36,45,294.00","5,40,593"
"25-Jan-2024","EQ","106.20","119.40","104.50","105.25","114.55","114.70","113.80","119.40","30.95","23,03,45,265","26,21,32,65,834.45","6,48,711"
"24-Jan-2024","EQ","99.45","105.90","96.50","98.60","105.35","105.25","102.24","109.50","30.95","8,91,03,485","9,10,98,30,843.65","3,00,761"
"23-Jan-2024","EQ","104.00","109.50","97.00","101.75","98.85","98.60","103.62","109.50","30.95","12,45,17,276","12,90,24,74,119.20","4,59,469"
"20-Jan-2024","EQ","95.30","103.85","95.00","94.55","102.00","101.75","100.69","103.85","30.95","10,20,50,869","10,27,55,82,723.30","3,51,235"
"19-Jan-2024","EQ","87.95","95.90","87.90","87.20","94.35","94.55","93.72","95.90","30.95","10,85,53,148","10,17,40,03,323.75","2,86,985"
"18-Jan-2024","EQ","87.95","89.60","84.60","87.95","87.45","87.20","86.97","94.35","30.95","2,36,86,936","2,05,99,70,603.95","64,487"
"17-Jan-2024","EQ","88.95","91.70","87.00","90.00","88.40","87.95","89.29","94.35","30.95","2,61,56,102","2,33,55,58,624.30","77,211"
"16-Jan-2024","EQ","92.15","92.95","88.40","91.75","89.75","90.00","91.03","94.35","30.95","3,03,27,902","2,76,06,03,000.45","78,956"
"15-Jan-2024","EQ","91.90","92.25","90.10","91.40","91.70","91.75","91.42","94.35","30.95","2,85,13,900","2,60,66,90,495.20","84,627"
"12-Jan-2024","EQ","92.80","94.35","91.05","92.35","91.50","91.40","92.32","94.35","30.95","4,46,39,440","4,12,12,45,630.30","1,12,817"
"11-Jan-2024","EQ","93.05","93.60","91.80","92.50","92.30","92.35","92.61","93.65","30.95","1,87,78,293","1,73,90,74,385.80","50,255"
"10-Jan-2024","EQ","91.35","93.65","89.90","91.35","92.45","92.50","91.92","93.65","30.95","6,28,76,795","5,77,98,70,142.65","1,29,589"
"09-Jan-2024","EQ","85.60","92.50","84.90","85.05","91.15","91.35","90.04","92.50","30.95","9,58,83,121","8,63,37,18,997.05","1,69,811"
"08-Jan-2024","EQ","87.05","87.85","84.50","86.60","85.10","85.05","85.77","89.85","30.95","1,54,37,731","1,32,41,36,699.25","54,879"
"05-Jan-2024","EQ","87.95","89.45","85.75","87.60","86.65","86.60","87.48","89.85","30.95","2,16,57,363","1,89,44,82,959.45","53,984"
"04-Jan-2024","EQ","88.60","89.85","86.90","88.00","87.35","87.60","88.39","89.85","30.95","4,99,33,311","4,41,36,65,026.35","1,16,898"
"03-Jan-2024","EQ","80.60","88.55","79.75","80.60","87.80","88.00","86.30","88.55","30.95","12,59,74,979","10,87,15,10,708.95","2,28,136"
"02-Jan-2024","EQ","82.15","82.20","79.00","81.85","80.70","80.60","80.46","85.90","30.95","1,38,66,797","1,11,57,29,142.75","40,404"
"01-Jan-2024","EQ","81.95","83.10","81.60","81.55","81.90","81.85","82.30","85.90","30.95","1,01,61,058","83,63,02,862.95","28,327"
"29-Dec-2023","EQ","83.30","83.30","81.15","82.85","81.60","81.55","81.91","85.90","30.95","1,75,53,965","1,43,78,01,947.85","44,239"
"28-Dec-2023","EQ","80.40","84.65","79.55","79.95","83.00","82.85","82.96","85.90","30.95","6,67,89,947","5,54,08,09,256.45","1,14,951"
"27-Dec-2023","EQ","78.90","81.40","78.70","78.30","79.90","79.95","80.34","85.90","30.95","2,57,53,924","2,06,90,58,750.55","56,003"
"26-Dec-2023","EQ","78.50","79.15","78.00","78.40","78.40","78.30","78.48","85.90","30.95","61,84,108","48,52,99,688.05","22,773"
"22-Dec-2023","EQ","78.65","78.85","76.80","78.20","78.20","78.40","78.11","85.90","30.95","1,02,17,786","79,81,25,291.25","33,813"
"21-Dec-2023","EQ","73.95","78.60","72.50","75.35","78.35","78.20","76.39","85.90","30.95","2,61,77,171","1,99,97,39,144.85","68,794"
"20-Dec-2023","EQ","82.85","82.95","73.00","82.40","74.85","75.35","78.58","85.90","30.95","2,52,17,566","1,98,16,63,142.90","80,276"
"19-Dec-2023","EQ","83.00","83.65","82.00","82.80","82.50","82.40","82.60","85.90","30.95","97,65,887","80,66,24,793.80","29,039"
"18-Dec-2023","EQ","82.20","83.70","80.80","82.10","82.70","82.80","82.46","85.90","30.95","1,78,95,635","1,47,56,18,602.40","44,790"
"15-Dec-2023","EQ","83.25","85.90","81.55","82.50","82.05","82.10","83.76","85.90","30.95","3,49,13,238","2,92,44,54,425.75","67,565"
"14-Dec-2023","EQ","83.70","84.75","82.20","80.20","82.60","82.50","83.32","84.75","30.95","5,06,85,738","4,22,31,00,781.90","1,09,419"
"13-Dec-2023","EQ","80.60","80.95","79.55","80.40","80.00","80.20","80.17","82.80","30.95","1,11,35,352","89,27,39,710.70","28,001"
"12-Dec-2023","EQ","80.45","82.15","79.65","79.95","80.50","80.40","80.70","82.80","30.95","2,67,64,745","2,15,98,92,609.15","69,376"
"11-Dec-2023","EQ","79.20","82.80","78.85","78.80","79.80","79.95","80.82","82.80","30.95","2,74,22,511","2,21,61,91,441.55","64,370"
"08-Dec-2023","EQ","81.50","82.60","77.40","81.10","79.00","78.80","80.05","82.60","30.95","2,69,04,594","2,15,37,35,696.65","65,154"
"07-Dec-2023","EQ","78.45","81.45","76.65","78.05","80.80","81.10","79.96","81.45","30.95","4,21,03,048","3,36,67,15,964.55","74,007"
"06-Dec-2023","EQ","77.60","78.80","77.20","77.10","78.00","78.05","77.99","79.50","30.95","1,61,69,829","1,26,11,04,808.85","35,658"
"05-Dec-2023","EQ","78.50","78.65","75.90","78.60","77.10","77.10","77.43","79.50","30.95","2,27,01,429","1,75,77,52,836.40","52,918"
"04-Dec-2023","EQ","77.00","79.50","76.40","74.65","78.60","78.60","78.14","79.50","30.95","4,94,53,119","3,86,43,54,132.60","91,656"
"01-Dec-2023","EQ","77.00","78.00","74.30","76.10","74.75","74.65","75.96","78.00","30.95","4,32,96,875","3,28,86,50,124.75","77,656"
"30-Nov-2023","EQ","70.30","76.50","70.10","70.00","76.15","76.10","73.95","76.50","30.95","10,82,16,222","8,00,27,72,163.75","1,68,096"
"29-Nov-2023","EQ","68.50","70.55","68.45","68.00","69.70","70.00","69.61","74.35","30.95","4,22,65,882","2,94,20,46,607.65","74,157"
"28-Nov-2023","EQ","64.50","68.40","63.80","64.25","67.85","68.00","66.89","74.35","30.95","3,28,99,699","2,20,07,35,618.60","64,122"
"24-Nov-2023","EQ","65.10","65.55","64.05","65.10","64.25","64.25","64.67","74.35","30.95","85,54,234","55,32,29,399.15","19,711"
"23-Nov-2023","EQ","66.10","66.55","64.90","65.95","64.95","65.10","65.74","74.35","30.95","69,48,472","45,67,90,421.85","15,500"
"22-Nov-2023","EQ","67.55","67.60","65.80","67.30","65.95","65.95","66.39","74.35","30.95","85,29,552","56,62,97,674.05","19,200"
"21-Nov-2023","EQ","67.65","68.40","66.60","67.35","67.20","67.30","67.41","74.35","30.95","1,42,37,220","95,97,82,897.35","21,961"
"20-Nov-2023","EQ","67.45","68.85","67.00","67.05","67.25","67.35","67.72","74.35","30.95","98,09,973","66,43,36,127.45","24,708"
"17-Nov-2023","EQ","67.20","67.95","66.40","67.25","66.90","67.05","67.10","74.35","30.95","1,03,59,123","69,50,61,503.40","20,640"
"16-Nov-2023","EQ","68.40","68.40","67.05","68.15","67.20","67.25","67.74","74.35","30.95","98,83,744","66,94,92,821.70","21,230"
"15-Nov-2023","EQ","69.00","69.40","67.90","68.15","68.05","68.15","68.42","74.35","30.95","95,03,528","65,02,10,481.05","19,760"
"13-Nov-2023","EQ","66.90","70.35","66.30","67.15","68.40","68.15","68.86","74.35","30.95","3,03,00,465","2,08,65,37,516.90","57,681"
"12-Nov-2023","EQ","66.40","67.45","66.20","65.75","67.35","67.15","66.98","74.35","30.95","46,36,451","31,05,56,862.40","20,501"
"10-Nov-2023","EQ","66.05","66.45","64.65","67.00","65.70","65.75","65.57","74.35","30.95","1,78,90,122","1,17,30,70,657.05","35,370"
"09-Nov-2023","EQ","68.40","68.50","66.40","68.25","66.70","67.00","67.51","74.35","30.95","1,17,65,703","79,42,98,117.35","24,208"
"08-Nov-2023","EQ","68.35","68.90","67.60","68.05","68.20","68.25","68.27","74.35","30.95","1,32,66,819","90,56,74,332.70","29,611"
"07-Nov-2023","EQ","67.55","68.85","66.60","67.45","67.85","68.05","67.67","74.35","30.95","1,97,56,138","1,33,68,24,587.10","32,153"
"06-Nov-2023","EQ","67.65","68.10","67.00","67.00","67.55","67.45","67.50","74.35","30.95","1,20,56,333","81,38,37,590.85","23,738"
"03-Nov-2023","EQ","68.40","68.40","66.80","67.35","67.10","67.00","67.75","74.35","30.95","1,76,75,248","1,19,74,69,669.55","32,886"
"02-Nov-2023","EQ","66.90","68.35","65.95","65.95","67.40","67.35","67.10","74.35","30.95","1,93,62,467","1,29,91,39,015.70","35,954"
"01-Nov-2023","EQ","66.00","67.65","65.60","65.60","65.80","65.95","66.64","74.35","30.95","2,39,32,165","1,59,47,42,445.30","48,714"
"31-Oct-2023","EQ","67.45","67.65","65.25","67.10","66.10","65.60","66.26","74.35","30.95","2,64,61,903","1,75,33,70,488.20","39,950"
"30-Oct-2023","EQ","64.50","68.45","63.15","64.25","67.20","67.10","65.95","74.35","30.95","5,52,16,321","3,64,12,47,334.75","73,827"
"27-Oct-2023","EQ","64.50","65.60","63.50","63.80","64.30","64.25","64.50","74.35","30.95","3,24,46,451","2,09,26,49,037.50","53,038"
"26-Oct-2023","EQ","63.00","64.50","60.75","63.55","63.80","63.80","62.39","74.35","30.95","5,13,46,194","3,20,33,90,150.75","89,056"
"25-Oct-2023","EQ","63.05","65.30","61.20","62.40","63.40","63.55","63.21","74.35","30.95","6,88,58,472","4,35,23,61,879.95","1,27,282"
