"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","2,565.00","2,583.00","2,551.95","2,563.15","2,581.95","2,579.00","2,572.14","27,693.00","2,409.10","6,05,619","1,55,77,36,604.95","57,872"
"22-Feb-2024","EQ","2,560.00","2,565.95","2,525.00","2,543.60","2,558.50","2,563.15","2,550.97","27,693.00","2,409.10","7,52,371","1,91,92,75,138.25","88,775"
"21-Feb-2024","EQ","2,539.40","2,551.00","2,518.15","2,539.40","2,539.20","2,543.60","2,539.17","27,693.00","2,409.10","8,93,182","2,26,79,43,412.60","78,238"
"20-Feb-2024","EQ","2,519.00","2,541.80","2,497.10","2,513.25","2,539.00","2,539.40","2,526.64","27,693.00","2,409.10","6,31,444","1,59,54,30,460.25","50,373"
"19-Feb-2024","EQ","2,495.00","2,525.50","2,481.40","2,487.65","2,515.25","2,513.25","2,513.47","27,693.00","2,409.10","4,77,520","1,20,02,34,022.55","39,739"
"16-Feb-2024","EQ","2,457.05","2,490.50","2,448.60","2,453.55","2,489.00","2,487.65","2,479.95","27,693.00","2,409.10","7,46,616","1,85,15,73,707.40","67,913"
"15-Feb-2024","EQ","2,495.00","2,495.00","2,438.00","2,487.00","2,453.00","2,453.55","2,454.93","27,693.00","2,409.10","8,40,476","2,06,33,07,337.10","1,23,751"
"14-Feb-2024","EQ","2,450.00","2,497.35","2,435.05","2,457.35","2,490.05","2,487.00","2,458.40","27,693.00","2,409.10","5,09,308","1,25,20,80,723.10","48,891"
"13-Feb-2024","EQ","2,474.00","2,476.60","2,444.95","2,459.05","2,456.00","2,457.35","2,463.21","27,693.00","2,409.10","3,10,985","76,60,21,194.65","43,589"
"12-Feb-2024","EQ","2,459.75","2,467.95","2,439.30","2,450.10","2,458.00","2,459.05","2,457.53","27,693.00","2,409.10","4,45,269","1,09,42,63,328.20","53,754"
"09-Feb-2024","EQ","2,442.85","2,465.90","2,420.05","2,423.05","2,451.95","2,450.10","2,442.20","27,693.00","2,409.10","8,38,819","2,04,85,62,598.95","1,16,563"
"08-Feb-2024","EQ","2,503.95","2,513.85","2,409.10","2,499.60","2,425.00","2,423.05","2,442.55","27,693.00","2,409.10","16,54,447","4,04,10,70,727.55","1,53,860"
"07-Feb-2024","EQ","2,470.00","2,511.55","2,446.70","2,456.65","2,501.00","2,499.60","2,484.09","27,693.00","2,445.75","15,47,404","3,84,38,91,581.75","1,31,510"
"06-Feb-2024","EQ","2,462.35","2,477.95","2,445.75","2,462.70","2,456.00","2,456.65","2,454.68","27,693.00","2,445.75","7,70,183","1,89,05,51,102.85","82,972"
"05-Feb-2024","EQ","2,505.00","2,505.00","2,456.70","2,481.40","2,462.35","2,462.70","2,477.06","27,693.00","2,446.00","5,32,977","1,32,02,14,156.70","73,908"
"02-Feb-2024","EQ","2,468.00","2,496.00","2,463.05","2,467.80","2,483.10","2,481.40","2,480.59","27,693.00","2,446.00","7,54,061","1,87,05,19,077.55","1,38,429"
