"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","94.50","94.80","91.15","94.10","91.60","91.65","92.52","115.85","37.75","8,52,53,172","7,88,78,25,209.95","3,02,437"
"22-Feb-2024","EQ","92.40","94.90","88.60","92.65","94.15","94.10","91.58","115.85","37.75","17,21,88,774","15,76,83,83,888.65","4,42,613"
"21-Feb-2024","EQ","95.75","96.50","91.55","94.80","92.70","92.65","93.67","115.85","37.75","11,46,45,187","10,73,86,16,627.40","3,71,409"
"20-Feb-2024","EQ","97.60","98.70","94.20","96.80","95.00","94.80","96.61","115.85","37.75","13,40,72,640","12,95,26,33,565.05","3,96,152"
"19-Feb-2024","EQ","94.40","98.90","94.05","92.85","96.95","96.80","96.82","115.85","37.75","22,29,80,210","21,58,97,22,714.75","5,89,790"
"16-Feb-2024","EQ","93.30","95.90","92.10","92.60","92.90","92.85","93.90","115.85","37.75","13,60,95,716","12,77,89,24,047.70","4,26,915"
"15-Feb-2024","EQ","90.90","96.55","89.35","88.55","92.80","92.60","93.37","115.85","37.75","28,46,29,734","26,57,58,39,470.00","7,40,982"
"14-Feb-2024","EQ","84.05","89.80","83.05","85.80","89.45","88.55","86.06","115.85","37.75","25,23,96,060","21,72,16,95,484.40","5,94,820"
"13-Feb-2024","EQ","80.95","87.85","77.50","81.00","86.45","85.80","84.39","115.85","37.75","40,06,73,877","33,81,19,92,416.95","10,39,522"
"12-Feb-2024","EQ","95.50","95.90","77.65","96.25","81.45","81.00","86.27","115.85","37.75","38,92,84,421","33,58,30,77,351.45","11,11,262"
"09-Feb-2024","EQ","102.20","102.20","92.50","101.50","96.90","96.25","95.65","115.85","37.75","22,01,90,578","21,06,09,35,587.55","8,02,168"
"08-Feb-2024","EQ","103.75","104.75","100.00","102.70","102.30","101.50","102.21","115.85","37.75","11,76,72,992","12,02,78,39,440.80","4,27,349"
"07-Feb-2024","EQ","102.95","105.25","100.80","101.25","103.45","102.70","102.87","115.85","37.75","16,67,53,801","17,15,42,28,798.55","4,79,182"
"06-Feb-2024","EQ","107.05","109.10","100.10","103.65","101.75","101.25","102.81","115.85","37.75","24,98,55,866","25,68,76,03,380.00","8,15,666"
"05-Feb-2024","EQ","105.75","115.85","98.55","100.65","103.95","103.65","109.62","115.85","37.75","62,47,62,919","68,48,78,40,956.80","18,27,768"
"02-Feb-2024","EQ","92.85","103.00","92.25","91.40","101.10","100.65","98.80","103.00","37.75","50,29,23,653","49,68,78,99,904.70","11,23,784"
"01-Feb-2024","EQ","91.95","93.95","90.20","90.95","91.70","91.40","91.93","93.95","37.75","17,10,23,321","15,72,21,86,531.95","4,91,107"
"31-Jan-2024","EQ","88.45","91.75","87.85","87.60","90.95","90.95","89.70","92.00","37.75","13,94,72,846","12,51,10,52,770.60","3,92,939"
"30-Jan-2024","EQ","89.55","92.00","87.20","86.95","87.40","87.60","90.00","92.00","37.75","24,18,12,307","21,76,30,66,671.30","6,38,607"
"29-Jan-2024","EQ","85.50","89.60","84.80","83.30","87.00","86.95","87.38","89.60","37.75","22,93,99,393","20,04,38,46,463.25","7,04,828"
"25-Jan-2024","EQ","81.50","84.40","80.45","80.40","83.15","83.30","82.95","85.00","37.75","14,34,23,574","11,89,74,39,938.60","2,67,814"
"24-Jan-2024","EQ","76.50","81.70","75.45","75.95","81.20","80.40","78.25","85.00","37.75","15,90,93,882","12,44,97,44,778.30","2,34,337"
"23-Jan-2024","EQ","83.30","84.15","75.20","80.50","75.90","75.95","79.15","85.00","37.75","18,13,42,574","14,35,35,63,337.10","3,86,628"
"20-Jan-2024","EQ","75.00","85.00","74.65","73.55","81.40","80.50","80.52","85.00","37.75","26,14,47,648","21,05,19,12,956.25","5,00,352"
"19-Jan-2024","EQ","70.35","75.35","70.15","71.10","73.80","73.55","72.82","75.35","37.75","22,38,92,254","16,30,30,08,537.90","2,02,921"
"18-Jan-2024","EQ","69.00","72.15","68.55","73.00","70.70","71.10","70.01","75.30","37.75","15,73,29,595","11,01,51,74,084.70","1,96,246"
"17-Jan-2024","EQ","71.45","74.40","70.15","72.35","73.25","73.00","72.82","75.30","37.75","5,40,32,963","3,93,45,32,512.25","1,06,038"
"16-Jan-2024","EQ","72.90","74.10","71.15","72.45","72.30","72.35","72.97","75.30","37.75","4,65,60,482","3,39,75,14,430.25","1,12,567"
"15-Jan-2024","EQ","69.60","73.10","69.60","69.15","72.75","72.45","71.57","75.30","37.75","6,85,48,194","4,90,57,39,886.80","1,35,456"
"12-Jan-2024","EQ","69.45","70.35","68.55","69.10","68.75","69.15","69.59","75.30","37.75","2,62,46,971","1,82,65,76,352.90","1,10,688"
"11-Jan-2024","EQ","69.70","69.90","68.55","69.15","69.30","69.10","69.06","75.30","37.75","1,97,00,812","1,36,05,73,117.10","56,991"
"10-Jan-2024","EQ","70.45","70.45","68.40","70.50","69.45","69.15","69.26","75.30","37.75","3,59,07,742","2,48,69,65,257.45","73,151"
"09-Jan-2024","EQ","71.10","71.65","70.00","70.55","70.50","70.50","70.73","75.30","37.75","2,42,64,212","1,71,63,06,475.95","71,456"
"08-Jan-2024","EQ","72.80","72.80","70.00","71.95","70.70","70.55","70.96","75.30","37.75","3,65,08,713","2,59,08,35,188.75","89,132"
"05-Jan-2024","EQ","70.00","75.30","70.00","69.05","72.00","71.95","72.47","75.30","37.75","11,67,61,947","8,46,18,10,288.55","2,00,800"
"04-Jan-2024","EQ","68.00","69.80","67.55","67.35","69.15","69.05","68.53","69.80","37.75","5,68,87,404","3,89,82,35,937.55","83,232"
"03-Jan-2024","EQ","68.20","68.45","67.00","68.00","67.15","67.35","67.68","68.75","37.75","1,92,56,891","1,30,33,92,928.85","49,615"
"02-Jan-2024","EQ","66.25","68.75","64.65","66.15","68.00","68.00","67.12","68.75","37.75","4,12,10,903","2,76,60,56,463.20","68,067"
"01-Jan-2024","EQ","64.95","67.45","64.75","64.60","65.90","66.15","66.44","67.45","37.75","3,34,95,776","2,22,55,45,571.50","59,334"
"29-Dec-2023","EQ","65.10","65.55","64.25","64.95","64.70","64.60","64.75","66.95","37.75","1,27,51,253","82,55,98,217.45","38,500"
"28-Dec-2023","EQ","64.50","66.10","63.70","64.20","64.95","64.95","64.92","66.95","37.75","2,59,66,207","1,68,57,64,322.65","47,009"
"27-Dec-2023","EQ","65.15","65.45","63.50","64.60","64.35","64.20","64.56","66.95","37.75","1,63,78,714","1,05,73,69,810.30","39,661"
"26-Dec-2023","EQ","65.25","65.90","64.40","64.70","64.45","64.60","65.14","66.95","37.75","1,46,67,613","95,53,98,435.95","38,613"
"22-Dec-2023","EQ","64.20","65.35","63.20","63.45","64.40","64.70","64.20","66.95","36.75","2,55,44,220","1,64,00,12,145.40","48,645"
"21-Dec-2023","EQ","59.45","63.75","58.50","60.35","63.50","63.45","61.90","66.95","36.75","3,28,89,189","2,03,58,08,284.55","69,227"
"20-Dec-2023","EQ","65.40","65.40","58.00","64.85","60.00","60.35","62.61","66.95","36.75","2,97,51,533","1,86,26,69,972.50","73,212"
"19-Dec-2023","EQ","66.15","66.95","64.60","65.70","64.85","64.85","65.46","66.95","36.75","2,50,93,633","1,64,27,26,698.20","55,319"
"18-Dec-2023","EQ","65.50","66.60","64.40","65.05","65.70","65.70","65.87","66.85","36.75","2,46,14,117","1,62,13,82,821.50","47,015"
"15-Dec-2023","EQ","65.50","66.60","64.10","64.90","64.90","65.05","65.19","66.85","36.75","4,73,27,748","3,08,53,60,498.65","61,623"
"14-Dec-2023","EQ","64.85","66.85","64.10","64.25","65.00","64.90","65.38","66.85","36.75","6,30,40,147","4,12,16,84,990.35","1,00,151"
"13-Dec-2023","EQ","62.50","64.80","61.90","62.00","64.15","64.25","63.45","65.70","36.75","4,82,87,436","3,06,36,83,665.60","80,393"
"12-Dec-2023","EQ","63.70","63.70","61.20","63.15","62.10","62.00","62.37","65.70","36.75","2,11,86,115","1,32,13,73,601.10","53,903"
"11-Dec-2023","EQ","63.75","64.80","62.70","63.20","63.30","63.15","63.25","65.70","36.75","2,62,25,259","1,65,87,38,972.70","41,954"
"08-Dec-2023","EQ","64.65","65.70","61.70","64.25","63.45","63.20","63.96","65.70","36.75","4,13,23,843","2,64,32,35,978.20","76,832"
"07-Dec-2023","EQ","60.60","64.70","60.25","60.20","63.95","64.25","63.06","64.70","36.75","6,72,40,281","4,24,00,35,278.95","1,03,679"
"06-Dec-2023","EQ","59.25","60.65","59.05","58.90","60.10","60.20","59.97","60.65","36.75","4,33,28,035","2,59,83,50,423.45","64,407"
"05-Dec-2023","EQ","57.70","59.25","56.70","57.45","58.80","58.90","58.31","59.25","36.75","3,91,25,672","2,28,14,71,569.60","54,625"
"04-Dec-2023","EQ","57.70","58.50","56.75","56.40","57.50","57.45","57.72","58.50","36.75","4,21,30,420","2,43,18,08,842.75","67,687"
"01-Dec-2023","EQ","54.80","57.65","54.55","54.40","56.30","56.40","56.53","57.65","36.75","6,62,33,355","3,74,43,65,803.00","83,515"
"30-Nov-2023","EQ","55.10","55.25","54.10","54.85","54.60","54.40","54.51","56.85","36.75","1,98,80,234","1,08,37,52,852.35","33,201"
"29-Nov-2023","EQ","54.10","55.40","53.70","53.85","54.80","54.85","54.71","56.85","36.75","2,61,98,318","1,43,33,68,928.70","34,509"
"28-Nov-2023","EQ","54.90","54.90","53.65","54.70","53.65","53.85","54.28","56.85","36.75","1,65,24,338","89,69,99,111.40","24,009"
"24-Nov-2023","EQ","55.15","56.30","54.55","55.15","54.65","54.70","55.36","56.85","36.75","2,15,18,186","1,19,13,21,832.00","28,645"
"23-Nov-2023","EQ","54.55","55.60","54.20","54.45","55.10","55.15","55.01","56.85","36.75","1,55,70,408","85,65,68,592.30","25,380"
"22-Nov-2023","EQ","54.80","56.55","53.85","54.40","54.55","54.45","55.14","56.85","36.75","3,97,60,661","2,19,24,13,785.00","54,343"
"21-Nov-2023","EQ","53.00","55.15","52.25","52.80","54.30","54.40","53.93","56.85","36.75","3,80,78,347","2,05,35,12,432.10","41,592"
"20-Nov-2023","EQ","52.95","53.50","52.45","52.70","52.85","52.80","53.00","56.85","36.75","1,15,52,406","61,22,81,145.30","24,484"
"17-Nov-2023","EQ","51.80","53.10","51.65","51.80","52.65","52.70","52.49","56.85","36.75","2,06,01,049","1,08,13,74,791.70","34,286"
"16-Nov-2023","EQ","51.80","52.40","51.60","51.70","51.80","51.80","51.96","56.85","36.75","1,00,50,134","52,22,01,267.20","23,099"
"15-Nov-2023","EQ","52.60","53.00","51.60","52.15","51.75","51.70","52.07","56.85","36.75","1,44,09,386","75,02,80,703.60","29,321"
"13-Nov-2023","EQ","51.70","52.70","51.60","51.85","52.05","52.15","52.09","56.85","36.75","1,46,37,354","76,24,39,555.15","23,630"
"12-Nov-2023","EQ","52.00","52.15","51.70","51.60","51.80","51.85","51.92","56.85","36.75","22,31,080","11,58,45,442.55","11,860"
"10-Nov-2023","EQ","51.15","51.80","50.80","51.25","51.60","51.60","51.44","56.85","36.75","1,37,62,947","70,80,22,133.30","20,705"
"09-Nov-2023","EQ","51.65","51.95","51.10","51.30","51.20","51.25","51.34","56.85","36.75","1,08,79,126","55,85,60,722.00","14,521"
"08-Nov-2023","EQ","50.60","52.35","50.45","50.30","51.35","51.30","51.47","56.85","36.75","1,98,02,897","1,01,92,79,788.10","32,018"
"07-Nov-2023","EQ","50.40","50.70","49.95","50.40","50.40","50.30","50.21","56.85","36.75","1,66,29,921","83,50,55,645.65","31,859"
"06-Nov-2023","EQ","50.40","51.15","50.25","50.15","50.40","50.40","50.53","56.85","36.75","82,16,930","41,51,81,507.90","17,655"
"03-Nov-2023","EQ","50.95","51.05","49.90","50.50","50.00","50.15","50.40","56.85","36.75","1,11,08,918","55,99,05,563.45","28,219"
"02-Nov-2023","EQ","49.95","50.90","49.60","49.50","50.75","50.50","50.20","56.85","36.75","1,27,89,445","64,20,53,038.30","29,838"
"01-Nov-2023","EQ","50.40","50.45","49.20","50.20","49.65","49.50","49.60","56.85","36.75","1,70,53,951","84,58,00,797.45","36,122"
"31-Oct-2023","EQ","51.30","51.35","49.90","51.00","50.55","50.20","50.55","56.85","36.75","1,01,12,337","51,12,24,001.70","26,000"
"30-Oct-2023","EQ","50.90","51.30","50.35","50.65","50.95","51.00","50.91","56.85","36.75","1,15,05,454","58,57,54,847.40","25,639"
"27-Oct-2023","EQ","50.00","51.65","49.95","49.65","50.90","50.65","50.86","56.85","36.75","1,84,12,382","93,64,91,814.75","33,665"
"26-Oct-2023","EQ","50.00","50.00","48.40","50.00","49.65","49.65","49.23","56.85","36.75","1,28,75,069","63,38,18,755.25","25,813"
"25-Oct-2023","EQ","51.00","51.70","49.55","50.50","50.00","50.00","50.24","56.85","36.75","1,83,64,223","92,26,37,091.95","37,636"
"23-Oct-2023","EQ","51.55","51.80","49.85","51.50","50.50","50.50","50.48","56.85","36.75","2,74,37,723","1,38,51,68,423.55","49,565"
"20-Oct-2023","EQ","52.05","52.50","51.05","52.05","51.55","51.50","51.70","56.85","36.75","1,30,47,711","67,46,18,438.40","23,425"
"19-Oct-2023","EQ","51.95","52.70","51.80","52.05","51.90","52.05","52.20","56.85","36.75","1,26,62,066","66,09,31,027.45","25,329"
"18-Oct-2023","EQ","53.40","53.80","51.75","53.10","52.15","52.05","52.57","56.85","36.75","2,41,23,697","1,26,81,35,060.50","33,195"
"17-Oct-2023","EQ","52.45","53.90","52.25","52.15","53.00","53.10","53.26","56.85","36.75","1,97,25,789","1,05,05,69,359.85","30,797"
"16-Oct-2023","EQ","51.95","52.50","51.70","52.45","52.05","52.15","52.10","56.85","36.75","1,29,13,226","67,28,36,013.55","26,011"
"13-Oct-2023","EQ","52.40","53.10","52.30","52.70","52.45","52.45","52.70","56.85","36.75","1,09,70,978","57,81,45,850.30","17,057"
"12-Oct-2023","EQ","52.80","53.40","52.55","52.55","52.60","52.70","52.88","56.85","36.75","1,31,14,698","69,35,62,741.15","20,187"
"11-Oct-2023","EQ","52.70","53.00","52.15","52.30","52.50","52.55","52.55","56.85","36.75","1,38,48,985","72,77,70,896.90","21,653"
"10-Oct-2023","EQ","52.35","52.60","51.90","52.00","52.35","52.30","52.18","56.85","36.75","1,45,30,708","75,81,64,245.65","21,943"
"09-Oct-2023","EQ","52.50","52.55","51.60","53.15","52.05","52.00","51.92","56.85","36.75","2,11,59,737","1,09,85,33,329.00","41,393"
"06-Oct-2023","EQ","53.45","53.45","52.75","53.05","53.10","53.15","53.13","56.85","35.05","1,19,51,840","63,50,11,317.95","22,909"
"05-Oct-2023","EQ","52.00","53.65","51.70","53.25","52.90","53.05","52.71","56.85","35.05","4,87,42,608","2,56,93,15,261.55","51,915"
"04-Oct-2023","EQ","53.15","53.50","52.00","53.15","53.25","53.25","52.84","56.85","35.05","2,32,91,977","1,23,08,41,456.25","27,186"
"03-Oct-2023","EQ","53.10","53.95","52.80","52.80","53.35","53.15","53.30","56.85","35.05","2,11,45,618","1,12,70,13,691.50","34,559"
"29-Sep-2023","EQ","52.15","53.80","52.15","51.90","53.10","52.80","53.07","56.85","34.05","3,43,77,987","1,82,45,37,642.50","47,184"
"28-Sep-2023","EQ","52.30","52.75","51.60","52.00","51.85","51.90","52.11","56.85","34.05","3,08,32,380","1,60,66,63,885.75","43,007"
"27-Sep-2023","EQ","51.80","52.40","51.10","51.60","52.15","52.00","51.83","56.85","34.05","3,02,41,826","1,56,73,85,399.50","38,724"
"26-Sep-2023","EQ","52.40","52.80","51.45","52.25","51.60","51.60","52.04","56.85","34.05","2,12,71,205","1,10,69,99,772.40","47,249"
"25-Sep-2023","EQ","52.45","52.70","51.50","52.05","52.30","52.25","52.11","56.85","34.05","2,28,10,402","1,18,85,73,095.20","31,175"
"22-Sep-2023","EQ","52.60","53.90","51.85","52.35","52.00","52.05","52.97","56.85","34.05","5,36,75,534","2,84,34,43,194.10","77,643"
"21-Sep-2023","EQ","54.45","55.40","51.75","55.50","52.35","52.35","53.33","56.85","34.05","5,08,91,570","2,71,42,36,184.05","69,689"
"20-Sep-2023","EQ","53.90","56.35","52.90","54.20","55.35","55.50","54.98","56.85","34.05","6,43,91,050","3,54,00,09,516.75","76,584"
"18-Sep-2023","EQ","54.80","55.45","53.85","54.80","54.10","54.20","54.75","56.85","34.05","4,34,12,811","2,37,68,27,255.65","47,470"
"15-Sep-2023","EQ","56.50","56.60","54.10","55.90","54.95","54.80","55.17","56.85","34.05","5,69,93,750","3,14,40,93,525.15","69,331"
"14-Sep-2023","EQ","52.35","56.85","51.60","51.90","56.00","55.90","54.65","56.85","34.05","11,29,62,101","6,17,39,16,577.00","1,13,962"
"13-Sep-2023","EQ","50.50","52.20","49.35","50.70","51.80","51.90","50.93","55.70","34.05","5,18,61,783","2,64,10,75,007.80","80,241"
"12-Sep-2023","EQ","55.20","55.70","50.15","54.70","50.80","50.70","51.97","55.70","34.05","7,84,23,300","4,07,57,45,977.70","1,39,952"
"11-Sep-2023","EQ","53.45","55.00","52.55","52.80","54.45","54.70","54.18","55.00","34.05","11,13,72,704","6,03,39,85,055.80","1,12,355"
"08-Sep-2023","EQ","54.00","54.25","52.20","53.95","52.80","52.80","52.91","54.35","34.05","3,27,92,462","1,73,50,69,873.70","53,361"
"07-Sep-2023","EQ","53.55","54.35","53.00","53.30","53.85","53.95","53.80","54.35","34.05","3,40,30,394","1,83,08,38,917.10","54,980"
"06-Sep-2023","EQ","53.25","53.60","52.15","52.70","53.25","53.30","53.01","53.70","34.05","3,52,82,390","1,87,02,27,860.60","51,684"
"05-Sep-2023","EQ","52.00","53.70","51.60","51.30","52.75","52.70","52.79","53.70","34.05","8,67,54,268","4,58,01,01,812.05","1,07,194"
"04-Sep-2023","EQ","50.80","52.35","50.60","50.25","51.30","51.30","51.57","52.70","34.05","3,70,20,654","1,90,92,86,448.65","49,624"
"01-Sep-2023","EQ","50.35","51.05","49.90","50.20","50.30","50.25","50.45","52.70","34.05","1,56,00,040","78,70,62,557.15","27,157"
"31-Aug-2023","EQ","51.15","51.25","50.10","50.95","50.30","50.20","50.59","52.70","34.05","1,23,11,152","62,28,56,293.55","33,235"
"30-Aug-2023","EQ","51.25","51.50","50.80","51.05","50.95","50.95","51.02","52.70","34.05","1,66,25,736","84,81,81,152.85","31,720"
"29-Aug-2023","EQ","51.00","51.30","50.60","50.65","50.85","51.05","50.99","52.70","34.05","1,51,20,359","77,09,73,718.80","65,120"
"28-Aug-2023","EQ","50.40","51.20","50.00","50.00","50.65","50.65","50.64","52.70","34.05","1,01,76,435","51,53,21,385.05","30,103"
"25-Aug-2023","EQ","50.45","50.65","49.90","50.50","50.00","50.00","50.09","52.70","33.50","90,97,480","45,57,25,491.70","28,421"
"24-Aug-2023","EQ","51.00","51.80","50.10","50.55","50.55","50.50","50.97","52.70","33.50","1,60,28,166","81,69,25,611.55","35,643"
"23-Aug-2023","EQ","50.00","51.15","49.90","49.80","50.55","50.55","50.43","52.70","33.50","1,21,38,009","61,21,12,636.25","31,085"
"22-Aug-2023","EQ","50.30","50.50","49.50","50.10","49.80","49.80","49.81","52.70","33.50","1,05,31,488","52,45,79,004.10","37,923"
"21-Aug-2023","EQ","49.85","50.25","49.70","49.85","50.05","50.10","49.95","52.70","33.50","55,78,827","27,86,85,304.70","41,213"
