"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","340.00","340.00","334.85","339.55","336.95","337.75","336.84","348.05","166.80","96,65,454","3,25,57,08,368.15","1,31,628"
"22-Feb-2024","EQ","339.00","340.25","330.60","336.10","339.15","339.55","334.88","348.05","166.80","1,60,83,122","5,38,58,95,227.40","2,17,584"
"21-Feb-2024","EQ","347.00","348.05","334.70","345.70","335.90","336.10","341.57","348.05","166.80","1,77,51,633","6,06,35,13,144.00","1,77,566"
"20-Feb-2024","EQ","340.60","346.50","337.80","338.75","346.00","345.70","343.48","346.50","166.80","1,93,40,526","6,64,30,51,639.35","1,70,310"
"19-Feb-2024","EQ","340.40","341.90","337.50","337.75","338.70","338.75","339.64","342.95","166.80","84,96,898","2,88,58,53,799.90","1,20,591"
"16-Feb-2024","EQ","341.90","342.95","336.80","339.25","337.40","337.75","339.77","342.95","164.20","2,03,07,449","6,89,98,20,251.20","2,07,861"
"15-Feb-2024","EQ","331.00","340.90","330.15","328.00","340.85","339.25","336.16","341.05","164.20","2,19,73,316","7,38,64,48,334.45","2,32,612"
"14-Feb-2024","EQ","320.90","329.35","318.35","321.55","328.45","328.00","322.50","341.05","164.20","1,40,85,723","4,54,26,90,962.70","1,65,867"
"13-Feb-2024","EQ","318.55","323.95","315.90","316.15","320.90","321.55","320.66","341.05","164.20","1,54,26,888","4,94,68,41,328.60","1,73,208"
"12-Feb-2024","EQ","326.15","326.70","314.50","324.90","316.25","316.15","318.12","341.05","164.20","1,17,14,289","3,72,65,73,652.90","1,79,709"
"09-Feb-2024","EQ","332.95","335.00","319.60","330.90","324.70","324.90","325.61","341.05","164.05","1,83,04,439","5,96,00,93,394.95","2,41,383"
"08-Feb-2024","EQ","333.95","335.25","328.00","330.70","332.00","330.90","331.33","341.05","164.05","1,77,54,869","5,88,26,84,049.70","2,61,928"
"07-Feb-2024","EQ","337.90","337.90","329.65","334.20","331.90","330.70","332.47","341.05","164.05","80,80,437","2,68,64,89,834.10","1,34,501"
"06-Feb-2024","EQ","336.00","336.00","329.00","336.10","334.25","334.20","333.00","341.05","164.05","1,20,24,661","4,00,42,09,402.15","1,22,876"
"05-Feb-2024","EQ","338.00","341.05","333.05","332.50","336.00","336.10","337.50","341.05","164.05","1,96,51,482","6,63,22,87,173.30","2,19,882"
"02-Feb-2024","EQ","324.00","333.70","323.10","322.00","332.55","332.50","329.85","333.70","162.55","3,23,46,639","10,66,94,39,507.75","2,64,597"
"01-Feb-2024","EQ","320.05","326.95","317.10","317.50","321.50","322.00","321.70","326.95","162.55","2,40,20,951","7,72,76,13,690.10","2,52,460"
"31-Jan-2024","EQ","318.55","320.00","312.60","315.45","317.75","317.50","315.92","325.75","162.55","2,09,31,224","6,61,26,96,780.65","1,65,320"
"30-Jan-2024","EQ","321.85","323.95","314.50","324.55","316.10","315.45","319.11","325.75","162.55","2,09,18,448","6,67,53,64,540.50","2,11,332"
"29-Jan-2024","EQ","317.80","325.75","316.15","314.75","325.45","324.55","321.96","325.75","162.55","2,46,94,773","7,95,07,04,759.35","2,20,943"
"25-Jan-2024","EQ","310.00","317.20","309.20","308.85","314.75","314.75","314.55","325.65","162.55","3,25,25,422","10,23,09,07,812.10","2,09,496"
"24-Jan-2024","EQ","302.95","310.70","298.25","302.60","308.65","308.85","306.50","325.65","162.55","2,39,22,028","7,33,19,95,600.85","2,02,899"
"23-Jan-2024","EQ","313.45","315.30","300.30","308.20","302.00","302.60","308.72","325.65","162.55","2,16,52,362","6,68,44,63,212.35","2,03,929"
"20-Jan-2024","EQ","309.95","314.85","306.25","308.45","309.05","308.20","311.67","325.65","162.55","1,06,52,125","3,31,99,31,700.90","89,366"
"19-Jan-2024","EQ","303.80","309.45","301.70","299.30","308.85","308.45","306.93","325.65","162.55","2,86,51,237","8,79,38,06,264.45","2,53,761"
"18-Jan-2024","EQ","308.95","311.30","296.55","309.30","299.60","299.30","300.37","325.65","162.55","3,24,81,018","9,75,61,75,573.20","2,66,924"
"17-Jan-2024","EQ","309.75","314.10","307.10","311.50","309.65","309.30","310.87","325.65","162.55","1,35,02,940","4,19,76,72,956.10","1,70,640"
"16-Jan-2024","EQ","317.25","317.25","310.15","317.30","311.55","311.50","312.59","325.65","162.55","1,01,62,832","3,17,67,73,354.30","1,54,924"
"15-Jan-2024","EQ","314.90","318.00","309.60","312.65","316.80","317.30","314.95","325.65","162.55","97,06,124","3,05,68,99,511.15","1,42,402"
"12-Jan-2024","EQ","315.20","315.30","309.70","312.90","313.05","312.65","311.97","325.65","162.55","1,23,41,629","3,85,02,06,309.55","1,27,863"
"11-Jan-2024","EQ","314.95","317.30","312.35","313.35","313.50","312.90","314.36","325.65","162.55","1,03,16,319","3,24,30,66,161.50","1,50,727"
"10-Jan-2024","EQ","319.65","319.75","308.00","319.75","313.40","313.35","311.84","325.65","162.55","1,44,55,000","4,50,77,11,517.40","1,71,845"
"09-Jan-2024","EQ","317.85","321.45","316.05","316.45","319.40","319.75","318.97","325.65","162.55","1,22,29,517","3,90,08,73,089.40","1,72,381"
"08-Jan-2024","EQ","316.45","318.35","312.60","314.95","316.60","316.45","316.15","325.65","162.55","1,01,36,462","3,20,46,48,038.90","1,52,651"
"05-Jan-2024","EQ","322.90","325.65","312.70","317.10","315.30","314.95","318.42","325.65","162.55","2,74,56,415","8,74,25,62,237.65","2,50,679"
"04-Jan-2024","EQ","310.90","321.75","308.60","306.20","317.00","317.10","317.24","321.75","162.55","4,00,57,506","12,70,79,83,067.25","3,38,751"
"03-Jan-2024","EQ","307.20","308.00","303.30","306.00","307.20","306.20","305.72","315.50","162.55","1,42,59,987","4,35,95,20,690.65","1,67,461"
"02-Jan-2024","EQ","310.80","310.80","302.05","309.75","306.85","306.00","306.02","315.50","162.55","1,35,06,040","4,13,30,78,864.00","1,71,490"
"01-Jan-2024","EQ","312.00","313.30","307.80","311.15","309.50","309.75","310.43","315.50","162.55","80,24,960","2,49,12,01,637.10","1,62,429"
"29-Dec-2023","EQ","314.35","314.35","308.15","313.90","310.50","311.15","310.90","315.50","161.90","1,26,82,889","3,94,31,50,099.40","1,40,067"
"28-Dec-2023","EQ","309.10","315.50","307.75","306.05","315.45","313.90","313.04","315.50","161.90","3,75,91,916","11,76,79,20,267.65","1,98,791"
"27-Dec-2023","EQ","311.60","312.25","303.55","309.60","306.80","306.05","306.72","313.35","161.90","1,26,30,732","3,87,41,25,345.35","1,43,031"
"26-Dec-2023","EQ","306.45","310.70","304.60","302.80","309.95","309.60","308.56","313.35","161.90","99,17,180","3,06,00,04,325.95","1,08,530"
"22-Dec-2023","EQ","304.00","308.95","299.60","301.95","302.75","302.80","304.34","313.35","161.90","1,52,07,726","4,62,83,82,032.90","1,72,423"
"21-Dec-2023","EQ","295.80","303.15","293.20","297.65","302.45","301.95","299.07","313.35","161.90","1,78,68,637","5,34,40,62,072.35","1,84,283"
"20-Dec-2023","EQ","312.50","313.35","295.15","309.65","301.60","297.65","306.04","313.35","161.90","2,34,97,233","7,19,10,90,988.80","1,81,514"
"19-Dec-2023","EQ","305.00","312.50","302.50","303.20","309.60","309.65","308.55","312.50","161.90","1,56,50,536","4,82,89,07,673.15","1,95,990"
"18-Dec-2023","EQ","306.00","306.55","301.75","305.10","303.90","303.20","303.77","307.00","161.90","1,33,07,504","4,04,24,19,292.60","1,58,198"
"15-Dec-2023","EQ","298.00","307.00","295.00","295.40","305.00","305.10","300.67","307.00","161.90","2,88,43,558","8,67,24,51,123.60","1,67,534"
"14-Dec-2023","EQ","297.75","298.50","293.60","294.05","295.95","295.40","295.73","298.50","161.90","2,49,00,443","7,36,37,32,584.50","2,00,756"
"13-Dec-2023","EQ","284.75","294.90","284.50","283.40","294.10","294.05","291.08","294.90","161.90","2,36,29,670","6,87,81,03,399.20","1,83,019"
"12-Dec-2023","EQ","287.45","288.60","280.85","287.30","283.60","283.40","284.23","291.90","161.90","86,40,883","2,45,60,33,249.50","1,14,277"
"11-Dec-2023","EQ","286.05","288.50","284.40","285.05","287.60","287.30","286.41","291.90","161.90","80,71,675","2,31,17,75,368.45","1,09,908"
"08-Dec-2023","EQ","286.45","291.90","281.00","283.80","284.55","285.05","286.35","291.90","161.90","2,08,15,064","5,96,04,47,462.95","2,09,792"
"07-Dec-2023","EQ","281.85","288.25","281.30","281.10","284.80","283.80","283.66","288.25","161.90","2,51,33,786","7,12,94,64,579.05","1,88,179"
"06-Dec-2023","EQ","288.00","288.25","278.95","285.45","281.40","281.10","282.17","288.25","161.90","1,34,15,314","3,78,54,43,111.20","1,26,559"
"05-Dec-2023","EQ","275.20","286.55","272.80","274.80","286.30","285.45","280.43","286.55","161.90","1,88,83,076","5,29,53,98,657.80","1,61,251"
"04-Dec-2023","EQ","276.00","279.00","273.25","268.95","274.90","274.80","275.68","279.00","161.90","2,04,64,526","5,64,17,38,576.05","1,62,851"
"01-Dec-2023","EQ","262.35","275.45","261.75","261.30","268.95","268.95","270.92","275.45","161.90","2,91,21,320","7,88,94,72,596.65","2,13,460"
"30-Nov-2023","EQ","257.95","261.65","256.00","258.40","261.00","261.30","259.76","261.65","161.90","2,16,87,673","5,63,36,96,607.40","1,39,745"
"29-Nov-2023","EQ","259.55","259.55","256.10","257.55","258.25","258.40","257.93","259.55","161.90","86,37,363","2,22,78,27,782.35","90,113"
"28-Nov-2023","EQ","254.85","258.30","253.65","253.90","257.50","257.55","256.12","258.30","161.90","61,51,585","1,57,55,32,863.45","89,721"
"24-Nov-2023","EQ","253.30","256.85","253.00","252.75","253.80","253.90","254.95","256.85","161.90","71,49,443","1,82,27,33,017.15","93,752"
"23-Nov-2023","EQ","254.00","255.70","251.70","253.65","252.50","252.75","253.36","255.70","161.90","82,00,025","2,07,75,31,908.25","84,150"
"22-Nov-2023","EQ","250.80","254.00","249.35","250.00","253.00","253.65","252.18","255.40","161.90","52,75,418","1,33,03,28,624.05","78,032"
"21-Nov-2023","EQ","252.60","252.80","247.30","251.05","249.75","250.00","249.85","255.40","161.90","68,51,869","1,71,19,25,713.65","88,862"
"20-Nov-2023","EQ","251.00","255.40","250.30","251.60","250.80","251.05","252.54","255.40","161.90","62,83,832","1,58,69,04,234.45","70,610"
"17-Nov-2023","EQ","253.00","253.10","251.00","252.35","251.20","251.60","251.86","254.25","161.90","56,18,928","1,41,51,81,116.40","1,03,349"
"16-Nov-2023","EQ","248.80","254.25","247.65","247.30","252.30","252.35","252.12","254.25","161.90","2,21,45,147","5,58,31,77,637.60","1,68,654"
