"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","8,001.00","8,189.45","7,873.60","7,909.15","7,893.00","7,890.30","8,024.64","8,189.45","3,124.00","3,72,633","2,99,02,46,233.15","54,823"
"22-Feb-2024","EQ","7,768.85","7,934.20","7,634.00","7,752.85","7,900.80","7,909.15","7,809.63","8,130.00","3,124.00","2,27,277","1,77,49,48,818.30","38,212"
"21-Feb-2024","EQ","7,801.90","7,890.00","7,707.85","7,796.25","7,748.00","7,752.85","7,803.62","8,130.00","3,124.00","1,11,685","87,15,47,802.30","21,035"
"20-Feb-2024","EQ","7,849.00","7,922.00","7,700.00","7,817.35","7,810.30","7,796.25","7,796.99","8,130.00","3,124.00","1,26,862","98,91,41,184.60","23,526"
"19-Feb-2024","EQ","7,919.95","8,027.00","7,744.80","7,917.50","7,854.00","7,817.35","7,897.37","8,130.00","3,124.00","1,76,152","1,39,11,38,309.00","33,656"
"16-Feb-2024","EQ","7,880.00","7,992.45","7,760.00","7,811.80","7,880.00","7,917.50","7,888.26","8,130.00","3,102.60","2,19,218","1,72,92,49,395.00","28,636"
"15-Feb-2024","EQ","7,835.00","8,130.00","7,620.00","7,765.85","7,786.55","7,811.80","7,882.28","8,130.00","3,102.60","4,44,322","3,50,22,71,056.05","60,016"
"14-Feb-2024","EQ","7,583.35","7,848.00","7,455.45","7,700.85","7,825.00","7,765.85","7,659.15","7,848.00","3,102.60","2,96,784","2,27,31,12,662.25","41,072"
"13-Feb-2024","EQ","7,199.95","7,753.10","7,198.80","7,198.80","7,685.00","7,700.85","7,547.77","7,753.10","3,102.60","4,67,045","3,52,51,47,975.45","63,702"
"12-Feb-2024","EQ","7,525.00","7,599.00","7,136.10","7,525.75","7,195.65","7,198.80","7,368.96","7,599.00","3,102.60","2,53,151","1,86,54,59,411.45","31,812"
"09-Feb-2024","EQ","7,270.05","7,590.00","7,075.00","7,233.15","7,485.00","7,525.75","7,366.52","7,590.00","3,102.10","4,16,579","3,06,87,36,834.40","57,881"
"08-Feb-2024","EQ","7,069.90","7,362.00","7,000.45","7,023.70","7,258.00","7,233.15","7,235.93","7,362.00","3,102.10","3,90,965","2,82,89,93,832.30","51,845"
"07-Feb-2024","EQ","7,090.00","7,130.00","6,850.50","7,034.90","7,025.95","7,023.70","6,984.66","7,173.40","3,102.10","1,99,421","1,39,28,87,953.10","27,545"
"06-Feb-2024","EQ","6,698.00","7,099.90","6,620.00","6,616.60","7,045.00","7,034.90","6,947.57","7,173.40","3,102.10","5,08,020","3,52,95,04,536.90","55,539"
"05-Feb-2024","EQ","6,586.00","6,820.00","6,567.75","6,564.10","6,618.00","6,616.60","6,692.47","7,173.40","3,102.10","2,32,016","1,55,27,61,067.80","27,210"
"02-Feb-2024","EQ","6,489.00","6,707.95","6,440.25","6,443.15","6,593.85","6,564.10","6,564.45","7,173.40","3,012.25","2,00,406","1,31,55,55,841.75","25,615"
"01-Feb-2024","EQ","6,521.00","6,521.10","6,381.00","6,521.10","6,450.00","6,443.15","6,441.26","7,173.40","3,012.25","1,03,305","66,54,14,529.70","16,149"
"31-Jan-2024","EQ","6,444.00","6,557.90","6,402.05","6,441.55","6,521.00","6,521.10","6,491.26","7,173.40","3,012.25","1,51,480","98,32,95,566.45","22,803"
"30-Jan-2024","EQ","6,648.20","6,749.00","6,411.00","6,631.50","6,419.40","6,441.55","6,534.81","7,173.40","3,012.25","2,21,779","1,44,92,84,662.15","28,838"
"29-Jan-2024","EQ","6,722.20","6,757.85","6,582.60","6,707.30","6,634.50","6,631.50","6,653.68","7,173.40","3,012.25","2,00,607","1,33,47,74,269.45","27,166"
"25-Jan-2024","EQ","6,661.00","7,059.00","6,650.00","6,602.35","6,695.00","6,707.30","6,822.54","7,173.40","3,012.25","8,09,697","5,52,41,89,846.60","85,589"
