"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","129.50","130.80","127.00","129.00","127.50","127.95","128.59","132.60","44.40","4,81,91,136","6,19,68,50,767.70","1,23,118"
"22-Feb-2024","EQ","128.95","129.30","125.65","128.35","129.00","129.00","127.49","132.60","44.40","4,18,73,541","5,33,84,54,630.15","1,28,311"
"21-Feb-2024","EQ","129.95","131.15","127.20","129.50","128.35","128.35","129.37","132.60","44.40","5,40,01,521","6,98,61,07,974.25","1,42,315"
"20-Feb-2024","EQ","129.00","130.50","128.20","128.45","129.50","129.50","129.57","132.60","44.40","3,25,39,004","4,21,60,51,587.60","1,15,117"
"19-Feb-2024","EQ","130.90","131.30","128.20","130.15","128.60","128.45","129.75","132.60","44.40","4,45,82,022","5,78,43,04,801.05","1,36,266"
"16-Feb-2024","EQ","129.65","132.60","129.30","128.85","130.40","130.15","131.22","132.60","44.40","11,12,66,944","14,60,02,89,172.50","2,59,559"
"15-Feb-2024","EQ","124.90","129.30","123.60","122.95","128.95","128.85","127.15","129.30","44.40","10,25,10,609","13,03,44,50,421.65","2,32,546"
"14-Feb-2024","EQ","120.90","124.50","119.50","122.10","124.20","122.95","122.17","128.25","44.40","5,71,58,902","6,98,28,51,772.50","1,67,959"
"13-Feb-2024","EQ","118.30","123.50","115.70","118.25","121.70","122.10","120.70","128.25","44.40","7,68,85,208","9,28,00,19,240.60","2,12,797"
"12-Feb-2024","EQ","124.85","125.55","117.10","123.90","117.50","118.25","120.90","128.25","44.40","6,50,62,679","7,86,61,47,165.75","1,80,551"
"09-Feb-2024","EQ","124.50","124.60","117.80","124.30","123.90","123.90","121.43","128.25","44.40","6,91,28,606","8,39,43,53,773.15","2,18,544"
"08-Feb-2024","EQ","125.65","127.25","123.05","123.90","124.40","124.30","125.28","128.25","44.40","8,35,00,656","10,46,06,78,488.55","2,04,369"
"07-Feb-2024","EQ","123.70","125.75","122.85","121.90","124.40","123.90","124.31","128.25","44.40","6,58,31,369","8,18,37,58,754.45","2,00,654"
"06-Feb-2024","EQ","122.40","122.85","119.10","121.65","122.70","121.90","121.02","128.25","44.40","5,30,28,325","6,41,75,45,951.65","2,15,838"
"05-Feb-2024","EQ","125.90","126.80","120.80","125.40","122.00","121.65","124.33","128.25","44.40","9,29,93,076","11,56,22,01,873.75","3,02,589"
"02-Feb-2024","EQ","121.70","128.25","120.10","118.85","124.90","125.40","124.55","128.25","44.40","16,75,66,465","20,87,01,94,579.45","4,13,791"
"01-Feb-2024","EQ","115.00","119.65","113.70","114.40","119.25","118.85","116.85","119.65","44.40","13,43,80,980","15,70,27,82,816.00","3,09,944"
"31-Jan-2024","EQ","109.50","114.95","109.05","109.25","114.50","114.40","112.40","114.95","44.40","11,31,35,172","12,71,59,53,017.25","2,67,215"
"30-Jan-2024","EQ","108.00","110.95","106.90","107.50","109.15","109.25","109.22","110.95","44.40","7,59,11,884","8,29,12,91,537.00","1,67,772"
"29-Jan-2024","EQ","107.50","109.50","105.45","104.50","107.40","107.50","107.62","109.50","44.40","10,81,49,443","11,63,88,28,385.55","2,41,800"
"25-Jan-2024","EQ","102.75","106.00","100.65","102.20","105.80","104.50","103.08","106.70","44.40","11,17,91,532","11,52,35,20,244.75","2,50,172"
"24-Jan-2024","EQ","99.15","102.65","97.80","98.75","102.10","102.20","101.21","106.70","44.40","6,50,88,374","6,58,78,49,213.95","1,57,454"
"23-Jan-2024","EQ","106.65","106.70","98.15","105.00","98.60","98.75","101.64","106.70","44.40","8,37,23,415","8,50,97,27,683.00","2,47,537"
"20-Jan-2024","EQ","103.55","105.70","102.60","102.20","105.10","105.00","104.14","105.70","44.40","5,19,01,229","5,40,51,14,894.05","1,39,017"
"19-Jan-2024","EQ","99.40","102.50","98.90","98.50","102.15","102.20","101.43","102.50","44.40","10,41,94,911","10,56,87,97,818.45","2,21,019"
"18-Jan-2024","EQ","97.30","99.00","94.30","97.20","98.45","98.50","97.47","100.10","44.40","6,07,33,225","5,91,94,64,773.65","1,40,954"
"17-Jan-2024","EQ","97.05","99.95","96.40","98.25","97.50","97.20","98.00","100.10","44.40","9,87,59,165","9,67,87,17,247.85","2,06,431"
"16-Jan-2024","EQ","98.40","100.10","96.80","98.20","98.25","98.25","98.60","100.10","44.40","6,06,60,256","5,98,12,78,594.70","1,38,150"
"15-Jan-2024","EQ","98.35","99.60","97.80","97.70","98.25","98.20","98.46","99.60","44.40","4,67,01,350","4,59,82,25,826.10","1,19,463"
"12-Jan-2024","EQ","95.40","98.60","94.70","94.80","97.75","97.70","97.57","99.25","44.40","7,85,25,419","7,66,15,86,820.35","1,60,573"
