"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","282.55","285.20","279.00","282.60","281.90","281.95","281.90","289.45","190.65","1,43,13,526","4,03,50,24,953.20","1,35,622"
"22-Feb-2024","EQ","280.10","283.50","273.25","280.10","281.70","282.60","277.98","289.45","190.65","2,67,93,590","7,44,80,25,944.55","2,04,331"
"21-Feb-2024","EQ","287.55","289.45","279.25","287.90","279.90","280.10","282.74","289.45","190.65","2,46,51,085","6,96,98,88,514.75","1,61,443"
"20-Feb-2024","EQ","278.35","288.75","277.70","276.35","288.40","287.90","286.05","289.40","190.65","4,30,53,543","12,31,53,49,292.75","2,75,458"
"19-Feb-2024","EQ","275.10","278.30","273.30","274.55","276.10","276.35","276.33","289.40","190.65","1,14,29,901","3,15,84,11,004.25","94,228"
"16-Feb-2024","EQ","282.00","282.90","273.30","281.65","274.50","274.55","276.63","289.40","190.65","2,51,29,188","6,95,15,36,630.05","1,79,023"
"15-Feb-2024","EQ","272.00","283.35","271.35","273.65","281.45","281.65","278.91","289.40","190.65","2,54,75,670","7,10,53,79,128.10","1,76,451"
"14-Feb-2024","EQ","269.50","275.00","267.00","270.25","274.05","273.65","271.13","289.40","190.65","1,35,46,941","3,67,30,22,848.10","1,37,073"
"13-Feb-2024","EQ","270.30","270.85","264.25","270.30","270.45","270.25","267.75","289.40","190.65","2,20,31,847","5,89,89,98,438.90","1,53,593"
"12-Feb-2024","EQ","273.20","276.00","266.25","273.00","270.25","270.30","270.67","289.40","190.65","1,91,40,023","5,18,05,88,598.50","1,61,285"
"09-Feb-2024","EQ","278.60","279.45","269.10","276.20","273.00","273.00","273.81","289.40","190.65","2,44,96,638","6,70,73,75,156.20","1,73,265"
"08-Feb-2024","EQ","270.80","288.05","270.80","267.95","276.00","276.20","281.05","289.40","190.65","6,97,76,717","19,61,10,30,395.45","4,71,791"
"07-Feb-2024","EQ","272.10","274.40","266.80","274.25","267.40","267.95","270.20","289.40","190.65","2,73,35,466","7,38,61,78,334.20","2,20,578"
"06-Feb-2024","EQ","282.90","282.90","272.30","282.90","275.20","274.25","274.37","289.40","190.65","2,96,68,277","8,14,01,03,034.10","2,50,505"
"05-Feb-2024","EQ","277.50","289.40","274.90","277.10","283.35","282.90","283.57","289.40","190.65","2,74,40,927","7,78,15,29,027.55","2,25,358"
"02-Feb-2024","EQ","264.50","281.40","263.95","265.80","278.00","277.10","276.46","281.40","190.65","3,39,00,724","9,37,22,26,063.70","2,70,287"
"01-Feb-2024","EQ","259.00","270.95","258.30","259.30","266.25","265.80","266.33","270.95","190.65","2,99,29,092","7,97,10,62,100.00","2,80,633"
"31-Jan-2024","EQ","254.00","260.00","252.40","254.10","259.90","259.30","256.10","267.00","190.65","3,43,69,455","8,80,20,39,868.20","1,74,543"
"30-Jan-2024","EQ","254.00","256.95","251.50","253.95","254.20","254.10","254.12","267.00","190.65","1,60,31,367","4,07,38,66,371.30","1,66,226"
"29-Jan-2024","EQ","245.45","255.00","245.15","245.50","253.50","253.95","251.98","267.00","190.65","2,61,81,011","6,59,70,81,887.50","1,76,732"
"25-Jan-2024","EQ","244.75","248.70","243.10","246.20","245.60","245.50","245.86","267.00","190.65","2,06,51,484","5,07,73,86,185.40","1,92,859"
"24-Jan-2024","EQ","236.15","247.00","235.00","237.95","245.70","246.20","242.38","267.00","190.65","2,83,09,825","6,86,17,77,000.05","2,10,065"
"23-Jan-2024","EQ","241.00","246.80","236.25","237.20","236.75","237.95","242.57","267.00","190.65","2,74,92,163","6,66,88,61,781.65","1,93,031"
"20-Jan-2024","EQ","238.00","240.80","236.50","235.40","237.10","237.20","238.91","267.00","190.65","64,91,870","1,55,09,65,185.85","52,209"
"19-Jan-2024","EQ","235.00","236.95","232.40","233.45","236.85","235.40","233.86","267.00","190.65","2,09,31,080","4,89,50,02,493.80","1,56,147"
"18-Jan-2024","EQ","227.25","235.70","226.05","239.20","233.60","233.45","231.66","267.00","190.65","2,55,22,629","5,91,26,96,885.25","2,41,637"
"17-Jan-2024","EQ","238.50","241.20","237.70","239.05","239.05","239.20","239.36","267.00","190.65","1,36,20,300","3,26,00,87,772.45","1,04,816"
"16-Jan-2024","EQ","241.65","242.40","237.70","241.15","239.40","239.05","239.78","267.00","190.65","74,78,450","1,79,31,70,317.55","84,350"
"15-Jan-2024","EQ","240.40","241.50","237.00","239.50","241.00","241.15","239.77","267.00","190.65","1,25,97,366","3,02,04,52,028.70","87,288"
"12-Jan-2024","EQ","242.50","242.65","238.80","241.95","239.65","239.50","239.87","267.00","190.65","1,12,96,498","2,70,97,22,805.35","1,15,216"
"11-Jan-2024","EQ","240.25","243.10","239.20","239.15","241.75","241.95","241.01","267.00","190.65","1,88,12,468","4,53,39,04,659.90","1,23,728"
"10-Jan-2024","EQ","241.00","242.10","238.00","242.30","238.40","239.15","240.09","267.00","190.65","1,68,72,195","4,05,08,29,090.25","1,15,843"
"09-Jan-2024","EQ","242.60","244.65","241.50","242.35","242.45","242.30","243.19","267.00","190.65","86,88,409","2,11,29,17,801.50","92,644"
"08-Jan-2024","EQ","242.40","245.25","240.40","241.25","242.00","242.35","242.79","267.00","190.65","1,35,85,746","3,29,85,07,793.65","1,18,135"
"05-Jan-2024","EQ","242.00","245.00","239.30","241.45","240.80","241.25","241.84","267.00","190.65","1,63,45,257","3,95,29,44,319.60","1,35,160"
"04-Jan-2024","EQ","238.00","243.10","237.05","237.05","241.70","241.45","241.35","267.00","190.65","1,96,63,959","4,74,58,58,219.85","1,93,660"
"03-Jan-2024","EQ","236.00","238.70","234.60","237.85","237.20","237.05","237.26","267.00","190.65","82,84,439","1,96,55,82,334.80","1,05,820"
"02-Jan-2024","EQ","240.00","240.10","236.15","238.25","238.00","237.85","238.21","267.00","190.65","91,28,513","2,17,44,73,605.00","99,428"
"01-Jan-2024","EQ","237.90","239.50","236.40","237.20","237.10","238.25","238.30","267.00","190.65","59,52,776","1,41,85,22,098.00","79,560"
"29-Dec-2023","EQ","237.80","238.25","234.75","239.10","236.65","237.20","236.85","267.00","190.65","1,26,65,999","2,99,99,64,508.30","1,28,818"
"28-Dec-2023","EQ","235.10","239.95","234.10","234.05","237.95","239.10","238.20","267.00","190.65","3,91,64,340","9,32,89,92,534.00","1,63,236"
"27-Dec-2023","EQ","235.00","235.85","232.50","233.35","234.45","234.05","234.29","267.00","190.65","1,02,31,881","2,39,72,38,588.75","1,26,283"
"26-Dec-2023","EQ","232.00","235.80","231.05","231.75","233.05","233.35","234.41","267.00","190.65","67,72,092","1,58,74,23,202.15","80,603"
"22-Dec-2023","EQ","233.00","234.20","230.50","232.35","231.90","231.75","232.22","267.00","190.65","97,35,375","2,26,07,65,836.90","1,08,523"
"21-Dec-2023","EQ","224.45","233.20","222.70","227.15","232.35","232.35","229.57","267.00","190.65","1,77,55,207","4,07,60,67,252.00","1,24,474"
"20-Dec-2023","EQ","234.95","235.40","226.20","233.55","226.95","227.15","231.58","267.00","190.65","2,04,00,245","4,72,43,88,953.80","1,08,114"
"19-Dec-2023","EQ","232.15","234.40","230.85","231.85","233.65","233.55","232.97","267.00","190.65","1,26,12,164","2,93,82,00,605.65","1,11,819"
"18-Dec-2023","EQ","236.90","236.90","231.45","237.35","232.35","231.85","232.80","267.00","190.65","2,90,51,897","6,76,31,61,470.80","1,21,644"
"15-Dec-2023","EQ","235.00","238.10","227.15","232.10","237.30","237.35","234.09","267.00","190.65","4,13,41,690","9,67,77,79,436.80","1,47,110"
"14-Dec-2023","EQ","237.25","237.60","231.10","236.95","232.45","232.10","233.03","267.00","190.65","2,99,72,018","6,98,45,28,421.10","1,57,282"
"13-Dec-2023","EQ","231.00","237.50","230.60","231.35","236.70","236.95","235.34","267.00","190.65","2,68,78,281","6,32,55,67,235.15","1,29,371"
"12-Dec-2023","EQ","230.00","233.30","229.50","230.95","231.55","231.35","231.52","267.00","190.65","1,43,55,329","3,32,35,78,284.35","1,07,451"
"11-Dec-2023","EQ","228.00","232.90","226.55","228.60","231.45","230.95","230.58","267.00","190.65","1,91,06,395","4,40,55,97,955.30","1,16,090"
"08-Dec-2023","EQ","231.80","233.40","226.45","230.00","228.35","228.60","230.19","267.00","190.65","2,22,06,320","5,11,17,66,536.70","1,56,553"
"07-Dec-2023","EQ","225.00","232.40","224.25","224.40","229.75","230.00","229.36","267.00","190.65","2,45,34,268","5,62,72,30,142.45","1,89,167"
"06-Dec-2023","EQ","226.00","226.25","222.50","222.30","224.20","224.40","224.04","267.00","190.65","2,95,44,730","6,61,92,24,056.25","1,64,994"
"05-Dec-2023","EQ","213.70","223.25","211.55","212.90","223.05","222.30","217.95","267.00","190.65","4,07,09,207","8,87,24,61,242.75","1,63,607"
"04-Dec-2023","EQ","211.70","214.10","211.70","210.20","213.00","212.90","212.67","267.00","190.65","2,79,14,088","5,93,64,40,547.15","1,41,013"
"01-Dec-2023","EQ","211.50","212.45","209.45","208.95","210.00","210.20","211.17","267.00","190.65","2,07,19,909","4,37,53,58,516.45","1,15,921"
"30-Nov-2023","EQ","210.40","212.80","208.25","211.05","209.50","208.95","209.45","267.00","190.65","6,03,54,322","12,64,10,63,387.55","1,67,227"
"29-Nov-2023","EQ","210.30","211.45","209.10","210.20","211.15","211.05","210.56","267.00","190.65","1,00,62,023","2,11,86,78,547.00","86,949"
"28-Nov-2023","EQ","214.45","214.45","209.50","210.45","209.95","210.20","210.46","267.00","190.65","1,56,29,209","3,28,92,96,835.80","1,23,082"
"24-Nov-2023","EQ","211.30","212.10","209.50","210.90","209.80","210.45","210.70","267.00","190.65","72,50,200","1,52,75,95,938.35","70,075"
"23-Nov-2023","EQ","212.05","213.10","209.25","211.60","211.30","210.90","210.92","267.00","190.65","1,13,82,709","2,40,08,95,551.60","89,247"
"22-Nov-2023","EQ","208.20","212.60","208.20","208.95","211.20","211.60","211.42","267.00","190.65","1,30,79,580","2,76,53,01,476.95","81,160"
"21-Nov-2023","EQ","210.00","210.15","207.95","209.30","208.85","208.95","209.04","267.00","190.65","96,08,081","2,00,84,97,900.65","77,454"
"20-Nov-2023","EQ","210.10","211.20","208.85","209.50","209.50","209.30","209.85","267.00","190.65","1,11,56,900","2,34,13,27,042.35","86,449"
"17-Nov-2023","EQ","207.70","210.70","206.90","207.20","209.00","209.50","208.85","267.00","190.65","1,67,05,395","3,48,88,64,099.90","96,027"
"16-Nov-2023","EQ","206.70","208.85","205.70","210.15","207.40","207.20","207.42","267.00","190.65","2,75,33,260","5,71,10,55,062.65","1,44,158"
"15-Nov-2023","EQ","215.00","215.00","209.80","212.30","210.00","210.15","210.89","267.00","190.65","1,91,82,861","4,04,54,38,475.30","99,834"
"13-Nov-2023","EQ","212.00","215.10","210.70","212.00","212.10","212.30","213.28","267.00","190.65","1,13,52,269","2,42,11,60,245.45","85,644"
"12-Nov-2023","EQ","213.60","213.70","211.70","211.15","211.90","212.00","212.34","267.00","190.65","10,08,214","21,40,85,341.75","14,439"
"10-Nov-2023","EQ","210.50","213.00","209.60","209.80","211.00","211.15","211.12","267.00","190.65","1,20,66,023","2,54,73,86,423.30","79,765"
"09-Nov-2023","EQ","207.30","210.50","206.10","207.00","210.00","209.80","208.84","267.00","190.65","1,37,77,877","2,87,73,96,328.30","90,892"
"08-Nov-2023","EQ","209.00","209.60","206.65","208.00","207.25","207.00","207.59","267.00","190.65","74,35,543","1,54,35,59,759.45","53,776"
"07-Nov-2023","EQ","208.20","209.10","205.75","208.20","207.80","208.00","206.95","267.00","190.65","1,07,30,361","2,22,06,70,759.25","81,220"
"06-Nov-2023","EQ","205.00","208.95","204.95","204.40","208.00","208.20","207.02","267.00","190.65","98,04,415","2,02,96,68,833.30","89,914"
"03-Nov-2023","EQ","203.40","206.50","203.10","203.10","204.25","204.40","204.69","267.00","190.65","86,84,015","1,77,74,97,363.30","77,970"
"02-Nov-2023","EQ","201.75","203.65","200.90","200.95","203.50","203.10","202.06","267.00","190.65","1,29,24,797","2,61,15,66,156.55","1,02,050"
"01-Nov-2023","EQ","202.35","202.35","200.50","202.15","200.90","200.95","201.00","267.00","190.65","55,98,615","1,12,53,43,576.10","63,991"
"31-Oct-2023","EQ","201.50","202.95","200.55","200.85","201.65","202.15","202.01","267.00","190.65","74,74,770","1,50,99,79,842.90","89,173"
"30-Oct-2023","EQ","200.95","202.20","197.65","200.95","201.15","200.85","199.73","267.00","190.65","76,79,981","1,53,39,42,143.55","80,255"
"27-Oct-2023","EQ","199.25","201.80","199.15","198.95","200.70","200.95","200.92","267.00","190.65","99,95,487","2,00,83,22,239.50","75,473"
"26-Oct-2023","EQ","198.75","200.00","196.30","199.50","199.80","198.95","198.25","267.00","190.65","1,10,70,090","2,19,46,16,614.10","1,26,856"
"25-Oct-2023","EQ","199.00","200.45","197.80","199.75","199.85","199.50","199.47","267.00","190.65","1,68,17,158","3,35,44,79,996.55","99,320"
"23-Oct-2023","EQ","202.00","205.15","199.00","202.85","199.50","199.75","202.02","267.00","190.65","69,88,219","1,41,17,90,826.25","95,537"
"20-Oct-2023","EQ","205.20","205.20","200.90","205.80","203.10","202.85","202.71","267.00","190.65","2,20,81,120","4,47,60,21,355.75","1,30,666"
"19-Oct-2023","EQ","204.00","207.40","202.20","206.50","205.50","205.80","205.30","267.00","190.65","1,31,92,888","2,70,84,42,381.15","1,26,199"
"18-Oct-2023","EQ","208.45","208.45","204.00","207.15","206.45","206.50","205.61","267.00","190.65","1,49,23,328","3,06,83,44,016.00","95,205"
"17-Oct-2023","EQ","203.55","209.00","202.60","203.05","207.25","207.15","207.13","267.00","190.65","1,93,78,328","4,01,37,42,765.45","1,33,943"
"16-Oct-2023","EQ","200.30","203.85","200.10","201.80","203.05","203.05","201.54","267.00","190.65","1,83,36,656","3,69,56,50,473.30","96,309"
"13-Oct-2023","EQ","200.45","202.40","199.30","200.75","201.65","201.80","201.34","267.00","190.65","1,31,05,921","2,63,87,06,458.75","1,07,558"
"12-Oct-2023","EQ","197.35","202.00","197.35","198.50","201.05","200.75","199.96","267.00","190.65","2,18,72,719","4,37,37,51,304.00","1,20,135"
"11-Oct-2023","EQ","197.35","199.15","197.35","197.95","198.70","198.50","198.21","267.00","190.65","1,00,31,916","1,98,84,17,139.60","78,356"
"10-Oct-2023","EQ","196.25","198.55","195.70","196.25","198.00","197.95","197.58","267.00","190.65","74,40,527","1,47,00,84,497.40","84,175"
"09-Oct-2023","EQ","196.50","196.90","193.75","197.05","195.65","196.25","195.37","267.00","190.65","78,53,369","1,53,43,08,707.75","89,095"
"06-Oct-2023","EQ","197.00","197.45","194.85","196.60","196.90","197.05","196.49","267.00","190.65","1,28,57,229","2,52,63,46,502.40","1,60,650"
"05-Oct-2023","EQ","199.50","199.50","195.35","199.00","196.60","196.60","196.53","267.00","190.65","1,45,75,590","2,86,45,73,977.85","1,41,442"
"04-Oct-2023","EQ","198.90","199.40","195.40","199.55","199.10","199.00","197.83","267.00","190.65","1,41,20,040","2,79,34,10,970.40","1,23,235"
"03-Oct-2023","EQ","198.75","200.00","196.90","199.75","199.30","199.55","198.71","267.00","190.65","1,08,30,728","2,15,21,64,418.10","87,263"
"29-Sep-2023","EQ","200.95","201.90","199.10","200.75","200.20","199.75","200.13","267.00","186.35","1,62,93,959","3,26,09,81,718.10","1,03,601"
"28-Sep-2023","EQ","200.10","204.45","197.80","199.35","200.20","200.75","200.49","267.00","186.35","5,01,85,120","10,06,16,31,711.00","1,29,604"
"27-Sep-2023","EQ","199.30","199.60","197.30","198.35","199.35","199.35","198.96","267.00","186.35","67,36,870","1,34,03,93,392.40","78,032"
"26-Sep-2023","EQ","199.10","200.05","197.60","198.90","198.50","198.35","198.78","267.00","186.35","74,40,011","1,47,89,47,810.20","69,936"
"25-Sep-2023","EQ","200.00","200.65","196.70","199.15","199.45","198.90","198.82","267.00","186.35","1,19,51,847","2,37,63,06,258.55","91,676"
"22-Sep-2023","EQ","200.55","202.90","196.40","201.60","199.00","199.15","198.54","267.00","186.35","2,11,93,988","4,20,79,50,818.85","1,67,973"
"21-Sep-2023","EQ","205.00","205.55","200.40","204.65","202.15","201.60","202.34","267.00","186.35","2,03,32,556","4,11,40,42,959.85","1,59,234"
"20-Sep-2023","EQ","198.70","205.95","198.45","200.10","204.80","204.65","203.69","267.00","186.35","3,33,69,524","6,79,71,82,307.65","2,12,188"
"18-Sep-2023","EQ","195.25","200.50","194.10","194.10","200.15","200.10","197.52","267.00","186.35","2,56,27,043","5,06,18,27,701.20","1,12,091"
"15-Sep-2023","EQ","196.15","196.20","192.20","195.15","194.10","194.10","194.08","267.00","186.35","2,05,16,593","3,98,18,13,441.00","1,49,652"
"14-Sep-2023","EQ","194.20","195.65","193.70","193.20","195.25","195.15","194.63","267.00","186.35","1,09,41,807","2,12,95,62,103.40","1,05,128"
"13-Sep-2023","EQ","193.20","194.60","191.30","191.30","193.50","193.20","193.44","267.00","186.35","1,06,92,151","2,06,82,78,764.25","1,17,887"
"12-Sep-2023","EQ","203.00","204.25","190.65","264.50","191.90","191.30","195.28","267.00","186.35","2,98,26,173","5,82,45,11,623.70","2,56,374"
"11-Sep-2023","EQ","260.35","265.00","257.60","258.65","264.30","264.50","261.40","267.00","186.35","1,32,62,855","3,46,69,34,748.35","1,24,968"
"08-Sep-2023","EQ","258.25","261.30","257.10","257.00","258.70","258.65","259.12","267.00","186.35","1,25,86,314","3,26,13,11,246.75","78,420"
"07-Sep-2023","EQ","254.00","257.70","252.15","254.50","257.30","257.00","255.64","267.00","186.35","1,03,20,340","2,63,82,56,699.15","81,790"
"06-Sep-2023","EQ","256.70","257.25","252.15","254.30","254.00","254.50","254.23","267.00","186.35","75,13,855","1,91,02,37,566.20","83,525"
"05-Sep-2023","EQ","255.30","257.00","253.00","255.40","254.40","254.30","254.74","267.00","186.35","81,69,890","2,08,12,18,805.75","62,690"
"04-Sep-2023","EQ","253.60","256.50","250.80","252.20","255.50","255.40","254.23","267.00","186.35","76,80,024","1,95,24,73,808.90","80,947"
"01-Sep-2023","EQ","247.00","252.60","245.20","244.55","252.10","252.20","249.81","267.00","186.35","98,40,543","2,45,82,37,057.25","1,13,800"
"31-Aug-2023","EQ","247.85","249.60","243.55","247.10","245.15","244.55","246.03","267.00","186.35","1,55,36,865","3,82,25,48,431.40","1,29,597"
"30-Aug-2023","EQ","251.30","251.60","246.45","251.15","247.40","247.10","248.01","267.00","186.35","50,61,006","1,25,51,62,478.80","65,122"
"29-Aug-2023","EQ","249.60","253.00","248.60","248.50","251.00","251.15","251.43","267.00","186.35","92,72,491","2,33,14,27,140.45","82,711"
"28-Aug-2023","EQ","243.00","249.00","242.55","242.00","248.70","248.50","246.37","267.00","186.35","89,31,499","2,20,04,43,637.65","86,296"
"25-Aug-2023","EQ","246.15","247.40","241.40","246.30","242.00","242.00","243.24","267.00","186.35","96,38,508","2,34,45,12,651.70","74,426"
"24-Aug-2023","EQ","250.00","252.65","245.80","249.60","246.30","246.30","248.67","267.00","186.35","1,42,36,566","3,54,02,44,711.90","89,911"
"23-Aug-2023","EQ","250.00","250.00","247.20","247.80","249.45","249.60","248.81","267.00","186.35","63,65,715","1,58,38,83,949.35","72,757"
"22-Aug-2023","EQ","248.00","250.15","246.70","247.20","248.20","247.80","248.29","267.00","186.35","83,30,873","2,06,84,98,495.90","65,207"
"21-Aug-2023","EQ","242.30","247.70","241.70","241.00","247.40","247.20","245.89","267.00","186.35","68,47,145","1,68,36,65,857.25","77,821"
"18-Aug-2023","EQ","243.65","243.65","240.10","243.70","240.70","241.00","241.65","267.00","186.35","92,19,181","2,22,77,88,731.05","93,874"
"17-Aug-2023","EQ","248.05","248.80","242.20","248.05","243.50","243.70","244.18","267.00","186.35","1,14,75,857","2,80,22,02,493.70","1,23,365"
"16-Aug-2023","EQ","244.60","248.65","243.05","244.50","248.20","248.05","245.88","267.00","186.35","68,93,604","1,69,50,12,859.75","63,070"
"14-Aug-2023","EQ","244.85","245.30","240.75","244.30","244.45","244.50","243.57","267.00","186.35","68,91,365","1,67,85,62,014.95","76,416"
"11-Aug-2023","EQ","245.50","246.25","242.80","241.80","244.25","244.30","244.52","267.00","186.35","1,78,99,555","4,37,67,71,120.55","1,28,195"
"10-Aug-2023","EQ","240.55","242.65","240.05","240.35","241.65","241.80","241.23","267.00","186.35","74,71,838","1,80,24,41,383.90","76,011"
"09-Aug-2023","EQ","243.00","243.50","239.75","241.50","240.70","240.35","240.43","267.00","186.35","1,38,31,606","3,32,55,47,187.20","79,359"
"08-Aug-2023","EQ","245.25","245.25","240.65","247.95","241.25","241.50","242.03","267.00","186.35","1,13,78,795","2,75,40,16,288.85","1,19,615"
"07-Aug-2023","EQ","248.80","248.95","246.00","247.35","248.30","247.95","247.34","267.00","186.35","47,59,475","1,17,72,17,238.45","72,847"
"04-Aug-2023","EQ","248.00","249.05","246.60","248.70","247.25","247.35","247.28","267.00","186.35","55,54,793","1,37,35,96,565.40","79,438"
"03-Aug-2023","EQ","249.00","250.60","246.10","248.55","248.80","248.70","247.89","267.00","186.35","81,61,515","2,02,31,40,316.70","1,15,263"
"02-Aug-2023","EQ","252.90","253.80","246.60","251.80","248.45","248.55","249.85","267.00","186.35","1,56,19,054","3,90,24,91,047.35","1,34,703"
"01-Aug-2023","EQ","262.00","262.00","250.50","266.05","252.30","251.80","253.67","267.00","186.35","2,35,46,777","5,97,30,89,861.95","1,89,498"
"31-Jul-2023","EQ","262.00","267.00","259.15","258.20","266.05","266.05","264.27","267.00","186.35","1,82,02,301","4,81,03,22,582.95","1,16,881"
"28-Jul-2023","EQ","251.80","261.15","250.10","250.70","258.30","258.20","256.75","263.60","186.35","1,31,38,844","3,37,34,22,930.75","1,23,213"
"27-Jul-2023","EQ","252.00","253.40","249.70","251.00","251.10","250.70","251.18","263.60","186.35","81,27,580","2,04,14,63,221.80","91,009"
"26-Jul-2023","EQ","253.90","255.65","250.00","251.15","251.00","251.00","252.21","263.60","186.35","96,73,629","2,43,97,98,091.95","1,39,576"
"25-Jul-2023","EQ","248.95","251.50","248.15","247.45","251.10","251.15","250.06","263.60","186.35","78,75,013","1,96,92,24,844.65","92,334"
"24-Jul-2023","EQ","244.05","248.15","242.85","244.10","247.50","247.45","245.54","263.60","186.35","1,11,19,172","2,73,01,81,535.35","83,249"
"21-Jul-2023","EQ","243.25","246.30","242.20","244.25","243.85","244.10","244.73","263.60","186.35","1,38,49,807","3,38,94,65,480.25","1,01,310"
"20-Jul-2023","EQ","243.95","245.85","242.30","243.25","244.00","244.25","243.59","263.60","186.35","76,86,812","1,87,24,18,221.90","74,340"
"19-Jul-2023","EQ","241.00","246.20","240.55","241.15","243.75","243.25","243.70","263.60","186.35","1,72,16,156","4,19,56,49,837.95","1,16,945"
"18-Jul-2023","EQ","241.00","243.70","239.60","241.00","241.30","241.15","241.72","263.60","186.35","1,12,05,445","2,70,85,48,016.55","1,13,043"
"17-Jul-2023","EQ","242.50","244.95","239.20","240.05","240.85","241.00","241.23","263.60","186.35","86,05,621","2,07,59,65,534.75","88,282"
"14-Jul-2023","EQ","243.00","244.40","236.70","243.10","240.60","240.05","239.71","263.60","186.35","5,40,64,374","12,95,98,22,620.90","1,59,721"
"13-Jul-2023","EQ","251.75","252.20","241.70","252.05","243.60","243.10","245.38","263.60","186.35","2,29,43,588","5,62,97,95,678.85","2,03,149"
"12-Jul-2023","EQ","254.00","254.75","251.15","253.50","252.40","252.05","253.16","263.60","186.35","70,43,158","1,78,30,19,096.75","1,03,031"
"11-Jul-2023","EQ","252.00","255.40","250.05","250.00","252.80","253.50","253.25","263.60","186.35","56,14,534","1,42,18,87,283.55","74,011"
"10-Jul-2023","EQ","255.45","256.40","248.50","255.45","250.30","250.00","250.13","263.60","186.35","1,14,89,286","2,87,38,32,359.80","85,911"
"07-Jul-2023","EQ","262.55","262.55","254.70","262.70","255.50","255.45","257.69","263.60","186.35","98,61,888","2,54,13,48,109.65","1,23,381"
"06-Jul-2023","EQ","259.95","263.60","254.40","253.25","262.65","262.70","259.36","263.60","186.35","1,25,28,785","3,24,94,61,270.05","1,03,996"
"05-Jul-2023","EQ","249.70","253.95","249.50","249.60","253.40","253.25","252.30","259.70","186.35","40,05,681","1,01,06,44,565.80","77,208"
"04-Jul-2023","EQ","252.50","252.50","249.20","250.50","249.50","249.60","250.51","259.70","186.35","64,78,476","1,62,29,37,559.05","1,08,559"
"03-Jul-2023","EQ","254.55","254.95","249.50","255.15","250.45","250.50","251.12","259.70","186.35","93,50,430","2,34,80,37,867.55","1,18,428"
"30-Jun-2023","EQ","256.50","259.70","251.20","250.15","254.00","255.15","254.68","259.70","186.35","1,32,44,985","3,37,31,73,174.00","1,28,843"
"28-Jun-2023","EQ","250.80","252.50","246.45","249.55","252.00","250.15","250.39","259.05","186.35","1,33,56,538","3,34,43,80,230.90","1,15,299"
"27-Jun-2023","EQ","248.10","250.05","247.65","248.50","249.15","249.55","248.88","259.05","186.35","83,57,181","2,07,99,12,592.15","62,588"
"26-Jun-2023","EQ","250.00","250.25","247.15","250.10","248.05","248.50","248.30","259.05","186.35","54,79,022","1,36,04,21,984.05","68,020"
"23-Jun-2023","EQ","253.60","254.65","249.55","253.55","250.00","250.10","250.61","259.05","186.35","41,95,045","1,05,13,32,465.25","66,370"
"22-Jun-2023","EQ","258.00","258.00","252.70","258.20","253.55","253.55","255.01","259.05","186.35","55,73,224","1,42,12,01,830.95","75,552"
"21-Jun-2023","EQ","248.80","259.05","248.75","248.75","258.15","258.20","254.98","259.05","186.35","2,33,79,070","5,96,12,09,764.15","1,61,044"
"20-Jun-2023","EQ","243.85","249.70","243.75","243.10","249.70","248.75","247.50","249.70","186.35","1,00,69,774","2,49,22,99,760.45","72,383"
"19-Jun-2023","EQ","246.45","248.30","242.40","246.45","243.90","243.10","244.08","249.60","186.35","78,23,736","1,90,96,21,965.30","61,073"
"16-Jun-2023","EQ","246.40","247.35","244.50","246.45","245.45","246.45","245.90","249.60","186.35","72,76,771","1,78,93,54,240.10","47,293"
"15-Jun-2023","EQ","246.95","246.95","243.80","246.50","246.00","246.45","245.40","249.60","186.35","72,99,562","1,79,12,92,107.30","53,486"
"14-Jun-2023","EQ","242.10","247.20","242.10","242.25","245.95","246.50","245.77","249.60","186.35","77,23,070","1,89,80,83,243.30","65,388"
"13-Jun-2023","EQ","242.00","243.45","241.45","241.65","242.60","242.25","242.36","249.60","186.35","48,32,414","1,17,11,66,743.15","41,135"
