"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","264.00","271.90","263.00","261.35","264.45","264.60","267.06","345.50","56.05","1,42,00,106","3,79,22,59,566.85","1,12,217"
"22-Feb-2024","EQ","261.90","263.30","253.50","260.35","260.65","261.35","259.00","345.50","56.05","1,22,48,384","3,17,23,85,814.35","1,01,305"
"21-Feb-2024","EQ","268.60","273.60","259.05","267.25","261.20","260.35","265.03","345.50","56.05","1,34,83,046","3,57,33,91,983.05","1,25,343"
"20-Feb-2024","EQ","267.60","269.25","261.15","266.25","266.90","267.25","265.90","345.50","56.05","1,53,98,431","4,09,44,33,479.15","1,39,858"
"19-Feb-2024","EQ","254.30","281.30","254.00","251.70","266.40","266.25","271.46","345.50","56.05","5,15,06,679","13,98,20,39,110.85","3,77,510"
"16-Feb-2024","EQ","259.00","259.75","250.75","259.40","251.65","251.70","253.18","345.50","56.05","1,09,75,697","2,77,87,92,331.55","1,24,276"
"15-Feb-2024","EQ","250.15","262.80","248.20","248.85","258.00","259.40","255.94","345.50","56.05","1,88,46,018","4,82,35,04,564.60","1,57,351"
"14-Feb-2024","EQ","241.00","253.15","236.00","245.70","249.30","248.85","247.07","345.50","56.05","2,23,48,631","5,52,16,44,943.45","1,82,204"
"13-Feb-2024","EQ","228.50","256.40","223.50","229.60","245.00","245.70","245.30","345.50","56.05","5,21,20,543","12,78,49,11,290.35","3,99,642"
"12-Feb-2024","EQ","258.70","258.70","226.15","259.25","230.00","229.60","239.59","345.50","56.05","3,22,39,387","7,72,40,89,290.50","3,82,753"
"09-Feb-2024","EQ","258.00","272.85","250.50","281.70","259.00","259.25","259.91","345.50","56.05","3,53,10,986","9,17,75,17,951.20","3,73,841"
"08-Feb-2024","EQ","282.35","289.90","279.25","280.85","280.80","281.70","283.93","345.50","56.05","92,31,980","2,62,12,65,693.75","93,086"
"07-Feb-2024","EQ","289.05","291.30","280.10","285.20","280.90","280.85","283.83","345.50","56.05","97,94,286","2,77,98,75,097.10","98,801"
"06-Feb-2024","EQ","281.50","288.30","267.20","281.35","285.55","285.20","281.32","345.50","56.05","1,70,61,913","4,79,99,12,117.00","1,55,632"
"05-Feb-2024","EQ","294.95","294.95","278.00","294.55","282.00","281.35","285.07","345.50","56.05","1,57,16,341","4,48,02,69,057.70","2,42,268"
"02-Feb-2024","EQ","300.25","302.00","287.10","297.55","294.75","294.55","294.69","345.50","56.05","1,71,79,265","5,06,24,91,452.25","1,77,793"
"01-Feb-2024","EQ","312.00","318.90","294.60","308.25","297.50","297.55","306.97","345.50","56.05","3,44,81,062","10,58,46,76,122.60","2,91,267"
"31-Jan-2024","EQ","297.65","309.55","295.40","296.25","309.00","308.25","304.52","345.50","56.05","2,15,29,178","6,55,60,35,622.35","1,61,297"
"30-Jan-2024","EQ","300.80","304.20","288.60","299.05","297.55","296.25","297.30","345.50","56.05","1,69,94,531","5,05,24,88,061.40","1,60,072"
"29-Jan-2024","EQ","305.75","308.70","293.30","301.95","299.60","299.05","299.07","345.50","56.05","1,71,98,256","5,14,35,34,804.45","1,78,587"
"25-Jan-2024","EQ","300.00","309.80","298.10","298.85","301.75","301.95","303.99","345.50","56.05","2,75,27,924","8,36,81,20,527.65","2,13,287"
"24-Jan-2024","EQ","288.75","305.55","265.15","288.75","298.50","298.85","292.50","345.50","56.05","5,39,22,343","15,77,21,06,013.70","4,32,186"
"23-Jan-2024","EQ","332.00","345.50","288.35","320.35","288.50","288.75","304.20","345.50","56.05","8,09,17,623","24,61,54,02,304.35","7,31,103"
"20-Jan-2024","EQ","302.00","320.35","300.00","291.25","320.35","320.35","316.17","320.35","56.05","5,43,25,810","17,17,63,02,198.45","3,66,358"
