"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","1,508.40","1,536.25","1,501.25","1,509.65","1,530.00","1,529.15","1,526.67","1,536.25","1,054.00","11,15,653","1,70,32,33,007.70","50,434"
"22-Feb-2024","EQ","1,510.00","1,513.50","1,470.20","1,501.70","1,511.00","1,509.65","1,493.11","1,522.00","1,054.00","13,55,358","2,02,37,01,259.55","1,13,543"
"21-Feb-2024","EQ","1,510.05","1,519.50","1,495.40","1,513.55","1,499.80","1,501.70","1,507.22","1,522.00","1,054.00","11,56,081","1,74,24,63,218.90","69,713"
"20-Feb-2024","EQ","1,488.85","1,517.65","1,473.35","1,488.85","1,515.00","1,513.55","1,503.20","1,522.00","1,054.00","15,69,035","2,35,85,72,013.20","93,108"
"19-Feb-2024","EQ","1,517.10","1,522.00","1,486.00","1,508.45","1,488.90","1,488.85","1,494.67","1,522.00","1,054.00","11,63,429","1,73,89,39,266.60","63,811"
"16-Feb-2024","EQ","1,456.40","1,516.20","1,451.60","1,453.35","1,514.00","1,508.45","1,499.87","1,516.20","1,054.00","20,08,339","3,01,22,55,935.25","92,961"
"15-Feb-2024","EQ","1,464.00","1,464.35","1,443.65","1,453.70","1,458.90","1,453.35","1,452.16","1,495.35","1,054.00","7,36,364","1,06,93,20,106.55","56,810"
"14-Feb-2024","EQ","1,460.00","1,464.00","1,439.05","1,467.60","1,453.15","1,453.70","1,449.99","1,495.35","1,054.00","5,04,590","73,16,52,958.80","34,583"
"13-Feb-2024","EQ","1,436.00","1,475.85","1,428.20","1,436.00","1,461.55","1,467.60","1,460.51","1,495.35","1,054.00","13,88,464","2,02,78,59,377.60","91,773"
"12-Feb-2024","EQ","1,442.45","1,452.00","1,423.25","1,439.70","1,437.00","1,436.00","1,435.02","1,495.35","1,054.00","5,15,507","73,97,61,692.55","30,497"
"09-Feb-2024","EQ","1,468.00","1,468.00","1,436.50","1,459.05","1,442.00","1,439.70","1,447.97","1,495.35","1,054.00","5,96,482","86,36,86,110.15","46,403"
"08-Feb-2024","EQ","1,481.90","1,492.10","1,455.15","1,469.45","1,457.30","1,459.05","1,471.22","1,495.35","1,054.00","16,79,065","2,47,02,68,083.45","1,06,488"
"07-Feb-2024","EQ","1,472.60","1,493.00","1,453.65","1,464.00","1,476.50","1,469.45","1,474.15","1,495.35","1,054.00","6,90,402","1,01,77,53,267.45","55,628"
"06-Feb-2024","EQ","1,422.60","1,469.95","1,404.90","1,419.85","1,469.00","1,464.00","1,442.50","1,495.35","1,054.00","15,15,381","2,18,59,32,496.95","90,676"
"05-Feb-2024","EQ","1,435.00","1,460.00","1,414.90","1,435.45","1,419.25","1,419.85","1,423.22","1,495.35","1,054.00","10,10,779","1,43,85,58,244.05","62,955"
"02-Feb-2024","EQ","1,440.80","1,456.00","1,420.05","1,432.75","1,437.90","1,435.45","1,440.38","1,495.35","1,054.00","18,17,169","2,61,74,17,655.15","75,216"
"01-Feb-2024","EQ","1,407.30","1,459.70","1,398.50","1,401.15","1,433.90","1,432.75","1,435.39","1,495.35","1,054.00","18,03,699","2,58,90,05,868.25","1,13,348"
"31-Jan-2024","EQ","1,400.00","1,406.50","1,381.70","1,399.00","1,406.00","1,401.15","1,395.83","1,495.35","1,054.00","13,43,827","1,87,57,58,802.50","67,552"
"30-Jan-2024","EQ","1,425.00","1,433.70","1,392.85","1,418.40","1,397.35","1,399.00","1,407.16","1,495.35","1,054.00","14,64,906","2,06,13,63,291.10","1,09,750"
"29-Jan-2024","EQ","1,388.00","1,424.60","1,388.00","1,380.90","1,415.05","1,418.40","1,412.79","1,495.35","1,054.00","16,07,583","2,27,11,78,112.40","1,10,226"
"25-Jan-2024","EQ","1,414.90","1,414.90","1,357.15","1,410.55","1,387.50","1,380.90","1,376.71","1,495.35","1,054.00","32,30,297","4,44,71,74,277.55","1,42,421"
"24-Jan-2024","EQ","1,380.40","1,413.90","1,368.55","1,375.50","1,412.40","1,410.55","1,393.05","1,495.35","1,054.00","12,55,876","1,74,94,97,243.95","57,672"
"23-Jan-2024","EQ","1,444.00","1,448.65","1,367.35","1,442.20","1,375.00","1,375.50","1,392.11","1,495.35","1,054.00","28,80,301","4,00,97,05,996.70","1,69,402"
