"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","494.00","496.60","487.90","492.30","488.80","488.70","491.65","769.75","452.15","13,41,328","65,94,64,068.40","36,927"
"22-Feb-2024","EQ","493.30","494.20","484.05","492.15","493.95","492.30","488.44","769.75","452.15","28,81,064","1,40,72,35,214.70","87,593"
"21-Feb-2024","EQ","499.00","500.20","490.95","498.05","491.80","492.15","495.70","769.75","452.15","16,97,299","84,13,49,174.30","43,216"
"20-Feb-2024","EQ","497.60","505.45","495.25","497.55","498.25","498.05","500.05","769.75","452.15","30,33,673","1,51,69,73,021.85","64,864"
"19-Feb-2024","EQ","493.70","500.00","491.55","490.90","497.35","497.55","497.09","769.75","452.15","33,83,768","1,68,20,21,353.20","53,455"
"16-Feb-2024","EQ","484.05","494.20","481.05","487.35","490.40","490.90","490.28","780.00","452.15","33,74,827","1,65,46,01,064.70","60,831"
"15-Feb-2024","EQ","486.90","490.45","484.70","481.40","488.40","487.35","487.69","780.00","452.15","35,68,439","1,74,03,04,718.75","1,05,651"
"14-Feb-2024","EQ","479.20","482.40","472.25","479.10","481.95","481.40","479.22","780.00","452.15","32,10,526","1,53,85,32,898.45","56,389"
"13-Feb-2024","EQ","462.05","479.95","452.15","458.40","479.20","479.10","471.63","780.00","452.15","77,06,461","3,63,46,19,853.60","1,07,234"
"12-Feb-2024","EQ","461.80","465.80","455.05","457.95","459.00","458.40","460.48","780.00","453.30","44,04,671","2,02,82,48,821.30","83,352"
"09-Feb-2024","EQ","467.90","467.90","453.30","464.85","459.70","457.95","457.48","780.00","453.30","58,81,661","2,69,07,45,867.90","1,13,761"
"08-Feb-2024","EQ","480.00","481.80","463.55","477.80","464.80","464.85","469.71","780.00","463.55","52,14,678","2,44,93,79,830.10","1,29,879"
"07-Feb-2024","EQ","484.00","485.00","477.25","481.85","477.70","477.80","479.66","780.00","468.30","30,69,307","1,47,22,09,173.45","1,02,518"
"06-Feb-2024","EQ","476.20","486.00","468.30","474.00","483.90","481.85","479.44","780.00","468.30","66,61,787","3,19,39,00,396.25","1,21,019"
"05-Feb-2024","EQ","524.00","525.00","470.05","533.65","475.40","474.00","491.21","780.00","470.05","2,30,96,694","11,34,52,96,960.00","3,54,405"
"02-Feb-2024","EQ","533.90","540.65","529.25","530.05","533.00","533.65","535.09","780.00","526.50","42,24,992","2,26,07,30,293.15","84,049"
"01-Feb-2024","EQ","536.30","539.00","526.50","537.70","530.35","530.05","532.95","780.00","526.50","36,62,000","1,95,16,54,930.50","96,614"
"31-Jan-2024","EQ","538.90","542.75","534.10","535.25","538.25","537.70","536.91","780.00","528.15","35,70,913","1,91,72,68,711.55","68,879"
"30-Jan-2024","EQ","541.90","547.50","534.40","539.65","535.00","535.25","541.11","780.00","528.15","19,12,294","1,03,47,60,079.30","43,010"
"29-Jan-2024","EQ","542.20","542.70","534.40","537.30","541.00","539.65","539.13","780.00","528.15","21,62,690","1,16,59,63,868.05","43,615"
"25-Jan-2024","EQ","545.75","547.60","536.00","545.75","537.60","537.30","539.14","780.00","528.15","17,23,625","92,92,74,120.90","53,425"
"24-Jan-2024","EQ","539.90","547.00","535.10","535.10","545.50","545.75","541.73","780.00","528.15","13,86,191","75,09,47,690.40","33,545"
"23-Jan-2024","EQ","558.45","558.45","533.55","552.45","535.00","535.10","543.54","780.00","528.15","28,49,229","1,54,86,68,097.35","67,776"
"20-Jan-2024","EQ","556.95","557.40","551.60","553.40","552.25","552.45","553.44","780.00","528.15","8,11,281","44,89,96,617.70","19,436"
"19-Jan-2024","EQ","549.00","557.20","542.75","544.20","554.10","553.40","551.85","780.00","528.15","24,15,540","1,33,30,22,502.45","63,841"
"18-Jan-2024","EQ","550.00","552.00","539.15","551.00","544.95","544.20","544.78","780.00","528.15","35,12,857","1,91,37,38,868.95","89,267"
"17-Jan-2024","EQ","561.00","562.50","549.60","564.50","551.75","551.00","554.24","780.00","528.15","47,24,845","2,61,86,89,261.80","82,510"
"16-Jan-2024","EQ","568.00","569.20","560.50","567.75","564.85","564.50","564.86","780.00","528.15","16,53,823","93,41,80,283.75","49,013"
"15-Jan-2024","EQ","568.00","571.65","564.50","565.10","568.25","567.75","568.09","780.00","528.15","16,59,661","94,28,31,354.35","44,356"
"12-Jan-2024","EQ","566.10","568.35","562.40","562.25","564.50","565.10","565.25","780.00","528.15","14,41,096","81,45,82,563.30","43,495"
"11-Jan-2024","EQ","561.95","566.15","560.55","558.60","562.90","562.25","563.18","780.00","528.15","16,20,693","91,27,43,463.90","51,397"
"10-Jan-2024","EQ","561.00","561.75","551.90","558.15","559.15","558.60","556.87","780.00","528.15","22,04,496","1,22,76,25,260.50","58,279"
"09-Jan-2024","EQ","566.00","567.95","553.25","560.90","557.90","558.15","559.91","780.00","528.15","35,90,645","2,01,04,49,436.40","85,696"
"08-Jan-2024","EQ","581.00","582.80","560.05","581.25","561.25","560.90","566.79","780.00","528.15","53,45,743","3,02,99,33,762.25","1,06,371"
"05-Jan-2024","EQ","589.30","590.95","576.50","587.65","581.85","581.25","583.50","780.00","528.15","24,33,275","1,41,98,24,689.00","51,620"
"04-Jan-2024","EQ","587.00","589.20","582.65","586.85","588.00","587.65","586.70","780.00","528.15","36,06,404","2,11,58,79,524.85","54,428"
"03-Jan-2024","EQ","595.35","596.80","585.30","594.45","586.95","586.85","589.49","780.00","528.15","24,35,233","1,43,55,41,577.10","53,369"
"02-Jan-2024","EQ","593.00","603.80","589.05","592.70","594.40","594.45","596.03","780.00","528.15","34,06,640","2,03,04,47,349.90","68,054"
"01-Jan-2024","EQ","588.00","599.90","587.20","587.25","592.00","592.70","595.67","780.00","528.15","28,25,708","1,68,31,87,463.50","52,899"
"29-Dec-2023","EQ","592.00","592.00","585.05","589.45","587.70","587.25","588.45","780.00","528.15","22,23,633","1,30,85,05,035.65","38,024"
"28-Dec-2023","EQ","585.90","591.00","582.00","583.20","590.50","589.45","586.42","780.00","528.15","22,70,681","1,33,15,75,135.25","59,734"
"27-Dec-2023","EQ","590.10","592.30","581.10","586.10","582.40","583.20","586.27","780.00","528.15","21,55,491","1,26,37,06,939.55","64,809"
