"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","535.00","541.25","533.30","531.05","534.40","536.15","536.40","545.90","352.00","99,30,497","5,32,67,58,973.40","1,51,667"
"22-Feb-2024","EQ","522.80","533.00","521.45","521.40","530.80","531.05","526.59","545.90","352.00","72,98,241","3,84,31,47,169.20","1,58,061"
"21-Feb-2024","EQ","535.90","536.30","519.50","531.95","521.00","521.40","526.81","545.90","352.00","65,57,787","3,45,47,23,748.55","1,37,819"
"20-Feb-2024","EQ","535.80","538.15","526.25","535.95","531.95","531.95","532.53","545.90","352.00","51,87,063","2,76,22,43,913.00","1,23,368"
"19-Feb-2024","EQ","545.90","545.90","531.35","543.00","536.00","535.95","537.98","545.90","352.00","93,01,379","5,00,39,65,091.35","1,52,421"
"16-Feb-2024","EQ","522.50","545.00","520.95","518.50","541.95","543.00","535.12","545.00","352.00","1,74,71,322","9,34,92,29,002.00","2,57,984"
"15-Feb-2024","EQ","516.95","522.85","513.05","514.50","517.70","518.50","518.83","529.00","352.00","72,85,388","3,77,99,13,374.25","1,39,433"
"14-Feb-2024","EQ","503.95","517.00","497.05","511.60","512.75","514.50","507.88","529.00","352.00","1,12,97,328","5,73,76,87,587.40","1,38,332"
"13-Feb-2024","EQ","503.10","513.00","491.70","501.45","511.50","511.60","504.28","529.00","352.00","1,11,86,788","5,64,12,64,185.90","1,38,027"
"12-Feb-2024","EQ","491.00","510.80","491.00","490.45","501.15","501.45","504.66","529.00","352.00","2,44,36,750","12,33,21,75,483.15","2,70,583"
"09-Feb-2024","EQ","490.90","494.75","482.75","488.85","491.00","490.45","488.69","529.00","352.00","39,46,894","1,92,88,09,821.30","98,190"
"08-Feb-2024","EQ","495.90","500.10","485.10","495.20","489.00","488.85","492.54","529.00","352.00","56,51,920","2,78,37,94,237.35","1,32,052"
"07-Feb-2024","EQ","500.95","501.70","492.55","499.65","495.10","495.20","496.51","529.00","352.00","45,51,767","2,26,00,05,484.70","98,302"
"06-Feb-2024","EQ","484.70","501.80","483.10","482.35","499.45","499.65","496.86","529.00","352.00","1,45,12,019","7,21,04,61,310.90","2,06,606"
"05-Feb-2024","EQ","483.00","489.50","479.15","483.15","482.50","482.35","484.49","529.00","352.00","57,83,302","2,80,19,49,885.55","1,04,970"
"02-Feb-2024","EQ","475.00","486.50","475.00","471.35","483.80","483.15","481.32","529.00","352.00","81,48,111","3,92,18,65,076.40","1,43,077"
"01-Feb-2024","EQ","477.55","477.70","470.60","478.15","471.40","471.35","473.04","529.00","352.00","39,14,060","1,85,14,96,740.95","94,070"
"31-Jan-2024","EQ","472.50","479.90","469.00","472.50","477.00","478.15","474.77","529.00","352.00","52,92,240","2,51,26,00,122.90","1,02,548"
"30-Jan-2024","EQ","474.40","482.90","471.50","473.00","472.55","472.50","477.82","529.00","352.00","59,14,007","2,82,58,37,433.50","1,13,702"
"29-Jan-2024","EQ","470.00","477.00","470.00","470.00","473.05","473.00","474.11","529.00","352.00","50,25,650","2,38,27,01,969.55","95,169"
"25-Jan-2024","EQ","478.05","479.35","468.55","478.05","471.85","470.00","472.58","529.00","352.00","64,26,490","3,03,70,56,380.60","1,32,676"
"24-Jan-2024","EQ","471.00","479.00","468.05","469.90","478.75","478.05","472.97","529.00","352.00","58,54,375","2,76,89,38,795.80","1,16,149"
"23-Jan-2024","EQ","478.05","486.00","467.05","477.95","471.50","469.90","477.07","529.00","352.00","99,86,168","4,76,40,74,713.60","1,42,848"
"20-Jan-2024","EQ","486.40","488.90","469.05","485.05","478.30","477.95","479.48","529.00","352.00","60,45,801","2,89,88,37,065.15","1,14,091"
"19-Jan-2024","EQ","488.00","493.35","483.60","482.65","484.90","485.05","487.18","529.00","352.00","77,49,310","3,77,52,92,896.75","1,36,626"
