Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,140.0,143.4,140.0,139.6,142.05,142.15,142.35,162.45,85.6,"26,66,355","37,95,42,937.60","18,199"
2023-02-27,EQ,142.05,142.55,140.1,142.15,141.45,141.75,141.47,162.45,85.6,"17,04,804","24,11,72,994.55","14,263"
2023-02-28,EQ,141.55,146.85,141.35,141.75,145.95,145.85,145.01,162.45,85.6,"33,63,671","48,77,60,184.95","21,413"
2023-03-01,EQ,145.85,152.5,145.35,145.85,152.5,152.0,150.11,162.45,85.6,"55,27,276","82,97,09,827.10","36,702"
2023-03-02,EQ,152.5,154.0,150.65,152.0,152.25,152.3,152.17,162.45,85.6,"37,48,862","57,04,65,967.80","25,181"
2023-03-03,EQ,153.0,155.5,152.5,152.3,154.5,154.55,154.4,162.45,85.6,"40,31,630","62,24,77,535.05","23,676"
2023-03-06,EQ,155.45,156.9,153.8,154.55,156.45,156.25,155.76,162.45,85.6,"29,08,665","45,30,61,854.50","20,897"
2023-03-08,EQ,155.75,158.8,154.8,156.25,158.25,158.1,157.27,162.45,85.6,"30,92,218","48,63,00,281.05","20,215"
2023-03-09,EQ,158.9,159.35,156.1,158.1,156.5,156.65,157.92,162.45,85.6,"20,59,355","32,52,05,384.40","18,857"
2023-03-10,EQ,155.2,156.15,152.6,156.65,154.0,153.65,154.17,162.45,85.6,"27,13,413","41,83,35,028.00","19,311"
2023-03-13,EQ,153.0,154.95,146.65,153.65,147.2,147.05,151.71,162.45,85.6,"57,36,755","87,03,42,587.20","29,442"
2023-03-14,EQ,146.2,147.45,144.15,147.05,145.2,144.95,145.63,162.45,85.6,"24,38,666","35,51,50,362.25","15,628"
2023-03-15,EQ,146.4,149.6,145.15,144.95,146.55,146.0,147.78,162.45,85.6,"21,07,117","31,13,93,877.65","18,606"
2023-03-16,EQ,146.0,149.45,143.8,146.0,149.05,148.8,147.12,162.45,85.6,"22,58,790","33,23,16,093.95","15,330"
2023-03-17,EQ,150.0,154.8,149.3,148.8,154.45,153.65,152.79,162.45,85.6,"43,38,216","66,28,23,763.60","36,508"
2023-03-20,EQ,154.4,154.4,147.75,153.65,150.35,149.85,149.67,162.45,85.6,"23,11,943","34,60,33,462.90","16,424"
2023-03-21,EQ,151.35,153.15,150.0,149.85,152.65,152.65,151.68,162.45,85.6,"22,22,698","33,71,35,974.15","13,920"
2023-03-22,EQ,152.85,157.4,151.5,152.65,156.45,156.15,155.16,162.45,85.6,"57,97,383","89,95,08,169.10","35,907"
2023-03-23,EQ,156.75,156.75,153.65,156.15,153.7,154.15,155.16,162.45,85.6,"25,37,785","39,37,60,748.25","25,481"
2023-03-24,EQ,152.8,152.8,142.7,154.15,143.2,144.05,146.56,162.45,85.6,"72,96,594","1,06,93,60,907.75","41,815"
2023-03-27,EQ,143.45,147.6,139.25,144.05,147.0,146.0,144.51,162.45,85.6,"1,12,89,841","1,63,14,41,249.40","39,146"
2023-03-28,EQ,146.5,149.1,143.6,146.0,147.95,146.8,146.24,162.45,85.6,"80,32,279","1,17,46,57,217.25","37,170"
2023-03-29,EQ,147.5,154.0,146.25,146.8,153.35,153.1,151.35,162.45,85.6,"60,64,506","91,78,74,678.45","32,016"
2023-03-31,EQ,153.25,155.25,152.3,153.1,152.9,153.55,153.6,162.45,85.6,"31,03,897","47,67,72,532.80","19,934"
2023-04-03,EQ,154.0,154.9,152.0,153.55,153.9,153.8,153.56,162.45,85.6,"23,47,046","36,04,07,519.60","16,483"
2023-04-05,EQ,153.8,156.45,152.8,153.8,155.5,155.25,155.23,162.45,85.6,"30,10,848","46,73,69,077.15","19,714"
2023-04-06,EQ,155.7,159.3,153.8,155.25,157.9,157.9,157.35,162.45,85.6,"37,18,974","58,51,90,686.90","21,879"
2023-04-10,EQ,158.75,160.3,155.9,157.9,159.45,159.75,158.48,162.45,85.6,"35,08,046","55,59,37,816.75","24,022"
2023-04-11,EQ,160.5,161.3,157.05,159.75,157.3,157.6,158.92,162.45,85.6,"29,36,298","46,66,44,731.80","19,528"
2023-04-12,EQ,157.3,158.25,155.7,157.6,156.1,156.35,156.76,162.45,85.6,"13,67,641","21,43,87,595.60","11,067"
2023-04-13,EQ,156.35,158.0,155.35,156.35,157.65,157.7,157.07,162.45,85.6,"15,31,256","24,05,13,306.75","10,800"
2023-04-17,EQ,157.0,166.0,156.75,157.7,165.9,164.65,162.21,166.0,85.6,"71,82,068","1,16,50,04,679.75","47,288"
2023-04-18,EQ,165.9,167.45,161.45,164.65,163.25,163.3,164.62,167.45,85.6,"73,69,936","1,21,32,68,713.85","50,911"
