Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,"6,253.75","6,286.00","6,200.00","6,202.35","6,225.00","6,236.25","6,240.22","7,778.00","5,220.00","6,07,761","3,79,25,63,151.75","53,401"
2023-02-27,EQ,"6,215.00","6,241.00","6,135.00","6,236.25","6,208.00","6,194.50","6,176.69","7,778.00","5,220.00","5,95,004","3,67,51,52,772.45","65,486"
2023-02-28,EQ,"6,220.00","6,246.60","6,090.00","6,194.50","6,112.00","6,112.10","6,142.23","7,778.00","5,220.00","9,77,852","6,00,61,88,968.45","77,828"
2023-03-01,EQ,"6,100.10","6,203.95","6,100.10","6,112.10","6,156.00","6,154.85","6,170.10","7,778.00","5,220.00","5,44,804","3,36,14,95,570.35","65,368"
2023-03-02,EQ,"6,165.20","6,209.60","6,070.05","6,154.85","6,080.00","6,083.00","6,107.78","7,778.00","5,220.00","5,82,298","3,55,65,47,870.90","58,424"
2023-03-03,EQ,"6,121.80","6,141.00","6,073.00","6,083.00","6,094.00","6,100.05","6,105.36","7,778.00","5,220.00","7,12,037","4,34,72,41,488.45","87,122"
2023-03-06,EQ,"6,140.00","6,183.00","6,120.05","6,100.05","6,137.50","6,134.85","6,142.21","7,778.00","5,220.00","6,08,477","3,73,73,91,482.10","57,120"
2023-03-08,EQ,"6,129.00","6,129.00","5,985.00","6,134.85","6,000.00","5,996.85","6,022.60","7,778.00","5,220.00","13,42,795","8,08,71,19,496.95","1,45,738"
2023-03-09,EQ,"6,000.00","6,040.00","5,890.10","5,996.85","5,900.95","5,901.30","5,956.63","7,778.00","5,220.00","9,40,858","5,60,43,42,929.80","97,119"
2023-03-10,EQ,"5,865.00","5,887.40","5,781.00","5,901.30","5,869.00","5,874.15","5,844.20","7,778.00","5,220.00","7,70,861","4,50,50,67,169.25","1,00,000"
2023-03-13,EQ,"5,869.00","5,947.50","5,811.00","5,874.15","5,854.25","5,833.55","5,878.14","7,778.00","5,220.00","7,93,356","4,66,34,56,041.05","81,035"
2023-03-14,EQ,"5,840.00","5,850.00","5,716.15","5,833.55","5,739.00","5,731.55","5,753.38","7,778.00","5,220.00","13,72,565","7,89,68,91,823.30","1,26,854"
2023-03-15,EQ,"5,800.00","5,820.00","5,701.00","5,731.55","5,718.00","5,718.75","5,771.10","7,778.00","5,220.00","6,79,473","3,92,13,08,801.60","69,009"
2023-03-16,EQ,"5,729.70","5,755.00","5,665.00","5,718.75","5,728.50","5,715.10","5,712.36","7,778.00","5,220.00","8,84,963","5,05,52,28,725.40","94,905"
2023-03-17,EQ,"5,740.05","5,816.75","5,688.10","5,715.10","5,745.00","5,732.35","5,742.52","7,778.00","5,220.00","10,47,151","6,01,32,84,962.00","1,15,134"
2023-03-20,EQ,"5,739.00","5,740.45","5,485.70","5,732.35","5,562.00","5,550.80","5,571.69","7,778.00","5,220.00","17,12,756","9,54,29,53,618.55","1,71,816"
2023-03-21,EQ,"5,601.80","5,715.00","5,586.15","5,550.80","5,711.00","5,710.10","5,670.84","7,778.00","5,220.00","11,30,114","6,40,86,92,013.90","95,715"
2023-03-22,EQ,"5,749.80","5,857.00","5,735.00","5,710.10","5,827.00","5,834.20","5,821.33","7,778.00","5,220.00","12,42,534","7,23,31,95,724.80","1,08,315"
