Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,156.5,157.7,153.65,155.5,154.8,154.6,155.01,197.2,89.85,"2,26,01,120","3,50,33,41,813.15","96,089"
2023-02-27,EQ,154.5,159.4,153.6,154.6,159.1,159.0,157.13,197.2,89.85,"2,90,46,654","4,56,39,83,495.40","1,25,769"
2023-02-28,EQ,160.25,161.25,157.2,159.0,158.3,159.0,158.99,197.2,89.85,"17,92,42,251","28,49,80,42,070.70","1,76,215"
2023-03-01,EQ,157.9,164.7,157.6,159.0,164.4,164.4,162.7,197.2,89.85,"2,59,74,322","4,22,58,92,835.45","1,09,773"
2023-03-02,EQ,164.45,166.35,162.8,164.4,164.25,164.65,164.68,197.2,89.85,"1,62,66,106","2,67,86,81,972.70","66,042"
2023-03-03,EQ,168.0,173.75,168.0,164.65,172.6,172.9,171.95,197.2,89.85,"3,49,46,790","6,00,91,28,349.25","1,88,030"
2023-03-06,EQ,173.55,176.4,172.45,172.9,173.0,173.1,174.12,197.2,89.85,"2,37,52,197","4,13,57,80,225.95","1,04,618"
2023-03-08,EQ,171.0,174.65,170.75,173.1,174.1,174.0,173.18,197.2,89.85,"1,44,41,376","2,50,10,05,591.75","67,675"
2023-03-09,EQ,174.6,175.0,170.95,174.0,171.5,171.55,173.05,197.2,89.85,"1,10,38,443","1,91,01,62,450.25","50,429"
2023-03-10,EQ,170.7,170.7,166.05,171.55,167.8,167.8,167.63,197.2,89.85,"1,84,52,431","3,09,31,88,378.75","68,563"
2023-03-13,EQ,167.0,170.0,163.45,167.8,164.0,163.9,166.68,197.2,89.85,"1,85,95,906","3,09,96,51,430.25","77,416"
2023-03-14,EQ,164.0,164.9,161.0,163.9,162.45,162.4,162.75,197.2,89.85,"2,28,98,154","3,72,67,16,907.25","86,590"
2023-03-15,EQ,164.4,164.95,158.4,162.4,158.8,159.2,161.57,197.2,89.85,"1,92,55,062","3,11,10,51,316.80","1,01,260"
2023-03-16,EQ,158.7,161.45,155.6,159.2,160.4,159.75,158.78,197.2,89.85,"2,42,91,234","3,85,69,26,612.40","1,25,790"
2023-03-17,EQ,162.05,162.65,158.15,159.75,160.0,160.05,160.07,197.2,89.85,"2,67,62,767","4,28,39,61,685.05","1,10,781"
2023-03-20,EQ,159.7,159.7,155.7,160.05,158.8,158.75,157.42,197.2,89.85,"2,61,44,673","4,11,57,73,771.45","1,24,551"
2023-03-21,EQ,159.5,163.4,159.3,158.75,163.2,163.05,162.08,197.2,89.85,"2,57,02,421","4,16,58,06,734.55","1,19,236"
2023-03-22,EQ,163.85,168.25,163.2,163.05,167.0,167.4,166.71,197.2,89.85,"2,74,68,538","4,57,92,21,611.35","1,47,667"
2023-03-23,EQ,166.2,167.1,162.25,167.4,162.7,162.7,165.37,197.2,89.85,"2,01,29,946","3,32,88,89,090.90","98,292"
2023-03-24,EQ,162.5,163.95,159.15,162.7,159.6,159.8,161.22,197.2,89.85,"1,86,10,261","3,00,03,99,756.55","73,918"
2023-03-27,EQ,159.5,162.4,158.5,159.8,160.6,161.25,160.69,197.2,89.85,"5,07,83,785","8,16,05,48,615.55","1,04,169"
2023-03-28,EQ,161.5,161.8,158.75,161.25,161.1,160.75,160.28,197.2,89.85,"3,10,49,605","4,97,65,06,180.70","85,578"
2023-03-29,EQ,160.3,165.0,160.0,160.75,164.7,164.45,162.52,197.2,89.85,"3,83,90,279","6,23,90,82,150.65","96,356"
2023-03-31,EQ,166.25,169.8,165.9,164.45,169.0,168.85,168.39,197.2,89.85,"2,82,40,603","4,75,53,87,539.70","1,77,762"
2023-04-03,EQ,169.1,170.25,168.1,168.85,169.25,169.2,169.04,197.2,89.85,"1,66,59,059","2,81,59,83,866.25","52,932"
2023-04-05,EQ,169.5,169.7,165.1,169.2,167.45,167.0,166.7,197.2,89.85,"3,48,61,706","5,81,16,18,234.45","99,752"
2023-04-06,EQ,167.1,169.25,165.4,167.0,166.9,166.9,167.41,197.2,89.85,"2,72,08,238","4,55,48,27,312.65","78,677"
2023-04-10,EQ,167.5,168.15,165.35,166.9,166.3,166.2,166.95,197.2,89.85,"1,53,31,631","2,55,96,60,430.65","43,999"
2023-04-11,EQ,173.0,173.9,170.2,166.2,170.8,170.85,171.35,197.2,89.85,"2,58,97,114","4,43,75,54,776.05","1,00,847"
2023-04-12,EQ,171.0,172.15,169.2,170.85,170.4,170.4,170.29,197.2,89.85,"1,45,53,551","2,47,82,82,941.55","59,707"
