Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,320.8,322.15,316.6,320.55,317.75,317.55,318.08,398.8,288.05,"18,97,377","60,35,26,699.05","35,591"
2023-02-27,EQ,318.2,321.15,314.65,317.55,319.65,320.45,318.14,398.8,288.05,"19,81,001","63,02,33,023.85","44,057"
2023-02-28,EQ,317.15,321.65,314.05,320.45,316.35,317.35,317.18,398.8,288.05,"39,26,329","1,24,53,40,488.25","48,236"
2023-03-01,EQ,316.8,321.0,315.55,317.35,316.0,315.9,317.75,398.8,288.05,"34,95,717","1,11,07,77,286.25","75,776"
2023-03-02,EQ,316.7,321.85,314.5,315.9,321.5,321.05,319.28,398.8,288.05,"33,84,360","1,08,05,52,556.35","51,427"
2023-03-03,EQ,322.7,323.9,320.25,321.05,321.1,321.4,321.55,398.8,288.05,"21,13,101","67,94,61,372.25","40,403"
2023-03-06,EQ,322.4,326.5,321.15,321.4,324.55,324.55,324.33,398.8,288.05,"18,14,962","58,86,41,305.25","30,141"
2023-03-08,EQ,323.95,327.45,322.8,324.55,326.4,326.1,325.23,398.8,288.05,"23,92,531","77,81,18,872.55","40,164"
2023-03-09,EQ,326.1,326.9,323.55,326.1,324.55,324.85,324.86,398.8,288.05,"19,47,766","63,27,50,943.65","21,545"
2023-03-10,EQ,325.0,327.9,320.55,324.85,325.5,326.05,325.05,398.8,288.05,"17,58,519","57,16,06,874.20","28,600"
2023-03-13,EQ,326.0,326.6,321.25,326.05,323.0,322.6,323.81,398.8,288.05,"19,55,447","63,31,98,816.85","45,214"
2023-03-14,EQ,324.2,328.9,321.85,322.6,326.4,326.2,326.01,398.8,288.05,"29,47,326","96,08,44,959.65","45,431"
2023-03-15,EQ,329.0,333.4,327.35,326.2,331.0,330.3,331.01,398.8,288.05,"27,55,973","91,22,59,905.65","52,212"
2023-03-16,EQ,335.0,352.75,334.15,330.3,350.2,350.9,346.3,398.8,288.05,"1,82,87,315","6,33,28,30,898.55","1,95,654"
2023-03-17,EQ,351.0,354.95,345.45,350.9,351.45,351.4,350.16,398.8,288.05,"1,16,94,506","4,09,49,26,666.80","1,18,465"
2023-03-20,EQ,354.85,361.0,350.5,351.4,359.2,359.65,357.54,398.8,288.05,"92,46,173","3,30,58,48,287.90","1,13,903"
2023-03-21,EQ,360.2,361.6,355.75,359.65,358.3,358.55,358.68,398.8,288.05,"51,25,281","1,83,83,58,225.10","66,855"
