Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,961.10,966.00,955.00,960.30,966.00,961.80,959.65,"1,185.25",888.15,"15,85,383","1,52,14,10,737.05","68,687"
2023-02-27,EQ,965.60,968.60,948.65,961.80,951.80,950.20,956.10,"1,185.25",902.0,"13,77,270","1,31,68,10,820.15","62,505"
2023-02-28,EQ,945.90,945.90,903.10,950.20,905.80,906.40,918.68,"1,185.25",902.0,"53,80,673","4,94,30,95,705.65","1,80,501"
2023-03-01,EQ,907.80,910.25,896.00,906.40,899.90,899.60,901.74,"1,185.25",896.0,"34,96,231","3,15,26,89,365.50","2,29,754"
2023-03-02,EQ,901.95,903.00,884.50,899.60,887.00,886.45,889.40,"1,185.25",884.5,"18,87,367","1,67,86,20,722.90","1,13,423"
2023-03-03,EQ,891.00,892.00,877.00,886.45,878.75,878.65,882.20,"1,185.25",877.0,"18,92,639","1,66,96,95,512.15","1,25,476"
2023-03-06,EQ,885.00,885.55,869.05,878.65,880.00,880.90,877.29,"1,185.25",869.05,"40,90,356","3,58,84,17,534.85","2,07,206"
2023-03-08,EQ,883.70,883.80,871.10,880.90,877.00,877.25,875.61,"1,185.25",869.05,"29,33,956","2,56,89,95,553.40","1,03,575"
2023-03-09,EQ,877.25,896.85,877.00,877.25,882.50,881.75,886.64,"1,185.25",869.05,"61,76,157","5,47,60,11,390.30","1,31,761"
2023-03-10,EQ,879.15,884.60,871.30,881.75,881.60,881.20,879.10,"1,185.25",869.05,"17,18,841","1,51,10,40,749.30","82,072"
2023-03-13,EQ,882.60,889.10,872.15,881.20,877.35,874.80,878.87,"1,185.25",869.05,"16,97,362","1,49,17,54,946.60","68,078"
2023-03-14,EQ,873.00,883.70,853.85,874.80,873.00,872.05,872.68,"1,185.25",853.85,"24,44,217","2,13,30,16,361.35","92,683"
2023-03-15,EQ,875.00,883.40,872.60,872.05,879.00,877.95,878.48,"1,185.25",853.85,"12,86,900","1,13,05,09,716.50","66,385"
2023-03-16,EQ,881.00,890.00,876.75,877.95,884.00,883.45,885.63,"1,185.25",853.85,"20,23,997","1,79,25,14,720.60","69,843"
2023-03-17,EQ,887.35,888.40,870.00,883.45,873.00,874.05,879.11,"1,185.25",853.85,"22,05,087","1,93,85,22,223.40","91,564"
2023-03-20,EQ,874.05,876.90,861.80,874.05,867.00,866.70,867.55,"1,185.25",853.85,"9,97,827","86,56,66,856.60","47,757"
2023-03-21,EQ,866.80,872.40,860.60,866.70,863.00,862.35,865.76,"1,185.25",853.85,"8,88,443","76,91,76,356.95","48,331"
2023-03-22,EQ,864.00,866.00,852.00,862.35,865.50,863.40,857.25,"1,185.25",852.0,"16,22,488","1,39,08,78,444.50","67,663"
2023-03-23,EQ,868.00,870.90,861.25,863.40,868.60,869.10,866.54,"1,185.25",852.0,"18,65,868","1,61,68,46,659.90","52,234"
2023-03-24,EQ,869.10,879.00,866.15,869.10,878.40,877.25,874.41,"1,185.25",852.0,"31,66,046","2,76,84,08,482.30","41,497"
2023-03-27,EQ,881.05,891.35,876.05,877.25,889.55,889.30,886.41,"1,185.25",852.0,"39,86,238","3,53,34,55,834.90","72,124"
2023-03-28,EQ,891.80,894.25,886.40,889.30,889.30,889.50,889.89,"1,185.25",852.0,"36,23,017","3,22,41,00,075.75","72,751"
2023-03-29,EQ,893.95,896.60,885.35,889.50,888.50,887.70,888.34,"1,185.25",852.0,"30,49,688","2,70,91,59,776.45","57,988"
2023-03-31,EQ,888.80,902.70,886.70,887.70,900.50,900.50,897.51,"1,185.25",852.0,"23,20,879","2,08,30,22,564.10","68,686"
