Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,216.0,217.3,214.7,214.9,217.0,217.05,216.2,263.4,149.0,"51,54,174","1,11,43,36,016.40","50,101"
2023-02-27,EQ,217.0,218.0,215.1,217.05,216.7,216.95,216.63,263.4,160.55,"48,41,279","1,04,87,55,132.15","49,448"
2023-02-28,EQ,216.6,216.95,212.0,216.95,214.75,215.4,214.1,263.4,160.55,"60,54,079","1,29,61,73,674.85","64,491"
2023-03-01,EQ,215.4,219.0,214.5,215.4,218.8,218.75,217.22,263.4,160.55,"45,10,175","97,96,94,469.95","61,419"
2023-03-02,EQ,218.75,224.45,217.35,218.75,222.85,222.85,222.39,263.4,160.55,"1,13,54,939","2,52,52,40,668.55","87,226"
2023-03-03,EQ,223.9,226.45,222.4,222.85,222.85,222.95,223.83,263.4,160.55,"70,89,438","1,58,68,20,231.60","68,019"
2023-03-06,EQ,222.95,225.5,221.75,222.95,225.05,224.9,224.43,263.4,164.65,"47,71,341","1,07,08,53,369.95","45,922"
2023-03-08,EQ,224.85,225.15,222.65,224.9,224.85,224.85,223.91,263.4,164.65,"42,71,464","95,64,02,321.75","62,065"
2023-03-09,EQ,224.85,226.95,223.65,224.85,224.85,224.8,225.36,263.4,164.65,"42,63,468","96,08,29,440.25","43,783"
2023-03-10,EQ,222.95,225.3,221.45,224.8,224.2,224.35,223.78,263.4,164.65,"36,70,173","82,13,08,214.90","37,458"
2023-03-13,EQ,224.2,225.75,219.35,224.35,221.2,220.8,222.33,263.4,164.65,"38,77,606","86,21,26,080.40","39,337"
2023-03-14,EQ,220.8,222.8,218.85,220.8,221.4,221.05,220.69,263.4,164.65,"57,23,922","1,26,31,95,995.05","60,975"
2023-03-15,EQ,221.95,223.2,219.6,221.05,219.9,219.9,221.43,263.4,164.65,"29,92,144","66,25,40,064.70","46,392"
2023-03-16,EQ,218.55,222.45,216.35,219.9,221.05,220.85,219.79,263.4,164.65,"49,88,245","1,09,63,55,913.20","61,515"
2023-03-17,EQ,222.0,225.95,220.1,220.85,221.0,221.65,222.8,263.4,164.65,"1,57,20,256","3,50,25,08,346.15","85,244"
2023-03-20,EQ,220.0,221.6,215.7,221.65,217.0,217.05,217.43,263.4,164.65,"42,44,575","92,28,96,883.50","47,492"
2023-03-21,EQ,218.15,218.95,215.95,217.05,216.7,217.05,216.88,263.4,164.65,"39,98,751","86,72,29,676.45","46,482"
2023-03-22,EQ,216.9,216.9,213.1,217.05,214.05,213.95,214.1,263.4,164.65,"96,75,449","2,07,14,87,296.70","71,284"
2023-03-23,EQ,213.15,214.75,212.4,213.95,213.4,213.35,213.43,263.4,164.65,"47,30,918","1,00,97,30,457.10","40,611"
2023-03-24,EQ,213.25,213.9,208.0,213.35,208.3,208.45,210.84,263.4,164.65,"66,11,089","1,39,38,73,257.55","85,488"
2023-03-27,EQ,208.5,210.2,207.6,208.45,208.4,208.4,209.02,263.4,164.65,"40,02,212","83,65,42,001.05","48,184"
2023-03-28,EQ,209.4,211.25,208.45,208.4,209.0,208.9,209.98,263.4,164.65,"61,57,526","1,29,29,73,222.95","54,236"
2023-03-29,EQ,209.95,214.9,208.4,208.9,211.75,212.95,211.88,263.4,164.65,"1,67,34,166","3,54,56,99,575.05","71,784"
2023-03-31,EQ,212.2,214.3,211.15,212.95,213.25,213.65,213.27,263.4,164.65,"51,39,018","1,09,60,14,273.75","52,683"
2023-04-03,EQ,214.1,220.85,213.8,213.65,220.3,220.15,218.2,263.4,164.65,"77,54,066","1,69,19,02,604.10","67,160"
2023-04-05,EQ,220.3,224.25,220.3,220.15,222.2,222.5,222.38,263.4,164.65,"64,91,910","1,44,36,40,354.35","65,063"
2023-04-06,EQ,222.45,223.15,220.3,222.5,221.6,221.7,221.67,263.4,164.65,"45,89,598","1,01,73,87,112.55","50,741"
2023-04-10,EQ,221.45,224.45,221.15,221.7,222.0,222.05,223.12,263.4,164.65,"34,98,235","78,05,22,612.60","44,626"
2023-04-11,EQ,222.75,224.3,222.0,222.05,223.25,223.65,223.21,263.4,164.65,"39,95,959","89,19,30,072.00","48,871"
2023-04-12,EQ,224.0,228.0,223.65,223.65,227.9,227.7,226.57,263.4,164.65,"51,36,012","1,16,36,42,284.70","61,811"
2023-04-13,EQ,227.9,229.65,224.45,227.7,225.4,225.5,226.67,263.4,164.65,"34,78,451","78,84,68,224.00","48,492"
2023-04-17,EQ,225.5,229.95,225.4,225.5,229.25,229.6,228.36,263.4,164.65,"62,65,943","1,43,08,81,882.00","49,253"
2023-04-18,EQ,229.6,232.4,229.25,229.6,231.7,232.2,231.56,263.4,164.65,"80,04,952","1,85,35,90,144.45","79,195"
2023-04-19,EQ,233.6,234.6,229.0,232.2,230.15,230.4,232.4,263.4,164.65,"74,24,582","1,72,54,52,232.95","72,753"
2023-04-20,EQ,229.9,231.5,229.1,230.4,229.65,229.55,230.1,263.4,164.65,"25,89,165","59,57,71,806.35","37,420"
2023-04-21,EQ,230.0,230.45,227.45,229.55,230.0,230.05,229.3,263.4,164.65,"24,59,508","56,39,67,501.15","28,899"
2023-04-24,EQ,229.55,232.0,229.55,230.05,231.2,231.55,231.27,263.4,164.65,"25,87,030","59,83,00,790.75","36,320"
2023-04-25,EQ,231.15,232.3,229.9,231.55,230.6,230.25,231.14,263.4,164.65,"25,70,946","59,42,41,744.00","43,145"
2023-04-26,EQ,230.0,230.65,228.0,230.25,229.8,229.75,229.35,263.4,164.65,"34,39,487","78,88,46,723.35","36,811"
2023-04-27,EQ,229.75,232.5,229.15,229.75,232.1,231.75,231.24,263.4,164.65,"33,49,374","77,44,94,671.45","37,785"
2023-04-28,EQ,232.5,234.75,231.6,231.75,233.0,233.1,232.87,263.4,164.65,"47,71,074","1,11,10,35,284.85","40,027"
2023-05-02,EQ,233.2,237.45,233.1,233.1,236.25,236.1,236.12,263.4,164.65,"37,73,537","89,09,99,692.20","51,433"
2023-05-03,EQ,236.05,238.95,234.6,236.1,236.8,236.9,237.34,263.4,164.65,"45,23,385","1,07,36,00,220.00","64,908"
2023-05-04,EQ,236.85,238.0,234.15,236.9,236.5,237.45,236.21,263.4,164.65,"72,48,108","1,71,20,76,797.20","52,076"
2023-05-05,EQ,237.85,238.0,236.0,237.45,237.6,237.4,237.1,263.4,164.65,"30,43,479","72,16,22,513.45","32,793"
2023-05-08,EQ,232.5,233.4,230.0,237.4,233.05,232.85,231.54,263.4,164.65,"97,11,437","2,24,86,15,597.00","77,709"
2023-05-09,EQ,234.8,238.8,233.5,232.85,235.95,236.35,236.45,263.4,164.65,"73,18,928","1,73,05,58,265.90","85,675"
2023-05-10,EQ,236.95,237.25,234.55,236.35,236.5,236.55,235.88,263.4,164.65,"36,50,159","86,09,84,880.50","44,895"
2023-05-11,EQ,236.55,238.15,235.7,236.55,236.5,236.15,236.96,263.4,164.65,"26,75,726","63,40,47,846.45","38,715"
2023-05-12,EQ,236.15,237.25,234.25,236.15,235.25,235.05,235.5,263.4,164.65,"23,48,435","55,30,52,970.40","38,346"
2023-05-15,EQ,234.6,239.6,233.85,235.05,237.5,237.7,237.44,263.4,167.85,"42,17,892","1,00,15,14,790.05","51,168"
2023-05-16,EQ,238.75,241.7,237.45,237.7,241.0,240.95,239.83,263.4,167.85,"60,16,484","1,44,29,58,587.45","54,856"
2023-05-17,EQ,240.95,243.7,240.75,240.95,241.5,241.6,242.16,263.4,167.85,"49,68,232","1,20,31,01,410.15","61,915"
2023-05-18,EQ,242.0,242.9,238.95,241.6,240.0,239.6,241.48,263.4,167.85,"35,12,113","84,80,89,524.35","44,127"
2023-05-19,EQ,240.0,241.6,236.3,239.6,239.7,239.9,239.75,263.4,167.85,"38,10,543","91,35,76,805.05","43,263"
2023-05-22,EQ,239.4,241.2,237.45,239.9,238.6,238.7,239.66,263.4,174.75,"28,91,415","69,29,68,426.60","49,625"
2023-05-23,EQ,238.95,240.2,236.8,238.7,239.8,239.3,239.07,263.4,174.75,"32,13,453","76,82,36,735.10","34,093"
2023-05-24,EQ,238.3,241.5,238.0,239.3,240.7,241.0,240.21,263.4,174.75,"24,22,138","58,18,30,745.45","31,455"
2023-05-25,EQ,241.25,242.2,237.9,241.0,239.6,240.05,239.61,263.4,174.75,"38,10,138","91,29,40,587.00","53,030"
2023-05-26,EQ,239.8,242.45,239.1,240.05,241.0,241.5,241.25,263.4,174.75,"26,46,742","63,85,21,722.00","27,856"
2023-05-29,EQ,241.55,247.65,240.8,241.5,246.0,246.1,245.58,263.4,174.75,"80,69,985","1,98,17,89,742.85","52,653"
2023-05-30,EQ,246.25,247.15,243.3,246.1,244.45,244.3,244.95,263.4,174.75,"46,57,906","1,14,09,39,030.95","41,442"
2023-05-31,EQ,247.9,247.9,239.3,244.3,241.5,241.25,241.31,263.4,174.75,"1,57,27,646","3,79,52,33,319.70","1,92,692"
2023-06-01,EQ,230.4,231.9,229.15,241.25,230.0,230.35,230.33,263.4,174.75,"3,55,09,867","8,17,89,79,486.45","1,40,655"
2023-06-02,EQ,228.5,233.4,228.1,230.35,230.6,230.9,230.62,263.4,174.75,"3,64,00,588","8,39,48,06,999.15","1,28,726"
2023-06-05,EQ,230.5,231.2,229.45,230.9,229.7,229.7,230.17,263.4,174.75,"1,98,07,347","4,55,90,26,354.75","1,02,290"
2023-06-06,EQ,229.8,230.65,226.75,229.7,228.2,227.8,228.05,263.4,174.75,"1,34,95,524","3,07,76,72,911.90","98,056"
