Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,"3,249.90","3,249.90","3,165.00","3,241.95","3,210.05","3,205.60","3,195.46","3,889.65","2,159.55","6,84,029","2,18,57,84,578.25","59,260"
2023-02-27,EQ,"3,200.00","3,205.40","3,102.05","3,205.60","3,128.00","3,131.05","3,134.90","3,889.65","2,159.55","4,82,530","1,51,26,81,944.15","48,503"
2023-02-28,EQ,"3,132.00","3,181.00","3,091.15","3,131.05","3,105.00","3,105.90","3,119.51","3,889.65","2,159.55","9,74,100","3,03,87,12,673.60","49,710"
2023-03-01,EQ,"3,106.00","3,143.90","3,086.70","3,105.90","3,140.50","3,138.80","3,113.17","3,889.65","2,159.55","5,22,394","1,62,63,01,875.20","42,380"
2023-03-02,EQ,"3,155.10","3,158.95","3,097.30","3,138.80","3,120.00","3,125.50","3,128.06","3,889.65","2,159.55","9,70,565","3,03,59,80,760.10","64,836"
2023-03-03,EQ,"3,141.15","3,150.90","3,113.85","3,125.50","3,128.00","3,127.30","3,133.16","3,889.65","2,159.55","3,37,278","1,05,67,47,602.85","44,504"
2023-03-06,EQ,"3,138.00","3,169.10","3,132.40","3,127.30","3,160.05","3,166.20","3,154.69","3,889.65","2,159.55","3,62,693","1,14,41,83,472.50","33,298"
2023-03-08,EQ,"3,166.00","3,211.55","3,150.10","3,166.20","3,200.00","3,204.40","3,187.04","3,889.65","2,159.55","6,57,256","2,09,46,99,718.00","40,177"
2023-03-09,EQ,"3,211.00","3,219.95","3,142.10","3,204.40","3,149.00","3,146.70","3,168.11","3,889.65","2,159.55","4,19,727","1,32,97,42,055.95","25,716"
2023-03-10,EQ,"3,134.95","3,147.20","3,095.15","3,146.70","3,121.80","3,116.10","3,120.44","3,889.65","2,159.55","3,62,000","1,12,95,98,599.70","51,333"
2023-03-13,EQ,"3,117.00","3,122.95","3,025.00","3,116.10","3,038.00","3,033.40","3,064.37","3,889.65","2,235.80","3,51,244","1,07,63,40,174.35","43,888"
2023-03-14,EQ,"3,033.40","3,050.00","2,985.50","3,033.40","3,022.00","3,016.90","3,016.56","3,889.65","2,235.80","7,27,498","2,19,45,39,541.00","66,728"
2023-03-15,EQ,"3,044.80","3,059.75","3,002.00","3,016.90","3,005.10","3,006.90","3,030.56","3,889.65","2,235.80","2,88,927","87,56,10,734.70","29,860"
2023-03-16,EQ,"3,021.70","3,081.00","2,996.00","3,006.90","3,041.00","3,035.45","3,047.87","3,889.65","2,235.80","4,39,612","1,33,98,78,194.10","39,094"
