Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,"1,617.90","1,617.90","1,585.20","1,603.25","1,588.50","1,588.95","1,594.44","1,722.10","1,271.60","85,30,870","13,60,19,92,894.90","1,79,066"
2023-02-27,EQ,"1,585.90","1,599.00","1,577.30","1,588.95","1,598.65","1,592.90","1,590.06","1,722.10","1,271.60","71,56,486","11,37,92,44,627.25","1,43,487"
2023-02-28,EQ,"1,592.00","1,605.30","1,588.70","1,592.90","1,603.00","1,599.60","1,597.73","1,722.10","1,271.60","94,96,996","15,17,36,65,803.80","1,28,911"
2023-03-01,EQ,"1,612.00","1,613.00","1,595.75","1,599.60","1,599.00","1,598.05","1,601.75","1,722.10","1,271.60","70,68,628","11,32,21,67,673.75","1,70,088"
2023-03-02,EQ,"1,594.00","1,605.95","1,582.00","1,598.05","1,583.90","1,584.45","1,591.80","1,722.10","1,271.60","86,95,907","13,84,21,64,334.75","1,45,929"
2023-03-03,EQ,"1,596.00","1,620.00","1,588.00","1,584.45","1,615.25","1,615.90","1,610.57","1,722.10","1,271.60","74,93,117","12,06,81,76,740.30","1,47,003"
2023-03-06,EQ,"1,620.00","1,639.45","1,618.05","1,615.90","1,628.35","1,627.30","1,631.52","1,722.10","1,271.60","1,35,02,355","22,02,93,57,861.45","1,70,565"
2023-03-08,EQ,"1,620.00","1,639.50","1,620.00","1,627.30","1,630.00","1,630.55","1,628.76","1,722.10","1,271.60","1,00,49,887","16,36,88,28,094.50","1,69,090"
2023-03-09,EQ,"1,629.95","1,645.95","1,627.00","1,630.55","1,630.00","1,630.70","1,636.24","1,722.10","1,271.60","1,03,50,083","16,93,52,18,497.40","1,38,340"
2023-03-10,EQ,"1,610.45","1,613.75","1,585.00","1,630.70","1,588.10","1,588.65","1,594.45","1,722.10","1,271.60","1,36,93,500","21,83,35,68,464.50","2,16,265"
2023-03-13,EQ,"1,587.90","1,603.80","1,564.95","1,588.65","1,571.50","1,568.55","1,584.50","1,722.10","1,271.60","1,32,21,775","20,94,98,79,575.00","1,64,259"
2023-03-14,EQ,"1,570.25","1,583.60","1,559.30","1,568.55","1,568.00","1,564.35","1,570.59","1,722.10","1,271.60","1,65,92,806","26,06,05,11,633.95","1,93,032"
2023-03-15,EQ,"1,578.00","1,582.90","1,536.60","1,564.35","1,542.95","1,541.90","1,559.54","1,722.10","1,271.60","1,86,32,377","29,05,80,23,463.95","2,09,694"
2023-03-16,EQ,"1,539.00","1,559.10","1,532.05","1,541.90","1,552.10","1,551.90","1,547.23","1,722.10","1,271.60","1,08,76,671","16,82,87,24,100.65","2,25,162"
2023-03-17,EQ,"1,557.50","1,579.20","1,540.00","1,551.90","1,578.65","1,572.65","1,555.94","1,722.10","1,271.60","1,14,75,438","17,85,50,50,758.60","1,77,856"
2023-03-20,EQ,"1,567.95","1,568.10","1,545.40","1,572.65","1,563.00","1,561.75","1,554.24","1,722.10","1,271.60","1,32,51,557","20,59,61,24,335.40","1,94,499"
2023-03-21,EQ,"1,571.95","1,582.50","1,556.20","1,561.75","1,577.30","1,579.45","1,566.20","1,722.10","1,271.60","1,65,25,247","25,88,17,67,757.50","1,66,646"
2023-03-22,EQ,"1,584.00","1,586.05","1,565.30","1,579.45","1,573.70","1,575.80","1,573.31","1,722.10","1,271.60","70,88,662","11,15,26,57,442.95","1,39,019"
2023-03-23,EQ,"1,567.75","1,590.35","1,558.55","1,575.80","1,561.00","1,563.15","1,576.46","1,722.10","1,271.60","1,41,82,089","22,35,75,56,930.90","1,71,995"
2023-03-24,EQ,"1,560.00","1,573.90","1,554.95","1,563.15","1,559.65","1,560.65","1,565.66","1,722.10","1,271.60","1,57,38,874","24,64,17,90,955.35","1,71,286"
2023-03-27,EQ,"1,562.20","1,579.45","1,558.90","1,560.65","1,560.70","1,567.45","1,569.43","1,722.10","1,271.60","1,59,36,003","25,01,05,12,320.00","1,71,004"
2023-03-28,EQ,"1,565.70","1,582.90","1,564.10","1,567.45","1,581.60","1,580.20","1,574.78","1,722.10","1,271.60","1,96,38,151","30,92,58,14,365.90","1,95,952"
2023-03-29,EQ,"1,584.00","1,602.00","1,581.90","1,580.20","1,593.00","1,587.80","1,591.40","1,722.10","1,271.60","1,98,81,806","31,63,98,48,468.25","2,08,681"
2023-03-31,EQ,"1,595.60","1,612.95","1,592.40","1,587.80","1,609.00","1,609.55","1,601.95","1,722.10","1,271.60","1,73,55,614","27,80,28,79,066.75","2,13,559"
2023-04-03,EQ,"1,607.55","1,615.70","1,602.75","1,609.55","1,609.90","1,610.55","1,608.28","1,722.10","1,271.60","2,00,12,699","32,18,59,70,936.50","1,65,016"
2023-04-05,EQ,"1,618.60","1,656.00","1,616.00","1,610.55","1,654.00","1,653.75","1,647.03","1,722.10","1,271.60","2,16,82,696","35,71,20,51,912.40","2,85,701"
2023-04-06,EQ,"1,648.55","1,669.20","1,647.10","1,653.75","1,666.00","1,666.35","1,659.15","1,722.10","1,271.60","2,23,18,672","37,02,99,76,857.60","2,33,336"
2023-04-10,EQ,"1,663.25","1,671.00","1,654.00","1,666.35","1,655.15","1,658.45","1,662.14","1,702.40","1,271.60","1,59,06,643","26,43,90,42,028.15","1,38,726"
2023-04-11,EQ,"1,659.00","1,669.40","1,651.10","1,658.45","1,664.95","1,663.30","1,662.57","1,702.40","1,271.60","2,11,80,771","35,21,44,68,680.05","2,00,423"
2023-04-12,EQ,"1,668.00","1,688.20","1,667.80","1,663.30","1,685.00","1,684.90","1,679.14","1,702.40","1,271.60","1,34,77,752","22,63,09,71,070.95","1,83,654"
2023-04-13,EQ,"1,688.30","1,697.05","1,678.15","1,684.90","1,695.00","1,692.45","1,686.70","1,702.40","1,271.60","1,76,65,043","29,79,57,08,472.95","1,77,271"
2023-04-17,EQ,"1,720.00","1,720.00","1,653.30","1,692.45","1,665.05","1,666.65","1,669.13","1,720.00","1,271.60","1,62,02,574","27,04,41,65,347.35","2,42,646"
2023-04-18,EQ,"1,670.00","1,677.25","1,656.40","1,666.65","1,660.35","1,659.60","1,666.90","1,720.00","1,271.60","1,48,18,613","24,70,12,10,477.55","1,98,013"
2023-04-19,EQ,"1,665.00","1,670.30","1,657.15","1,659.60","1,668.70","1,665.70","1,664.28","1,720.00","1,271.60","1,23,70,584","20,58,80,90,646.20","1,42,796"
2023-04-20,EQ,"1,671.70","1,677.45","1,666.40","1,665.70","1,673.00","1,671.90","1,671.10","1,720.00","1,271.60","1,64,61,358","27,50,85,41,645.25","1,71,106"
2023-04-21,EQ,"1,669.00","1,676.95","1,663.25","1,671.90","1,672.00","1,674.60","1,670.10","1,720.00","1,271.60","1,00,64,309","16,80,83,90,125.10","1,59,632"
2023-04-24,EQ,"1,687.00","1,691.45","1,674.10","1,674.60","1,689.50","1,688.15","1,681.20","1,720.00","1,271.60","1,78,37,926","29,98,91,17,787.95","1,81,877"
2023-04-25,EQ,"1,687.70","1,687.70","1,661.90","1,688.15","1,663.60","1,664.15","1,671.96","1,720.00","1,271.60","2,51,76,534","42,09,41,15,747.50","2,30,940"
2023-04-26,EQ,"1,660.00","1,675.00","1,655.00","1,664.15","1,675.00","1,671.80","1,666.08","1,720.00","1,271.60","1,36,96,375","22,81,93,00,576.90","1,84,866"
2023-04-27,EQ,"1,670.50","1,685.25","1,665.85","1,671.80","1,680.00","1,681.00","1,673.65","1,720.00","1,271.60","2,38,95,196","39,99,23,03,899.70","2,58,905"
2023-04-28,EQ,"1,684.70","1,691.00","1,670.00","1,681.00","1,687.15","1,687.60","1,678.51","1,720.00","1,271.60","1,39,58,136","23,42,89,39,295.55","1,82,365"
2023-05-02,EQ,"1,688.70","1,699.00","1,682.00","1,687.60","1,682.90","1,687.25","1,692.45","1,720.00","1,271.60","1,61,10,592","27,26,63,77,374.55","1,85,905"
2023-05-03,EQ,"1,684.95","1,696.00","1,679.65","1,687.25","1,693.95","1,693.15","1,687.29","1,720.00","1,271.60","1,47,03,635","24,80,92,69,719.05","1,76,478"
2023-05-04,EQ,"1,687.10","1,734.45","1,687.10","1,693.15","1,729.00","1,727.80","1,712.72","1,734.45","1,271.60","2,84,27,319","48,68,79,68,070.25","2,55,713"
2023-05-05,EQ,"1,639.00","1,660.95","1,622.10","1,727.80","1,626.95","1,625.65","1,640.31","1,734.45","1,271.60","3,13,85,208","51,48,13,96,583.70","6,97,018"
2023-05-08,EQ,"1,635.00","1,650.35","1,630.00","1,625.65","1,646.75","1,644.45","1,645.52","1,734.45","1,271.60","1,86,22,262","30,64,32,51,208.65","2,40,839"
2023-05-09,EQ,"1,649.90","1,656.00","1,639.95","1,644.45","1,642.75","1,644.50","1,649.29","1,734.45","1,271.60","2,18,44,469","36,02,79,43,472.75","2,70,463"
2023-05-10,EQ,"1,644.50","1,654.65","1,633.10","1,644.50","1,652.30","1,652.10","1,644.49","1,734.45","1,271.60","2,31,70,275","38,10,33,10,084.95","2,28,151"
2023-05-11,EQ,"1,665.15","1,688.00","1,649.25","1,652.10","1,655.00","1,653.20","1,656.04","1,734.45","1,271.60","1,78,67,309","29,58,89,45,347.95","2,19,658"
2023-05-12,EQ,"1,647.00","1,672.80","1,644.25","1,653.20","1,667.95","1,667.80","1,662.68","1,734.45","1,271.60","1,12,39,380","18,68,75,07,675.25","2,00,542"
2023-05-15,EQ,"1,672.00","1,680.75","1,665.10","1,667.80","1,677.00","1,675.80","1,676.61","1,734.45","1,271.60","92,56,130","15,51,89,20,431.50","2,04,219"
2023-05-16,EQ,"1,671.80","1,671.80","1,644.00","1,675.80","1,646.00","1,647.30","1,654.31","1,734.45","1,271.60","1,63,61,043","27,06,63,15,642.35","2,36,552"
2023-05-17,EQ,"1,650.00","1,650.00","1,625.35","1,647.30","1,640.85","1,638.45","1,638.82","1,734.45","1,271.60","1,52,33,434","24,96,49,17,751.70","2,24,112"
2023-05-18,EQ,"1,648.00","1,653.95","1,640.00","1,638.45","1,644.50","1,645.00","1,646.05","1,734.45","1,271.60","2,48,23,471","40,86,05,59,448.95","2,78,185"
2023-05-19,EQ,"1,648.00","1,650.00","1,631.55","1,645.00","1,646.50","1,646.90","1,641.50","1,734.45","1,271.60","1,52,30,166","25,00,03,35,648.35","1,97,258"
2023-05-22,EQ,"1,645.00","1,652.90","1,632.70","1,646.90","1,638.45","1,641.05","1,641.70","1,734.45","1,271.60","1,41,67,016","23,25,79,23,466.55","2,04,936"
2023-05-23,EQ,"1,649.00","1,649.60","1,633.45","1,641.05","1,634.05","1,637.20","1,641.32","1,734.45","1,271.60","1,12,35,037","18,44,03,00,706.25","1,98,675"
2023-05-24,EQ,"1,627.55","1,634.75","1,613.60","1,637.20","1,615.00","1,615.80","1,624.67","1,734.45","1,271.60","1,67,94,056","27,28,48,71,539.45","2,98,545"
2023-05-25,EQ,"1,615.70","1,620.05","1,597.35","1,615.80","1,613.35","1,609.60","1,606.52","1,734.45","1,271.60","1,48,88,465","23,91,85,72,885.90","3,18,672"
2023-05-26,EQ,"1,619.00","1,619.00","1,602.25","1,609.60","1,617.00","1,615.80","1,611.17","1,734.45","1,271.60","1,33,17,533","21,45,68,49,112.15","2,47,378"
2023-05-29,EQ,"1,628.50","1,641.00","1,624.85","1,615.80","1,630.00","1,635.50","1,636.20","1,734.45","1,271.60","1,09,08,146","17,84,79,15,681.45","2,07,071"
2023-05-30,EQ,"1,633.60","1,642.65","1,628.55","1,635.50","1,640.80","1,636.75","1,633.96","1,734.45","1,271.60","1,85,62,964","30,33,11,62,063.85","2,64,829"
2023-05-31,EQ,"1,629.90","1,634.95","1,604.65","1,636.75","1,611.20","1,610.85","1,613.25","1,734.45","1,271.60","2,16,67,135","34,95,45,11,959.60","2,91,055"
2023-06-01,EQ,"1,619.90","1,619.90","1,600.00","1,610.85","1,601.00","1,604.00","1,612.23","1,734.45","1,271.60","2,51,83,469","40,60,14,23,757.55","2,82,772"
2023-06-02,EQ,"1,612.45","1,614.80","1,601.00","1,604.00","1,605.50","1,606.50","1,607.62","1,734.45","1,271.60","89,29,855","14,35,58,01,663.75","3,16,938"
2023-06-05,EQ,"1,614.50","1,616.50","1,602.45","1,606.50","1,604.05","1,604.40","1,610.46","1,734.45","1,271.60","93,48,621","15,05,56,21,088.80","1,53,663"
2023-06-06,EQ,"1,607.65","1,609.85","1,592.25","1,604.40","1,605.00","1,599.40","1,598.09","1,734.45","1,271.60","1,60,91,426","25,71,56,16,381.45","2,33,706"
2023-06-07,EQ,"1,603.45","1,612.55","1,596.00","1,599.40","1,611.50","1,607.70","1,602.11","1,734.45","1,271.60","1,24,74,513","19,98,55,40,209.25","1,76,230"
2023-06-08,EQ,"1,603.25","1,626.00","1,603.25","1,607.70","1,608.35","1,608.70","1,617.05","1,734.45","1,271.60","1,86,97,761","30,23,52,56,021.30","2,68,888"
2023-06-09,EQ,"1,615.90","1,618.50","1,607.00","1,608.70","1,609.50","1,610.60","1,613.79","1,734.45","1,271.60","91,06,289","14,69,56,39,541.25","1,85,235"
2023-06-12,EQ,"1,612.55","1,615.80","1,599.45","1,610.60","1,600.90","1,600.80","1,604.34","1,734.45","1,271.60","67,04,146","10,75,57,48,258.60","1,56,138"
2023-06-13,EQ,"1,590.10","1,609.00","1,590.10","1,600.80","1,607.95","1,603.50","1,602.57","1,734.45","1,271.60","1,39,63,054","22,37,68,05,987.05","1,84,386"
2023-06-14,EQ,"1,610.45","1,612.00","1,600.20","1,603.50","1,601.75","1,601.75","1,606.76","1,734.45","1,271.60","1,00,56,984","16,15,91,16,681.25","1,74,004"
2023-06-15,EQ,"1,604.00","1,605.95","1,579.00","1,601.75","1,580.55","1,582.05","1,590.41","1,734.45","1,271.60","1,76,88,738","28,13,24,06,376.20","2,71,848"
2023-06-16,EQ,"1,587.15","1,609.20","1,584.00","1,582.05","1,602.50","1,602.75","1,598.25","1,734.45","1,271.60","78,89,636","12,60,95,94,950.00","1,81,546"
2023-06-19,EQ,"1,611.00","1,614.25","1,598.35","1,602.75","1,604.90","1,604.15","1,606.00","1,734.45","1,294.15","1,24,14,573","19,93,77,59,557.10","1,62,051"
2023-06-20,EQ,"1,604.15","1,611.00","1,590.65","1,604.15","1,609.40","1,607.50","1,599.68","1,734.45","1,294.15","1,00,02,813","16,00,12,91,895.20","2,87,119"
2023-06-21,EQ,"1,616.00","1,637.25","1,611.00","1,607.50","1,635.55","1,635.60","1,628.22","1,734.45","1,294.15","1,21,54,473","19,79,01,44,100.50","2,76,058"
2023-06-22,EQ,"1,640.00","1,657.55","1,639.05","1,635.60","1,644.80","1,643.60","1,646.70","1,734.45","1,294.15","2,82,98,070","46,59,85,24,688.10","3,67,511"
2023-06-23,EQ,"1,637.55","1,659.90","1,634.05","1,643.60","1,642.90","1,643.50","1,649.49","1,734.45","1,294.15","1,06,69,609","17,59,94,09,604.40","2,48,242"
2023-06-26,EQ,"1,645.00","1,650.75","1,628.70","1,643.50","1,635.70","1,635.55","1,637.33","1,734.45","1,330.05","80,65,157","13,20,53,20,442.40","1,99,872"
2023-06-27,EQ,"1,642.95","1,672.90","1,638.55","1,635.55","1,658.25","1,658.60","1,654.06","1,734.45","1,330.05","1,69,15,932","27,97,99,20,820.40","3,14,003"
2023-06-28,EQ,"1,670.00","1,679.90","1,660.50","1,658.60","1,673.10","1,676.15","1,673.30","1,734.45","1,330.05","2,97,81,475","49,83,32,44,547.95","4,39,006"
2023-06-30,EQ,"1,704.00","1,708.80","1,683.25","1,676.15","1,700.75","1,701.40","1,698.70","1,734.45","1,330.05","2,03,49,508","34,56,76,75,938.75","3,26,058"
2023-07-03,EQ,"1,712.50","1,757.50","1,710.00","1,701.40","1,721.00","1,719.80","1,733.31","1,757.50","1,337.00","2,20,52,058","38,22,31,61,666.50","5,40,520"
2023-07-04,EQ,"1,723.45","1,747.00","1,713.80","1,719.80","1,725.00","1,728.20","1,731.04","1,757.50","1,337.00","1,93,97,594","33,57,79,54,092.40","3,79,487"
