Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,488.5,490.0,482.0,486.85,482.95,482.85,484.47,620.6,473.7,"24,36,219","1,18,02,69,431.30","55,777"
2023-02-27,EQ,482.85,490.9,478.0,482.85,490.5,488.7,483.98,620.6,473.7,"25,87,409","1,25,22,51,406.90","52,345"
2023-02-28,EQ,490.9,491.7,484.55,488.7,488.9,488.8,488.14,620.6,473.7,"32,71,808","1,59,71,02,750.70","55,789"
2023-03-01,EQ,488.9,490.85,484.4,488.8,489.95,489.75,488.12,620.6,473.7,"15,91,916","77,70,43,686.15","52,784"
2023-03-02,EQ,490.0,491.25,481.65,489.75,482.2,482.8,485.04,620.6,473.7,"26,18,651","1,27,01,41,309.50","65,434"
2023-03-03,EQ,485.3,492.55,481.6,482.8,490.15,489.95,488.76,620.6,473.7,"29,83,486","1,45,82,09,658.75","63,975"
2023-03-06,EQ,492.0,496.75,489.0,489.95,490.0,490.15,493.17,620.6,473.7,"30,07,451","1,48,31,72,623.35","89,845"
2023-03-08,EQ,490.0,496.35,488.0,490.15,494.6,495.2,491.39,620.6,473.7,"55,89,817","2,74,67,53,795.65","85,402"
2023-03-09,EQ,495.0,496.6,490.0,495.2,490.1,491.25,492.81,620.6,473.7,"23,36,282","1,15,13,43,634.85","78,140"
2023-03-10,EQ,487.55,491.15,484.2,491.25,490.5,490.25,488.05,620.6,473.7,"23,83,642","1,16,33,25,221.35","90,362"
2023-03-13,EQ,490.0,495.5,477.3,490.25,479.5,478.95,485.53,620.6,473.7,"28,49,642","1,38,35,74,354.20","93,591"
2023-03-14,EQ,480.45,485.35,468.75,478.95,471.1,470.55,473.95,620.6,468.75,"85,30,038","4,04,28,13,003.75","1,28,543"
2023-03-15,EQ,473.05,478.45,465.1,470.55,466.15,466.7,470.68,620.6,465.1,"60,95,528","2,86,90,40,776.50","93,960"
2023-03-16,EQ,466.7,469.0,457.8,466.7,462.0,461.4,464.0,620.6,457.8,"67,90,599","3,15,08,34,657.45","1,32,573"
2023-03-17,EQ,464.05,477.3,464.0,461.4,471.95,471.25,471.67,620.6,457.8,"76,40,040","3,60,35,82,165.85","1,41,022"
2023-03-20,EQ,470.0,471.4,458.1,471.25,465.5,465.25,462.14,620.6,457.8,"39,37,830","1,81,98,32,465.85","1,00,216"
2023-03-21,EQ,467.0,484.0,466.5,465.25,483.0,482.75,479.51,620.6,457.8,"43,63,583","2,09,23,98,535.30","1,34,282"
2023-03-22,EQ,483.0,498.5,483.0,482.75,497.0,497.45,494.49,620.6,457.8,"56,04,187","2,77,11,90,884.15","1,19,082"
2023-03-23,EQ,497.45,505.0,494.15,497.45,498.2,498.55,500.51,620.6,457.8,"44,89,138","2,24,68,80,829.45","73,912"
2023-03-24,EQ,494.5,501.9,481.6,498.55,491.3,492.25,491.59,620.6,457.8,"64,24,544","3,15,82,14,308.00","1,32,853"
2023-03-27,EQ,486.65,499.45,486.65,492.25,492.4,492.95,494.99,620.6,457.8,"24,12,510","1,19,41,61,315.30","70,548"
2023-03-28,EQ,495.45,498.5,486.85,492.95,490.95,489.7,492.12,620.6,457.8,"24,94,157","1,22,74,30,786.50","56,925"
