Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,6.75,7.05,6.65,6.7,6.8,6.75,6.83,11.65,6.3,"13,47,64,686","92,03,50,430.95","1,04,685"
2023-02-27,EQ,6.8,6.85,6.55,6.75,6.7,6.7,6.67,11.55,6.3,"8,62,09,985","57,47,17,798.65","1,06,068"
2023-02-28,EQ,6.7,6.9,6.65,6.7,6.8,6.8,6.77,11.55,6.3,"6,77,25,048","45,84,89,265.30","71,912"
2023-03-01,EQ,6.85,7.0,6.8,6.8,6.95,6.9,6.88,11.55,6.3,"10,13,15,010","69,70,34,217.40","84,339"
2023-03-02,EQ,6.9,7.05,6.85,6.9,6.95,6.95,6.96,11.55,6.3,"4,08,14,192","28,41,25,661.45","62,215"
2023-03-03,EQ,7.0,7.05,6.85,6.95,6.95,6.9,6.91,11.55,6.3,"5,31,89,694","36,76,95,410.60","57,015"
2023-03-06,EQ,6.95,7.05,6.9,6.9,6.95,6.95,6.97,11.55,6.3,"4,86,41,336","33,89,63,788.00","1,58,027"
2023-03-08,EQ,6.95,7.0,6.85,6.95,6.95,6.95,6.92,11.55,6.3,"3,48,88,541","24,14,98,542.00","51,580"
2023-03-09,EQ,6.95,7.0,6.85,6.95,6.9,6.85,6.92,11.55,6.3,"3,98,76,831","27,59,25,499.10","52,990"
2023-03-10,EQ,6.85,6.85,6.7,6.85,6.8,6.75,6.77,11.55,6.3,"4,98,09,823","33,73,75,116.60","53,469"
2023-03-13,EQ,6.8,6.8,6.55,6.75,6.65,6.6,6.64,11.55,6.3,"5,44,68,617","36,15,59,689.00","90,697"
2023-03-14,EQ,6.65,6.65,6.5,6.6,6.55,6.55,6.55,11.55,6.3,"5,85,65,265","38,36,38,945.00","59,263"
2023-03-15,EQ,6.6,6.65,6.4,6.55,6.45,6.4,6.48,11.55,6.3,"5,87,60,946","38,10,01,563.50","56,502"
2023-03-16,EQ,6.45,6.55,6.25,6.4,6.4,6.45,6.39,11.55,6.25,"7,06,27,780","45,15,48,990.15","60,215"
2023-03-17,EQ,6.45,6.5,6.35,6.45,6.4,6.4,6.43,11.55,6.25,"7,95,53,023","51,14,63,767.75","61,105"
2023-03-20,EQ,6.45,6.45,6.25,6.4,6.35,6.35,6.34,11.55,6.25,"6,62,31,334","41,96,34,718.10","69,250"
2023-03-21,EQ,6.35,6.4,6.3,6.35,6.35,6.3,6.34,11.55,6.25,"5,03,71,395","31,95,34,495.15","56,562"
2023-03-22,EQ,6.35,6.8,6.3,6.3,6.55,6.55,6.6,11.55,6.25,"17,05,27,399","1,12,62,05,757.45","53,641"
2023-03-23,EQ,6.55,6.55,6.4,6.55,6.4,6.45,6.48,11.55,6.25,"5,49,65,463","35,62,73,501.60","53,462"
2023-03-24,EQ,6.4,6.5,6.2,6.45,6.3,6.25,6.33,11.55,6.2,"11,35,03,938","71,83,28,019.65","66,116"
2023-03-27,EQ,6.25,6.3,6.0,6.25,6.05,6.05,6.13,11.55,6.0,"7,34,81,124","45,02,84,084.30","56,538"
2023-03-28,EQ,6.0,6.1,5.8,6.05,6.0,5.9,5.89,11.55,5.8,"10,98,33,770","64,72,20,260.40","68,467"
2023-03-29,EQ,5.9,6.05,5.8,5.9,5.85,5.9,5.92,11.55,5.8,"9,51,62,411","56,36,83,624.85","58,456"
2023-03-31,EQ,5.9,5.95,5.7,5.9,5.85,5.8,5.84,11.55,5.7,"11,44,39,391","66,85,24,682.30","85,468"
2023-04-03,EQ,5.85,6.25,5.8,5.8,6.15,6.15,6.08,11.55,5.7,"11,52,81,750","70,05,71,674.60","54,956"
