Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,"1,560.00","1,569.00","1,545.00","1,550.70","1,548.00","1,550.65","1,554.49","1,923.30","1,355.00","27,90,986","4,33,85,55,110.95","1,09,535"
2023-02-27,EQ,"1,540.00","1,540.00","1,502.00","1,550.65","1,510.65","1,509.30","1,509.98","1,923.30","1,355.00","49,20,268","7,42,95,09,645.70","2,09,158"
2023-02-28,EQ,"1,515.60","1,524.00","1,481.30","1,509.30","1,490.00","1,487.55","1,494.67","1,923.30","1,355.00","96,79,811","14,46,81,39,110.40","2,37,105"
2023-03-01,EQ,"1,492.40","1,500.85","1,481.50","1,487.55","1,496.95","1,496.05","1,494.12","1,923.30","1,355.00","51,25,043","7,65,74,08,377.75","2,15,581"
2023-03-02,EQ,"1,485.00","1,488.60","1,467.30","1,496.05","1,471.75","1,472.15","1,474.05","1,923.30","1,355.00","46,44,499","6,84,62,26,930.70","2,45,727"
2023-03-03,EQ,"1,486.75","1,489.80","1,473.00","1,472.15","1,480.90","1,479.30","1,479.60","1,923.30","1,355.00","46,15,015","6,82,83,89,778.30","1,98,050"
2023-03-06,EQ,"1,494.55","1,520.40","1,493.15","1,479.30","1,506.60","1,507.45","1,509.37","1,923.30","1,355.00","65,61,742","9,90,40,87,794.20","1,95,359"
2023-03-08,EQ,"1,490.55","1,496.00","1,481.10","1,507.45","1,493.00","1,492.70","1,489.55","1,923.30","1,355.00","41,37,080","6,16,23,90,404.40","1,51,252"
2023-03-09,EQ,"1,495.00","1,498.35","1,474.60","1,492.70","1,480.60","1,480.40","1,485.30","1,923.30","1,355.00","51,04,656","7,58,19,63,844.80","1,58,728"
2023-03-10,EQ,"1,460.00","1,474.30","1,457.65","1,480.40","1,473.95","1,471.55","1,467.74","1,923.30","1,355.00","36,99,580","5,43,00,29,458.10","2,19,851"
2023-03-13,EQ,"1,464.20","1,478.30","1,428.00","1,471.55","1,438.95","1,435.10","1,444.94","1,923.30","1,355.00","87,98,403","12,71,31,35,353.35","3,78,220"
2023-03-14,EQ,"1,441.00","1,448.35","1,411.00","1,435.10","1,421.15","1,420.00","1,422.68","1,923.30","1,355.00","74,02,784","10,53,17,85,841.70","3,72,984"
2023-03-15,EQ,"1,438.00","1,442.85","1,416.85","1,420.00","1,421.00","1,419.65","1,423.38","1,923.30","1,355.00","75,56,182","10,75,52,99,509.85","4,69,861"
2023-03-16,EQ,"1,417.80","1,417.80","1,398.70","1,419.65","1,407.00","1,404.10","1,406.40","1,923.30","1,355.00","73,23,117","10,29,91,98,276.25","3,44,114"
2023-03-17,EQ,"1,430.00","1,442.90","1,411.40","1,404.10","1,423.65","1,420.70","1,426.69","1,923.30","1,355.00","90,90,018","12,96,86,34,618.20","2,21,212"
2023-03-20,EQ,"1,419.70","1,419.70","1,384.85","1,420.70","1,406.00","1,403.65","1,399.76","1,919.00","1,355.00","82,21,829","11,50,85,78,317.75","2,58,614"
2023-03-21,EQ,"1,399.00","1,405.00","1,390.00","1,403.65","1,392.00","1,390.70","1,394.66","1,919.00","1,355.00","85,36,755","11,90,58,55,384.70","3,11,684"
