Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,77.5,77.65,77.1,77.2,77.35,77.35,77.34,136.05,65.2,"61,03,178","47,20,13,629.40","23,762"
2023-02-27,EQ,77.35,77.4,76.2,77.35,77.05,76.85,76.72,136.05,65.2,"69,45,215","53,28,21,383.45","34,320"
2023-02-28,EQ,76.9,77.05,75.8,76.85,76.0,76.05,76.17,136.05,65.2,"1,00,00,095","76,17,04,925.65","34,837"
2023-03-01,EQ,76.0,77.2,75.85,76.05,77.05,76.95,76.71,136.05,65.2,"66,94,749","51,35,37,358.10","29,947"
2023-03-02,EQ,77.0,78.15,76.8,76.95,78.0,77.9,77.71,136.05,65.2,"52,73,986","40,98,60,783.20","29,379"
2023-03-03,EQ,78.15,78.45,77.7,77.9,78.1,78.2,78.14,136.05,65.2,"55,22,499","43,15,34,276.75","28,868"
2023-03-06,EQ,78.3,79.8,78.05,78.2,79.35,79.25,79.21,136.05,65.2,"85,82,554","67,98,36,543.60","36,663"
2023-03-08,EQ,78.75,79.35,78.5,79.25,79.2,79.2,79.06,136.05,65.2,"59,69,771","47,19,62,011.70","29,412"
2023-03-09,EQ,79.3,79.45,78.55,79.2,78.65,78.7,78.99,136.05,65.2,"61,35,751","48,46,35,067.00","30,487"
2023-03-10,EQ,78.5,79.25,77.5,78.7,78.95,78.9,78.57,136.05,65.2,"63,05,111","49,53,76,044.00","28,724"
2023-03-13,EQ,78.5,78.9,77.65,78.9,77.8,77.8,78.27,136.05,65.2,"71,51,999","55,97,89,943.30","30,648"
2023-03-14,EQ,77.85,78.1,77.25,77.8,77.9,77.7,77.69,136.05,65.2,"83,16,642","64,61,27,742.65","31,323"
2023-03-15,EQ,78.25,79.05,78.0,77.7,78.6,78.6,78.66,136.05,65.2,"81,83,051","64,36,96,226.80","33,087"
2023-03-16,EQ,79.0,80.45,78.75,78.6,80.1,79.9,79.82,136.05,65.2,"2,73,48,566","2,18,28,57,519.95","72,427"
2023-03-17,EQ,80.6,80.85,78.85,79.9,79.25,79.3,79.53,136.05,65.2,"2,29,04,016","1,82,14,74,011.65","56,872"
2023-03-20,EQ,79.2,80.7,78.7,79.3,80.65,80.6,80.25,136.05,65.2,"1,80,90,005","1,45,17,15,958.65","59,921"
2023-03-21,EQ,80.8,81.15,79.3,80.6,79.65,79.55,79.79,136.05,65.2,"99,42,587","79,32,86,449.60","37,957"
