Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,604.95,610.00,602.0,602.30,607.75,607.85,606.20,840.95,557.0,"11,03,521","66,89,58,110.90","31,301"
2023-02-27,EQ,606.00,607.10,595.0,607.85,601.85,599.85,599.43,840.95,557.0,"12,72,125","76,25,54,250.95","46,222"
2023-02-28,EQ,602.85,610.65,600.6,599.85,609.00,609.25,606.91,840.95,557.0,"11,69,989","71,00,73,873.20","32,870"
2023-03-01,EQ,603.30,614.80,603.3,609.25,611.40,611.35,611.22,840.95,557.0,"8,38,187","51,23,15,092.30","26,127"
2023-03-02,EQ,614.45,614.45,608.0,611.35,609.00,609.20,610.95,840.95,557.0,"6,75,954","41,29,70,843.95","23,344"
2023-03-03,EQ,611.00,617.50,611.0,609.20,613.95,613.95,614.18,840.95,557.0,"9,22,970","56,68,65,444.75","26,198"
2023-03-06,EQ,615.55,620.95,615.05,613.95,615.80,615.80,617.99,840.95,557.0,"11,59,437","71,65,17,336.65","29,361"
2023-03-08,EQ,615.00,618.80,612.2,615.80,617.70,618.25,615.76,840.95,557.0,"5,99,416","36,90,93,729.90","19,070"
2023-03-09,EQ,618.80,621.40,614.0,618.25,614.80,615.05,617.04,840.95,557.0,"7,05,160","43,51,13,334.35","24,655"
2023-03-10,EQ,612.80,613.50,604.55,615.05,613.00,611.95,608.63,840.95,557.0,"7,83,871","47,70,87,378.95","32,933"
2023-03-13,EQ,607.15,613.00,600.0,611.95,602.25,601.65,605.59,840.95,557.0,"10,63,211","64,38,65,754.00","40,590"
2023-03-14,EQ,602.00,605.00,596.1,601.65,603.50,603.35,601.20,840.95,557.0,"10,24,101","61,56,93,921.35","31,561"
2023-03-15,EQ,605.00,608.95,601.5,603.35,603.10,605.65,605.24,840.95,557.0,"7,87,957","47,69,00,492.50","26,181"
2023-03-16,EQ,604.50,606.60,595.7,605.65,603.20,603.45,602.33,840.95,557.0,"9,21,400","55,49,88,167.95","28,065"
2023-03-17,EQ,606.70,619.00,606.2,603.45,611.00,611.65,611.47,840.95,557.0,"12,71,225","77,73,14,573.05","33,645"
2023-03-20,EQ,606.00,609.90,600.0,611.65,604.25,604.45,602.94,840.95,557.0,"6,94,608","41,88,04,752.70","22,265"
2023-03-21,EQ,604.25,608.80,602.15,604.45,607.00,606.75,606.02,840.95,557.0,"8,23,110","49,88,18,211.10","20,501"
2023-03-22,EQ,609.10,609.90,603.85,606.75,604.80,604.75,606.95,840.95,557.0,"5,04,390","30,61,37,403.65","17,359"
2023-03-23,EQ,604.70,606.60,599.65,604.75,605.05,605.15,603.31,840.95,557.0,"9,32,262","56,24,44,810.35","20,631"
2023-03-24,EQ,605.10,608.60,598.1,605.15,598.95,600.05,603.95,840.95,557.0,"8,86,735","53,55,48,031.70","26,758"
2023-03-27,EQ,598.05,599.95,576.7,600.05,578.50,582.10,588.83,840.95,557.0,"14,29,219","84,15,69,490.15","49,681"
2023-03-28,EQ,584.00,584.00,558.85,582.10,560.70,560.20,567.98,840.95,557.0,"20,25,058","1,15,01,91,301.85","72,047"
2023-03-29,EQ,563.00,568.70,557.1,560.20,566.90,564.50,563.09,840.95,557.0,"20,17,776","1,13,61,86,194.65","48,723"
2023-03-31,EQ,568.30,575.50,567.5,564.50,572.40,572.80,573.16,840.95,557.0,"12,37,105","70,90,53,209.95","36,341"
2023-04-03,EQ,577.00,579.65,566.6,572.80,572.20,570.30,570.59,840.95,557.0,"17,07,849","97,44,83,311.70","43,681"
2023-04-05,EQ,571.05,574.90,564.55,570.30,566.60,566.65,566.97,840.95,557.0,"15,55,308","88,18,20,157.85","49,828"
2023-04-06,EQ,568.60,572.75,566.65,566.65,569.80,569.90,569.52,840.95,557.0,"15,59,125","88,79,45,549.60","35,660"
2023-04-10,EQ,570.15,583.00,570.15,569.90,582.30,581.30,578.67,809.00,557.0,"13,00,834","75,27,55,954.65","35,700"
2023-04-11,EQ,583.00,589.00,578.05,581.30,583.90,584.90,583.74,809.00,557.0,"12,85,557","75,04,25,699.80","34,454"
2023-04-12,EQ,584.90,588.50,579.15,584.90,584.40,584.40,582.11,809.00,557.0,"14,06,652","81,88,30,005.95","28,147"
2023-04-13,EQ,582.00,594.00,582.0,584.40,592.80,592.65,590.03,809.00,557.0,"11,02,409","65,04,52,860.50","30,056"
2023-04-17,EQ,592.65,597.60,584.15,592.65,596.50,596.65,592.64,778.00,557.0,"9,74,707","57,76,47,940.25","37,370"
2023-04-18,EQ,597.95,604.90,596.2,596.65,603.50,603.55,601.16,778.00,557.0,"12,16,107","73,10,74,465.95","43,710"
2023-04-19,EQ,606.90,613.85,600.5,603.55,605.85,606.70,608.88,778.00,557.0,"18,14,835","1,10,50,18,366.80","43,752"
2023-04-20,EQ,606.85,609.90,599.0,606.70,601.00,601.75,603.95,778.00,557.0,"6,98,282","42,17,23,999.60","25,719"
2023-04-21,EQ,602.00,603.85,594.7,601.75,603.60,603.00,599.22,778.00,557.0,"8,30,247","49,75,01,563.30","22,311"
2023-04-24,EQ,603.00,607.50,597.3,603.00,602.75,603.40,603.32,774.90,557.0,"8,70,486","52,51,79,756.40","26,422"
2023-04-25,EQ,603.95,611.00,600.0,603.40,607.60,607.90,605.79,774.90,557.0,"9,77,657","59,22,58,903.25","26,173"
2023-04-26,EQ,606.00,613.00,604.55,607.90,607.95,608.20,609.30,774.90,557.0,"10,87,979","66,29,06,793.40","32,559"
2023-04-27,EQ,608.20,610.15,605.0,608.20,606.50,606.10,607.35,774.90,557.0,"7,02,044","42,63,85,445.95","25,364"
