Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,27.95,28.25,27.8,27.75,27.85,27.85,27.98,37.1,19.3,"1,04,02,222","29,10,85,188.85","21,068"
2023-02-27,EQ,28.1,28.15,27.0,27.85,27.1,27.1,27.35,37.1,19.3,"1,44,16,765","39,43,23,482.90","33,357"
2023-02-28,EQ,27.25,27.5,26.8,27.1,26.8,26.95,27.1,37.1,19.3,"1,62,07,572","43,92,99,408.00","28,996"
2023-03-01,EQ,26.95,28.2,26.9,26.95,27.3,27.3,27.6,37.1,19.3,"2,77,61,685","76,61,72,826.65","33,699"
2023-03-02,EQ,27.45,29.5,27.35,27.3,28.6,28.5,28.63,37.1,19.3,"7,49,72,504","2,14,63,88,003.90","66,800"
2023-03-03,EQ,28.8,29.0,27.8,28.5,28.3,28.2,28.17,37.1,19.3,"3,18,86,865","89,83,65,931.85","44,716"
2023-03-06,EQ,28.45,29.2,28.1,28.2,28.3,28.2,28.55,37.1,19.3,"2,40,34,894","68,60,96,320.75","40,621"
2023-03-08,EQ,28.2,28.3,27.9,28.2,28.05,28.05,28.08,37.1,19.3,"1,69,51,705","47,59,93,359.90","31,394"
2023-03-09,EQ,28.1,28.75,27.75,28.05,28.0,27.85,28.15,37.1,19.3,"2,94,57,034","82,91,76,394.85","34,105"
2023-03-10,EQ,27.7,28.2,27.55,27.85,28.1,28.0,27.91,37.1,19.3,"1,86,02,384","51,91,11,923.15","24,669"
2023-03-13,EQ,28.15,28.2,27.25,28.0,27.45,27.4,27.63,37.1,19.3,"1,64,51,332","45,45,42,167.85","30,953"
2023-03-14,EQ,27.6,27.65,26.85,27.4,27.15,27.1,27.16,37.1,19.3,"1,72,56,430","46,87,29,151.35","33,359"
2023-03-15,EQ,27.4,27.6,26.85,27.1,27.0,27.0,27.2,37.1,19.3,"1,03,78,460","28,22,73,166.65","20,283"
2023-03-16,EQ,27.0,27.25,26.4,27.0,27.1,27.05,26.76,37.1,19.3,"1,61,45,407","43,20,61,798.75","25,224"
2023-03-17,EQ,27.25,27.5,26.85,27.05,27.15,27.0,27.05,37.1,19.3,"1,44,74,482","39,14,87,678.20","24,665"
2023-03-20,EQ,26.95,26.95,26.5,27.0,26.8,26.7,26.71,37.1,19.3,"1,28,17,483","34,23,96,101.90","27,262"
2023-03-21,EQ,26.9,26.95,26.75,26.7,26.8,26.8,26.83,37.1,19.3,"82,31,139","22,08,07,439.55","14,830"
2023-03-22,EQ,26.95,27.25,26.85,26.8,27.0,26.95,27.02,37.1,19.3,"95,24,521","25,73,66,058.55","14,627"
2023-03-23,EQ,26.9,27.05,26.7,26.95,26.8,26.8,26.84,37.1,19.3,"97,50,086","26,16,44,591.65","15,065"
2023-03-24,EQ,26.9,26.95,26.45,26.8,26.55,26.55,26.72,37.1,19.3,"94,05,435","25,13,53,548.30","16,688"
2023-03-27,EQ,26.6,26.9,25.75,26.55,25.85,25.9,26.13,37.1,19.3,"1,46,82,995","38,37,00,547.55","35,327"
2023-03-28,EQ,26.0,26.0,25.4,25.9,25.6,25.5,25.62,37.1,19.3,"1,01,79,329","26,07,96,830.60","22,137"
2023-03-29,EQ,25.5,26.5,25.5,25.5,26.45,26.35,26.1,37.1,19.3,"1,54,58,843","40,34,77,495.90","20,714"
