Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,389.0,389.0,381.0,387.6,385.25,385.1,384.56,394.0,207.0,"1,29,10,220","4,96,47,54,019.45","1,18,753"
2023-02-27,EQ,385.1,386.8,378.1,385.1,382.2,382.2,381.68,394.0,210.8,"81,42,319","3,10,77,56,123.45","1,22,227"
2023-02-28,EQ,382.5,384.25,375.0,382.2,376.5,376.7,377.55,394.0,210.8,"1,63,67,477","6,17,95,66,021.75","1,61,521"
2023-03-01,EQ,374.25,380.4,373.6,376.7,378.6,378.7,378.58,394.0,210.8,"77,66,667","2,94,03,11,888.95","1,14,616"
2023-03-02,EQ,379.5,379.75,374.7,378.7,375.85,375.55,376.22,394.0,210.8,"50,19,603","1,88,84,98,850.45","98,330"
2023-03-03,EQ,377.0,385.4,376.1,375.55,385.3,384.95,382.31,394.0,210.8,"81,80,709","3,12,75,54,879.70","1,16,737"
2023-03-06,EQ,385.9,392.5,385.25,384.95,388.5,388.15,388.76,394.0,220.1,"1,07,14,339","4,16,53,30,469.40","1,30,438"
2023-03-08,EQ,388.0,393.15,385.1,388.15,392.0,392.4,390.02,394.0,220.1,"89,17,699","3,47,81,15,878.25","1,38,776"
2023-03-09,EQ,392.1,393.6,385.65,392.4,387.0,387.5,387.94,394.0,220.1,"96,34,283","3,73,75,36,340.00","99,411"
2023-03-10,EQ,386.95,390.2,383.5,387.5,388.2,388.0,387.99,394.0,220.1,"83,62,265","3,24,44,41,247.70","1,01,617"
2023-03-13,EQ,389.2,390.9,382.5,388.0,386.05,383.65,385.1,394.0,235.3,"87,91,872","3,38,57,66,737.20","1,04,232"
2023-03-14,EQ,385.7,386.45,377.2,383.65,380.25,379.7,381.62,394.0,235.3,"1,02,29,766","3,90,38,72,457.50","1,22,468"
2023-03-15,EQ,381.0,384.3,378.0,379.7,379.15,379.4,380.73,394.0,235.3,"84,23,692","3,20,71,42,014.80","1,08,040"
2023-03-16,EQ,380.6,382.35,376.85,379.4,381.5,381.45,379.89,394.0,235.3,"1,57,10,094","5,96,80,94,056.95","1,48,108"
2023-03-17,EQ,385.0,385.0,369.65,381.45,376.45,375.55,373.83,394.0,235.3,"4,89,04,254","18,28,19,54,282.65","2,43,657"
2023-03-20,EQ,373.3,379.35,372.0,375.55,378.75,378.8,375.53,394.0,243.55,"1,01,22,167","3,80,11,55,257.85","1,28,572"
2023-03-21,EQ,378.8,378.8,374.05,378.8,377.0,376.95,376.2,394.0,243.55,"1,16,10,832","4,36,79,65,152.40","1,61,927"
2023-03-22,EQ,376.95,378.85,374.2,376.95,378.25,377.75,376.67,394.0,243.55,"47,74,867","1,79,85,64,206.45","73,043"
2023-03-23,EQ,377.0,382.75,374.4,377.75,380.2,380.65,380.24,394.0,243.55,"97,52,326","3,70,81,99,289.55","1,18,607"
2023-03-24,EQ,381.5,383.0,378.0,380.65,378.9,378.7,381.12,394.0,243.55,"99,34,501","3,78,62,19,400.85","81,630"
2023-03-27,EQ,377.95,384.4,376.35,378.7,380.0,380.2,381.06,394.0,248.65,"1,08,16,352","4,12,17,29,105.80","1,03,476"
2023-03-28,EQ,380.2,382.35,378.15,380.2,379.75,379.75,379.78,394.0,248.65,"91,70,535","3,48,27,49,738.70","1,15,524"
2023-03-29,EQ,380.2,384.0,377.15,379.75,383.05,382.75,381.12,394.0,248.65,"1,01,60,322","3,87,23,00,673.45","1,20,617"
2023-03-31,EQ,382.0,384.5,380.0,382.75,383.2,383.5,382.81,394.0,248.65,"95,11,189","3,64,09,46,510.30","1,67,654"
2023-04-03,EQ,384.0,384.0,378.5,383.5,379.2,378.9,380.29,394.0,249.15,"70,59,200","2,68,45,75,844.10","99,525"
2023-04-05,EQ,378.9,387.05,378.9,378.9,387.0,386.4,384.85,394.0,249.15,"1,16,08,424","4,46,75,59,164.15","1,08,671"
2023-04-06,EQ,386.65,390.3,384.2,386.4,387.5,387.35,386.84,394.0,249.15,"1,28,97,667","4,98,93,35,495.80","1,32,193"
2023-04-10,EQ,387.35,390.0,384.75,387.35,388.0,388.55,388.13,394.0,249.15,"67,83,022","2,63,27,13,042.55","1,10,021"
2023-04-11,EQ,388.55,398.1,388.0,388.55,396.0,396.0,394.8,398.1,249.15,"1,82,37,451","7,20,00,71,922.80","1,71,305"
2023-04-12,EQ,397.75,397.8,392.1,396.0,393.95,393.55,393.94,398.1,249.15,"97,47,526","3,83,99,76,788.65","1,53,023"
