Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-09-04,EQ,255.3,266.95,249.0,245.15,254.65,253.45,256.95,266.95,249.0,"9,92,46,736","25,50,15,31,017.55","7,74,466"
2023-09-05,EQ,257.0,260.0,253.0,253.45,255.3,255.05,256.91,266.95,249.0,"4,71,27,078","12,10,73,42,857.05","3,61,296"
2023-09-06,EQ,247.0,259.8,246.05,255.05,253.75,252.85,252.2,266.95,246.05,"22,54,13,157","56,84,88,29,290.55","6,34,106"
2023-09-07,EQ,252.0,257.3,251.25,252.85,252.7,251.8,253.96,266.95,246.05,"4,38,56,832","11,13,77,20,945.45","3,37,076"
2023-09-08,EQ,254.0,255.0,249.5,251.8,253.5,253.2,252.58,266.95,246.05,"3,60,90,005","9,11,57,23,140.40","2,64,191"
2023-09-11,EQ,256.95,257.7,250.0,253.2,250.05,250.15,252.22,266.95,246.05,"2,49,82,858","6,30,12,23,367.10","2,26,553"
2023-09-12,EQ,251.75,252.0,240.9,250.15,244.0,244.25,246.21,266.95,240.9,"3,95,00,716","9,72,55,22,530.40","2,57,463"
2023-09-13,EQ,244.8,247.8,236.6,244.25,241.0,240.2,241.39,266.95,236.6,"2,78,10,990","6,71,33,36,513.55","2,19,521"
2023-09-14,EQ,242.0,244.55,241.25,240.2,242.85,242.55,242.68,266.95,236.6,"1,40,55,236","3,41,09,33,151.45","1,69,150"
2023-09-15,EQ,243.8,244.65,237.65,242.55,239.4,239.4,240.6,266.95,236.6,"2,74,16,106","6,59,63,70,879.40","1,72,549"
2023-09-18,EQ,240.0,240.85,232.1,239.4,233.6,233.2,235.92,266.95,232.1,"2,46,94,419","5,82,59,70,990.55","2,43,174"
2023-09-20,EQ,230.4,232.0,229.0,233.2,229.95,229.65,230.06,266.95,229.0,"1,83,17,607","4,21,41,93,237.85","2,52,513"
2023-09-21,EQ,230.0,235.6,226.8,229.65,227.7,227.65,230.68,266.95,226.8,"3,31,01,551","7,63,58,95,847.00","1,78,122"
2023-09-22,EQ,227.95,232.25,226.35,227.65,228.2,227.8,228.23,266.95,226.35,"3,83,27,554","8,74,73,08,323.55","1,60,047"
2023-09-25,EQ,230.0,230.85,227.5,227.8,229.25,229.75,229.26,266.95,226.35,"1,33,92,150","3,07,02,85,682.85","1,21,802"
2023-09-26,EQ,231.1,231.7,230.0,229.75,230.7,230.4,230.72,266.95,226.35,"80,58,261","1,85,92,09,473.40","89,985"
2023-09-27,EQ,231.2,231.2,227.0,230.4,227.3,227.35,227.92,266.95,226.35,"1,09,84,321","2,50,35,91,878.70","1,13,266"
2023-09-28,EQ,228.0,228.85,224.75,227.35,225.0,225.05,225.88,266.95,224.75,"91,43,582","2,06,53,93,914.95","1,33,113"
2023-09-29,EQ,225.9,232.9,225.0,225.05,231.0,231.2,229.48,266.95,224.75,"1,24,11,231","2,84,81,32,582.75","1,06,913"
2023-10-03,EQ,231.5,233.9,230.55,231.2,231.1,231.4,232.08,266.95,224.75,"1,31,85,432","3,06,00,42,923.95","1,30,173"
2023-10-04,EQ,230.0,230.0,223.5,231.4,224.6,224.65,225.73,266.95,223.5,"2,32,96,548","5,25,86,53,311.30","2,14,101"
2023-10-05,EQ,225.9,227.9,224.2,224.65,225.05,225.4,225.86,266.95,223.5,"1,38,94,930","3,13,83,24,939.35","1,17,800"
2023-10-06,EQ,226.5,227.65,223.7,225.4,225.3,225.1,225.14,266.95,223.5,"75,31,900","1,69,56,96,195.60","87,525"
2023-10-09,EQ,223.0,223.0,218.85,225.1,219.55,219.65,220.48,266.95,218.85,"96,96,908","2,13,79,94,880.85","1,34,087"
2023-10-10,EQ,221.0,223.9,219.75,219.65,220.9,220.15,221.56,266.95,218.85,"1,04,51,289","2,31,56,33,297.25","1,22,564"
2023-10-11,EQ,222.0,227.7,220.6,220.15,226.35,225.1,223.33,266.95,218.85,"1,17,65,082","2,62,75,10,955.95","1,22,758"
2023-10-12,EQ,227.0,227.4,224.75,225.1,224.9,225.15,225.79,266.95,218.85,"77,80,605","1,75,68,10,469.10","68,271"
2023-10-13,EQ,224.0,225.9,222.0,225.15,223.9,224.55,223.67,266.95,218.85,"1,01,37,218","2,26,73,88,878.30","94,521"
2023-10-16,EQ,224.9,225.95,224.0,224.55,224.85,224.8,224.65,266.95,218.85,"1,08,50,724","2,43,76,34,805.60","1,10,054"
2023-10-17,EQ,231.5,233.0,220.5,224.8,221.4,220.95,225.31,266.95,218.85,"3,41,90,044","7,70,32,23,803.65","2,84,116"
2023-10-18,EQ,221.6,222.9,215.55,220.95,216.4,216.0,217.98,266.95,215.55,"2,77,12,062","6,04,06,84,686.25","2,96,269"
2023-10-19,EQ,216.0,216.0,209.05,216.0,214.6,214.2,212.21,266.95,209.05,"4,21,27,110","8,93,99,50,079.85","3,57,319"
2023-10-20,EQ,215.5,217.0,213.0,214.2,214.0,214.2,214.74,266.95,209.05,"1,11,01,464","2,38,39,50,893.75","1,43,906"
2023-10-23,EQ,214.0,214.2,204.25,214.2,205.0,206.6,209.47,266.95,204.25,"1,78,17,781","3,73,22,42,743.60","2,03,604"
