Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,705.0,706.75,677.2,701.3,684.4,685.0,686.8,790.0,520.05,"21,42,286","1,47,13,15,059.45","51,295"
2023-02-27,EQ,684.5,685.0,665.85,685.0,678.95,680.5,675.62,790.0,520.05,"18,14,311","1,22,57,79,902.85","39,407"
2023-02-28,EQ,683.95,683.95,664.9,680.5,667.2,667.2,671.01,790.0,520.05,"19,15,622","1,28,54,05,430.75","46,708"
2023-03-01,EQ,668.0,678.8,668.0,667.2,677.9,676.7,675.14,790.0,520.05,"14,64,537","98,87,65,919.80","49,057"
2023-03-02,EQ,680.15,683.7,673.6,676.7,674.15,675.1,677.36,790.0,520.05,"10,91,983","73,96,62,855.80","33,503"
2023-03-03,EQ,681.5,686.0,676.05,675.1,682.7,682.3,681.51,790.0,520.05,"10,84,202","73,88,96,578.95","31,125"
2023-03-06,EQ,683.5,683.8,673.35,682.3,675.2,674.25,677.84,790.0,520.05,"12,15,223","82,37,31,135.25","29,589"
2023-03-08,EQ,670.0,677.0,664.0,674.25,677.0,675.4,671.49,790.0,520.05,"15,39,129","1,03,35,08,806.15","43,969"
2023-03-09,EQ,677.1,691.95,672.55,675.4,678.25,680.2,681.62,790.0,520.05,"63,36,933","4,31,93,93,603.60","89,696"
2023-03-10,EQ,668.25,681.35,666.1,680.2,679.65,679.4,673.76,790.0,520.05,"53,69,878","3,61,79,82,203.00","67,379"
2023-03-13,EQ,682.8,691.45,673.05,679.4,677.3,675.6,682.35,790.0,520.05,"16,02,921","1,09,37,60,567.15","41,852"
2023-03-14,EQ,678.0,682.8,667.7,675.6,673.6,672.05,675.2,790.0,520.05,"15,55,671","1,05,03,81,509.45","44,237"
2023-03-15,EQ,681.0,684.8,674.7,672.05,681.0,679.65,680.5,790.0,520.05,"11,73,429","79,85,20,486.25","35,435"
2023-03-16,EQ,675.2,675.7,649.05,679.65,666.0,662.4,660.63,790.0,520.05,"25,12,474","1,65,98,24,874.45","63,706"
2023-03-17,EQ,670.0,678.0,664.5,662.4,677.9,676.4,671.47,790.0,520.05,"16,67,707","1,11,98,08,657.05","37,322"
2023-03-20,EQ,672.9,672.9,660.0,676.4,669.2,668.15,664.82,790.0,520.05,"14,80,884","98,45,15,514.85","40,261"
2023-03-21,EQ,671.5,671.5,662.0,668.15,666.2,665.75,665.38,790.0,520.05,"11,33,592","75,42,73,832.75","24,499"
2023-03-22,EQ,666.0,671.25,660.05,665.75,662.2,662.25,664.62,790.0,520.05,"9,49,388","63,09,79,584.10","22,706"
2023-03-23,EQ,661.9,670.8,658.25,662.25,665.9,667.8,666.92,790.0,520.05,"10,99,501","73,32,81,470.30","30,512"
2023-03-24,EQ,671.15,671.15,655.75,667.8,660.1,657.8,661.38,790.0,520.05,"15,63,002","1,03,37,45,436.30","30,177"
2023-03-27,EQ,661.1,666.5,655.85,657.8,659.0,658.85,661.66,790.0,520.05,"11,34,491","75,06,52,713.15","30,999"
2023-03-28,EQ,662.15,662.95,655.95,658.85,658.35,660.0,658.82,790.0,520.05,"11,90,600","78,43,94,236.75","31,841"
2023-03-29,EQ,663.3,685.45,658.6,660.0,676.6,678.9,671.9,790.0,520.05,"22,08,428","1,48,38,35,394.55","48,326"
2023-03-31,EQ,679.0,692.5,676.8,678.9,688.75,688.1,687.64,790.0,520.05,"14,47,293","99,52,23,752.05","41,241"
2023-04-03,EQ,690.4,691.65,676.15,688.1,682.2,682.2,681.32,790.0,520.05,"13,35,604","90,99,76,383.90","25,467"
2023-04-05,EQ,678.5,690.0,675.05,682.2,690.0,686.55,682.51,790.0,520.05,"11,88,370","81,10,73,706.70","27,564"
2023-04-06,EQ,688.0,688.0,680.25,686.55,683.55,682.7,683.99,790.0,520.05,"7,26,290","49,67,77,387.55","24,938"
2023-04-10,EQ,684.05,693.25,682.8,682.7,689.5,688.5,689.14,790.0,520.05,"6,00,036","41,35,06,466.70","18,799"
2023-04-11,EQ,693.75,715.0,688.5,688.5,715.0,713.6,704.6,790.0,520.05,"40,76,632","2,87,23,97,902.25","57,801"
2023-04-12,EQ,719.9,722.5,711.4,713.6,718.25,718.25,716.92,790.0,520.05,"18,10,361","1,29,78,86,256.45","43,943"
2023-04-13,EQ,717.0,722.0,714.25,718.25,720.75,720.65,717.92,790.0,520.05,"8,35,749","59,99,98,334.20","25,198"
2023-04-17,EQ,714.0,723.65,714.0,720.65,722.0,721.2,720.49,790.0,520.05,"12,53,589","90,31,99,219.90","37,933"
2023-04-18,EQ,720.05,725.0,712.4,721.2,719.5,719.35,717.75,790.0,520.05,"8,37,349","60,10,11,141.25","21,527"
2023-04-19,EQ,715.35,733.7,715.35,719.35,723.6,722.35,727.15,790.0,520.05,"22,68,330","1,64,94,13,710.75","47,662"
2023-04-20,EQ,726.0,727.0,712.7,722.35,715.5,715.8,717.69,790.0,520.05,"10,33,900","74,20,22,735.35","26,566"
2023-04-21,EQ,719.0,719.0,703.1,715.8,712.5,710.65,707.98,790.0,520.05,"14,16,385","1,00,27,71,224.50","33,167"
2023-04-24,EQ,708.55,723.9,705.15,710.65,720.5,720.35,715.67,783.5,520.05,"7,29,151","52,18,32,970.75","22,716"
2023-04-25,EQ,720.35,730.6,717.8,720.35,724.4,725.0,725.98,783.5,520.05,"10,79,227","78,34,92,589.80","28,306"
2023-04-26,EQ,720.0,724.65,712.0,725.0,723.05,723.45,718.83,783.5,520.05,"12,77,410","91,82,44,457.90","31,432"
2023-04-27,EQ,723.0,734.75,717.6,723.45,732.0,732.1,729.61,783.5,520.05,"12,47,848","91,04,42,617.50","28,291"
2023-04-28,EQ,736.0,736.0,721.55,732.1,726.6,725.3,726.14,783.5,520.05,"15,93,083","1,15,68,00,011.05","31,868"
2023-05-02,EQ,731.95,746.5,728.5,725.3,735.95,737.9,740.04,783.5,520.05,"19,65,606","1,45,46,30,201.50","45,148"
2023-05-03,EQ,731.0,735.5,725.9,737.9,735.0,732.45,731.45,783.5,520.05,"12,15,913","88,93,77,358.80","22,912"
2023-05-04,EQ,733.95,742.0,730.25,732.45,736.8,738.7,737.12,783.5,520.05,"14,64,468","1,07,94,85,742.35","32,897"
2023-05-05,EQ,736.3,741.65,730.5,738.7,733.8,733.35,735.32,783.5,520.05,"9,45,667","69,53,70,259.65","22,329"
2023-05-08,EQ,735.6,741.0,730.05,733.35,733.5,732.8,734.76,783.5,520.05,"11,32,367","83,20,14,166.20","24,178"
2023-05-09,EQ,733.6,740.5,722.5,732.8,724.85,724.6,730.32,783.5,520.05,"11,79,219","86,12,02,377.95","29,142"
2023-05-10,EQ,725.0,729.6,719.4,724.6,724.0,724.35,723.53,783.5,520.05,"9,19,645","66,53,86,731.30","25,292"
2023-05-11,EQ,727.5,729.4,708.5,724.35,710.1,710.6,716.36,783.5,520.05,"12,84,636","92,02,65,882.15","28,009"
2023-05-12,EQ,699.9,708.9,691.15,710.6,703.4,702.65,701.38,783.5,520.05,"14,99,306","1,05,15,85,791.55","54,916"
2023-05-15,EQ,701.9,710.5,697.0,702.65,705.7,705.55,705.96,783.5,520.05,"9,98,259","70,47,27,573.90","33,976"
2023-05-16,EQ,710.45,711.05,700.55,705.55,702.55,702.75,704.68,783.5,520.05,"8,74,913","61,65,29,417.45","29,609"
2023-05-17,EQ,701.35,701.35,691.8,702.75,694.95,695.1,695.68,783.5,520.05,"16,86,465","1,17,32,34,667.85","55,694"
2023-05-18,EQ,700.8,709.5,689.25,695.1,690.1,692.05,698.56,783.5,520.05,"36,67,407","2,56,18,87,793.15","83,466"
2023-05-19,EQ,696.0,696.6,681.05,692.05,693.65,693.85,687.7,783.5,520.05,"23,29,260","1,60,18,35,401.60","43,664"
2023-05-22,EQ,692.0,707.8,687.45,693.85,702.7,704.6,697.73,783.5,520.05,"21,82,824","1,52,30,16,810.75","43,212"
2023-05-23,EQ,710.0,711.9,702.5,704.6,703.25,704.1,706.87,783.5,520.05,"23,24,758","1,64,33,00,859.25","42,607"
2023-05-24,EQ,700.0,706.55,694.5,704.1,696.5,696.0,700.92,783.5,520.05,"11,85,182","83,07,16,240.05","28,707"
2023-05-25,EQ,693.0,702.65,690.0,696.0,695.55,696.65,694.06,783.5,520.05,"12,13,068","84,19,36,946.40","26,126"
2023-05-26,EQ,696.65,705.45,694.15,696.65,700.9,701.7,700.03,783.5,520.05,"14,61,749","1,02,32,70,071.85","28,476"
2023-05-29,EQ,703.25,708.95,701.1,701.7,702.1,702.2,704.9,783.5,525.6,"14,67,219","1,03,42,36,669.70","30,355"
2023-05-30,EQ,701.1,717.9,697.9,702.2,705.3,704.6,708.94,783.5,525.6,"33,17,461","2,35,18,82,222.40","66,352"
2023-05-31,EQ,701.15,704.95,691.0,704.6,700.0,696.3,696.23,783.5,525.6,"1,49,43,096","10,40,38,90,461.20","73,713"
2023-06-01,EQ,698.9,701.9,691.15,696.3,692.95,693.85,695.17,783.5,525.6,"19,95,511","1,38,72,20,664.65","36,477"
2023-06-02,EQ,698.0,709.05,695.75,693.85,706.5,706.6,700.97,783.5,525.6,"34,05,152","2,38,68,96,619.65","46,331"
2023-06-05,EQ,708.95,714.0,703.0,706.6,712.9,712.15,707.31,783.5,536.1,"24,54,283","1,73,59,29,240.60","31,180"
2023-06-06,EQ,714.0,717.5,708.8,712.15,712.3,712.85,712.41,783.5,536.1,"24,36,996","1,73,61,35,558.70","32,273"
2023-06-07,EQ,715.25,732.2,714.0,712.85,731.5,729.75,721.07,783.5,536.1,"36,67,486","2,64,45,14,098.00","51,416"
2023-06-08,EQ,729.75,764.45,727.85,729.75,750.3,748.8,751.84,783.5,536.1,"96,18,332","7,23,14,66,953.15","1,22,549"
2023-06-09,EQ,751.5,756.95,741.5,748.8,750.0,748.5,749.52,783.5,536.1,"24,08,734","1,80,53,96,786.60","44,506"
2023-06-12,EQ,754.6,757.95,744.65,748.5,747.45,747.3,750.11,783.5,536.1,"17,03,619","1,27,79,05,497.45","29,124"
2023-06-13,EQ,755.0,762.6,751.15,747.3,756.65,756.65,757.41,783.5,536.1,"34,19,413","2,58,98,81,575.40","50,159"
2023-06-14,EQ,761.55,779.0,759.15,756.65,774.45,772.85,772.58,783.5,536.1,"47,58,206","3,67,61,16,917.95","87,902"
2023-06-15,EQ,778.0,778.0,768.5,772.85,771.0,770.6,772.3,783.5,536.1,"22,22,061","1,71,60,94,853.95","47,625"
2023-06-16,EQ,776.95,781.8,772.7,770.6,775.65,776.1,776.04,783.5,536.1,"22,85,788","1,77,38,54,615.15","43,626"
2023-06-19,EQ,780.5,782.0,767.85,776.1,772.4,771.65,773.93,783.5,536.1,"14,22,461","1,10,08,89,828.95","33,585"
2023-06-20,EQ,772.2,786.5,768.55,771.65,773.0,773.15,776.99,786.5,536.1,"22,82,549","1,77,35,08,421.70","57,577"
2023-06-21,EQ,773.15,774.0,752.05,773.15,758.55,758.75,758.18,786.5,536.1,"27,68,203","2,09,87,89,258.50","56,806"
2023-06-22,EQ,754.2,763.75,745.95,758.75,752.6,752.35,754.55,786.5,536.1,"19,72,478","1,48,83,36,465.05","37,873"
2023-06-23,EQ,750.0,758.7,743.85,752.35,745.0,746.5,749.41,786.5,536.1,"17,04,679","1,27,75,08,026.20","36,432"
2023-06-26,EQ,749.9,751.35,737.15,746.5,749.5,748.8,743.72,786.5,541.0,"16,02,537","1,19,18,38,462.55","32,061"
2023-06-27,EQ,750.0,765.0,749.05,748.8,762.25,762.5,756.74,786.5,541.0,"27,83,577","2,10,64,34,451.45","48,249"
2023-06-28,EQ,768.0,791.45,762.0,762.5,786.3,783.4,782.17,791.45,541.0,"83,40,755","6,52,38,73,069.95","1,09,569"
2023-06-30,EQ,786.3,789.0,780.0,783.4,783.15,784.8,784.46,791.45,541.0,"25,15,440","1,97,32,67,400.30","49,182"
2023-07-03,EQ,788.0,808.3,787.05,784.8,794.95,794.0,798.68,808.3,541.0,"47,81,944","3,81,92,28,876.60","98,952"
2023-07-04,EQ,798.0,802.75,789.3,794.0,798.0,796.65,796.26,808.3,541.0,"24,73,106","1,96,92,33,053.30","51,920"
2023-07-05,EQ,796.7,803.6,788.1,796.65,793.5,791.9,794.19,808.3,541.0,"25,26,894","2,00,68,45,154.00","54,785"
2023-07-06,EQ,804.45,804.55,789.0,791.9,794.95,795.55,794.34,808.3,541.0,"33,16,923","2,63,47,58,191.90","64,143"
2023-07-07,EQ,796.0,801.9,784.4,795.55,789.0,788.4,791.76,808.3,541.0,"25,47,821","2,01,72,51,056.40","56,982"
2023-07-10,EQ,789.0,813.8,787.75,788.4,811.35,810.6,805.1,813.8,561.1,"47,77,540","3,84,64,17,932.80","79,342"
2023-07-11,EQ,815.55,815.7,793.3,810.6,799.5,797.4,802.44,815.7,561.1,"30,85,989","2,47,63,33,603.30","70,692"
2023-07-12,EQ,804.5,814.8,788.65,797.4,800.0,805.7,804.92,815.7,561.1,"2,59,29,716","20,87,14,14,777.85","1,24,846"
2023-07-13,EQ,810.7,814.2,796.8,805.7,803.0,802.15,805.27,815.7,561.1,"30,49,961","2,45,60,48,806.30","64,691"
2023-07-14,EQ,807.9,807.9,792.1,802.15,805.7,804.85,799.77,815.7,561.1,"20,11,903","1,60,90,55,459.10","53,912"
2023-07-17,EQ,805.65,812.0,797.0,804.85,799.0,798.15,803.55,815.7,573.5,"17,69,593","1,42,19,49,743.40","49,045"
2023-07-18,EQ,799.8,801.0,788.5,798.15,792.0,790.9,793.15,815.7,573.5,"15,27,919","1,21,18,69,639.20","51,297"
2023-07-19,EQ,796.0,797.85,789.05,790.9,792.65,791.9,792.64,815.7,573.5,"15,63,134","1,23,90,09,194.30","46,179"
2023-07-20,EQ,795.0,801.45,785.75,791.9,798.95,799.05,792.91,815.7,573.5,"17,80,010","1,41,13,90,496.05","49,509"
2023-07-21,EQ,798.0,823.35,782.6,799.05,788.1,786.45,803.99,823.35,573.5,"84,69,798","6,80,95,93,865.70","1,38,577"
2023-07-24,EQ,789.0,789.0,773.2,786.45,775.0,775.65,778.21,823.35,573.5,"27,10,762","2,10,95,52,322.70","57,077"
2023-07-25,EQ,778.0,805.5,777.0,775.65,800.0,800.55,796.41,823.35,573.5,"48,50,069","3,86,26,48,865.35","1,04,696"
2023-07-26,EQ,807.45,809.0,800.1,800.55,805.0,805.45,805.49,823.35,573.5,"30,62,011","2,46,64,16,136.10","74,287"
2023-07-27,EQ,806.0,814.5,791.0,805.45,795.45,793.75,801.0,823.35,573.5,"28,65,447","2,29,52,13,978.55","64,570"
2023-07-28,EQ,795.0,806.0,786.0,793.75,804.0,804.15,798.51,823.35,573.5,"21,11,325","1,68,59,24,160.50","54,868"
2023-07-31,EQ,806.2,821.2,806.2,804.15,815.0,816.75,815.75,823.35,614.2,"42,26,070","3,44,74,34,630.25","84,209"
2023-08-01,EQ,823.0,825.0,816.95,816.75,820.5,820.9,820.96,825.0,614.2,"24,06,158","1,97,53,68,770.30","66,900"
2023-08-02,EQ,817.0,817.85,798.35,820.9,802.25,804.25,807.27,825.0,614.2,"19,75,596","1,59,48,47,456.00","64,516"
2023-08-03,EQ,804.25,809.0,794.2,804.25,808.0,804.45,801.82,825.0,614.2,"18,29,238","1,46,67,13,273.35","52,301"
2023-08-04,EQ,808.0,814.8,802.8,804.45,803.8,805.95,807.9,825.0,614.2,"12,75,614","1,03,05,72,681.95","44,555"
2023-08-07,EQ,808.0,816.6,803.55,805.95,813.0,813.05,811.02,825.0,614.2,"14,22,051","1,15,33,07,576.60","46,394"
2023-08-08,EQ,815.05,816.5,799.5,813.05,800.5,801.3,804.97,825.0,614.2,"9,33,777","75,16,59,985.40","34,211"
2023-08-09,EQ,801.7,828.9,801.35,801.3,826.95,823.45,817.43,828.9,614.2,"31,33,311","2,56,12,68,647.85","58,272"
2023-08-10,EQ,825.0,835.0,819.25,823.45,830.0,831.5,828.2,835.0,614.2,"63,13,077","5,22,84,61,129.40","1,08,503"
2023-08-11,EQ,830.0,831.35,815.6,831.5,821.4,820.65,821.53,835.0,614.2,"32,39,511","2,66,13,63,969.00","65,281"
2023-08-14,EQ,815.0,815.0,793.55,820.65,798.15,799.45,799.93,835.0,614.2,"18,66,848","1,49,33,38,911.90","68,137"
2023-08-16,EQ,803.7,803.7,789.0,799.45,794.45,795.3,793.97,835.0,614.2,"13,17,570","1,04,61,09,170.45","35,143"
2023-08-17,EQ,794.85,796.65,783.6,795.3,788.0,789.75,789.42,835.0,614.2,"14,34,401","1,13,23,47,293.70","62,509"
2023-08-18,EQ,789.9,793.9,783.3,789.75,785.95,787.1,788.1,835.0,614.2,"15,46,387","1,21,87,06,649.55","66,468"
2023-08-21,EQ,793.0,797.6,787.8,787.1,794.4,794.75,793.68,835.0,614.2,"10,33,216","82,00,44,420.75","38,346"
2023-08-22,EQ,799.9,799.95,792.3,794.75,795.85,795.2,795.43,835.0,614.2,"8,23,108","65,47,26,136.55","38,008"
2023-08-23,EQ,799.0,802.9,793.05,795.2,796.5,797.9,798.82,835.0,614.2,"12,74,976","1,01,84,80,699.25","39,078"
2023-08-24,EQ,800.0,806.7,786.15,797.9,788.4,787.9,796.17,835.0,614.2,"17,26,077","1,37,42,44,402.50","44,821"
2023-08-25,EQ,781.0,787.55,770.55,787.9,772.0,773.15,778.15,835.0,614.2,"15,02,054","1,16,88,19,681.80","45,429"
2023-08-28,EQ,775.5,780.95,771.0,773.15,773.8,773.0,775.03,835.0,614.2,"17,69,280","1,37,12,48,894.75","41,008"
2023-08-29,EQ,778.9,785.9,775.55,773.0,781.1,782.65,781.41,835.0,614.2,"18,07,893","1,41,27,09,114.05","51,159"
2023-08-30,EQ,784.7,791.95,784.1,782.65,784.6,787.15,787.43,835.0,614.2,"19,78,468","1,55,78,97,685.60","58,165"
2023-08-31,EQ,787.15,791.8,777.0,787.15,780.35,779.65,783.59,835.0,614.2,"39,99,415","3,13,38,82,919.40","73,438"
2023-09-01,EQ,779.0,807.7,778.0,779.65,807.0,806.4,798.55,835.0,614.2,"35,13,798","2,80,59,45,074.80","79,424"
2023-09-04,EQ,811.95,826.6,808.5,806.4,809.4,809.8,815.65,835.0,614.2,"35,71,051","2,91,27,24,214.55","67,375"
2023-09-05,EQ,808.95,818.0,800.5,809.8,815.0,815.95,808.24,835.0,614.2,"17,70,212","1,43,07,58,978.20","53,362"
2023-09-06,EQ,816.05,817.5,803.3,815.95,813.0,814.9,811.46,835.0,614.2,"22,25,037","1,80,55,37,408.55","70,896"
2023-09-07,EQ,812.05,821.4,805.5,814.9,818.0,819.3,815.33,835.0,614.2,"26,52,562","2,16,27,19,002.65","63,968"
2023-09-08,EQ,819.3,824.0,810.6,819.3,815.3,815.75,815.99,835.0,614.2,"18,66,220","1,52,28,12,837.40","40,742"
2023-09-11,EQ,820.0,829.35,816.45,815.75,823.55,824.25,823.58,835.0,614.2,"17,15,172","1,41,25,79,588.95","55,990"
2023-09-12,EQ,833.8,840.0,811.9,824.25,815.0,816.2,825.53,840.0,614.2,"27,76,481","2,29,20,55,514.50","77,325"
2023-09-13,EQ,818.0,820.15,808.0,816.2,810.8,810.7,812.39,840.0,614.2,"13,80,634","1,12,16,08,026.90","51,180"
