Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,"1,713.00","1,724.25","1,694.00","1,707.15","1,698.00","1,697.30","1,706.29","1,997.55","1,631.00","20,80,363","3,54,96,92,946.70","66,878"
2023-02-27,EQ,"1,698.30","1,729.80","1,690.80","1,697.30","1,727.85","1,725.95","1,719.17","1,997.55","1,631.00","23,43,798","4,02,93,85,758.55","80,656"
2023-02-28,EQ,"1,725.95","1,741.40","1,721.65","1,725.95","1,731.95","1,729.25","1,731.14","1,997.55","1,631.00","43,95,098","7,60,85,46,902.30","86,877"
2023-03-01,EQ,"1,729.25","1,750.60","1,726.00","1,729.25","1,746.00","1,744.90","1,740.08","1,997.55","1,631.00","56,13,386","9,76,77,29,627.70","1,41,546"
2023-03-02,EQ,"1,735.60","1,746.35","1,718.00","1,744.90","1,719.80","1,721.70","1,734.47","1,997.55","1,631.00","41,19,935","7,14,58,97,952.80","84,290"
2023-03-03,EQ,"1,732.00","1,765.00","1,719.90","1,721.70","1,751.95","1,751.00","1,740.37","1,997.55","1,631.00","36,26,269","6,31,10,65,524.65","1,42,317"
2023-03-06,EQ,"1,756.30","1,764.60","1,741.45","1,751.00","1,750.55","1,751.00","1,751.75","1,997.55","1,631.00","51,86,846","9,08,60,74,883.90","1,00,659"
2023-03-08,EQ,"1,736.00","1,744.30","1,726.85","1,751.00","1,743.00","1,740.20","1,735.61","1,997.55","1,631.00","52,02,608","9,02,96,74,516.00","1,01,736"
2023-03-09,EQ,"1,739.30","1,744.55","1,713.70","1,740.20","1,714.95","1,716.70","1,724.22","1,997.55","1,631.00","69,28,316","11,94,59,72,208.30","1,01,294"
2023-03-10,EQ,"1,707.00","1,713.50","1,692.00","1,716.70","1,701.25","1,699.30","1,702.24","1,997.55","1,631.00","48,76,144","8,30,03,89,299.80","94,291"
2023-03-13,EQ,"1,699.00","1,723.30","1,666.20","1,699.30","1,678.00","1,673.90","1,693.03","1,997.55","1,631.00","89,78,938","15,20,16,09,488.40","1,18,625"
2023-03-14,EQ,"1,673.00","1,677.55","1,643.50","1,673.90","1,647.75","1,648.25","1,653.16","1,997.55","1,631.00","1,41,38,986","23,37,40,08,054.90","1,75,961"
2023-03-15,EQ,"1,668.00","1,688.00","1,661.60","1,648.25","1,666.40","1,665.95","1,674.80","1,997.55","1,631.00","46,92,363","7,85,87,91,160.85","1,03,405"
2023-03-16,EQ,"1,670.00","1,678.85","1,648.20","1,665.95","1,668.15","1,663.55","1,663.74","1,997.55","1,631.00","36,32,063","6,04,27,92,990.80","1,25,471"
2023-03-17,EQ,"1,679.60","1,706.20","1,671.15","1,663.55","1,694.00","1,693.10","1,689.15","1,997.55","1,631.00","89,28,301","15,08,12,29,596.35","1,15,886"
2023-03-20,EQ,"1,687.00","1,702.95","1,681.05","1,693.10","1,699.70","1,699.65","1,693.04","1,997.55","1,631.00","44,63,937","7,55,76,05,571.25","1,36,241"
2023-03-21,EQ,"1,707.55","1,711.95","1,692.00","1,699.65","1,710.00","1,706.85","1,702.58","1,997.55","1,631.00","18,05,180","3,07,34,57,041.75","91,511"
2023-03-22,EQ,"1,710.00","1,713.20","1,692.10","1,706.85","1,706.35","1,705.15","1,701.16","1,997.55","1,631.00","33,26,099","5,65,82,19,385.65","75,012"
2023-03-23,EQ,"1,699.15","1,700.00","1,675.00","1,705.15","1,679.00","1,679.70","1,690.05","1,997.55","1,631.00","56,42,151","9,53,55,32,697.75","89,491"
2023-03-24,EQ,"1,676.05","1,708.95","1,675.00","1,679.70","1,687.70","1,692.15","1,693.74","1,997.55","1,631.00","54,80,609","9,28,27,36,166.50","98,638"
2023-03-27,EQ,"1,700.65","1,712.85","1,693.10","1,692.15","1,700.00","1,705.20","1,704.98","1,997.55","1,631.00","28,37,204","4,83,73,81,446.65","80,302"
2023-03-28,EQ,"1,708.95","1,709.80","1,685.45","1,705.20","1,698.50","1,698.90","1,698.26","1,997.55","1,631.00","23,71,652","4,02,76,83,487.30","72,687"
