Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,"4,875.00","4,947.30","4,822.50","4,853.60","4,854.00","4,853.55","4,869.24","6,524.80","3,733.30","3,44,150","1,67,57,50,208.40","38,507"
2023-02-27,EQ,"4,803.55","4,837.70","4,678.65","4,853.55","4,780.00","4,775.00","4,765.53","6,524.80","3,733.30","4,79,625","2,28,56,68,616.85","46,164"
2023-02-28,EQ,"4,781.00","4,855.00","4,698.00","4,775.00","4,704.10","4,722.05","4,759.82","6,524.80","3,733.30","5,00,908","2,38,42,30,837.15","34,142"
2023-03-01,EQ,"4,722.05","4,770.00","4,709.40","4,722.05","4,740.00","4,743.80","4,736.53","6,524.80","3,733.30","2,90,531","1,37,61,10,064.65","28,618"
2023-03-02,EQ,"4,705.00","4,729.85","4,650.00","4,743.80","4,691.00","4,705.55","4,684.27","6,524.80","3,733.30","2,92,898","1,37,20,11,879.15","34,272"
2023-03-03,EQ,"4,729.10","4,757.00","4,686.05","4,705.55","4,705.00","4,710.35","4,716.06","6,524.80","3,733.30","2,97,149","1,40,13,71,027.75","35,213"
2023-03-06,EQ,"4,760.95","4,845.00","4,755.00","4,710.35","4,822.00","4,821.20","4,806.46","6,524.80","3,733.30","3,85,377","1,85,23,00,425.65","46,710"
2023-03-08,EQ,"4,777.00","4,798.15","4,725.00","4,821.20","4,789.00","4,781.45","4,757.88","6,524.80","3,733.30","1,91,475","91,10,15,133.70","25,321"
2023-03-09,EQ,"4,780.00","4,819.00","4,720.00","4,781.45","4,731.00","4,738.00","4,765.85","6,524.80","3,733.30","2,25,194","1,07,32,40,405.60","28,547"
2023-03-10,EQ,"4,680.00","4,680.00","4,600.10","4,738.00","4,638.00","4,640.10","4,631.42","6,524.80","3,733.30","3,31,578","1,53,56,76,713.50","48,266"
2023-03-13,EQ,"4,642.95","4,716.15","4,602.85","4,640.10","4,621.50","4,616.00","4,649.73","6,430.00","3,733.30","2,48,598","1,15,59,13,563.35","28,992"
2023-03-14,EQ,"4,590.00","4,652.30","4,483.10","4,616.00","4,572.15","4,566.95","4,545.93","6,430.00","3,733.30","4,10,671","1,86,68,80,587.15","43,708"
2023-03-15,EQ,"4,581.00","4,680.00","4,565.90","4,566.95","4,573.05","4,592.30","4,611.11","6,430.00","3,733.30","3,20,108","1,47,60,54,272.65","29,208"
2023-03-16,EQ,"4,580.00","4,604.85","4,480.00","4,592.30","4,558.00","4,553.05","4,544.04","6,430.00","3,733.30","4,16,508","1,89,26,26,991.65","42,741"
2023-03-17,EQ,"4,640.00","4,785.00","4,621.35","4,553.05","4,662.00","4,673.95","4,693.96","6,430.00","3,733.30","11,80,000","5,53,88,75,106.55","67,813"
2023-03-20,EQ,"4,561.00","4,707.00","4,561.00","4,673.95","4,691.15","4,678.25","4,660.07","6,430.00","3,733.30","3,17,984","1,48,18,28,955.55","36,330"
2023-03-21,EQ,"4,694.00","4,723.90","4,647.25","4,678.25","4,685.00","4,674.10","4,670.01","6,430.00","3,733.30","3,32,833","1,55,43,34,396.10","24,232"
2023-03-22,EQ,"4,714.95","4,795.00","4,633.50","4,674.10","4,655.00","4,649.75","4,704.57","6,430.00","3,733.30","4,09,812","1,92,79,88,656.05","44,100"
2023-03-23,EQ,"4,611.00","4,648.00","4,542.50","4,649.75","4,600.50","4,601.90","4,582.31","6,430.00","3,733.30","4,00,901","1,83,70,52,496.65","42,560"
2023-03-24,EQ,"4,648.00","4,713.00","4,588.90","4,601.90","4,597.00","4,601.45","4,658.53","6,430.00","3,733.30","4,77,503","2,22,44,62,170.05","40,684"
2023-03-27,EQ,"4,620.00","4,663.45","4,550.00","4,601.45","4,565.00","4,557.70","4,600.62","6,430.00","3,733.30","2,49,140","1,14,61,99,446.95","24,902"
2023-03-28,EQ,"4,568.95","4,612.45","4,516.10","4,557.70","4,559.70","4,554.90","4,564.19","6,430.00","3,733.30","3,13,376","1,43,03,06,060.05","24,664"
2023-03-29,EQ,"4,567.00","4,662.95","4,548.85","4,554.90","4,640.00","4,620.55","4,599.46","6,430.00","3,733.30","3,33,288","1,53,29,43,584.25","40,918"
2023-03-31,EQ,"4,640.00","4,777.70","4,632.00","4,620.55","4,746.65","4,759.65","4,711.71","6,430.00","3,733.30","3,28,337","1,54,70,27,286.60","26,382"
2023-04-03,EQ,"4,760.00","4,779.00","4,700.00","4,759.65","4,747.00","4,739.85","4,725.20","6,430.00","3,733.30","2,57,102","1,21,48,59,219.65","22,035"
2023-04-05,EQ,"4,739.00","4,848.00","4,710.80","4,739.85","4,828.00","4,833.45","4,785.38","6,430.00","3,733.30","4,30,407","2,05,96,60,456.60","33,648"
2023-04-06,EQ,"4,840.00","4,840.00","4,751.70","4,833.45","4,778.95","4,773.25","4,784.11","6,430.00","3,733.30","1,92,083","91,89,45,374.30","18,403"
2023-04-10,EQ,"4,784.00","4,808.50","4,754.00","4,773.25","4,785.70","4,797.40","4,786.23","6,180.40","3,733.30","2,20,328","1,05,45,41,488.55","22,456"
2023-04-11,EQ,"4,800.00","4,800.00","4,726.20","4,797.40","4,767.00","4,772.40","4,760.67","6,180.40","3,733.30","1,86,260","88,67,22,208.75","24,678"
2023-04-12,EQ,"4,774.95","4,837.00","4,750.00","4,772.40","4,830.00","4,827.70","4,792.67","6,180.40","3,733.30","3,27,375","1,56,90,01,874.60","31,498"
2023-04-13,EQ,"4,790.00","4,790.00","4,615.55","4,827.70","4,635.80","4,646.40","4,663.29","6,180.40","3,733.30","9,12,484","4,25,51,81,571.00","86,932"
2023-04-17,EQ,"4,482.00","4,490.00","4,181.80","4,646.40","4,323.00","4,332.60","4,291.90","6,069.35","3,733.30","17,63,639","7,56,93,60,004.05","2,06,039"
2023-04-18,EQ,"4,362.85","4,365.00","4,235.40","4,332.60","4,313.25","4,318.60","4,292.84","6,069.35","3,733.30","7,71,432","3,31,16,35,661.10","60,288"
2023-04-19,EQ,"4,318.60","4,360.00","4,178.05","4,318.60","4,189.00","4,194.55","4,237.90","6,069.35","3,733.30","8,23,131","3,48,83,50,917.15","94,968"
2023-04-20,EQ,"4,194.00","4,241.95","4,136.10","4,194.55","4,154.90","4,152.85","4,186.35","6,069.35","3,733.30","5,48,732","2,29,71,84,132.40","57,359"
2023-04-21,EQ,"4,162.15","4,213.90","4,132.20","4,152.85","4,164.00","4,170.85","4,160.58","6,069.35","3,733.30","4,80,473","1,99,90,48,094.85","60,045"
2023-04-24,EQ,"4,199.00","4,212.30","4,148.20","4,170.85","4,183.00","4,183.45","4,187.28","5,360.00","3,733.30","2,80,999","1,17,66,21,324.65","45,994"
2023-04-25,EQ,"4,210.00","4,219.95","4,175.45","4,183.45","4,179.95","4,186.40","4,193.30","5,360.00","3,733.30","2,99,754","1,25,69,57,847.60","40,660"
2023-04-26,EQ,"4,180.00","4,217.05","4,153.05","4,186.40","4,157.00","4,160.15","4,177.84","5,360.00","3,733.30","4,96,132","2,07,27,60,498.15","51,459"
2023-04-27,EQ,"4,185.00","4,351.65","4,163.35","4,160.15","4,322.00","4,320.15","4,288.54","5,360.00","3,733.30","8,88,098","3,80,86,41,085.50","65,062"
2023-04-28,EQ,"4,335.00","4,443.45","4,284.45","4,320.15","4,411.00","4,419.45","4,395.00","5,360.00","3,733.30","11,38,300","5,00,28,30,644.75","1,02,388"
2023-05-02,EQ,"4,430.95","4,615.00","4,424.05","4,419.45","4,545.00","4,548.25","4,548.85","5,360.00","3,733.30","7,57,405","3,44,53,25,215.60","66,842"
