Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,"1,320.20","1,320.55","1,278.20","1,313.95","1,280.45","1,280.20","1,293.06","1,397.00",671.15,"28,24,384","3,65,20,99,151.90","1,38,382"
2023-02-27,EQ,"1,270.05","1,285.40","1,248.40","1,280.20","1,261.00","1,257.40","1,259.93","1,397.00",671.15,"20,19,964","2,54,50,17,171.90","1,08,471"
2023-02-28,EQ,"1,263.70","1,293.25","1,260.00","1,257.40","1,275.35","1,269.60","1,275.72","1,397.00",671.15,"34,07,211","4,34,66,52,629.15","1,08,781"
2023-03-01,EQ,"1,275.95","1,305.55","1,269.05","1,269.60","1,274.80","1,272.15","1,288.26","1,397.00",671.15,"23,38,935","3,01,31,47,989.80","93,922"
2023-03-02,EQ,"1,278.55","1,278.55","1,250.00","1,272.15","1,253.00","1,251.55","1,257.01","1,397.00",671.15,"15,63,750","1,96,56,41,591.45","1,03,192"
2023-03-03,EQ,"1,257.90","1,276.95","1,253.25","1,251.55","1,266.95","1,268.60","1,266.28","1,397.00",671.15,"14,93,291","1,89,09,26,721.65","79,127"
2023-03-06,EQ,"1,269.55","1,284.25","1,268.00","1,268.60","1,274.90","1,270.45","1,276.65","1,397.00",671.15,"15,70,410","2,00,48,60,450.45","82,701"
2023-03-08,EQ,"1,270.00","1,291.95","1,258.30","1,270.45","1,288.10","1,289.95","1,278.12","1,397.00",671.15,"23,70,800","3,03,01,74,932.65","1,02,908"
2023-03-09,EQ,"1,291.00","1,294.80","1,244.95","1,289.95","1,245.15","1,248.15","1,259.52","1,397.00",671.15,"35,96,577","4,52,99,65,390.05","1,04,594"
2023-03-10,EQ,"1,249.00","1,256.70","1,225.35","1,248.15","1,227.65","1,226.70","1,234.74","1,397.00",671.15,"26,64,696","3,29,02,06,651.25","1,05,829"
2023-03-13,EQ,"1,222.70","1,231.00","1,182.45","1,226.70","1,193.00","1,193.45","1,203.05","1,397.00",725.45,"38,42,775","4,62,30,44,928.10","1,74,287"
2023-03-14,EQ,"1,192.30","1,192.40","1,156.85","1,193.45","1,159.65","1,160.80","1,170.17","1,397.00",725.45,"53,79,592","6,29,50,17,026.85","2,10,285"
2023-03-15,EQ,"1,167.00","1,174.40","1,153.20","1,160.80","1,158.50","1,160.35","1,165.20","1,397.00",725.45,"22,26,887","2,59,47,77,066.65","95,603"
2023-03-16,EQ,"1,160.00","1,175.25","1,140.15","1,160.35","1,170.00","1,167.05","1,161.29","1,397.00",725.45,"36,04,480","4,18,58,52,141.90","1,85,190"
2023-03-17,EQ,"1,172.90","1,186.25","1,152.00","1,167.05","1,171.40","1,171.50","1,169.99","1,397.00",725.45,"36,83,701","4,30,98,90,014.00","98,483"
2023-03-20,EQ,"1,169.95","1,179.15","1,145.00","1,171.50","1,169.00","1,167.65","1,158.59","1,397.00",751.30,"20,82,268","2,41,24,88,159.60","1,46,872"
2023-03-21,EQ,"1,170.60","1,175.00","1,156.40","1,167.65","1,162.70","1,160.30","1,162.55","1,397.00",751.30,"22,09,422","2,56,85,60,892.80","1,10,281"
2023-03-22,EQ,"1,167.50","1,180.50","1,159.15","1,160.30","1,164.00","1,164.10","1,167.95","1,397.00",751.30,"22,11,909","2,58,34,08,999.50","1,03,691"
2023-03-23,EQ,"1,161.00","1,175.00","1,153.80","1,164.10","1,160.25","1,164.95","1,165.52","1,397.00",751.30,"25,94,282","3,02,36,86,000.60","1,12,210"
2023-03-24,EQ,"1,160.55","1,170.55","1,147.10","1,164.95","1,148.00","1,150.80","1,158.08","1,397.00",751.30,"18,39,876","2,13,07,17,389.55","1,11,241"
2023-03-27,EQ,"1,141.50","1,150.60","1,125.50","1,150.80","1,139.00","1,137.90","1,139.30","1,397.00",751.30,"24,46,528","2,78,73,30,742.15","1,00,900"
2023-03-28,EQ,"1,143.60","1,149.00","1,123.40","1,137.90","1,130.90","1,128.30","1,131.73","1,397.00",751.30,"19,03,339","2,15,40,65,712.00","74,023"
2023-03-29,EQ,"1,133.95","1,152.45","1,132.00","1,128.30","1,145.85","1,144.30","1,144.74","1,397.00",751.30,"40,03,003","4,58,24,01,176.45","95,406"
2023-03-31,EQ,"1,147.60","1,163.00","1,145.85","1,144.30","1,158.00","1,158.70","1,154.92","1,397.00",751.30,"23,43,070","2,70,60,56,495.25","86,258"
2023-04-03,EQ,"1,161.30","1,180.00","1,155.30","1,158.70","1,172.00","1,169.90","1,168.18","1,397.00",810.00,"25,46,562","2,97,48,37,861.15","1,78,078"
2023-04-05,EQ,"1,172.00","1,173.30","1,151.95","1,169.90","1,154.05","1,155.45","1,161.44","1,397.00",810.00,"20,28,469","2,35,59,52,263.75","1,08,271"
2023-04-06,EQ,"1,154.00","1,175.00","1,148.30","1,155.45","1,171.95","1,171.25","1,165.09","1,397.00",810.00,"20,29,418","2,36,44,59,862.00","88,915"
2023-04-10,EQ,"1,171.25","1,191.00","1,171.25","1,171.25","1,189.00","1,188.60","1,184.20","1,397.00",843.30,"25,86,918","3,06,34,28,073.95","93,434"
2023-04-11,EQ,"1,200.00","1,204.20","1,188.20","1,188.60","1,203.50","1,201.70","1,196.00","1,397.00",843.30,"24,43,384","2,92,22,81,034.80","1,13,995"
2023-04-12,EQ,"1,203.50","1,212.95","1,198.60","1,201.70","1,209.00","1,207.35","1,207.59","1,397.00",843.30,"24,69,405","2,98,20,17,349.05","1,21,209"
2023-04-13,EQ,"1,213.45","1,222.20","1,199.55","1,207.35","1,205.45","1,204.55","1,205.80","1,397.00",843.30,"44,70,196","5,39,01,48,195.90","1,22,229"
2023-04-17,EQ,"1,218.95","1,218.95","1,203.40","1,204.55","1,214.00","1,212.95","1,208.96","1,397.00",853.70,"19,56,198","2,36,49,60,178.35","89,774"
