Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,33.5,33.75,32.75,33.3,32.9,33.0,33.17,43.75,26.55,"22,29,051","7,39,36,544.30","6,533"
2023-02-27,EQ,33.8,33.9,32.8,33.0,33.1,33.25,33.19,43.75,26.55,"57,65,039","19,13,22,303.45","14,265"
2023-02-28,EQ,33.25,33.5,33.1,33.25,33.2,33.3,33.29,43.75,26.55,"20,59,273","6,85,45,522.50","6,077"
2023-03-01,EQ,33.35,34.0,33.2,33.3,34.0,33.85,33.73,43.75,26.55,"24,19,202","8,15,95,860.10","7,329"
2023-03-02,EQ,34.0,36.9,33.95,33.85,35.85,36.2,35.76,43.75,26.55,"1,67,17,952","59,77,91,189.65","30,914"
2023-03-03,EQ,36.5,36.55,35.5,36.2,35.55,35.6,35.69,43.75,26.55,"40,52,063","14,46,10,887.55","9,823"
2023-03-06,EQ,35.75,35.95,35.6,35.6,35.75,35.8,35.79,43.75,26.55,"23,50,407","8,41,21,138.85","6,993"
2023-03-08,EQ,36.7,36.8,36.1,35.8,36.2,36.25,36.38,43.75,26.55,"75,96,008","27,63,17,364.05","15,254"
2023-03-09,EQ,36.3,37.9,36.2,36.25,37.0,37.05,37.13,43.75,26.55,"98,79,173","36,67,97,212.40","15,526"
2023-03-10,EQ,37.45,38.55,37.15,37.05,37.8,37.65,37.85,43.75,26.55,"1,44,57,447","54,71,66,399.75","25,007"
2023-03-13,EQ,37.75,38.2,36.15,37.65,36.65,36.45,37.32,43.75,26.55,"60,32,119","22,51,17,479.15","18,471"
2023-03-14,EQ,36.45,36.6,35.3,36.45,35.65,35.55,35.72,43.75,26.55,"42,93,566","15,33,85,665.15","9,955"
2023-03-15,EQ,37.1,37.2,35.7,35.55,35.75,35.85,36.4,43.75,26.55,"79,95,420","29,10,65,344.75","14,844"
2023-03-16,EQ,35.5,35.7,34.75,35.85,35.25,35.05,35.19,43.75,26.55,"35,15,620","12,37,08,407.10","8,152"
2023-03-17,EQ,35.4,35.85,35.0,35.05,35.1,35.2,35.32,43.75,26.55,"36,71,290","12,96,65,871.85","9,233"
2023-03-20,EQ,35.0,35.15,34.05,35.2,34.3,34.2,34.38,43.75,26.55,"45,11,052","15,50,76,075.40","8,353"
2023-03-21,EQ,34.4,34.6,33.8,34.2,33.9,33.9,34.05,43.75,26.55,"31,56,673","10,74,87,526.50","6,699"
2023-03-22,EQ,34.0,34.4,33.75,33.9,33.9,34.05,34.12,43.75,26.55,"43,53,887","14,85,33,928.40","7,885"
2023-03-23,EQ,34.3,34.7,33.75,34.05,33.75,33.85,34.18,43.75,26.55,"52,70,652","18,01,60,892.55","11,740"
2023-03-24,EQ,34.05,34.25,32.55,33.85,32.8,32.8,33.52,43.75,26.55,"51,72,027","17,33,44,950.55","11,898"
2023-03-27,EQ,33.05,33.25,31.7,32.8,31.9,32.0,32.51,43.75,26.55,"53,38,589","17,35,43,553.70","11,832"
2023-03-28,EQ,32.0,32.1,30.95,32.0,31.2,31.1,31.39,43.75,26.55,"67,23,842","21,10,39,965.10","15,340"
2023-03-29,EQ,31.4,36.8,31.4,31.1,35.4,35.25,33.93,43.75,26.55,"2,91,88,565","99,03,28,019.30","50,414"
2023-03-31,EQ,35.2,36.15,34.6,35.25,35.4,35.45,35.47,43.75,26.55,"1,00,07,186","35,49,06,432.50","19,660"
2023-04-03,EQ,35.45,36.1,35.3,35.45,35.7,35.65,35.7,43.75,26.55,"40,21,505","14,35,69,572.55","11,380"
2023-04-05,EQ,37.0,37.75,36.45,35.65,36.9,36.95,37.1,43.75,26.55,"1,83,83,529","68,20,32,168.90","31,327"
2023-04-06,EQ,36.8,38.0,36.25,36.95,37.65,37.7,37.11,43.75,26.55,"82,46,881","30,60,79,966.50","15,193"
2023-04-10,EQ,37.7,37.9,37.15,37.7,37.25,37.3,37.44,43.75,26.55,"32,97,799","12,34,82,389.55","7,886"
2023-04-11,EQ,37.3,38.8,36.7,37.3,37.9,37.95,38.08,43.75,26.55,"1,39,93,447","53,28,72,116.70","19,720"
2023-04-12,EQ,37.65,38.4,37.5,37.95,38.1,38.0,37.98,43.75,26.55,"51,07,542","19,40,00,706.45","10,223"
2023-04-13,EQ,37.8,38.6,37.7,38.0,38.0,38.15,38.09,43.75,26.55,"35,08,374","13,36,42,718.80","7,975"
