Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,38.7,39.1,38.3,38.7,38.5,38.6,38.87,46.9,27.05,"63,50,314","24,68,33,950.80","10,388"
2023-02-27,EQ,38.6,39.1,37.75,38.6,38.3,38.4,38.27,46.9,27.05,"1,27,45,906","48,77,79,640.25","26,520"
2023-02-28,EQ,39.1,40.4,38.05,38.4,39.75,39.15,38.84,46.9,27.05,"1,06,98,085","41,55,65,501.65","20,209"
2023-03-01,EQ,39.45,40.5,39.15,39.15,39.95,40.1,39.67,46.9,27.05,"1,08,97,703","43,22,68,705.55","22,393"
2023-03-02,EQ,40.2,40.45,39.85,40.1,40.2,40.15,40.18,46.9,27.05,"62,43,216","25,08,34,175.85","18,164"
2023-03-03,EQ,40.4,40.75,39.7,40.15,39.75,39.8,40.23,46.9,27.05,"79,96,805","32,17,27,891.85","23,655"
2023-03-06,EQ,39.95,40.7,39.15,39.8,39.9,39.95,40.16,46.9,27.05,"1,11,98,659","44,96,95,594.70","19,204"
2023-03-08,EQ,39.9,41.8,39.9,39.95,41.7,41.65,40.81,46.9,27.05,"1,68,75,862","68,86,92,986.35","17,963"
2023-03-09,EQ,41.9,41.9,40.55,41.65,40.85,40.8,41.13,46.9,27.05,"53,86,529","22,15,27,584.80","11,456"
2023-03-10,EQ,40.5,41.35,39.9,40.8,40.8,41.05,40.53,46.9,27.05,"52,20,866","21,16,14,546.20","14,560"
2023-03-13,EQ,41.0,41.15,39.9,41.05,40.15,40.25,40.33,46.9,27.05,"66,47,383","26,81,02,971.35","15,191"
2023-03-14,EQ,40.25,40.75,39.9,40.25,40.0,40.2,40.31,46.9,27.05,"55,64,064","22,42,70,689.25","14,886"
2023-03-15,EQ,40.4,41.35,40.3,40.2,40.95,41.1,41.05,46.9,27.05,"64,60,098","26,51,78,308.85","13,443"
2023-03-16,EQ,41.1,41.35,40.3,41.1,40.75,40.65,40.72,46.9,27.05,"57,97,687","23,60,75,983.20","20,793"
2023-03-17,EQ,40.75,43.0,40.75,40.65,41.7,41.8,42.22,46.9,27.05,"3,21,74,970","1,35,84,13,107.50","56,464"
2023-03-20,EQ,41.8,41.85,40.2,41.8,40.6,40.45,41.03,46.9,27.05,"79,08,860","32,45,17,113.30","15,818"
2023-03-21,EQ,40.75,41.2,39.8,40.45,40.05,40.0,40.34,46.9,27.05,"81,24,382","32,77,74,115.05","12,924"
2023-03-22,EQ,40.1,40.75,40.1,40.0,40.2,40.3,40.38,46.9,27.05,"44,77,410","18,08,06,575.55","14,971"
2023-03-23,EQ,40.2,40.5,40.0,40.3,40.05,40.0,40.12,46.9,27.05,"56,42,180","22,63,61,618.05","8,955"
2023-03-24,EQ,40.15,40.35,39.5,40.0,39.5,39.6,39.88,46.9,27.05,"44,95,243","17,92,55,156.55","8,555"
2023-03-27,EQ,39.5,39.7,38.75,39.6,39.05,39.0,39.11,46.9,27.05,"1,13,23,037","44,28,41,936.45","22,478"
2023-03-28,EQ,39.2,39.55,38.7,39.0,39.1,39.05,39.05,46.9,27.05,"1,22,43,780","47,80,91,339.85","20,127"
2023-03-29,EQ,39.25,43.8,38.75,39.05,42.6,41.6,40.87,46.9,27.05,"2,54,38,120","1,03,95,32,071.35","33,477"
2023-03-31,EQ,41.85,42.0,40.0,41.6,40.2,40.2,40.66,46.9,27.05,"1,03,59,407","42,12,30,661.55","22,292"
2023-04-03,EQ,40.2,40.55,39.95,40.2,40.3,40.3,40.23,46.9,28.15,"1,15,15,747","46,33,20,125.35","29,349"
