Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,170.25,171.2,169.4,169.6,170.95,171.0,170.52,182.95,123.65,"83,38,893","1,42,19,33,991.95","59,335"
2023-02-27,EQ,171.15,173.5,170.5,171.0,172.5,172.4,172.22,182.95,126.9,"1,76,69,762","3,04,30,52,163.95","98,077"
2023-02-28,EQ,172.8,173.0,169.85,172.4,170.0,170.5,171.18,182.95,126.9,"1,90,44,910","3,26,00,84,416.85","80,625"
2023-03-01,EQ,170.95,173.05,169.95,170.5,171.8,172.25,171.29,182.95,126.9,"93,18,790","1,59,62,41,631.65","70,568"
2023-03-02,EQ,172.2,172.2,170.25,172.25,171.25,170.8,170.92,182.95,126.9,"77,25,981","1,32,05,23,308.90","60,160"
2023-03-03,EQ,172.0,175.0,171.5,170.8,172.55,172.6,173.34,182.95,126.9,"1,29,62,719","2,24,69,64,346.00","73,727"
2023-03-06,EQ,172.9,177.5,172.7,172.6,176.65,176.8,176.26,182.95,126.9,"1,24,02,804","2,18,61,31,102.20","88,836"
2023-03-08,EQ,175.7,179.15,175.45,176.8,178.5,178.85,178.22,182.95,126.9,"2,20,99,710","3,93,86,94,806.10","1,24,095"
2023-03-09,EQ,178.4,182.2,178.0,178.85,179.75,179.45,180.82,182.95,126.9,"1,88,74,546","3,41,29,47,160.10","1,11,238"
2023-03-10,EQ,178.0,181.0,177.8,179.45,180.95,180.75,180.16,182.95,126.9,"1,23,99,692","2,23,39,27,840.10","70,311"
2023-03-13,EQ,181.3,181.55,179.45,180.75,179.8,179.7,180.39,182.95,130.65,"1,36,69,178","2,46,57,22,304.90","97,680"
2023-03-14,EQ,178.65,181.0,177.2,179.7,178.0,177.9,179.09,182.95,130.65,"92,17,542","1,65,07,36,032.35","64,158"
2023-03-15,EQ,179.45,179.55,177.75,177.9,177.8,178.2,178.75,182.95,130.65,"85,48,173","1,52,79,58,090.25","73,059"
2023-03-16,EQ,178.2,180.0,176.95,178.2,179.9,179.6,178.54,182.95,130.65,"94,05,016","1,67,91,92,583.75","65,284"
2023-03-17,EQ,181.7,181.7,175.9,179.6,176.4,176.95,178.11,182.95,130.65,"4,72,76,890","8,42,04,52,960.65","1,51,417"
2023-03-20,EQ,177.55,177.55,174.95,176.95,175.85,176.0,175.89,182.95,131.7,"56,27,841","98,99,00,486.15","59,161"
2023-03-21,EQ,176.85,177.55,175.3,176.0,176.95,177.1,176.6,182.95,131.7,"1,28,94,327","2,27,71,83,367.15","91,913"
2023-03-22,EQ,177.8,177.8,173.8,177.1,174.2,174.35,175.05,182.95,131.7,"78,93,205","1,38,16,70,536.95","60,811"
2023-03-23,EQ,174.05,175.85,173.7,174.35,174.9,174.6,174.85,182.95,131.7,"57,59,884","1,00,71,42,937.45","46,368"
2023-03-24,EQ,175.2,175.2,172.35,174.6,172.75,172.7,173.46,182.95,131.7,"49,77,283","86,33,81,299.15","35,896"
2023-03-27,EQ,172.65,173.95,170.7,172.7,170.95,171.25,171.66,182.95,133.45,"1,20,77,986","2,07,33,62,952.70","60,438"
2023-03-28,EQ,171.35,173.0,170.5,171.25,171.8,172.0,171.83,182.95,133.45,"87,50,986","1,50,36,44,805.20","51,561"
2023-03-29,EQ,172.65,175.4,171.7,172.0,175.25,174.0,173.39,182.95,133.45,"2,02,72,070","3,51,49,37,676.00","81,143"
