Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,151.75,155.35,149.75,154.65,154.6,155.0,152.69,194.95,119.85,"1,46,48,507","2,23,66,47,151.70","64,780"
2023-02-27,EQ,154.0,156.05,153.0,155.0,154.6,155.25,154.61,194.95,119.85,"1,19,04,749","1,84,05,45,684.05","73,846"
2023-02-28,EQ,154.15,155.45,151.2,155.25,152.0,152.05,153.12,194.95,119.85,"1,76,07,584","2,69,60,86,740.85","64,642"
2023-03-01,EQ,152.0,155.1,151.85,152.05,154.65,154.8,153.78,194.95,119.85,"77,07,977","1,18,53,50,337.00","56,300"
2023-03-02,EQ,154.5,155.05,152.65,154.8,154.0,154.05,153.86,194.95,119.85,"82,19,892","1,26,46,91,718.90","46,505"
2023-03-03,EQ,154.0,155.7,153.45,154.05,154.15,154.25,154.85,194.95,119.85,"82,60,104","1,27,90,50,256.55","57,066"
2023-03-06,EQ,154.7,159.7,153.55,154.25,158.2,158.2,157.6,194.95,119.85,"1,44,91,522","2,28,38,90,289.10","86,328"
2023-03-08,EQ,156.55,158.85,156.4,158.2,158.05,158.25,157.95,194.95,119.85,"73,39,476","1,15,92,45,389.45","53,002"
2023-03-09,EQ,159.05,159.15,156.05,158.25,156.25,156.3,157.1,194.95,119.85,"53,14,022","83,48,41,343.50","44,982"
2023-03-10,EQ,155.6,156.7,154.2,156.3,156.1,155.8,155.47,194.95,119.85,"46,89,681","72,91,27,221.20","38,378"
2023-03-13,EQ,156.2,158.0,155.2,155.8,156.0,155.8,156.73,181.25,119.85,"87,85,721","1,37,69,91,359.75","71,925"
2023-03-14,EQ,155.8,156.85,153.05,155.8,153.75,153.3,154.83,181.25,119.85,"71,77,342","1,11,12,88,474.35","51,268"
2023-03-15,EQ,154.0,154.45,151.8,153.3,152.5,152.55,152.94,181.25,119.85,"98,32,270","1,50,37,55,866.50","67,545"
2023-03-16,EQ,151.2,153.4,148.0,152.55,153.0,152.2,151.03,181.25,119.85,"1,85,51,936","2,80,18,52,427.85","80,040"
2023-03-17,EQ,153.5,154.9,151.95,152.2,153.0,153.15,153.57,181.25,119.85,"1,65,93,429","2,54,82,39,520.00","82,750"
2023-03-20,EQ,153.0,154.15,151.6,153.15,152.2,152.3,152.73,181.25,119.85,"87,49,355","1,33,62,55,164.25","60,808"
2023-03-21,EQ,153.15,153.75,150.95,152.3,151.1,151.55,151.72,181.25,119.85,"61,48,489","93,28,79,270.50","44,916"
2023-03-22,EQ,152.4,152.8,150.85,151.55,151.85,151.55,151.69,181.25,119.85,"43,29,409","65,67,32,208.80","31,599"
2023-03-23,EQ,151.1,153.15,150.3,151.55,152.7,152.8,151.97,181.25,119.85,"44,84,564","68,15,03,204.85","36,298"
