Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,48.6,49.15,47.35,48.25,47.5,47.55,48.16,62.0,28.05,"4,39,92,957","2,11,89,08,288.05","55,654"
2023-02-27,EQ,47.5,48.3,47.2,47.55,48.1,48.1,47.8,62.0,28.05,"6,04,79,465","2,89,07,84,207.55","68,755"
2023-02-28,EQ,48.25,48.6,47.65,48.1,48.3,48.35,48.14,62.0,28.05,"4,55,53,040","2,19,27,59,322.25","47,035"
2023-03-01,EQ,48.35,50.95,48.2,48.35,50.1,50.15,49.61,62.0,28.05,"5,47,33,648","2,71,55,52,443.00","68,670"
2023-03-02,EQ,50.15,50.25,49.4,50.15,49.65,49.75,49.79,62.0,28.05,"3,96,89,768","1,97,61,11,860.35","44,051"
2023-03-03,EQ,50.15,51.9,50.15,49.75,51.75,51.8,51.37,62.0,28.05,"7,54,60,112","3,87,63,94,286.05","84,439"
2023-03-06,EQ,52.05,52.45,51.15,51.8,51.4,51.3,51.76,62.0,28.05,"4,73,24,177","2,44,94,81,054.10","61,994"
2023-03-08,EQ,51.0,51.65,50.65,51.3,51.55,51.5,51.1,62.0,28.05,"3,71,25,655","1,89,72,71,886.15","42,940"
2023-03-09,EQ,51.5,51.75,50.7,51.5,50.9,50.9,51.22,62.0,28.05,"2,67,84,782","1,37,20,24,369.45","39,638"
2023-03-10,EQ,50.45,50.45,49.35,50.9,50.0,49.9,49.79,62.0,28.05,"3,26,60,079","1,62,60,20,310.65","46,779"
2023-03-13,EQ,49.9,50.25,48.0,49.9,48.35,48.15,49.13,62.0,28.05,"4,42,52,288","2,17,42,53,903.10","58,724"
2023-03-14,EQ,48.2,48.85,47.6,48.15,48.3,48.15,48.19,62.0,28.05,"5,78,68,867","2,78,85,16,142.40","71,171"
2023-03-15,EQ,48.85,49.05,47.4,48.15,47.6,47.7,48.37,62.0,28.05,"3,91,04,721","1,89,13,82,865.60","50,524"
2023-03-16,EQ,47.7,48.45,46.8,47.7,48.15,48.0,47.57,62.0,28.05,"5,63,23,397","2,67,93,60,786.55","62,511"
2023-03-17,EQ,48.5,48.75,47.5,48.0,48.1,47.95,47.99,62.0,28.05,"4,39,94,185","2,11,13,57,549.45","51,162"
2023-03-20,EQ,47.85,48.0,46.1,47.95,47.15,47.0,46.82,62.0,28.05,"5,10,01,675","2,38,80,55,204.65","58,925"
2023-03-21,EQ,47.4,48.05,46.85,47.0,47.65,47.75,47.45,62.0,28.05,"4,07,35,601","1,93,29,37,882.75","49,029"
2023-03-22,EQ,47.95,48.35,47.7,47.75,47.8,47.85,47.96,62.0,28.05,"2,86,30,222","1,37,31,79,887.55","35,919"
2023-03-23,EQ,47.65,47.9,46.7,47.85,46.85,46.85,47.41,62.0,28.05,"3,06,19,961","1,45,17,75,500.35","38,151"
2023-03-24,EQ,47.0,47.15,45.1,46.85,45.3,45.5,46.16,62.0,28.05,"4,14,76,341","1,91,45,92,871.10","52,959"
2023-03-27,EQ,45.5,46.0,45.0,45.5,45.5,45.55,45.53,62.0,28.05,"4,23,07,425","1,92,64,00,008.45","45,044"
2023-03-28,EQ,45.55,45.75,44.4,45.55,44.95,44.9,45.03,62.0,28.05,"3,82,72,734","1,72,32,58,086.60","43,911"
2023-03-29,EQ,44.9,46.65,44.6,44.9,46.25,46.3,45.64,62.0,28.05,"4,92,29,088","2,24,66,92,148.15","52,758"
2023-03-31,EQ,46.7,47.05,46.5,46.3,46.55,46.6,46.72,62.0,28.05,"3,24,35,561","1,51,53,13,887.70","49,701"
2023-04-03,EQ,46.85,47.45,46.6,46.6,47.35,47.35,47.1,62.0,28.05,"2,00,28,650","94,33,80,270.40","33,355"
2023-04-05,EQ,47.35,47.45,46.45,47.35,46.75,46.7,46.7,62.0,28.05,"2,48,82,531","1,16,19,61,277.90","44,293"
2023-04-06,EQ,46.7,47.8,46.45,46.7,47.2,47.2,47.27,62.0,28.05,"3,39,90,957","1,60,65,89,332.10","46,730"
2023-04-10,EQ,47.2,47.45,46.8,47.2,47.0,47.05,47.12,62.0,28.05,"2,07,35,073","97,70,45,300.75","36,352"
2023-04-11,EQ,47.65,48.1,47.15,47.05,47.3,47.25,47.51,62.0,28.05,"3,66,35,159","1,74,04,80,629.25","44,554"
2023-04-12,EQ,47.55,47.55,46.9,47.25,47.1,47.05,47.09,62.0,28.05,"2,40,89,807","1,13,44,87,368.25","31,329"
2023-04-13,EQ,47.1,47.95,46.8,47.05,47.65,47.75,47.33,62.0,28.05,"3,26,14,533","1,54,37,21,809.85","36,030"
2023-04-17,EQ,47.65,48.95,47.35,47.75,48.8,48.8,48.33,62.0,28.05,"4,53,04,745","2,18,93,55,893.30","60,473"
2023-04-18,EQ,48.85,49.5,48.6,48.8,49.05,49.1,49.05,62.0,28.05,"3,58,80,230","1,75,98,42,944.90","57,335"
2023-04-19,EQ,49.0,49.65,48.4,49.1,48.4,48.55,48.93,62.0,28.05,"3,05,38,280","1,49,41,56,356.70","46,619"
2023-04-20,EQ,48.6,48.85,48.3,48.55,48.5,48.6,48.58,62.0,28.05,"2,32,70,861","1,13,05,85,976.85","34,511"
2023-04-21,EQ,48.5,48.6,47.8,48.6,48.1,48.25,48.2,62.0,28.05,"2,02,93,450","97,81,04,594.50","30,048"
2023-04-24,EQ,48.5,49.35,48.25,48.25,49.3,49.25,48.91,62.0,28.05,"3,13,27,255","1,53,21,14,364.20","37,109"
2023-04-25,EQ,49.5,50.1,49.3,49.25,49.7,49.8,49.78,62.0,28.05,"3,14,49,334","1,56,54,81,200.20","46,384"
2023-04-26,EQ,49.7,50.5,49.3,49.8,50.25,50.25,49.93,62.0,28.05,"3,00,00,936","1,49,79,66,028.80","42,336"
2023-04-27,EQ,50.25,50.55,50.0,50.25,50.35,50.4,50.28,62.0,28.05,"2,76,78,355","1,39,16,26,423.10","37,111"
2023-04-28,EQ,50.6,52.5,50.5,50.4,52.3,52.25,51.64,62.0,28.05,"5,85,79,598","3,02,48,96,581.65","92,530"
2023-05-02,EQ,52.55,53.1,52.4,52.25,52.65,52.75,52.76,62.0,28.05,"3,15,70,025","1,66,56,64,793.30","57,488"
2023-05-03,EQ,51.95,52.95,51.8,52.75,52.5,52.55,52.56,62.0,28.05,"3,09,99,962","1,62,92,97,510.10","51,046"
2023-05-04,EQ,52.75,53.5,52.5,52.55,53.2,53.35,52.97,62.0,28.05,"3,15,40,665","1,67,08,12,928.60","56,061"
2023-05-05,EQ,53.35,53.85,52.2,53.35,52.35,52.35,52.98,62.0,28.05,"4,13,83,424","2,19,24,13,539.10","66,541"
2023-05-08,EQ,51.5,52.7,50.6,52.35,52.1,52.1,51.83,62.0,28.05,"6,41,19,087","3,32,30,27,441.25","73,713"
2023-05-09,EQ,52.45,52.55,50.05,52.1,50.25,50.25,50.94,62.0,28.05,"5,15,16,931","2,62,40,74,820.20","63,929"
2023-05-10,EQ,49.65,50.0,47.9,50.25,48.45,48.5,48.38,62.0,28.05,"9,46,16,408","4,57,79,68,670.20","1,21,916"
2023-05-11,EQ,48.8,49.25,48.4,48.5,48.5,48.5,48.8,62.0,28.05,"4,45,57,782","2,17,42,81,084.30","80,491"
2023-05-12,EQ,48.5,48.8,48.05,48.5,48.4,48.55,48.48,62.0,28.05,"2,01,65,979","97,76,28,377.85","45,376"
2023-05-15,EQ,48.5,49.1,48.25,48.55,49.0,48.95,48.82,62.0,28.05,"2,23,03,027","1,08,89,29,013.95","43,322"
2023-05-16,EQ,49.3,49.85,48.8,48.95,48.95,49.0,49.39,62.0,28.05,"3,42,88,935","1,69,36,78,959.85","61,904"
2023-05-17,EQ,49.15,49.5,48.5,49.0,49.2,49.3,49.07,62.0,28.05,"3,10,20,370","1,52,21,39,480.60","59,873"
2023-05-18,EQ,49.6,49.7,48.35,49.3,48.5,48.45,49.16,62.0,28.05,"3,23,14,683","1,58,86,66,505.95","57,188"
2023-05-19,EQ,48.85,49.6,48.35,48.45,49.45,49.25,48.99,62.0,28.05,"4,69,65,076","2,30,06,95,409.40","59,928"
2023-05-22,EQ,49.85,50.75,49.7,49.25,50.55,50.55,50.42,62.0,28.05,"5,96,90,876","3,00,97,91,306.75","84,088"
