Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,212.4,215.4,212.4,213.25,214.95,215.05,214.06,248.35,186.35,"73,56,623","1,57,47,36,970.65","42,582"
2023-02-27,EQ,216.45,219.95,214.55,215.05,219.7,219.2,216.33,248.35,186.35,"1,33,22,714","2,88,20,92,306.55","86,364"
2023-02-28,EQ,220.6,223.0,218.75,219.2,222.0,222.25,221.0,248.35,186.35,"2,74,19,459","6,05,96,14,533.15","1,12,318"
2023-03-01,EQ,221.55,222.25,217.4,222.25,218.8,218.9,218.68,248.35,186.35,"96,72,064","2,11,51,21,549.70","78,389"
2023-03-02,EQ,218.0,221.0,215.8,218.9,220.55,220.35,217.5,248.35,186.35,"5,97,81,419","13,00,22,00,151.65","91,617"
2023-03-03,EQ,220.4,225.45,220.4,220.35,222.25,222.1,223.68,248.35,186.35,"74,63,902","1,66,95,52,089.65","73,072"
2023-03-06,EQ,224.0,228.8,223.0,222.1,227.25,227.15,227.15,248.35,186.35,"1,17,44,968","2,66,78,55,992.10","1,20,152"
2023-03-08,EQ,226.95,228.35,225.7,227.15,227.55,228.05,227.19,248.35,186.35,"86,93,622","1,97,51,18,200.55","95,240"
2023-03-09,EQ,229.0,230.45,225.5,228.05,226.25,225.8,227.64,248.35,186.35,"1,04,56,240","2,38,02,27,290.05","56,572"
2023-03-10,EQ,222.25,228.15,222.25,225.8,226.65,226.55,225.93,248.35,186.35,"72,04,076","1,62,76,32,172.15","86,419"
2023-03-13,EQ,228.05,230.05,225.4,226.55,226.55,226.1,227.61,248.35,186.35,"99,07,240","2,25,49,95,182.00","89,340"
2023-03-14,EQ,225.15,227.75,224.0,226.1,225.45,225.2,225.85,248.35,186.35,"71,87,554","1,62,33,10,979.55","74,944"
2023-03-15,EQ,226.6,230.05,225.7,225.2,228.45,228.3,228.3,248.35,186.35,"91,71,052","2,09,37,25,846.10","1,24,317"
2023-03-16,EQ,229.45,232.9,228.35,228.3,231.8,232.15,231.47,248.35,186.35,"1,38,28,363","3,20,08,14,705.10","1,23,712"
2023-03-17,EQ,233.95,234.0,228.3,232.15,229.4,229.7,231.27,248.35,186.35,"2,52,83,269","5,84,73,70,778.65","1,20,170"
2023-03-20,EQ,225.3,229.4,225.3,229.7,227.4,227.5,227.08,248.35,186.35,"69,61,059","1,58,07,51,619.60","61,620"
2023-03-21,EQ,227.25,227.7,222.45,227.5,223.1,223.15,223.81,248.35,186.35,"84,54,591","1,89,22,40,143.10","63,435"
2023-03-22,EQ,223.0,224.7,220.8,223.15,224.05,224.1,222.67,248.35,186.35,"56,92,385","1,26,75,47,358.05","44,556"
2023-03-23,EQ,224.0,224.5,221.25,224.1,222.0,222.15,223.0,248.35,186.35,"1,28,18,474","2,85,85,81,143.85","43,985"
