Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,"2,372.00","2,396.15","2,368.00","2,367.50","2,387.90","2,383.70","2,381.54","2,856.15","2,180.00","43,53,814","10,36,87,96,539.40","1,57,064"
2023-02-27,EQ,"2,382.00","2,389.65","2,351.70","2,383.70","2,365.05","2,367.85","2,366.20","2,856.15","2,180.00","51,68,667","12,23,00,93,429.05","1,93,653"
2023-02-28,EQ,"2,356.10","2,367.00","2,313.65","2,367.85","2,319.95","2,322.55","2,333.98","2,856.15","2,180.00","1,01,50,245","23,69,04,36,663.80","3,13,946"
2023-03-01,EQ,"2,344.00","2,345.50","2,323.25","2,322.55","2,345.40","2,343.90","2,336.64","2,856.15","2,180.00","53,30,852","12,45,62,84,409.25","2,30,019"
2023-03-02,EQ,"2,337.00","2,351.65","2,321.60","2,343.90","2,329.40","2,326.05","2,333.58","2,856.15","2,180.00","43,07,425","10,05,17,32,048.90","1,88,182"
2023-03-03,EQ,"2,349.15","2,393.45","2,341.55","2,326.05","2,382.00","2,385.40","2,366.67","2,856.15","2,180.00","67,58,115","15,99,42,00,481.70","1,97,227"
2023-03-06,EQ,"2,400.00","2,424.60","2,400.00","2,385.40","2,409.70","2,408.70","2,412.27","2,856.15","2,180.00","46,94,338","11,32,40,34,037.10","1,55,650"
2023-03-08,EQ,"2,408.70","2,419.00","2,385.00","2,408.70","2,416.50","2,417.35","2,407.08","2,856.15","2,180.00","72,83,694","17,53,24,25,276.00","1,82,199"
2023-03-09,EQ,"2,416.00","2,416.90","2,355.10","2,417.35","2,360.00","2,359.25","2,377.08","2,856.15","2,180.00","74,92,509","17,81,03,28,720.90","2,32,305"
2023-03-10,EQ,"2,341.50","2,344.00","2,315.05","2,359.25","2,326.00","2,322.70","2,324.06","2,856.15","2,180.00","61,53,681","14,30,15,40,668.50","2,57,596"
2023-03-13,EQ,"2,329.00","2,344.00","2,275.00","2,322.70","2,288.00","2,284.50","2,307.72","2,856.15","2,275.00","58,94,088","13,60,19,04,297.45","2,56,526"
2023-03-14,EQ,"2,280.00","2,304.95","2,269.05","2,284.50","2,279.00","2,275.95","2,285.47","2,856.15","2,269.05","73,96,699","16,90,49,04,240.65","2,66,523"
2023-03-15,EQ,"2,284.10","2,298.30","2,227.40","2,275.95","2,237.45","2,237.05","2,263.32","2,856.15","2,227.40","1,00,27,725","22,69,59,25,219.15","3,71,953"
2023-03-16,EQ,"2,243.00","2,254.00","2,202.20","2,237.05","2,229.50","2,225.90","2,229.58","2,856.15","2,202.20","84,74,595","18,89,47,58,462.15","3,66,871"
2023-03-17,EQ,"2,244.75","2,251.95","2,212.70","2,225.90","2,224.40","2,223.10","2,226.05","2,856.15","2,202.20","1,56,97,554","34,94,35,97,049.60","3,02,341"
2023-03-20,EQ,"2,215.00","2,220.00","2,180.00","2,223.10","2,211.15","2,201.25","2,194.09","2,856.15","2,180.00","90,10,595","19,77,00,27,745.25","3,69,095"
2023-03-21,EQ,"2,218.95","2,274.00","2,217.00","2,201.25","2,272.00","2,269.70","2,256.48","2,856.15","2,180.00","98,76,263","22,28,55,72,145.65","3,42,611"
2023-03-22,EQ,"2,285.00","2,291.45","2,270.00","2,269.70","2,274.30","2,276.60","2,281.22","2,856.15","2,180.00","50,39,622","11,49,64,91,661.40","1,95,193"
2023-03-23,EQ,"2,268.00","2,269.90","2,243.05","2,276.60","2,247.60","2,247.80","2,253.68","2,856.15","2,180.00","74,99,082","16,90,05,52,054.30","1,87,678"
2023-03-24,EQ,"2,245.25","2,250.00","2,198.00","2,247.80","2,204.90","2,203.30","2,221.83","2,856.15","2,180.00","57,11,497","12,68,99,75,563.60","2,31,777"
2023-03-27,EQ,"2,217.50","2,254.00","2,200.20","2,203.30","2,238.80","2,237.55","2,237.36","2,856.15","2,180.00","64,86,068","14,51,16,43,743.50","2,17,981"
2023-03-28,EQ,"2,245.00","2,256.50","2,237.00","2,237.55","2,247.05","2,248.00","2,246.61","2,856.15","2,180.00","58,04,018","13,03,93,73,592.90","2,00,011"
2023-03-29,EQ,"2,239.00","2,244.80","2,211.10","2,248.00","2,242.20","2,234.70","2,228.64","2,856.15","2,180.00","86,78,073","19,34,02,93,216.90","2,94,929"
2023-03-31,EQ,"2,255.00","2,343.45","2,254.70","2,234.70","2,330.95","2,331.05","2,315.77","2,856.15","2,180.00","1,30,01,005","30,10,73,14,074.90","4,46,320"
2023-04-03,EQ,"2,345.00","2,349.00","2,315.00","2,331.05","2,331.05","2,331.45","2,327.86","2,856.15","2,180.00","47,50,238","11,05,78,79,559.90","1,92,147"
