Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,67.0,67.4,62.85,65.05,63.2,63.1,64.35,84.1,29.0,"1,10,41,811","71,05,08,093.60","49,350"
2023-02-27,EQ,62.9,63.1,61.1,63.1,61.45,61.25,61.51,84.1,29.05,"51,07,341","31,41,47,823.45","23,590"
2023-02-28,EQ,61.45,61.6,57.15,61.25,57.5,57.45,58.71,84.1,29.05,"1,26,72,298","74,40,26,386.65","59,666"
2023-03-01,EQ,57.5,59.4,56.05,57.45,58.65,58.5,58.06,84.1,29.05,"1,37,57,147","79,86,81,984.65","51,043"
2023-03-02,EQ,62.0,67.5,61.8,58.5,65.7,65.65,65.23,84.1,29.05,"8,99,21,655","5,86,56,64,714.15","1,97,785"
2023-03-03,EQ,66.9,68.4,64.65,65.65,65.8,65.8,66.08,84.1,29.05,"3,00,85,137","1,98,78,86,129.05","83,036"
2023-03-06,EQ,66.0,66.8,65.15,65.8,65.3,65.4,65.83,84.1,29.05,"1,24,89,978","82,22,00,024.50","41,361"
2023-03-08,EQ,65.25,65.25,63.8,65.4,63.95,64.0,64.14,84.1,29.05,"83,26,899","53,41,23,730.25","29,298"
2023-03-09,EQ,64.15,66.9,63.85,64.0,66.3,66.2,65.63,84.1,29.05,"1,79,99,131","1,18,12,41,850.05","50,179"
2023-03-10,EQ,65.9,67.3,64.75,66.2,66.5,66.6,66.18,84.1,29.05,"1,46,85,079","97,18,16,072.55","38,108"
2023-03-13,EQ,66.5,66.6,63.6,66.6,63.9,63.95,65.01,84.1,29.05,"82,35,118","53,53,79,000.15","31,834"
2023-03-14,EQ,63.05,64.25,62.05,63.95,63.35,63.3,63.03,84.1,29.05,"88,85,622","56,00,52,618.70","30,109"
2023-03-15,EQ,64.0,64.65,62.2,63.3,62.55,62.65,63.5,84.1,29.05,"54,84,970","34,83,12,007.20","20,327"
2023-03-16,EQ,62.4,62.45,60.3,62.65,62.1,62.0,61.49,84.1,29.05,"66,03,537","40,60,53,384.15","27,478"
2023-03-17,EQ,64.0,64.6,62.65,62.0,62.85,62.95,63.59,84.1,29.05,"1,05,72,194","67,23,28,806.75","31,605"
2023-03-20,EQ,63.75,64.85,63.65,62.95,64.7,64.6,64.15,84.1,29.05,"1,46,11,658","93,73,08,752.25","42,003"
2023-03-21,EQ,65.6,65.9,63.5,64.6,63.75,64.15,65.0,84.1,29.05,"79,22,128","51,49,53,560.85","26,506"
2023-03-22,EQ,64.1,65.85,63.7,64.15,65.55,65.6,65.06,84.1,29.05,"83,52,816","54,34,24,481.55","26,237"
2023-03-23,EQ,65.3,65.4,64.5,65.6,64.8,64.7,64.84,84.1,29.05,"43,43,060","28,16,05,640.75","18,109"
2023-03-24,EQ,65.7,66.2,64.25,64.7,64.65,64.75,65.35,84.1,29.05,"1,20,29,374","78,61,69,395.25","36,500"
2023-03-27,EQ,65.35,67.15,63.7,64.75,66.5,66.5,65.87,84.1,29.05,"1,52,00,230","1,00,12,97,705.85","45,306"
2023-03-28,EQ,66.7,66.95,64.6,66.5,65.9,66.2,65.67,84.1,29.05,"85,72,136","56,29,59,267.20","29,124"
2023-03-29,EQ,65.95,67.4,65.2,66.2,67.15,67.05,66.41,84.1,29.05,"82,58,998","54,85,13,100.25","26,855"
2023-03-31,EQ,67.9,69.7,67.3,67.05,68.6,68.6,68.71,84.1,29.05,"1,62,82,805","1,11,88,70,652.10","43,639"
2023-04-03,EQ,70.0,76.2,70.0,68.6,75.75,75.35,73.71,84.1,29.05,"5,31,79,154","3,92,00,08,998.40","1,26,163"
2023-04-05,EQ,76.65,77.6,74.1,75.35,75.1,75.2,75.47,84.1,29.05,"2,92,91,754","2,21,06,99,695.40","93,223"
2023-04-06,EQ,74.25,74.7,73.1,75.2,73.6,73.9,74.14,84.1,29.05,"1,40,57,553","1,04,22,60,402.55","40,521"
2023-04-10,EQ,74.1,74.85,72.85,73.9,74.2,74.3,73.98,84.1,29.05,"1,28,34,318","94,95,02,560.05","39,341"
2023-04-11,EQ,74.4,74.6,73.25,74.3,73.65,73.5,73.83,84.1,29.05,"58,99,954","43,55,89,753.00","20,066"
2023-04-12,EQ,73.7,74.2,72.5,73.5,72.75,72.75,73.22,84.1,29.05,"73,11,924","53,54,09,373.45","21,744"
2023-04-13,EQ,73.2,74.9,73.1,72.75,73.55,73.55,73.94,84.1,29.05,"1,01,90,008","75,34,89,631.35","29,963"
2023-04-17,EQ,73.45,73.65,72.55,73.55,73.2,73.1,73.06,84.1,29.05,"44,23,677","32,31,74,312.00","18,285"
2023-04-18,EQ,73.25,77.2,73.25,73.1,74.95,75.0,75.64,84.1,29.05,"2,06,65,863","1,56,32,36,324.80","56,834"
2023-04-19,EQ,75.4,75.8,74.1,75.0,74.6,74.45,74.92,84.1,29.05,"79,03,694","59,21,81,208.60","24,927"
2023-04-20,EQ,74.9,77.8,74.4,74.45,77.7,77.1,76.49,84.1,29.05,"2,75,29,013","2,10,57,56,833.85","63,681"
2023-04-21,EQ,78.95,79.75,76.7,77.1,76.9,77.5,78.45,84.1,29.05,"2,66,06,072","2,08,72,71,802.40","64,736"
2023-04-24,EQ,77.5,88.75,76.8,77.5,88.35,87.75,84.55,88.75,29.05,"12,41,86,965","10,50,02,26,582.75","2,48,456"
2023-04-25,EQ,88.7,105.3,88.35,87.75,105.3,104.6,96.88,105.3,29.05,"26,57,83,162","25,74,94,54,718.80","5,25,348"
2023-04-26,EQ,108.05,114.7,100.25,104.6,103.3,104.75,107.44,114.7,29.05,"39,58,00,528","42,52,46,65,530.15","9,44,784"
2023-04-27,EQ,104.95,106.0,100.75,104.75,103.1,103.2,103.57,114.7,29.05,"9,52,31,203","9,86,34,41,596.85","2,58,660"
2023-04-28,EQ,104.25,111.0,103.8,103.2,107.15,107.55,108.19,114.7,29.05,"10,96,82,443","11,86,68,61,255.40","2,71,169"
2023-05-02,EQ,112.5,118.3,112.5,107.55,118.3,118.3,116.61,118.3,29.05,"9,27,37,237","10,81,43,73,720.25","2,23,858"
2023-05-03,EQ,122.5,130.1,121.55,118.3,130.1,130.1,127.36,130.1,29.05,"14,10,43,167","17,96,27,25,493.15","3,45,956"
2023-05-04,EQ,135.75,139.45,124.3,130.1,129.0,129.3,130.21,139.45,29.05,"10,87,87,376","14,16,49,60,468.40","4,34,849"
2023-05-05,EQ,128.5,142.2,126.65,129.3,142.2,141.65,135.54,142.2,29.05,"8,99,30,074","12,18,88,00,638.55","2,87,135"
2023-05-08,EQ,142.0,144.4,134.6,141.65,134.6,135.0,138.43,144.4,29.05,"5,47,17,503","7,57,44,07,553.20","2,61,476"
2023-05-09,EQ,135.0,137.45,128.25,135.0,128.25,128.25,130.86,144.4,29.05,"2,87,50,628","3,76,22,73,841.15","1,42,729"
2023-05-10,EQ,123.2,124.7,121.85,128.25,121.85,121.85,122.24,144.4,29.05,"40,63,117","49,66,71,474.65","28,975"
2023-05-11,EQ,120.5,127.9,119.0,121.85,126.35,126.7,126.12,144.4,29.05,"5,14,43,098","6,48,78,98,912.80","1,70,243"
2023-05-12,EQ,127.4,128.65,120.4,126.7,120.4,120.4,122.13,144.4,29.05,"2,18,12,742","2,66,39,22,911.25","1,23,586"
2023-05-15,EQ,123.5,124.95,117.1,120.4,120.75,120.7,121.45,144.4,29.05,"2,26,29,191","2,74,83,66,606.15","1,21,426"
2023-05-16,EQ,121.85,122.35,116.7,120.7,118.9,118.75,119.2,144.4,29.05,"1,95,15,392","2,32,61,82,673.50","93,271"
2023-05-17,EQ,119.5,124.4,119.15,118.75,121.95,121.85,122.33,144.4,29.05,"2,70,47,616","3,30,86,07,299.90","1,00,632"
2023-05-18,EQ,123.7,124.2,119.15,121.85,121.2,120.85,121.57,144.4,29.05,"1,11,39,331","1,35,42,42,770.55","59,894"
2023-05-19,EQ,121.7,122.4,115.2,120.85,116.7,116.2,117.59,144.4,29.05,"1,55,19,596","1,82,48,96,431.75","83,957"
2023-05-22,EQ,116.5,119.5,113.85,116.2,115.95,115.9,116.82,144.4,29.05,"2,21,10,096","2,58,28,37,659.85","98,194"
2023-05-23,EQ,116.25,116.8,112.65,115.9,112.85,113.0,114.16,144.4,29.05,"1,32,43,599","1,51,19,12,045.35","74,940"
2023-05-24,EQ,112.2,118.65,111.0,113.0,115.2,115.0,116.44,144.4,29.05,"2,51,25,303","2,92,56,02,400.70","89,481"
2023-05-25,EQ,115.7,116.35,113.7,115.0,114.8,114.85,115.04,144.4,29.05,"85,86,978","98,78,16,213.15","41,113"
2023-05-26,EQ,115.65,118.2,114.75,114.85,116.15,115.85,116.32,144.4,29.05,"1,14,70,740","1,33,43,20,237.45","50,020"
2023-05-29,EQ,116.95,121.6,116.6,115.85,121.6,121.6,119.84,144.4,29.05,"2,12,55,724","2,54,72,20,325.10","86,462"
2023-05-30,EQ,117.5,119.4,115.55,121.6,115.55,115.55,116.82,144.4,29.05,"2,13,25,891","2,49,12,48,542.75","82,714"
2023-05-31,EQ,112.65,121.3,110.6,115.55,121.3,120.0,116.26,144.4,29.05,"3,76,88,329","4,38,16,71,304.95","1,27,167"
2023-06-01,EQ,122.95,123.45,118.05,120.0,118.2,118.45,119.88,144.4,29.05,"1,57,17,749","1,88,41,88,406.75","67,679"
2023-06-02,EQ,119.3,119.75,117.15,118.45,117.75,117.95,118.34,144.4,29.05,"78,03,213","92,34,17,777.50","37,235"
2023-06-05,EQ,116.1,119.1,116.1,117.95,117.15,116.95,117.5,144.4,29.05,"1,11,24,037","1,30,71,01,853.80","49,031"
2023-06-06,EQ,117.25,121.0,116.9,116.95,119.55,119.85,119.16,144.4,29.05,"1,72,58,863","2,05,65,04,906.85","61,095"
2023-06-07,EQ,121.4,132.2,121.0,119.85,126.8,127.1,128.42,144.4,29.05,"7,77,30,167","9,98,23,77,717.40","2,99,770"
