Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,524.2,527.5,517.6,521.0,521.5,521.05,522.25,629.55,425.0,"1,22,53,035","6,39,91,75,579.85","1,74,036"
2023-02-27,EQ,521.1,529.8,519.0,521.05,527.5,527.7,525.49,629.55,425.0,"1,10,48,799","5,80,59,88,068.60","1,75,532"
2023-02-28,EQ,527.25,528.45,521.05,527.7,522.45,522.8,523.97,629.55,425.0,"1,57,68,010","8,26,20,22,278.80","1,38,340"
2023-03-01,EQ,523.25,537.4,523.1,522.8,536.25,536.7,532.39,629.55,425.0,"1,35,10,198","7,19,27,17,063.95","2,47,974"
2023-03-02,EQ,535.95,539.9,532.5,536.7,534.5,533.75,535.45,629.55,425.0,"1,03,76,913","5,55,62,84,341.95","1,50,813"
2023-03-03,EQ,542.0,564.3,541.75,533.75,561.0,561.2,557.8,629.55,425.0,"2,76,56,538","15,42,68,80,804.45","3,01,105"
2023-03-06,EQ,564.9,567.9,559.0,561.2,561.8,561.7,563.48,629.55,425.0,"1,61,62,268","9,10,70,45,455.25","1,99,841"
2023-03-08,EQ,560.0,565.5,556.45,561.7,564.0,564.8,561.23,629.55,425.0,"1,26,37,578","7,09,26,00,028.60","1,63,357"
2023-03-09,EQ,564.75,565.75,558.0,564.8,558.7,558.9,561.63,629.55,425.0,"89,93,423","5,05,09,51,266.70","1,29,019"
2023-03-10,EQ,553.1,554.95,545.0,558.9,547.65,547.35,548.4,629.55,425.0,"1,15,22,371","6,31,89,23,508.05","2,23,557"
2023-03-13,EQ,547.0,553.15,528.45,547.35,529.95,530.0,537.53,629.55,430.7,"1,43,73,729","7,72,63,10,525.70","2,11,599"
2023-03-14,EQ,527.65,532.8,520.0,530.0,526.0,525.4,524.87,629.55,430.7,"1,47,50,800","7,74,22,94,996.90","2,62,481"
2023-03-15,EQ,529.8,532.0,515.55,525.4,517.8,517.55,524.47,629.55,430.7,"1,12,82,329","5,91,72,58,639.80","2,52,252"
2023-03-16,EQ,518.4,529.35,514.3,517.55,525.65,524.5,521.02,629.55,430.7,"2,00,40,008","10,44,13,35,063.95","2,90,873"
2023-03-17,EQ,528.65,531.6,520.1,524.5,531.0,529.8,526.55,629.55,430.7,"1,87,87,379","9,89,25,76,528.70","1,85,372"
2023-03-20,EQ,526.6,526.6,515.0,529.8,520.0,519.2,518.98,629.55,430.7,"1,42,75,315","7,40,85,42,782.55","2,51,690"
2023-03-21,EQ,522.0,523.45,516.45,519.2,521.75,521.85,520.33,629.55,430.7,"2,94,85,180","15,34,19,48,084.50","2,95,453"
2023-03-22,EQ,522.2,527.0,520.1,521.85,521.55,521.55,523.63,629.55,430.7,"1,16,19,538","6,08,42,88,023.15","1,55,900"
2023-03-23,EQ,519.4,521.0,511.5,521.55,512.0,512.75,517.21,629.55,430.7,"2,20,97,792","11,42,91,12,837.45","2,61,069"
2023-03-24,EQ,514.5,514.95,503.45,512.75,505.5,505.35,510.24,629.55,430.7,"1,44,16,984","7,35,61,53,435.65","1,94,898"
2023-03-27,EQ,507.0,514.15,501.55,505.35,509.0,510.15,509.28,629.55,430.7,"1,56,74,218","7,98,26,18,562.65","2,24,703"
2023-03-28,EQ,511.45,511.75,503.85,510.15,509.0,508.1,507.96,629.55,430.7,"1,58,33,599","8,04,28,52,927.30","1,99,721"
2023-03-29,EQ,509.0,518.0,506.3,508.1,517.0,516.5,512.21,629.55,430.7,"2,42,03,789","12,39,74,77,065.00","2,16,794"
2023-03-31,EQ,520.65,524.9,519.35,516.5,523.0,523.75,522.06,629.55,430.7,"1,73,56,345","9,06,11,33,003.00","2,10,617"
2023-04-03,EQ,524.75,528.5,522.1,523.75,525.6,526.75,525.94,629.55,430.7,"1,42,10,949","7,47,41,13,454.40","1,37,769"
2023-04-05,EQ,527.0,527.6,519.05,526.75,523.5,523.0,522.57,629.55,430.7,"1,35,74,801","7,09,38,06,223.30","1,74,172"
2023-04-06,EQ,524.0,533.7,521.65,523.0,527.7,527.65,528.66,629.55,430.7,"2,51,25,879","13,28,29,81,142.75","2,32,693"
2023-04-10,EQ,529.25,530.4,524.4,527.65,525.7,526.3,527.28,629.55,430.7,"1,73,35,453","9,14,06,93,489.70","1,38,261"
2023-04-11,EQ,530.85,535.7,527.15,526.3,532.5,532.1,533.07,629.55,430.7,"2,64,14,406","14,08,08,36,565.45","1,76,416"
2023-04-12,EQ,533.2,534.0,526.0,532.1,529.15,528.2,529.65,629.55,430.7,"2,12,92,441","11,27,75,64,811.00","1,70,950"
2023-04-13,EQ,529.3,534.25,527.15,528.2,533.4,532.95,530.4,629.55,430.7,"2,85,97,560","15,16,82,46,670.05","1,68,188"
2023-04-17,EQ,528.0,545.0,528.0,532.95,544.4,544.0,539.11,629.55,430.7,"3,24,76,990","17,50,87,92,556.85","2,29,953"
2023-04-18,EQ,545.35,548.5,540.5,544.0,545.25,545.85,545.32,629.55,430.7,"2,22,83,456","12,15,16,54,395.50","2,18,269"
2023-04-19,EQ,544.0,547.5,538.25,545.85,539.4,540.3,543.32,629.55,430.7,"2,11,56,372","11,49,47,63,710.95","1,42,208"
2023-04-20,EQ,541.2,545.45,536.65,540.3,544.35,544.8,541.56,629.55,430.7,"2,55,88,577","13,85,76,34,831.90","1,46,793"
2023-04-21,EQ,545.0,546.4,539.7,544.8,542.3,543.15,542.35,629.55,430.7,"2,25,99,418","12,25,67,95,887.05","1,88,920"
2023-04-24,EQ,543.8,555.55,543.5,543.15,553.8,554.6,550.47,629.55,430.7,"2,33,35,611","12,84,55,92,513.85","2,10,456"
2023-04-25,EQ,555.0,567.9,555.0,554.6,561.35,561.8,562.34,629.55,430.7,"3,81,42,390","21,44,89,99,021.65","2,50,488"
2023-04-26,EQ,562.0,567.0,556.45,561.8,567.0,566.35,562.67,629.55,430.7,"2,31,43,882","13,02,24,69,078.50","1,95,651"
2023-04-27,EQ,565.0,567.4,561.1,566.35,564.45,564.75,564.04,629.55,430.7,"1,78,45,169","10,06,53,43,831.20","2,13,129"
