Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,"3,273.30","3,278.05","3,220.00","3,257.00","3,252.00","3,246.50","3,245.05","3,313.80","2,150.10","1,60,499","52,08,27,941.35","14,153"
2023-02-27,EQ,"3,246.50","3,260.30","3,162.30","3,246.50","3,207.00","3,201.90","3,193.02","3,313.80","2,150.10","3,06,078","97,73,14,528.00","29,836"
2023-02-28,EQ,"3,217.95","3,264.35","3,180.00","3,201.90","3,244.00","3,246.60","3,229.08","3,313.80","2,150.10","3,93,706","1,27,13,07,318.60","29,018"
2023-03-01,EQ,"3,258.00","3,266.70","3,230.25","3,246.60","3,265.00","3,257.15","3,249.34","3,313.80","2,150.10","2,20,349","71,59,88,197.25","25,009"
2023-03-02,EQ,"3,260.00","3,260.00","3,120.00","3,257.15","3,126.00","3,132.05","3,162.59","3,313.80","2,150.10","5,65,788","1,78,93,56,395.35","52,716"
2023-03-03,EQ,"3,155.00","3,183.10","3,132.00","3,132.05","3,160.05","3,163.60","3,157.43","3,313.80","2,150.10","3,02,396","95,47,94,211.95","24,748"
2023-03-06,EQ,"3,176.00","3,228.60","3,169.55","3,163.60","3,214.00","3,222.15","3,207.09","3,313.80","2,150.10","2,31,496","74,24,28,739.95","23,471"
2023-03-08,EQ,"3,214.00","3,294.00","3,205.50","3,222.15","3,293.00","3,287.45","3,260.84","3,313.80","2,150.10","3,12,648","1,01,94,95,944.70","30,530"
2023-03-09,EQ,"3,295.00","3,321.80","3,285.70","3,287.45","3,288.20","3,299.30","3,302.96","3,321.80","2,150.10","3,23,171","1,06,74,20,660.05","23,411"
2023-03-10,EQ,"3,260.00","3,322.65","3,247.05","3,299.30","3,315.10","3,309.05","3,287.92","3,322.65","2,150.10","2,18,702","71,90,73,929.95","20,292"
2023-03-13,EQ,"3,318.80","3,319.95","3,244.75","3,309.05","3,267.85","3,269.95","3,272.25","3,322.65","2,150.10","2,75,162","90,04,00,061.80","15,693"
2023-03-14,EQ,"3,264.90","3,276.55","3,221.70","3,269.95","3,262.55","3,252.90","3,243.67","3,322.65","2,150.10","2,45,234","79,54,57,201.45","18,278"
2023-03-15,EQ,"3,284.80","3,310.15","3,265.00","3,252.90","3,271.00","3,280.60","3,288.78","3,322.65","2,150.10","2,62,448","86,31,32,445.85","25,468"
2023-03-16,EQ,"3,271.60","3,274.80","3,203.90","3,280.60","3,264.10","3,263.80","3,243.29","3,322.65","2,150.10","2,25,349","73,08,72,376.80","24,935"
2023-03-17,EQ,"3,280.00","3,317.00","3,262.70","3,263.80","3,305.00","3,290.40","3,290.91","3,322.65","2,150.10","3,64,837","1,20,06,45,239.45","27,551"
