Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,970.60,983.35,963.70,972.50,968.30,970.50,972.71,"1,072.15",789.9,"18,23,835","1,77,40,60,168.20","1,14,052"
2023-02-27,EQ,970.50,972.55,960.05,970.50,963.90,965.05,965.84,"1,072.15",789.9,"15,48,675","1,49,57,69,223.80","63,595"
2023-02-28,EQ,969.00,976.00,954.00,965.05,958.40,956.60,962.24,"1,072.15",789.9,"38,19,644","3,67,54,19,716.70","1,17,135"
2023-03-01,EQ,951.00,966.05,951.00,956.60,959.95,959.30,960.92,"1,072.15",789.9,"18,62,513","1,78,97,24,304.45","66,930"
2023-03-02,EQ,960.00,967.00,951.10,959.30,965.20,965.30,960.26,"1,072.15",789.9,"15,10,195","1,45,01,73,381.15","73,105"
2023-03-03,EQ,967.05,969.75,958.15,965.30,968.40,966.90,964.72,"1,072.15",789.9,"22,15,832","2,13,76,51,988.35","79,986"
2023-03-06,EQ,970.00,979.50,963.80,966.90,965.25,965.25,971.28,"1,072.15",789.9,"19,89,152","1,93,20,14,281.20","90,386"
2023-03-08,EQ,960.00,965.00,947.00,965.25,958.00,957.50,952.53,"1,072.15",789.9,"47,34,482","4,50,97,57,569.95","1,26,942"
2023-03-09,EQ,957.50,959.40,947.15,957.50,954.00,952.70,951.25,"1,072.15",789.9,"29,94,556","2,84,85,71,556.50","87,785"
2023-03-10,EQ,946.50,957.50,946.10,952.70,955.00,955.55,951.57,"1,072.15",789.9,"20,01,392","1,90,44,61,088.90","47,062"
2023-03-13,EQ,955.10,959.90,947.55,955.55,953.20,954.10,953.52,"1,072.15",789.9,"14,12,106","1,34,64,69,654.10","43,842"
2023-03-14,EQ,953.50,963.75,950.30,954.10,959.60,957.20,958.89,"1,072.15",789.9,"18,79,695","1,80,24,12,819.20","72,369"
2023-03-15,EQ,952.00,964.90,949.35,957.20,952.00,951.40,955.16,"1,072.15",789.9,"21,89,113","2,09,09,46,252.60","77,914"
2023-03-16,EQ,955.25,970.00,951.70,951.40,968.70,967.40,964.42,"1,072.15",789.9,"22,28,093","2,14,88,14,484.90","93,683"
2023-03-17,EQ,968.55,968.70,952.75,967.40,957.10,957.70,958.92,"1,072.15",789.9,"22,18,687","2,12,75,50,876.65","68,259"
2023-03-20,EQ,950.00,962.65,947.35,957.70,961.25,961.20,954.68,"1,072.15",789.9,"19,55,757","1,86,71,30,019.50","75,915"
2023-03-21,EQ,965.00,965.00,953.25,961.20,957.00,956.20,958.03,"1,072.15",789.9,"16,87,239","1,61,64,23,750.90","76,487"
2023-03-22,EQ,957.00,974.40,956.60,956.20,971.80,972.05,965.22,"1,072.15",789.9,"16,26,129","1,56,95,72,053.80","49,357"
2023-03-23,EQ,975.00,982.95,972.00,972.05,977.95,977.65,978.50,"1,072.15",789.9,"18,57,923","1,81,79,81,219.45","52,643"
2023-03-24,EQ,977.60,979.00,968.00,977.65,973.00,972.85,973.91,"1,072.15",789.9,"15,34,322","1,49,42,88,345.25","65,531"
2023-03-27,EQ,980.00,990.95,963.00,972.85,981.20,983.45,983.03,"1,072.15",789.9,"24,73,222","2,43,12,39,232.85","73,823"
2023-03-28,EQ,987.00,987.80,976.30,983.45,983.80,984.20,981.61,"1,072.15",789.9,"13,94,675","1,36,90,24,857.80","64,605"
2023-03-29,EQ,985.65,996.50,979.00,984.20,992.00,991.90,987.98,"1,072.15",789.9,"30,45,795","3,00,91,85,891.50","79,811"
2023-03-31,EQ,995.20,995.20,981.40,991.90,982.20,983.10,985.70,"1,072.15",789.9,"18,22,710","1,79,66,44,768.80","1,05,854"
2023-04-03,EQ,981.00,988.00,976.20,983.10,979.90,979.05,979.86,"1,072.15",789.9,"16,71,570","1,63,79,04,001.00","47,912"
2023-04-05,EQ,985.00,999.00,975.30,979.05,997.00,997.15,987.77,"1,072.15",789.9,"15,44,121","1,52,52,38,632.45","71,192"
2023-04-06,EQ,997.15,"1,014.00",993.40,997.15,"1,011.05","1,012.10","1,007.49","1,072.15",789.9,"14,23,990","1,43,46,52,060.20","55,333"
2023-04-10,EQ,"1,015.00","1,016.95","1,006.65","1,012.10","1,008.40","1,008.60","1,011.34","1,072.15",789.9,"11,10,974","1,12,35,70,962.35","46,641"
2023-04-11,EQ,"1,008.60","1,022.25","1,007.55","1,008.60","1,009.55","1,009.25","1,014.34","1,072.15",789.9,"17,86,844","1,81,24,68,160.55","81,937"
2023-04-12,EQ,"1,015.50","1,020.20","1,005.25","1,009.25","1,018.80","1,016.70","1,011.67","1,072.15",789.9,"32,46,327","3,28,42,17,789.00","75,056"
2023-04-13,EQ,"1,022.30","1,023.85","1,002.00","1,016.70","1,003.75","1,003.50","1,007.12","1,072.15",789.9,"14,45,693","1,45,59,92,867.70","54,067"
2023-04-17,EQ,999.45,"1,009.90",995.05,"1,003.50",999.00,998.70,999.67,"1,072.15",789.9,"17,68,817","1,76,82,40,346.50","1,11,052"
2023-04-18,EQ,999.00,"1,006.25",988.30,998.70,"1,006.00","1,004.80",996.83,"1,072.15",789.9,"12,17,390","1,21,35,30,740.90","46,398"
2023-04-19,EQ,"1,003.50","1,009.40",993.00,"1,004.80",995.00,995.50,999.58,"1,072.15",789.9,"21,74,563","2,17,36,60,398.65","70,970"
2023-04-20,EQ,999.10,"1,002.10",983.75,995.50,988.00,987.75,990.90,"1,072.15",789.9,"16,38,094","1,62,31,91,706.90","59,935"
2023-04-21,EQ,994.30,994.30,984.95,987.75,986.90,989.45,989.16,"1,072.15",789.9,"12,16,575","1,20,33,87,148.60","40,802"
2023-04-24,EQ,975.00,982.50,959.25,989.45,980.05,979.15,969.25,"1,072.15",789.9,"34,85,350","3,37,81,65,387.20","1,37,148"
2023-04-25,EQ,980.00,982.90,967.00,979.15,972.20,972.50,972.70,"1,072.15",789.9,"23,77,746","2,31,28,32,100.40","84,481"
2023-04-26,EQ,975.80,976.80,963.20,972.50,971.90,971.25,967.50,"1,072.15",789.9,"29,11,028","2,81,64,25,935.30","52,256"
2023-04-27,EQ,968.00,981.60,963.55,971.25,979.60,978.70,968.38,"1,072.15",789.9,"27,77,173","2,68,93,56,030.45","64,780"
2023-04-28,EQ,984.95,992.50,979.15,978.70,986.45,987.65,988.20,"1,072.15",789.9,"20,09,995","1,98,62,84,361.00","52,929"
2023-05-02,EQ,987.65,988.90,970.30,987.65,972.40,973.05,976.20,"1,072.15",789.9,"31,52,556","3,07,75,29,337.95","92,725"
2023-05-03,EQ,970.50,972.40,959.50,973.05,962.60,963.60,965.02,"1,072.15",789.9,"30,87,472","2,97,94,69,945.20","1,12,036"
2023-05-04,EQ,967.65,975.90,965.15,963.60,974.00,974.00,971.20,"1,072.15",789.9,"11,97,830","1,16,33,38,179.10","42,591"
2023-05-05,EQ,974.00,977.25,967.85,974.00,970.80,970.45,972.20,"1,072.15",789.9,"10,62,645","1,03,31,04,234.70","43,693"
2023-05-08,EQ,962.00,969.00,961.00,970.45,961.90,961.85,964.48,"1,072.15",789.9,"26,76,958","2,58,18,82,515.20","76,995"
2023-05-09,EQ,961.90,966.85,949.50,961.85,956.80,957.45,953.75,"1,072.15",789.9,"69,02,170","6,58,29,58,419.35","1,35,878"
2023-05-10,EQ,957.00,959.95,951.60,957.45,954.00,953.80,954.11,"1,072.15",789.9,"21,80,917","2,08,08,41,547.95","58,497"
2023-05-11,EQ,953.80,963.90,952.00,953.80,961.50,961.05,958.54,"1,072.15",789.9,"12,96,607","1,24,28,51,614.10","50,366"
2023-05-12,EQ,961.00,963.10,952.00,961.05,953.65,956.00,957.72,"1,072.15",789.9,"20,14,927","1,92,97,29,971.85","62,793"
2023-05-15,EQ,953.00,955.75,948.05,956.00,954.00,953.00,951.84,"1,072.15",789.9,"18,14,239","1,72,68,71,573.10","61,574"
2023-05-16,EQ,953.00,962.55,938.00,953.00,939.40,940.95,948.69,"1,072.15",789.9,"26,25,163","2,49,04,73,944.30","72,636"
