Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,112.5,112.9,109.55,112.05,109.85,109.75,110.47,"1,386.70",95.0,"3,43,26,940","3,79,20,36,662.95","1,54,954"
2023-02-27,EQ,109.8,110.05,105.15,109.75,106.5,106.1,106.67,"1,386.70",95.0,"5,62,17,189","5,99,65,71,618.55","2,76,383"
2023-02-28,EQ,106.85,107.05,103.55,106.1,104.1,103.95,104.68,"1,386.70",95.0,"7,65,40,448","8,01,22,43,048.10","2,73,452"
2023-03-01,EQ,104.7,107.1,104.5,103.95,105.7,105.5,105.57,"1,386.70",95.0,"7,61,75,319","8,04,18,59,455.85","2,12,265"
2023-03-02,EQ,106.05,106.9,104.35,105.5,104.85,104.65,105.14,"1,386.70",95.0,"5,52,76,248","5,81,18,26,485.25","2,00,155"
2023-03-03,EQ,106.0,107.45,105.0,104.65,107.45,107.0,105.92,"1,386.70",95.0,"11,71,75,295","12,41,09,56,853.75","2,12,882"
2023-03-06,EQ,107.5,107.6,105.0,107.0,105.85,105.65,106.04,"1,386.70",95.0,"10,68,68,143","11,33,19,46,650.00","2,35,575"
2023-03-08,EQ,105.3,106.9,104.0,105.65,106.4,106.5,106.1,"1,386.70",95.0,"4,39,39,583","4,66,18,90,631.85","1,76,234"
2023-03-09,EQ,107.85,108.95,107.5,106.5,108.2,108.2,108.41,"1,386.70",95.0,"5,19,67,449","5,63,39,85,537.85","1,99,963"
2023-03-10,EQ,107.0,108.35,106.6,108.2,108.15,108.1,107.74,"1,386.70",95.0,"4,76,99,832","5,13,89,44,228.45","1,54,176"
2023-03-13,EQ,108.25,109.0,106.35,108.1,107.15,106.8,107.66,"1,386.70",95.0,"3,45,52,596","3,72,00,63,116.85","1,43,686"
2023-03-14,EQ,107.0,108.55,106.2,106.8,106.55,106.4,107.38,"1,386.70",95.0,"4,85,84,984","5,21,71,99,866.90","1,66,949"
2023-03-15,EQ,107.5,109.15,107.4,106.4,108.7,108.65,108.53,"1,386.70",95.0,"3,89,30,902","4,22,53,15,557.85","1,50,243"
2023-03-16,EQ,107.25,107.25,103.7,108.65,105.3,105.05,104.83,"1,386.70",95.0,"8,10,88,340","8,50,01,65,789.10","2,76,188"
2023-03-17,EQ,106.45,107.35,105.0,105.05,107.15,107.0,106.25,"1,386.70",95.0,"4,89,62,238","5,20,24,72,538.40","1,65,069"
