Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,"7,212.85","7,241.80","7,165.90","7,176.95","7,224.00","7,216.70","7,204.69","7,492.00","5,157.05","2,06,602","1,48,85,02,563.20","19,930"
2023-02-27,EQ,"7,220.00","7,235.00","7,136.45","7,216.70","7,214.90","7,186.65","7,193.27","7,492.00","5,157.05","2,95,092","2,12,26,77,224.85","31,638"
2023-02-28,EQ,"7,182.05","7,283.95","7,162.20","7,186.65","7,259.00","7,261.30","7,230.85","7,492.00","5,157.05","4,29,256","3,10,38,85,444.05","47,093"
2023-03-01,EQ,"7,227.00","7,344.00","7,220.00","7,261.30","7,270.35","7,274.15","7,283.69","7,492.00","5,157.05","3,17,216","2,31,05,02,001.90","55,331"
2023-03-02,EQ,"7,274.15","7,330.00","7,252.85","7,274.15","7,288.90","7,289.20","7,295.73","7,492.00","5,157.05","1,80,178","1,31,45,29,444.10","29,472"
2023-03-03,EQ,"7,330.00","7,350.00","7,188.25","7,289.20","7,220.70","7,215.95","7,230.04","7,492.00","5,157.05","4,08,754","2,95,53,06,494.60","57,508"
2023-03-06,EQ,"7,244.00","7,255.50","7,191.00","7,215.95","7,214.95","7,200.60","7,207.71","7,492.00","5,157.05","1,54,817","1,11,58,75,891.75","22,141"
2023-03-08,EQ,"7,214.95","7,283.45","7,187.30","7,200.60","7,270.00","7,267.25","7,232.89","7,492.00","5,157.05","2,37,790","1,71,99,09,091.15","30,699"
2023-03-09,EQ,"7,267.00","7,301.25","7,207.10","7,267.25","7,245.00","7,242.95","7,249.42","7,492.00","5,157.05","1,58,808","1,15,12,66,432.90","21,676"
2023-03-10,EQ,"7,200.00","7,242.95","7,136.40","7,242.95","7,221.40","7,226.40","7,200.81","7,492.00","5,157.05","1,54,319","1,11,12,21,700.90","25,341"
2023-03-13,EQ,"7,225.00","7,258.00","7,054.80","7,226.40","7,090.75","7,075.60","7,134.89","7,492.00","5,157.05","1,76,576","1,25,98,50,360.90","25,951"
2023-03-14,EQ,"7,080.00","7,115.00","6,991.00","7,075.60","7,070.00","7,063.95","7,061.59","7,492.00","5,157.05","2,10,976","1,48,98,26,823.15","30,890"
2023-03-15,EQ,"7,126.00","7,188.00","7,082.20","7,063.95","7,130.00","7,100.75","7,131.60","7,492.00","5,157.05","2,65,536","1,89,36,97,784.95","45,480"
2023-03-16,EQ,"7,135.60","7,149.80","7,076.05","7,100.75","7,140.00","7,104.60","7,110.22","7,492.00","5,157.05","4,59,814","3,26,93,78,723.35","61,036"
2023-03-17,EQ,"7,159.15","7,308.90","7,159.15","7,104.60","7,295.00","7,289.95","7,250.14","7,492.00","5,157.05","3,83,505","2,78,04,64,230.20","46,476"
2023-03-20,EQ,"7,275.00","7,284.40","7,098.00","7,289.95","7,235.80","7,243.20","7,193.77","7,492.00","5,157.05","5,20,041","3,74,10,55,718.30","50,508"
2023-03-21,EQ,"7,243.00","7,360.00","7,237.10","7,243.20","7,350.60","7,352.75","7,317.65","7,492.00","5,157.05","3,50,524","2,56,50,13,696.75","36,676"
2023-03-22,EQ,"7,360.00","7,449.10","7,353.00","7,352.75","7,396.00","7,396.65","7,400.68","7,492.00","5,157.05","3,81,601","2,82,41,08,775.65","60,843"
2023-03-23,EQ,"7,371.00","7,465.00","7,358.45","7,396.65","7,404.00","7,407.95","7,421.21","7,492.00","5,157.05","2,32,908","1,72,84,59,915.90","39,923"
2023-03-24,EQ,"7,404.00","7,431.20","7,327.55","7,407.95","7,380.05","7,405.65","7,381.14","7,492.00","5,157.05","2,28,994","1,69,02,36,340.90","33,884"
2023-03-27,EQ,"7,407.00","7,483.45","7,392.45","7,405.65","7,450.00","7,450.20","7,450.76","7,492.00","5,157.05","2,51,626","1,87,48,03,737.25","32,745"
2023-03-28,EQ,"7,484.00","7,511.90","7,368.35","7,450.20","7,397.30","7,403.10","7,425.42","7,511.90","5,157.05","2,49,783","1,85,47,42,662.10","32,617"
2023-03-29,EQ,"7,419.80","7,600.00","7,400.00","7,403.10","7,548.70","7,570.75","7,521.10","7,600.00","5,157.05","4,45,346","3,34,94,93,503.95","63,998"
2023-03-31,EQ,"7,575.10","7,644.30","7,547.05","7,570.75","7,606.35","7,622.15","7,605.44","7,644.30","5,157.05","3,78,456","2,87,83,25,376.30","70,942"
2023-04-03,EQ,"7,670.90","7,737.00","7,580.10","7,622.15","7,643.00","7,640.50","7,651.70","7,737.00","5,157.05","3,60,584","2,75,90,80,518.75","61,388"
2023-04-05,EQ,"7,575.00","7,699.65","7,575.00","7,640.50","7,699.65","7,691.95","7,662.04","7,737.00","5,157.05","2,33,489","1,78,90,02,699.05","37,989"
2023-04-06,EQ,"7,690.00","7,730.00","7,668.85","7,691.95","7,700.00","7,701.85","7,706.02","7,737.00","5,157.05","2,27,682","1,75,45,21,207.30","30,098"
2023-04-10,EQ,"7,701.85","7,772.00","7,668.00","7,701.85","7,700.00","7,696.25","7,720.42","7,772.00","5,157.05","2,26,983","1,75,24,05,137.80","39,225"
2023-04-11,EQ,"7,715.00","7,793.95","7,715.00","7,696.25","7,740.05","7,741.45","7,748.05","7,793.95","5,157.05","3,54,799","2,74,89,99,774.65","58,837"
2023-04-12,EQ,"7,750.00","7,794.00","7,675.00","7,741.45","7,680.00","7,682.85","7,717.33","7,794.00","5,157.05","2,64,416","2,04,05,85,545.75","41,216"
2023-04-13,EQ,"7,705.05","7,749.00","7,628.45","7,682.85","7,662.00","7,655.25","7,664.60","7,794.00","5,157.05","2,92,568","2,24,24,15,499.60","33,434"
2023-04-17,EQ,"7,655.25","7,824.00","7,645.05","7,655.25","7,748.00","7,742.45","7,764.99","7,824.00","5,157.05","4,88,286","3,79,15,38,029.65","47,998"
2023-04-18,EQ,"7,779.00","7,779.00","7,570.00","7,742.45","7,595.00","7,595.30","7,671.28","7,824.00","5,157.05","4,37,232","3,35,41,28,148.90","42,265"
2023-04-19,EQ,"7,605.00","7,634.00","7,478.50","7,595.30","7,516.00","7,515.90","7,533.89","7,824.00","5,157.05","3,41,302","2,57,13,32,159.60","40,444"
2023-04-20,EQ,"7,572.60","7,600.00","7,445.60","7,515.90","7,470.00","7,475.80","7,493.34","7,824.00","5,157.05","2,63,429","1,97,39,63,524.70","40,407"
2023-04-21,EQ,"7,500.05","7,517.45","7,339.25","7,475.80","7,355.95","7,358.50","7,374.04","7,824.00","5,157.05","3,88,408","2,86,41,37,084.05","45,693"
2023-04-24,EQ,"7,350.00","7,458.00","7,308.55","7,358.50","7,451.15","7,440.55","7,375.66","7,824.00","5,157.05","5,13,771","3,78,94,00,802.95","40,387"
2023-04-25,EQ,"7,455.90","7,507.45","7,425.30","7,440.55","7,438.00","7,439.20","7,461.59","7,824.00","5,157.05","2,85,446","2,12,98,82,013.65","28,308"
2023-04-26,EQ,"7,464.00","7,480.00","7,300.00","7,439.20","7,442.00","7,456.90","7,443.76","7,824.00","5,157.05","2,30,254","1,71,39,55,549.25","29,755"
2023-04-27,EQ,"7,459.00","7,508.00","7,436.90","7,456.90","7,505.00","7,500.90","7,481.48","7,824.00","5,157.05","2,05,177","1,53,50,26,735.50","26,112"
2023-04-28,EQ,"7,512.00","7,579.00","7,490.00","7,500.90","7,540.00","7,556.20","7,539.07","7,824.00","5,157.05","4,57,487","3,44,90,25,739.90","50,511"
2023-05-02,EQ,"7,545.50","7,582.00","7,440.00","7,556.20","7,458.00","7,456.60","7,477.49","7,824.00","5,157.05","5,44,731","4,07,32,18,656.30","59,163"
2023-05-03,EQ,"7,524.00","7,542.00","7,434.45","7,456.60","7,510.00","7,507.20","7,502.13","7,824.00","5,157.05","3,84,431","2,88,40,52,841.60","33,647"
2023-05-04,EQ,"7,514.70","7,529.00","7,485.05","7,507.20","7,505.00","7,502.25","7,501.85","7,824.00","5,157.05","2,32,203","1,74,19,50,990.50","26,276"
2023-05-05,EQ,"7,520.00","7,668.90","7,505.50","7,502.25","7,626.00","7,628.80","7,602.15","7,824.00","5,157.05","3,19,654","2,43,00,56,256.80","39,015"
2023-05-08,EQ,"7,630.00","7,754.00","7,620.00","7,628.80","7,733.00","7,735.45","7,712.23","7,824.00","5,157.05","2,95,156","2,27,63,10,916.05","41,741"
2023-05-09,EQ,"7,758.95","7,823.00","7,687.50","7,735.45","7,709.00","7,716.25","7,761.76","7,824.00","5,157.05","2,89,797","2,24,93,34,799.20","37,355"
2023-05-10,EQ,"7,760.00","7,775.00","7,722.00","7,716.25","7,742.00","7,743.20","7,746.28","7,824.00","5,157.05","2,34,884","1,81,94,77,082.40","44,639"
2023-05-11,EQ,"7,790.00","7,855.80","7,750.10","7,743.20","7,827.00","7,835.45","7,817.63","7,855.80","5,157.05","3,20,219","2,50,33,52,973.85","55,545"
2023-05-12,EQ,"7,839.95","7,920.00","7,691.80","7,835.45","7,721.00","7,702.95","7,753.52","7,920.00","5,157.05","2,46,799","1,91,35,61,358.15","39,785"
2023-05-15,EQ,"7,728.90","7,775.00","7,716.50","7,702.95","7,744.25","7,760.95","7,755.14","7,920.00","5,157.05","1,83,594","1,42,37,96,900.00","40,466"
2023-05-16,EQ,"7,770.00","7,805.35","7,685.00","7,760.95","7,697.25","7,698.70","7,750.02","7,920.00","5,157.05","2,50,490","1,94,13,01,758.65","29,893"
2023-05-17,EQ,"7,717.00","7,759.95","7,653.00","7,698.70","7,715.95","7,700.45","7,701.69","7,920.00","5,157.05","2,05,629","1,58,36,91,255.35","41,528"
2023-05-18,EQ,"7,744.80","7,767.85","7,586.50","7,700.45","7,610.00","7,604.15","7,652.41","7,920.00","5,157.05","1,57,714","1,20,68,92,764.00","23,337"
2023-05-19,EQ,"7,637.00","7,689.15","7,585.10","7,604.15","7,680.00","7,681.30","7,645.80","7,920.00","5,157.05","1,38,709","1,06,05,41,685.55","20,107"
2023-05-22,EQ,"7,655.00","7,738.00","7,650.00","7,681.30","7,684.75","7,715.65","7,703.00","7,920.00","5,157.05","1,39,603","1,07,53,62,456.45","26,053"
2023-05-23,EQ,"7,675.00","7,752.40","7,625.30","7,715.65","7,648.00","7,654.25","7,689.89","7,920.00","5,157.05","1,49,291","1,14,80,31,407.60","23,767"
2023-05-24,EQ,"7,650.00","7,683.95","7,590.05","7,654.25","7,650.00","7,653.80","7,654.24","7,920.00","5,157.05","1,60,565","1,22,90,02,972.65","30,738"
2023-05-25,EQ,"7,644.30","7,668.10","7,594.30","7,653.80","7,627.70","7,621.75","7,621.66","7,920.00","5,157.05","2,57,361","1,96,15,17,562.40","27,490"
2023-05-26,EQ,"7,670.00","7,750.00","7,633.90","7,621.75","7,717.00","7,721.85","7,712.28","7,920.00","5,157.05","2,52,078","1,94,40,96,652.65","35,669"
2023-05-29,EQ,"7,750.00","7,857.70","7,735.00","7,721.85","7,849.00","7,840.55","7,815.02","7,920.00","5,157.05","2,10,769","1,64,71,63,414.35","27,040"
2023-05-30,EQ,"7,865.00","7,970.00","7,840.60","7,840.55","7,895.00","7,901.95","7,922.88","7,970.00","5,157.05","4,14,785","3,28,62,90,934.45","43,969"
2023-05-31,EQ,"7,895.00","7,927.45","7,779.85","7,901.95","7,822.00","7,870.05","7,864.59","7,970.00","5,157.05","11,37,662","8,94,72,44,264.85","56,111"
2023-06-01,EQ,"7,871.00","7,898.80","7,809.80","7,870.05","7,840.00","7,842.80","7,857.59","7,970.00","5,157.05","1,84,642","1,45,08,41,751.65","29,538"
2023-06-02,EQ,"7,861.00","7,947.45","7,826.45","7,842.80","7,841.00","7,850.65","7,882.71","7,970.00","5,157.05","2,48,325","1,95,74,75,195.90","24,294"
2023-06-05,EQ,"7,897.00","7,925.00","7,865.00","7,850.65","7,865.50","7,882.00","7,889.65","7,970.00","5,157.05","1,86,015","1,46,75,93,338.35","24,602"
2023-06-06,EQ,"7,888.00","8,120.00","7,888.00","7,882.00","8,115.00","8,109.55","8,047.21","8,120.00","5,157.05","6,35,244","5,11,19,38,769.15","73,615"
2023-06-07,EQ,"8,135.10","8,171.90","8,082.55","8,109.55","8,152.40","8,157.60","8,131.37","8,171.90","5,157.05","2,98,650","2,42,84,34,239.30","36,848"
2023-06-08,EQ,"8,170.00","8,213.95","8,086.00","8,157.60","8,104.00","8,100.15","8,143.47","8,213.95","5,157.05","3,49,085","2,84,27,63,054.55","40,115"
2023-06-09,EQ,"8,158.00","8,217.70","8,108.20","8,100.15","8,170.00","8,153.25","8,159.11","8,217.70","5,157.05","3,25,814","2,65,83,51,125.55","38,780"
2023-06-12,EQ,"8,160.50","8,205.00","8,102.35","8,153.25","8,185.20","8,198.60","8,173.58","8,217.70","5,157.05","1,95,134","1,59,49,43,003.30","39,762"
2023-06-13,EQ,"8,212.50","8,318.30","8,211.75","8,198.60","8,280.00","8,276.30","8,271.02","8,318.30","5,157.05","2,49,199","2,06,11,29,674.40","33,629"
