Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,748.85,754.8,736.0,745.15,738.15,738.3,744.11,848.0,607.5,"21,00,294","1,56,28,48,825.45","40,690"
2023-02-27,EQ,736.0,738.0,704.0,738.3,708.0,708.3,713.55,848.0,607.5,"22,52,550","1,60,73,13,484.90","58,874"
2023-02-28,EQ,708.0,710.6,693.25,708.3,696.95,694.2,699.0,848.0,607.5,"26,76,043","1,87,05,61,599.65","57,186"
2023-03-01,EQ,699.2,714.45,694.55,694.2,713.55,713.3,706.22,848.0,607.5,"18,35,234","1,29,60,71,154.55","49,712"
2023-03-02,EQ,713.65,716.0,704.1,713.3,706.0,705.9,708.68,848.0,607.5,"9,93,892","70,43,51,068.65","36,056"
2023-03-03,EQ,709.0,714.85,704.85,705.9,709.6,710.0,709.8,848.0,607.5,"11,54,106","81,91,78,874.65","47,486"
2023-03-06,EQ,713.55,718.5,709.0,710.0,712.6,711.05,713.49,848.0,607.5,"10,66,876","76,12,02,515.85","31,883"
2023-03-08,EQ,702.05,717.65,702.05,711.05,716.0,716.7,712.55,848.0,607.5,"10,07,033","71,75,66,128.35","36,807"
2023-03-09,EQ,716.7,723.2,710.95,716.7,712.05,712.1,714.85,848.0,607.5,"12,12,451","86,67,22,611.55","30,895"
2023-03-10,EQ,710.0,714.9,705.05,712.1,713.1,711.65,710.35,848.0,607.5,"13,44,227","95,48,77,869.85","36,483"
2023-03-13,EQ,712.0,718.9,702.25,711.65,707.0,704.7,709.58,848.0,607.5,"11,73,419","83,26,37,739.25","45,068"
2023-03-14,EQ,708.25,709.0,687.6,704.7,700.45,697.65,696.35,848.0,607.5,"16,90,322","1,17,70,50,279.45","77,250"
2023-03-15,EQ,705.8,714.9,700.15,697.65,702.05,702.45,707.8,848.0,607.5,"12,48,597","88,37,53,590.55","41,813"
2023-03-16,EQ,705.85,705.85,692.05,702.45,699.25,696.4,697.38,848.0,607.5,"7,13,926","49,78,77,455.00","29,214"
2023-03-17,EQ,705.5,717.85,696.8,696.4,714.0,715.65,712.24,848.0,607.5,"25,68,540","1,82,94,11,078.40","34,046"
2023-03-20,EQ,714.0,714.7,700.25,715.65,708.55,708.1,705.71,848.0,607.5,"9,13,310","64,45,30,320.60","40,216"
2023-03-21,EQ,708.65,720.0,704.65,708.1,710.0,708.15,708.75,848.0,607.5,"8,38,991","59,46,34,142.00","24,344"
2023-03-22,EQ,710.0,717.2,710.0,708.15,716.0,716.15,714.83,848.0,607.5,"5,69,287","40,69,44,469.05","21,737"
2023-03-23,EQ,717.75,718.2,708.1,716.15,709.65,709.7,712.24,848.0,607.5,"9,14,840","65,15,83,055.35","29,736"
2023-03-24,EQ,713.8,713.8,694.2,709.7,697.0,696.9,701.87,848.0,607.5,"9,82,591","68,96,50,218.10","31,269"
2023-03-27,EQ,698.45,708.0,693.2,696.9,700.4,700.65,700.9,848.0,607.5,"13,55,800","95,02,79,222.35","31,263"
2023-03-28,EQ,704.15,715.5,702.4,700.65,714.7,714.65,710.19,848.0,607.5,"26,18,934","1,85,99,51,636.35","50,266"
2023-03-29,EQ,714.6,718.0,698.4,714.65,709.0,707.4,706.58,848.0,607.5,"28,71,532","2,02,89,58,516.10","68,595"
2023-03-31,EQ,705.0,722.45,705.0,707.4,717.15,717.65,717.34,848.0,607.5,"13,83,231","99,22,42,203.30","49,237"
2023-04-03,EQ,718.5,731.25,717.8,717.65,729.6,729.65,726.07,848.0,607.5,"17,68,965","1,28,43,89,215.55","43,083"
2023-04-05,EQ,729.65,736.2,725.9,729.65,734.35,732.3,731.59,848.0,607.5,"15,00,202","1,09,75,26,227.80","31,321"
2023-04-06,EQ,734.0,734.0,723.0,732.3,726.6,726.15,727.69,848.0,607.5,"13,91,534","1,01,26,04,326.60","40,698"
2023-04-10,EQ,729.95,739.0,727.3,726.15,735.3,737.75,735.42,848.0,607.5,"8,83,124","64,94,64,370.45","35,207"
2023-04-11,EQ,742.0,744.0,737.7,737.75,740.55,742.55,740.99,848.0,607.5,"7,31,229","54,18,35,990.00","21,352"
2023-04-12,EQ,746.0,747.7,736.0,742.55,738.5,739.9,740.31,848.0,607.5,"13,47,769","99,77,60,375.00","48,482"
2023-04-13,EQ,739.9,744.1,734.0,739.9,740.0,737.0,737.19,848.0,607.5,"9,94,060","73,28,09,955.95","34,888"
2023-04-17,EQ,742.95,744.5,732.0,737.0,737.1,737.15,737.44,848.0,607.5,"10,43,080","76,92,11,125.10","51,033"
2023-04-18,EQ,737.15,743.1,735.25,737.15,740.25,738.65,739.21,848.0,607.5,"12,80,463","94,65,28,291.60","39,088"
2023-04-19,EQ,741.9,741.9,731.5,738.65,736.6,735.95,736.62,848.0,607.5,"10,12,743","74,60,08,737.35","42,883"
2023-04-20,EQ,738.4,739.0,730.65,735.95,730.65,732.05,734.0,848.0,607.5,"10,84,257","79,58,41,202.95","39,343"
2023-04-21,EQ,732.5,743.9,731.0,732.05,735.0,734.7,736.71,848.0,607.5,"18,29,162","1,34,75,64,434.45","47,665"
2023-04-24,EQ,735.0,739.2,723.25,734.7,729.7,729.85,728.47,848.0,607.5,"10,49,786","76,47,40,930.05","39,806"
2023-04-25,EQ,719.9,721.2,705.3,729.85,715.55,714.65,714.8,848.0,607.5,"34,07,713","2,43,58,33,067.85","77,754"
2023-04-26,EQ,714.7,716.8,707.5,714.65,715.5,715.35,712.23,848.0,607.5,"36,21,655","2,57,94,64,594.35","53,593"
2023-04-27,EQ,716.3,730.75,716.3,715.35,728.1,727.2,725.51,848.0,607.5,"24,70,510","1,79,23,75,909.55","53,958"
2023-04-28,EQ,733.0,741.9,730.8,727.2,739.2,740.3,736.45,848.0,607.5,"23,74,556","1,74,87,36,761.30","50,315"
2023-05-02,EQ,744.3,759.95,743.55,740.3,752.0,752.5,753.71,848.0,607.5,"22,25,369","1,67,72,88,491.45","44,926"
2023-05-03,EQ,751.5,755.8,738.55,752.5,739.5,739.8,744.05,848.0,607.5,"10,31,469","76,74,63,033.95","27,944"
2023-05-04,EQ,740.25,742.75,728.15,739.8,731.65,731.5,734.24,848.0,607.5,"16,55,943","1,21,58,61,761.95","34,087"
2023-05-05,EQ,735.1,735.1,709.65,731.5,717.0,714.85,720.15,848.0,607.5,"39,30,399","2,83,04,79,979.90","57,503"
2023-05-08,EQ,718.7,725.0,700.45,714.85,718.35,715.4,715.29,828.0,607.5,"62,01,290","4,43,57,37,845.50","99,513"
2023-05-09,EQ,710.0,710.0,692.65,715.4,693.75,694.4,698.33,828.0,607.5,"80,30,712","5,60,80,51,108.20","1,52,020"
2023-05-10,EQ,695.8,695.8,677.3,694.4,680.5,679.7,682.06,828.0,607.5,"58,03,203","3,95,81,42,157.00","1,19,722"
2023-05-11,EQ,682.2,687.45,680.35,679.7,684.6,682.9,684.18,828.0,607.5,"22,28,828","1,52,49,24,279.25","70,351"
2023-05-12,EQ,685.05,685.8,673.0,682.9,678.25,678.2,677.25,828.0,607.5,"18,05,619","1,22,28,62,204.40","56,996"
2023-05-15,EQ,679.4,680.95,675.0,678.2,676.7,675.95,677.84,828.0,607.5,"24,32,818","1,64,90,55,724.10","45,096"
